"id_tweet","id_user","tweet"
"31674","368","Acording To ADP https://t.co/VXQkzhb2xv https://t.co/gWXUbc0phv"
"31675","368","SARKASTIK https://t.co/e7liRhibfA https://t.co/LNgzPExR1k"
"31676","368","BESOK SAYA DATANG MENGHADAPI PARA PEMBELA PENISTA AGAMA! #ADP"
"31677","368","Cuitan Sarkastik by Ahmad Dhani https://t.co/eJmCLB8lcb"
"31678","368","Save BUMN 1 by AhmadDhani https://t.co/KGBo8jv3xR"
"31679","368","Saya ikut Pengajian Ustadz Abdul Somad di Bali, yuk hadir. #ADP"
"31680","368","Saya belum pernah sama sekali instal yang namanya Traveloka. #ADP"
"31681","368","Netizen tolol yg bilang sy pernah injak ayat Quran.IQ nya pasti 200 se kolam. #ADP"
"31682","368","PLURALISME by Ahmad Dhani https://t.co/iVbCs8bnK1"
"31683","368","POLITISI KALAP : 
PILKADA BUKAN MEMILIH PEMIMPIN AGAMA

AHMADDHANI :
MEMILIH PEMIMPIN BERDASARKAN AGAMA ATAU BERDAS… https://t.co/Snt4CXu1kH"
"31684","368","Apakah MENISTA AGAMA jk berkata bahwa ULAMA tdk pantas bicara akhirat krn belum pernah kesana? #ADP"
"31685","368","FAKTA BAHWA BANYAK YANG BELUM CERDAS By AhmadDhani https://t.co/iHtufVSrZM"
"31686","368","GORO by Ahmad Dhani https://t.co/nk8dZ8mpSO"
"31687","368","Happy Birthday my bro @Fahrihamzah"
"31688","368","Ajaran Ajaran Penting Dari Gus Dur by Ahmad Dhani https://t.co/8yzD6MncWg"
"31689","368","COMMON PEOPLE ROYAL WEDDING ONLY IN INDONESIA.ADP"
"31690","368","Banser Ku Pahlawan Ku by Ahmad Dhani https://t.co/azCcKaLQ1p"
"31691","368","ORMAS ISLAM YANG HARUS DIBUBARKAN https://t.co/TmORUvVHbl"
"31692","368","1000 Lady Gaga tidak takut, 1 Ustadz Felix Siauw takut. Ustadz Ngeri .ADP"
"31693","368","[Video] Anak Ahmad Dhani dikagumi Asing https://t.co/ie9XClQfm6"
"31694","368","[ADP NEWS] Ahmad Dhani resmikan karaoke baru di Medan https://t.co/T88nkpvDxS https://t.co/ExLCOgng0G"
"31695","368","Grand Opening ""Masterpiece Signature"" Multatuli Medan #IGADP https://t.co/8PY42qwR9e"
"31696","368","Cari artis yg tdk pernah di Bunuh Karakter nya oleh @lambe_turah, itulah dia sebenarnya. #ADP"
"31697","368","Jaman Now , LEADER pindah haluan jadi DEALER...salam REKLAMASI&amp;MEIKARTA. #ADP"
"31698","368","NKRI HARGA MATI by Ahmad Dhani https://t.co/4sTiiUduMh"
"31699","368","ULAMA yang menolak undangan Presiden/Menteri adalah Ulama idola para SANTRI. #ADP"
"31700","368","Kenapa Reklamasi harus di stop by AhmadDhani https://t.co/gYaZ97RpMd"
"31701","368","1945 Ada PEJUANG PROKLAMASI , kini ada PEJUANG REKLAMASI... #ADP"
"31702","368","Bravo Mahasiswa Indonesia!! https://t.co/3ahJXXo89j"
"31703","368","Isu pribumi itu seksi - Ahmad Dhani https://t.co/T08vRXKnxi"
"31704","368","PBB Menetapkan tgl 9 Agustus 
Sebagai Hari Pribumi Internasional https://t.co/LWdRcxWU75"
"31705","368","BAHAYA KEBANGKITAN PRIBUMI by Ahmad Dhani https://t.co/trLzYzGeoD"
"31706","368","RT @fadlizon: Fadli Zon Umumkan, Ahmad Dhani Resmi Gabung Gerindra
https://t.co/QqRxBurVay"
"31707","368","UNTUK YANG A HISTORIS
DAN AGAK BODO
By AhmadDhani
https://t.co/NHDelSbNLx"
"31708","368","✊✊ #IGADP https://t.co/WRwtNWrvMk"
"31709","368","RT @fadlizon: Konferensi Nasional &amp; Temu Kader @Gerindra . @AHMADDHANIPRAST resmi menerima kartu sbg anggota Gerindra. Selamat. https://t.c…"
"31710","368","CARA KECEBONG MEMANIPULASI TENTANG PRIBUMI
by AhmadDhani https://t.co/ZLW1zRAqKY"
"31711","368","PRIBUMI ITU ADA...LIHAT AJA DI KAMUS BAHASA INDONESIA. Repot amat. ADP"
"31712","368","Beda Indonesia dan Amerika...Dalam konteks Pribumi https://t.co/9Nt5Zm1aJo #ADP"
"31713","368","Selamat Wakil Gubernur baru @sandiuno #ADP https://t.co/qugp1m8GmX"
"31714","368","KENAPA ARAB INDONESIA ITU PRIBUMI? By Ahmad Dhani https://t.co/jjbiCXYmGK"
"31715","368","Selamat Gubernur baru @aniesbaswedan #ADP https://t.co/CtpAHsppez"
"31716","368","Let.Jend Agus Sutomo - ADP ,Salam Komando!! #ADPTNI #ADP https://t.co/YxexgpwuzZ"
"31717","368","THE AHMAD &amp; JENDRAL SUSILO BAMBANG YUDHOYONO #ADPTNI #ADP https://t.co/ttXVfjX1ew"
"31718","368","JENDRAL @wiranto1947 , HUT ADP 2004 #ADPTNI #ADP https://t.co/aunK4A2uu8"
"31719","368","LET.JEN SUTIYOSO - ADP #ADPTNI #ADP https://t.co/FnfdTS88zH"
"31720","368","The Ahmad &amp; Jendral Ryamizard Ryacudu #ADPTNI #ADP https://t.co/2vzdVa5iaM"
"31721","368","Ahmad Dhani Family https://t.co/O6fBsFQC8g #ADP"
"31722","368","Rakyat di paksa E Tol...E Til... #ADP"
"31723","368","LASKAR CINTA bukan LASKAR BLOON. Agama di Nistakan mbidhek ae. #ADP"
"31724","368","LET.JEN MARCIANO NORMAN - ADP #ADPTNI #ADP https://t.co/RpoXwV7xQt"
"31725","368","HATI2 MENYEBAR KEBENCIAN kepada PARA PEMBELA PELAKU PIDANA,bs 
Di periksa Polisi. #ADP"
"31726","368","Bravo TNI 72 Tahun! #ADP https://t.co/GG6WqXiHjQ"
"31727","368","Minta tolong ke BankDunia itu sama dengan Gadis cantik minta tolong kpd GERMO... #ADP"
"31728","368","POLIT BIRO RRC By Ahmad Dhani https://t.co/oykexR0cmo"
"31729","368","Wah gawat, Gara gara Reklamasi bisa di tunda nih pelantikan Gubernur DKI. #ADP"
"31730","368","RT @Fahrihamzah: Bunuh hampir 60 ruang langsung dan 500 luka disebut GUNMAN....
Bunuh 1 orang disebut TERORIS...#DuniaAjaib"
"31731","368","10 TERORIST TERBESAR by Ahmad Dhani https://t.co/dPeX2CRV1a"
"31732","368","""TERORISNYA KAN DARI KITA"" ,KITA?? ENTE KALI... #ADP"
"31733","368","KEMBALIKAN LAGI DWIFUNGSI ABRI,
LONG LIVE TNI HAPPY MILAD 72. #ADP"
"31734","368","Kalo Teroris nya  itu ADA ,ahok pasti sdh di bom dari kemarin2,jangan asal ngomong terorisnya dr kita. #ADP"
"31735","368","Media Ohh Media... #ADP https://t.co/4NWAQvlWpB"
"31736","368","Siap siap dilantik #IGADP https://t.co/kv72j2ObVa"
"31737","368","RAKYAT MENYAMBUT GEMBIRA CAPRES CAWAPRES 2019 JOKOWI -SETNOV. BRAVO GOLKAR. #ADP"
"31738","368","Indonesia butuh orang kuat by Ahmad Dhani https://t.co/b8qxbWqz7q #ADP"
"31739","368","Selamat Hari Batik Nasional #IGADP https://t.co/w8p3xEUVbP"
"31740","368","MENYAKSIKAN DETIK-DETIK BERAKHIRNYA NEGARA KESATUAN REPUBLIK INDONESIA. https://t.co/Mj2MjibJN7"
"31741","368","Pride and Joy 2nd season #IGADP https://t.co/a3qHqH2J5v"
"31742","368","Menimbang Sang Jendral Gatot Nurmantyo https://t.co/TXOtRL15FC #ADP"
"31743","368","Happy Wifi #IGADP https://t.co/sxmQLxGhAp"
"31744","368","Feea ,Arsy ,R #IGADP https://t.co/inE64CNEDm"
"31745","368","Agnes : ""Pakai jaket Ahmad Dhani itu enak"" https://t.co/HwyAwtmOcJ #ADP"
"31746","368","PAPA minta MENANG,PAPA minta SEMBUH , PAPA minta DUKUNG PILPRES 2019. #ADP"
"31747","368","Jika PANGLIMA TNI di PECAT,PANGLIMA TNI bisa MENOLAK!..siapa bilang tdk bisa? #ADP"
"31748","368","Demo tidak butuh fatwa ulama yang menolak demo #ADP https://t.co/KsuFTpREy2"
"31749","368","RT @nieke_aereta: Spirit 212 bersejarah bagai tombol detonator 'bom waktu' yg tlh ditekan u/ meledakkan seluruh potensi positif. Salam Mas…"
"31750","368","5000 pucuk senjata ilegal dan 299 Aksi Demo Anti PKI...What a Coinsiden. #ADP"
"31751","368","Fatwa PBNU By Ahmad Dhani #ADP https://t.co/69GjhSLsY2"
"31752","368","Kalo ujung2 nya GN jd CaWapres JKW...ITU BARU POLITIK!,PDIP lebih tau lah. #ADP"
"31753","368","Tulisan bagus https://t.co/2H8mxjoapn"
"31754","368","DASAR DASAR ILMU POLITIK #POLITIK RA POPO# By AhmadDhani https://t.co/BpzHsJDHH9"
"31755","368","@DE19WA - Angin (Live Aceh) #Dewa19 #VideoClipDewa19 https://t.co/9vUIhcpyih"
"31756","368","Sejak 1945,1948,1965 sampe 2017, RAKYAT SELALU DI BELAKANG PANGLIMA TNI.JASMERAH. #ADP"
"31757","368","HATI HATI PENIPUAN !ASOSIASI MEDIASI BISNIS INDONESIA ( AMBISI )
#ADP"
"31758","368","Apakah yg dimaksud Panglima TNI itu BIN? Saya rasa bukan.Wiranto harus lebih SOFT #ADP"
"31759","368","Setelah bertemu Jokowi,lalu Wiranto bilang 5000 senjata illegal itu MisKomuniskasion. #ADP"
"31760","368","Partai Kecebong Indonesia by Ahmad Dhani https://t.co/dchIOa0w5Y #ADP"
"31761","368","Seorang Panglima TNI tidak butuh BerPOLITIK untuk merebut Kekuasaan kalo mau,cuma butuh dukungan Rakyat. #ADP"
"31762","368","Presiden harus gebuk institusi tertentu importir 5000 pucuk senjata ilegal. #ADP"
"31763","368","RT @fadlizon: Yg dukung Nobar Film ""Pengkhianatan G30S/PKI"" pasti Pancasilais, yg anti film itu bisa jadi pendukung ..."
"31764","368","Hayo siapa impor 5000 senjata bawa nama Jokowi???
HAYO NGAKU!!!! #ADP"
"31765","368","RT @fadlizon: https://t.co/9avm2n0gHa"
"31766","368","TVRI tolak tayang Film G30SPKI???WhatTheF*** #ADP"
"31767","368","Kalo Soeharto di tuduh dalang G30SPKI 1965,Trus dalang Pemberontakan PKI 1948 siapa? Mukidi? #ADP"
"31768","368","Dalang G30S by AhmadDhani https://t.co/IW4eiAzI9t #ADP"
"31769","368","RT @RepCinMan: Yuk tonton Video Clip single terbaru @BlaackChampagne , ""Jangan Gitu Dong""… https://t.co/HMxfsQ2SNL"
"31770","368","RT @RepCinMan: Dewi Dewi on Dahsyat RCTI, Rabu 20 September 2017 ,Pkl.12.00 WIB #DewiDewi #RCMGirls https://t.co/ph6WTHYmRS"
"31771","368","RT @RepCinMan: The Virgin, Lippo Plaza Ekalokasari Bogor, 24 September 2017 #TheVirgin #RCMgirls https://t.co/Vgek7U9o4N"
"31772","368","Wajib tonton!! https://t.co/vZuBGxw8VL #ADP"
"31773","368","SUMUR NERAKA buang mayat korban PKI 1948 Kalo di bikin Film lebih DAHSYAT #ADP"
