"id_tweet","id_user","tweet"
"21171","256","@AkbarIchwal Kurang kurangiii ngab gabaek buat kesehatan"
"21172","256","@AkbarIchwal Tapi apa bangsat, anak ngen"
"21173","256","RT @kutipanrinduu_: •• HABIS SHOLAT JANGAN LANGSUNG BERDIRI ••"
"21174","256","@arsivalendra Urusan det belakangan, penting deal sek ra"
"21175","256","Hoala cah asu cah asu, mending holiday https://t.co/6dm6x9lAtQ"
"21176","256","@arsivalendra Sg penting yakin to yaaaa"
"21177","256","@riosputro_ Salah serper lek, serper dangdut pindah sebelah"
"21178","256","@Sayajuna @chiccojefrikho @nola_rossa Ternyata kepala @chiccojefrikho  tertangkap, gagal mencetak gol bung https://t.co/sAVrb51rsO"
"21179","256","@chiccojefrikho @nola_rossa Kepala lu gelinding ege bang jep https://t.co/EUqLimPszA"
"21180","256","@riosputro_ Bund hidup berjalan seperti"
"21181","256","@chiccojefrikho @nola_rossa Maap anjing gua galiat lu disitu cuk, jep jep"
"21182","256","@nola_rossa ""Yaudah sana, aku mau kayang sambil ngepel lantai dulu"" https://t.co/7GwLhHxc3c"
"21183","256","@txtdrcringe Paansi anjinggg gajelas si ngtd"
"21184","256","RT @ptriadell: dia pun pernah bercerita bagaimana dia di sakiti oleh yang dia cintai, di depan aku yang mencintai nya."
"21185","256","Bulan maret
Det ku garek sak-ipetttt"
"21186","256","@Ajeenglarasatii Yak tiktok ya akun bucin semua jadi satu lah yaaa bund"
"21187","256","@Ajeenglarasatii Serper sebelah masih kalah jauh sama asbak surya"
"21188","256","@Ajeenglarasatii Conda canda conda candaaa, nyoh https://t.co/K9EuCLg8T9"
"21189","256","Puntennn https://t.co/1ll2hOx9dJ"
"21190","256","Yap. https://t.co/2XiENtKp7W"
"21191","256","@meikartaaaaa Cwku"
"21192","256","RT @tidaksemampai: maunya telfonan 10.000 jam sama kamu bisa gak kira kira"
"21193","256","Auto ciu berlabel pajak.
Pinter juga https://t.co/I85eqPLbBz"
"21194","256","@Bandungfess Anjing pisan ieu bapack bapack"
"21195","256","RT @ArchDaily: Omah Boto House / Andyrahman Architect https://t.co/sITF7rtuWM https://t.co/o63tr5MSsa"
"21196","256","@pentilcoroo Ki sopo to anjir lali, gas nooo tak balang akuarium ya raimu wkwkw"
"21197","256","@pentilcoroo Asu rak trimo cod wae bngst wkwk"
"21198","256","Bucin meneh chrck https://t.co/9Ua8ncmikR"
"21199","256","@unnesmenfess @Andikasun3"
"21200","256","@gheaurelia 19 tahun"
"21201","256","Mampussss https://t.co/OPcL3Td98t"
"21202","256","@diyulsdfg Haduhhh perangko kaliii nempel batttt"
"21203","256","@txtdarigajelas Anjing amat"
"21204","256","Konten bucin check https://t.co/iXdpEaaOjD"
"21205","256","@heyyofrenddz @sosmedkeras Sikat"
"21206","256","@officialanm @sosmedkeras Ah mantap"
"21207","256","Andai kau tau. https://t.co/GbwrOabFIw"
"21208","256","@txtdarisisange Tanggungjawab goblokkk"
"21209","256","@sosmedkeras Halalan toyibban https://t.co/59DhuC27SF"
"21210","256","@txtdarisisange Tuku rokok rong pack
Raimu ya pak"
