"id_tweet","id_user","tweet"
"16046","202","RT @T14N87: @AnakKolong_ @AgusYudhoyono @jokowi @SBYudhoyono Tuhan sungguh tidak suka..."
"16047","202","RT @Ode84: @AnakKolong_ @AgusYudhoyono @jokowi @SBYudhoyono Sinetron apa lagi ini papa nobita?"
"16048","202","RT @FDerKanzler: @AnakKolong_ @SBYudhoyono @jokowi Lg caper aja sih nih bokapnya @AgusYudhoyono sang ketum @PDemokrat biar byk dibicarakan…"
"16049","202","RT @_dwi21_: @AnakKolong_ @AgusYudhoyono @jokowi @SBYudhoyono Semakin tua..... @SBYudhoyono semakin lebay ✨🤣😂🤣😂"
"16050","202","RT @alambaskoroke4: 😇JENDERAL BAPER @SBYudhoyono"
"16051","202","RT @listy9021: @AnakKolong_ @AgusYudhoyono @jokowi @SBYudhoyono 11 12 , makhluk2 cengeng
#tuhantdksuka"
"16052","202","RT @MatJohar3: @AnakKolong_ @SBYudhoyono @jokowi Baperan malas wes😂"
"16053","202","RT @KelikCexyl: @AnakKolong_ @SBYudhoyono @jokowi Akibat kebanyakan konsumsi informasi sampah, bisanya cuma geram gerem doang gak bisa lebih"
"16054","202","RT @Adi16343002: Mental pecundang....."
"16055","202","RT @Ajay540974041: @AnakKolong_ @AgusYudhoyono @jokowi @SBYudhoyono Benar2 lebay"
"16056","202","RT @niell_londoaiue: @AnakKolong_ @AgusYudhoyono @jokowi @SBYudhoyono Dengan banyaknya lisan yang terucap, pertanda sedang melakukan pengga…"
"16057","202","RT @ariskuncoro11: @AnakKolong_ @AgusYudhoyono @jokowi @SBYudhoyono OVER LEBAY...!!!"
"16058","202","RT @NayDonuts: Begini nih kalo tukang sambung ayam alih profesi jadi provokator berkedok ulama....😤

Kapan rukunnya umat beragama 
di Indon…"
"16059","202","L E B A Y  !!
.
.
Sebelumnya @AgusYudhoyono konferensi pers &amp; bersurat ke Presiden @jokowi MENGEMIS KLARIFIKASI, yg… https://t.co/1rK6WFYP8Z"
"16060","202","RT @Adi16343002: Bukti kalau dia suka bikin gaduh dan cari perhatian....najis"
"16061","202","RT @haluanghabang: @__MV_llestari__ nah bnr...skrg PECAT itu kapolres n kasat reskrimnya..polisi yg nga pnya nyali dgn preman berjubah agam…"
"16062","202","RT @simple_heart68: @AnakKolong_ @SBYudhoyono @jokowi KATA KAKEK DARI KAKEK-KAKEKU PAK BEYE MAIN "" LEMPAR BATU, SEMBUNYI TANGAN "" 😅"
"16063","202","RT @pujianto_hary: @AnakKolong_ @SBYudhoyono @jokowi Prihatin ...Demokrat kian kerdil"
"16064","202","RT @ian_mdn: @AnakKolong_ @SBYudhoyono @jokowi Semoga Bpk Antasari Azhar sehat wal'afiat , dipanjangkan umur dan diberkahi hidupnya 🙏🙏🙏"
"16065","202","RT @ely_susianti: @petrux_92 @AnakKolong_ @yazid_fadhlan Kamu @yazid_fadhlan   pikir yg perang merebut kemerdekaan hy org Islam sj ? 

baru…"
"16066","202","RT @PutraPa07471442: @AnakKolong_ Ngajinya sepotong"". 😝"
"16067","202","RT @BadgirlRealbad: @AnakKolong_ Saat ada orang2 yg ngatas namakan dirinya, golongannya, atau apapun tentangnya PALING BERJASA dalam kemerd…"
"16068","202","RT @AntonKu62463911: @_korekgas @AnakKolong_ @SBYudhoyono @tni_ad @_TNIAU @_TNIAL_ @DivHumas_Polri https://t.co/gVgn3L9MIN"
"16069","202","RT @Hantoro2011: @AnakKolong_ @SBYudhoyono @tni_ad @_TNIAU @_TNIAL_ @DivHumas_Polri Ayo Pak @SBYudhoyono menggerutulah terus. Gaji nggak na…"
"16070","202","RT @FirzaLuv: Bermula dari statemen Beye :""jika BTP tak diproses hukum, demo akan selalu ada hingga lebaran kuda"". Kmd muncul berita dan fo…"
"16071","202","RT @CetakBalikpapan: @AnakKolong_ @Maknyus_nnn @SBYudhoyono @jokowi Pak BEYE ndak kreatif"
"16072","202","RT @berharapdamai: @AnakKolong_ @SBYudhoyono @jokowi Prihatiiiiin bang ...🤣🤣🤣"
"16073","202","RT @Riul741: @AnakKolong_ @KejaksaanRI @bpkri Haha...air itu masuk kedalam tanah..tidak lewat gorong2 kelaut Lulung.?

Kalau jadi anggota D…"
"16074","202","RT @Rentonized: @AnakKolong_ @SBYudhoyono @tni_ad @_TNIAU @_TNIAL_ @DivHumas_Polri Ngakunya masih geram tapi gak berani sebut nama, jadinya…"
"16075","202","RT @Sintamahalona: @AnakKolong_ @SBYudhoyono @jokowi Saran aja pak, kalau mau transparan ya dibukalah dan duduk bareng dgn yg berwajib &amp; jg…"
"16076","202","RT @Asmaragadjayar1: @AnakKolong_ @SBYudhoyono @jokowi Sekenario politisi tamak tidak tau diri jadi salah langkah..100% tidak berani menyeb…"
"16077","202","RT @naktakumbang: @AnakKolong_ @SBYudhoyono @jokowi Tuhan Tidak Suka
Kepada hal hal yg Bersifat Abu Abu
Karena cenderung menimbulkan Fitnah…"
"16078","202","RT @BenkKendal: @DivHumas_Polri 
lambungkan..!!
@AnakKolong_ 
@bwarmed 
@retno_setyowat 
@03__nakula 
@__MV_llestari__ 
@BukanKaumMuna 
@At…"
"16079","202","@AndiPradipta11 @SBYudhoyono @tni_ad @_TNIAU @_TNIAL_ @DivHumas_Polri Wilujeng enjang mas @AndiPradipta11 🙏🇮🇩"
"16080","202","RT @Ndutz_rick: @AnakKolong_ @SBYudhoyono @jokowi SBY salah satu aktor lebay favorit sepanjang masa..."
"16081","202","RT @Calista_1212: @AnakKolong_ Ternyata ada yg lebih meresahkan daripada mabok minuman, mabok judi dan mabok janda...yaitu mabok agama
😓😓"
"16082","202","RT @PatiZairin: @Jordanism1 @AnakKolong_ @SBYudhoyono @jokowi Strategi usang bisa buntung bukan untung. Kenapa ? Ya kebanyakan orang sebel😁"
"16083","202","RT @bwarmed: °
duuh...
lagi2 pak reaktor ini, buzzer dki yg nda pernah nda boong https://t.co/ks5WjwmH13"
"16084","202","RT @Bryan300420001: Ini baru Pimpinan sejati bukan tukang cari kambing yg warnanya hitam"
"16085","202","RT @ByuCyd: Siluman doyok halu"
"16086","202","RT @AkbarRudy1: @ganjarpranowo gub sejati..👍👍👍

Gk kayak junjunganmu mus...@musniumar ..gub abal2"
"16087","202","RT @RaniKancana: Gubernur ku , bikin bangga.. bersikap ksatria...👍"
"16088","202","RT @IMulya77: Moto ""Pegadaian""..
""Mengatasi Masalah tanpa Masalah""😁
Moto ""anies""..
""Tidak atasi Masalah cuma Nambahi Masalah""..
Ingin tamba…"
"16089","202","RT @RelawanUMKM: https://t.co/fVFRJGrcxJ"
"16090","202","RT @RelawanUMKM: Mohon agar segenap Warga Negara Indonesia berkenan mencermati tuit berikut ini 🙏🏼

https://t.co/fVFRJGrcxJ

@antaranews @T…"
"16091","202","RT @OnnoGammara09: @AnakKolong_ @musniumar Pak Reaktor Kompor Meleduk...Omonganmu kro pak Anies kui koyo TELO,Empuk tp Nyereti
Hasile Entut…"
"16092","202","RT @dwikyenggar: @AnakKolong_ @musniumar beliau sdh mengaku salah itu yg tdk terjadi pd juraganmu Mus 😏"
"16093","202","RT @Robert53161640: @AnakKolong_ @musniumar Kumisnya musni mendadak mengkerut,,,, liat postingan pak ganjar 🤭😂😂 
Pemimpin itu tidak akan me…"
"16094","202","RT @BatuKepla: @AnakKolong_ @musniumar SEMOGA NANTI ADA BANJIR LAGI RUMAH DAN MOBILNYA TERENDAM BANJIR... ITU AJA"
