"id_tweet","id_user","tweet"
"25918","309","dont try this at home (•‿•) https://t.co/35ELVX7oTD"
"25919","309","cape banget gue... emng kalo gue kaga diet dosa banget ya? emang gua sejelek itu?"
"25920","309","LU GA NYADAR DIRI SI KALO GUA YANG NGOMONG KAYA BEGINI DEPAN MATA LU GIMANA HAH ANJING?!!!"
"25921","309","kenapa lu jahat banget anjing. GUA TAU GUA GEMUK DAN LU MAU APA?!!!!"
"25922","309","bahkan keluarga gua ikut campur didalamnya buat ngeyakinin kalo gua engga seburuk apa yang gua pikirin. lu orang as… https://t.co/JwZPRZM9Wg"
"25923","309","kesel ga si lu? tiba tiba gitu tanpa aba aba tanpa ngomongin apa apa ada manusia anjing yang ngomong kaya begini pa… https://t.co/pD2uusw3Kp"
"25924","309","hobi banget jatuhin harga diri sendiri.. waw tolol https://t.co/W8PHZpOOTK"
"25925","309","HEHEHEHEHEHEHEHEHEHEHEHEHEHE https://t.co/gFOmYoj9bi"
"25926","309","selamat hari raya Nyepi ♥️"
"25927","309","sleep tight https://t.co/M7mCg16Lh5"
"25928","309","ajg keselek😭 https://t.co/FVaXgH9xqo"
"25929","309","(◍•ᴗ•◍)❤

hehe"
"25930","309","how can i be fine with being alone?
https://t.co/JWQWb9S65z"
"25931","309","saat lu makin tua dan lu akan mengerti kalau TIDUR SIANG IS EVERYTHING."
"25932","309","RT @90spicture: https://t.co/Pe8lJ2YAj5"
"25933","309","talk about the future like we had a clue🎶
https://t.co/s8IOk5NQuy"
"25934","309","deep talk. ngeri juga bahasanya masa depan🐖🕯️"
"25935","309","it's okay to be selfish. https://t.co/w7BneX34yz"
"25936","309","@tanyainrl 2
1
3
1 ( sisanya lupa)
1🙂🤲"
"25937","309","mood swing https://t.co/E7vWBUHHSY"
"25938","309","Sleep tight 🕯️
https://t.co/ompn5KeiQM"
"25939","309","u did well."
"25940","309","RT @90spicture: https://t.co/TBbTiNxmoH"
"25941","309","YA GIMANA DONG https://t.co/K1fxb7dwdh"
"25942","309","RT @rrjmxrell: We always tweet things we can't say"
"25943","309","https://t.co/LnKP6pHO88"
"25944","309","https://t.co/N0uI3St0M3"
"25945","309","apa yang ga kebentuk lagi???? ooooo tentu saja hatiku (~￣³￣)~ https://t.co/dl2yT9ak1P"
"25946","309","OALAAAHHHH ADUHH HATII GUA KAGA KEBENTUK LAGI INI ASTAGAAA😭😭😭😭😭 https://t.co/K5PRFQ1LUZ"
"25947","309","https://t.co/HP5Ezc3qUu"
"25948","309","🙂🤲 https://t.co/CMKifOUkvf"
"25949","309","good mowning..

bwoniss in the mowning..whatttt a good life🤪♥️ https://t.co/HF0It9ighz"
"25950","309","RT @90spicture: https://t.co/cbSp5mQEfQ"
"25951","309","siang ngantuk malam susah tidur"
"25952","309","kayanya arik bakal suka matkul. ini🤪 https://t.co/1Fx3IIdSqg"
"25953","309","hari ini kemampuan mengumpat arik menurun drastis 😎🤲"
"25954","309","water everywhere.. https://t.co/jNJCvewBBB"
"25955","309","RT @AnimesVisuaIs: https://t.co/KDY12qFz1o"
"25956","309","RT @90spicture: https://t.co/rFtYSipwDX"
"25957","309","RT @90spicture: https://t.co/UikhkOztwy"
"25958","309","@moviemenfes seru. mayan lah lucu juga."
"25959","309","RT @imagevibing: hi, when you are sad or upset, always remember these points.

✨ a thread ✨"
"25960","309","jangan rusak dong, ga ada kamu nanti aku mlyeot ga bernyawa, masa tiap 3bulan ganti earphone terus. yuk bisa yuk🥺🤲 https://t.co/37UIwL5Qqf"
"25961","309","@tanyainrl bisa.. tapi kalo ngangkat bayi dari kasur mau digendong masih suka takut. nanti kepalanya jatuh"
"25962","309","believe in what you prayed for.

good mowning🌥️ https://t.co/X3Kg4kWvBL"
"25963","309","wotaaaaahhhh"
"25964","309","@yupi1_ ga guna banget idup lu asli.."
"25965","309","@yupi1_ ya ga salah si.."
"25966","309","kenapa belum tidur?"
"25967","309","🖤. https://t.co/29R30ouXvy"
"25968","309","@tanyainrl ya pancake pisang? kan emang bener .. salahnya apa?"
"25969","309","@Sedanayoga8 tuanya ga berasa"
"25970","309","bad relationship with water. jadi ga usa mandi."
"25971","309","kurang tolol gimana lagi hari ini?🙂🙏🏻"
"25972","309","dann ya.. arik bilang bangsat🙂🙏🏻"
"25973","309","kebodohan apa yang kamu lakukan hari ini?...
arik mengumpat waktu class meet dan lupa matiin mic. dan sekelas bengo… https://t.co/5X2n8KVN6Q"
"25974","309","kuliah haha hihi semester 4 saget"
"25975","309","@azhrhami_ gua 17%-nya berarti 🙌"
"25976","309","gua nge-share lagu atau playlist
""...gua ga punya Spotify..""
""..lagi males denger lagu..""
""...ga ngerti..""
YA GIMAN… https://t.co/8Rsd3PFi9x"
"25977","309","🤯"
"25978","309","🤩 https://t.co/Iq5xB2s5l1"
"25979","309","rasanya kaya circle lu buat grup wasap terus ga ada elunya, dan besoknya mereka ngebahas sesuatu digrup didepan elu… https://t.co/XexYOCGNds"
"25980","309","@subtanyarl power, family, purpose"
"25981","309","@subtanyarl anggur🙂🤲"
"25982","309","🤲🙂 https://t.co/3MlfFkJpeY"
