"id_tweet","id_user","tweet"
"32667","378","RT @dLaLaLanddd: Prince william Kate middleton? Meghan Markle prince Harry? Pfft I only know Atta &amp; Aurel https://t.co/KgGIi8hJPy"
"32668","378","#CalonBojo 🖤💜"
"32669","378","You never look good trying to make someone else look bad. 🔥🇮🇩💯"
"32670","378","Kami langsung mengantarkan Vitamin dan Alat kesehatan ke depan pintu rumah Masyarakat Plosok 🙏❤️ Bersama Ustad… https://t.co/63JjmD3Kzv"
"32671","378","Untuk para pejuang diluar sana!🙏
Bang Atta mana Until Tomorrow nya?
Ini #untiltomorrow Challenge versi ku ❤️ Challe… https://t.co/xaxGyo5Xjv"
"32672","378","Mohon Maaf lahir batin 🙏
#BersamaUntukSesama
#MaretAprilUntukParaPejuang https://t.co/4nd0DZR4Ly"
"32673","378","Haru Melihat ibu hebat ini menangis berlinang air mata Setelah Hutangnya terbayar dan anaknya bisa sekolah lagi yan… https://t.co/nETGDX9ktR"
"32674","378","Love u pak 🙏❤️ Ikut kegiatan bapak seharian dan mendengar bapak bercerita, banyak pelajaran buat aku❤️ Semoga berma… https://t.co/xiNmuMKfhR"
"32675","378","Senang Melihat Bapak bahagia ❤️🙏😭
Bapak: “Penghasilang saya 600 ribu per bulan ga punya tempat tinggal numpang2. mi… https://t.co/F9FfhN6smS"
"32676","378","❤️❤️❤️"
"32677","378","@Ristiapril1 Aminn 🙏"
"32678","378","@Ristiapril1 Semangat kuliahnya ya! kejar cita2 harus bersyukur bisa kuliah!. dulu aku gapunya uang buat kuliah 🙏 k… https://t.co/s3bIhJ6E4Z"
"32679","378","@Yolandainriany1 tinggal dmn? aku coba cek"
"32680","378","@Ristiapril1 mana no rek km?"
"32681","378","dmn aku bisa kontak bapak ini? https://t.co/4oFUYl9t1E"
"32682","378","km harus kembali https://t.co/8DOIvXGfrS"
"32683","378","Aku suka pisang bang 🍌🍌🍌 #AutoFollback https://t.co/EwQiMBIM1A"
"32684","378","Oh Tuhan rumah ku dan sekitarnya terasa gempa... Semoga warga jakarta baik baik aja ya.. apa yang km lakukan pas ge… https://t.co/UtLO4bNwUj"
"32685","378","hehehe thank u udah mau 50.000 followers dalam waktu 2 hari.. thank u netijen yang budiman https://t.co/veNJ8clbHW"
"32686","378","betul broo.. gw pngen sharing aja dan keresahan curhatan hati dan yng nyentuh gw tiap hariii... https://t.co/2EK0M5Jdad"
"32687","378","Ya Allah hari ini aku haru liat cerita ini. ibu nya dipanggil Allah dalam keadaan tersenyum setelah melhirkan putri… https://t.co/pVUViR31Zd"
"32688","378","silahkan ketawa 🤣gw juga ngakak. yang kiri abis dagang ke terminal udah kumuh ceking 🙏😅. celana minjem, sendal kw c… https://t.co/LnGgAJE4vy"
"32689","378","itu aja deh. https://t.co/rC8dZpcmtQ https://t.co/NMVkxuiai7"
"32690","378","Post Photo pertama dngn orang yang paling ku sayang ❤️ mama aku mau tmenin mama sampe tua nanti.. dulu aku kira mam… https://t.co/8IWyX4Gq4d"
"32691","378","#ProfilePicAtta https://t.co/1w8HRwwXBu"
"32692","378","ternyata saudara ku lebih dari 10 🙂 https://t.co/9MTPaVenOt"
"32693","378","usep2 pankreas onlen udh pernah belom? https://t.co/vilXk7mXMc"
"32694","378","Assalamulaikum warga twitter yang katanya lucu.... apa si yang bikin twitter lucu?"
"32695","378","Hari Orange Ceriaaaa 😁😁
Gmn udah keliatan ceria belom? 😎😂🙄🙄
Acara #ShopeePiknikMerahPutih!… https://t.co/vO6aVFpXRT"
"32696","378","Lelah Bukan Masalah ☺️🔥
NEW VIDEO UDAH UP Link di Insta Story 🎥 https://t.co/q8Gv7WqXmw"
"32697","378","""Use your Smile to Change the World, Don't let the world change your smile"" 😇😊 Kasih Emoji… https://t.co/XbW8XG8NNs"
"32698","378","Banyak Gaya dikit lah 😎
Mana yang paling cantik? 😋#CommentDiBawah @ The Edge https://t.co/O0ab9xKkow"
"32699","378","Gw di Ramal dan Hipnotis??
NOW DI NET TV 🎥 @ NET TV https://t.co/hPJypTmJbG"
"32700","378","Dari Sore Sampe jam 11 malem sama orang ini tetep bisa peace 😂 hahahaha https://t.co/1jPYbdNpvT"
"32701","378","#QnA I LOVE YOU BRO 😘 Happy Birthday! Special birthday dia gw mau Bikin QnA Sama qahtan… https://t.co/xLcgbxR7uH"
"32702","378","Haiii Teman Teman... Yuk, ikutan #GalaPremiereABC di @CGV_ID Grand Indonesia, Senin 14 Agustus… https://t.co/CkdMqSiZyQ"
"32703","378","Bro,sis, ini software penambah follower dari penjualsoftware ampuh banget buat naiikin follower… https://t.co/QkHicI475k"
"32704","378","""Jangan berhenti Karna kamu lelah, Berhentilah ketika kamu sampai di garis Finish"" 😇 #ATEAM @… https://t.co/SkFfzxj1N8"
"32705","378","Dalam pengerjaan sesuatu yang super kece.... 🔥🔥🔥 #OnFireEveryDay @ NET Mediatama Indonesia https://t.co/z34vf0fTFp"
"32706","378","Gw Di cengin abis abisan ama manusia ini 😅
NEW VIDEO IS UP 🔥 Cek Link di bio bisa juga di story 😇😘 https://t.co/X62oqDOJEE"
"32707","378","Fav Youtube Influencer Of The Year 🙏 padahal fashion gw biasa2 aja 😂Thank u Esmod!(Powered by… https://t.co/GI8mUQm4cw"
"32708","378","Oorrriiteee Dadakan but fun 🔥
#RumahMamaAmy @ Grand Indonesia Shopping Centre, Jakarta. https://t.co/oPf93W4PhM"
