"id_tweet","id_user","tweet"
"24925","298","RT @coffebit: https://t.co/xUyfiobDoP"
"24926","298","HAHHAHAHAHAH https://t.co/kIrYTDyDVZ"
"24927","298","@masradenmais Bukan dari gue kan iz HAHAHHAHA"
"24928","298","Kenapa harus di pertambahan waktu si anj"
"24929","298","@er___em Red"
"24930","298","@peramalciputat Smack down aja nenek lo nyom biar gak ngomel"""
"24931","298","In the heart of the sea baguss"
"24932","298","@peramalciputat Kenapa tu nyommm"
"24933","298","Hmm gak tau kenapa seneng HAHAHHA"
"24934","298","Hm https://t.co/6cfOC2ifCy"
"24935","298","Gak juga https://t.co/BwWCCTNlMK"
"24936","298","@hazeljcnda nama lu di pake ni HAHAHAH https://t.co/gWtUl4lQCf"
"24937","298","RT @Kaneki_K3N: @_Wendywalters Mana saya tauu ~~ https://t.co/w1ffbOOrTL"
"24938","298","@angkele_ Iyaaaiyaa pakk"
"24939","298","@masradenmais 250 niii"
"24940","298","#ManUtd #Manchesterisred #GGMU https://t.co/RENLfiYLzK"
"24941","298","Duit judii ku banyakkk"
"24942","298","Gak bgt dahh"
"24943","298","malu"
"24944","298","Ya begitulah akibat salah denger jadi malu wkwkwkw"
"24945","298","Ibu ya ibu https://t.co/H4kpHhDsYZ"
"24946","298","RT @coffebit: https://t.co/WL2s8bjVyx"
"24947","298","RT @BetlikeSosyal: Bunu hiç beklemiyodum https://t.co/IV9shver0w"
"24948","298","RT @mfadjarrifai: Yg kecil nya pernah jadiin ini gelang kalo gak ban kapten biar kaya subasa,berati kecil lu asik men https://t.co/LhodOpZ7…"
"24949","298","Keyeen https://t.co/8tpuS69Hvd"
"24950","298","Ini keren banget anj  https://t.co/s78e3TNrro"
"24951","298","Anda gmsw https://t.co/Tq3oJdEd4q"
"24952","298","Toleransi @TretanMuslim @Husen_Jafar https://t.co/oSr22EiEzW"
"24953","298","RT @seterahdeh: panjang umur skateboarders https://t.co/P8r8XnvAiy"
"24954","298","Tinggal dicatcall balik karna mereka cuman becanda https://t.co/aJ2Cm3IUBf"
"24955","298","RT @Dzawinur: Menarik"
"24956","298","Apa kah civic nouva akan kegoreng dengan dibeli orang ini wkwkwk yang ngerti aja"
"24957","298","Nyesel saya tidak nyampe bawah. https://t.co/l9C0G7Hqrl"
"24958","298","Emg dah orang tuna netra paling jago mijit buat keseleo wkwkwk"
"24959","298","👌 https://t.co/65oXKxOWWf"
"24960","298","@peramalciputat Kalo https://t.co/PLGeLWFdJj jadi inget mprat @miesakuraa wkakaka"
"24961","298","@peramalciputat Gue dukung lo nyom"
"24962","298","Yabegitulah https://t.co/imvet3qG3q"
"24963","298","RT @Brink_Thinker: Beautiful people do beautiful things 🤗

 https://t.co/p2SB4t2i1N"
"24964","298","Ada yang baru nihhh https://t.co/N1bSz3j0Px"
"24965","298","Kegabutan https://t.co/qEUc7CDjXN"
"24966","298","Bangsat https://t.co/uUaa9yGyFF"
"24967","298","Orang islam marah gak ya  kalo duit pajak miras di korupsi atau yang berhubungan HAHAHA"
"24968","298","Asikk dicabutt niii #yangharam"
"24969","298","Di follow aja si felix banyak berita hot"
"24970","298","Miskin sekali anda @felix3453 HAHAHA #ytta #yangtautauaja https://t.co/ntB6qIMUMm"
"24971","298","Udh satu tahun corona kok gak ada yang panik kaya awal lagi sih"
"24972","298","Abis ngeliat story orang di ucapin napi jadi pengen pas ultah di ucapin napi KPK kayanya seru HAHAHA"
"24973","298","Happy anniversary CORONA ANJ KONTOL"
"24974","298","RT @atjeh01: Pak @jokowi barangkali perlu juga legalisasi ganja di Aceh. Kata orang, byk lap kerja yg bs dibuka dgn kehadiran industri ganj…"
"24975","298","@haikalramzy HAHAHAHHAHAHAHAHA ASLEEE"
"24976","298","Bangsat emg laper ngantuk itu tidak menyenangkan"
"24977","298","Penggaris darurat https://t.co/MWccgBsFZH"
"24978","298","Roy kiyoshi https://t.co/TzBqNpsTrY"
"24979","298","Indomie rebus dabes jam segini"
"24980","298","Mu chelsea . Mu nih 
#MUFC #CHEMUN #ManUtd #ManchesterUnited #Chelsea #GGMU"
"24981","298","RT @SBKCF: https://t.co/WNRcOm8qEs"
"24982","298","Anj https://t.co/Aclk1Hs5w4"
"24983","298","Kalo anda tidak main ini pada saat kecil. Hidup anda kurang https://t.co/v0v2fPsQ7f"
"24984","298","RT @makmummasjid: anjeng ketawa tengah malem gara-gara ginian fakkkk https://t.co/wEsTMV1F1E"
"24985","298","Tailah. lupa ngerjain tugas"
"24986","298","Salfok sama app nya https://t.co/mwvkdww0WJ"
"24987","298","Pengen main pubg lg"
"24988","298","RT @tipistipes: Ada tuh minuman keras yg halal, namanya inti syar'i"
"24989","298","Emg tipes gampang mimisan ya bgst"
"24990","298","RT @LiamODin: Holy shit @Joe_Taslim 🧊🧊🧊!!!"
"24991","298","@angkele_ Sama anjj"
"24992","298","Kalo beli barang dari luar pake kredit aman gak ada yang pernah?"
"24993","298","Tidur engga tapi kelas full sampe sore"
"24994","298","Udh lebih dari seminggu tidur pada saat matahari sudah muncul"
"24995","298","Giliran tidur cepet bangun cepet"
"24996","298","Reflek anda 👍 https://t.co/cqn86NUNBg"
"24997","298","Susah sekali tidur malem bangun pagi"
"24998","298","Yuk yuk ditunggu kepala buntungnya wkwk https://t.co/DlNRSytXpH"
"24999","298","https://t.co/7ncVuydbxV"
"25000","298","Ada seminar tapi belom tidur yuhuu"
"25001","298","gue pernah nginep disana tidak seperti itu https://t.co/9tUpP80xyw"
"25002","298","RT @betgardensosyal: İstesem böyle vuramam 😂 https://t.co/igkMyKT0WY"
"25003","298","Pengen punya. https://t.co/MpUfy8e5Bp"
"25004","298","Pengen sate klatak di jogja"
"25005","298","Emg jam tangan itu bangsat ye udh nyampe duitnya naik 2x lipat. KNTL!"
"25006","298","Set7 waktuny tidur"
"25007","298","Fak gue kira ngomong "" okeyy"" kecowo itu b aja ternyata kaya jiji kalo dari orang lain wkwkw"
