"id_tweet","id_user","tweet"
"32864","380","RT @duranduran: Who has a copy of this collectible!?

6"" 33 ⅓ RPM Flexi-disc from The Netherlands with :

1 Girls On Film 
2 Rio 
3 Hungry…"
"32865","380","RT @Haidar_Bagir: Keinginan Syaikh Ali Jaber utk bertemu Nabi saw dlm keadaan beliau saw ridha kpdnya tercapai sudah... 😢
Antum saabiquun w…"
"32866","380","RT @KHMLuqman: وَمِنَ اللَّيْلِ فَتَهَجَّدْ بِهِ نَافِلَةً لَّكَ عَسَىٰ أَن يَبْعَثَكَ رَبُّكَ مَقَامًا مَّحْمُودًا 
Dan pada sebagian mala…"
"32867","380","RAPPY FT  SING BLUE SILVER INDONESIA - DURAN DURAN MEGA MASHUP | @durand... https://t.co/QSCa2LzNDd via @YouTubej.… https://t.co/jOGmzLtirz"
"32868","380","RT @tubagussalim: Innalillahi Wa Inna Ilaihi Roji'un 

Telah berpulang ke Rahmatullah Ummi Hj. Siti Khalilah binti H. Ayub (Istri Almaghfur…"
"32869","380","RT @Haidar_Bagir: Di dlm kisah ash-hab al-Kahfi, Allah mengisyaratkan adanya bilangan thn Syamsyiyah (hitungan matahari) &amp; Qamariyah (hitun…"
"32870","380","RT @KompasTV: Buya Syafii Maarif : Di Bumi yang Satu Ini, Hanya Bisa Aman Kalau Ada Toleransi https://t.co/U96MbCtT5s https://t.co/iT4rXaoy…"
"32871","380","Fundamental Islam selain Allah Yang ahad/ esa ( Tauhid) , agama Islam = damai dan Rahmat bagi semesta alam, Yang ti… https://t.co/QLZVqlg7f8"
"32872","380","RT @Ruminstitute: 17 Desember adalah hari Wafat Maulana Jalaluddin Rumi. Para pecinta Rumi menggelar acara spesial dalam mengenang pemikira…"
"32873","380","RT @bicaraboxoffice: Maret 2021, HBO Max. https://t.co/NU7KUEIbwo"
"32874","380","RT @Haidar_Bagir: Bangga thd keturunan, oleh Imam Ghazali, disbt salah satu bentuk ghurur (pengelabuan oleh diri). Trmsk bangga sbg keturun…"
"32875","380","RT @Haidar_Bagir: Pengakuan akan kemuliaan adlh sesuatu yg diberikan org lain yg memang melihat ada sifat2 kemuliaan pd diri seseorang. Buk…"
"32876","380","RT @LanggamID: Irwandi-David Chalik Daftar ke KPU Bukittinggi, Berkas Dinyatakan Lengkap via @langgamid https://t.co/vxmYhs9Q6g 

@DavidCha…"
"32877","380","RT @Haidar_Bagir: Seorg anak muda yg sdg berolahraga scr kbtln beristirahat di kursi taman, di sblh seorg prp muda cantik. Dia menyapa dg m…"
