"id_tweet","id_user","tweet"
"20349","246","Foto dulu sama Youtuber No 1 di Asia.. @ Pijat Mak Erot https://t.co/pVaSPgocW7"
"20350","246","@abdelachrian @YouTube Kalo yg dah tidur kaya saya gmn?"
"20351","246","Inna lillahi wa inna ilaihi raji’un..
Al-Fatihah 😇😇😇 https://t.co/eZQxt3a2W3"
"20352","246","Selamat Hari Natal untuk saudara2ku umat Kristiani yg merayakan, selamat berkumpul bersama kel. Slm saya untuk kel besar dirumah..😇🙏"
"20353","246","Udah coba..? https://t.co/A4FUAHMon6"
"20354","246","Dah nyobain @basoaci_tehshanty belum? 😬
.
Thanks @bmedia_digital buat video kerennya 👍😍👏 https://t.co/d2cXwFed7v"
"20355","246","@zarryhendrik Its work..!😍😬 https://t.co/XAIwoQohPZ"
"20356","246","Just posted a photo https://t.co/GoJnFEjApj"
"20357","246","@thepopoh Mengisi waktu luang.."
"20358","246","To The Kai.. https://t.co/eRyxz8aLI9"
"20359","246","RT @slirpslurp: Ya Rabb baru liat vlog Denny Cagur yg pas @m_marshel disunat wwkwkwk ngakak bgt demi Allah, makasiye Marsel gara2 lo gue bi…"
"20360","246","@thepopoh Udah baca berkali2, ngakak lg.. ngakak lagi 🤣"
"20361","246","@thepopoh Ane yang mao minta foto sama ente poohh.."
"20362","246","😭😭😭 https://t.co/lu5fFjQsul"
"20363","246","@desta80s Otw plg dr sportify. Bangcaattt emang desta, NGAKAK 🤣"
"20364","246","@adjisdoaibu 🤣🤣🤣"
"20365","246","@elSatyaa Wakakakkakkk.. inget gw. Ini wkt gw bikin lomba berhadiah tiket nonton milan 😬"
"20366","246","RT @elSatyaa: @dwitriatmaja23 Belum pernah ketemu gading di event Milan 😭
Pernahnya cuman sama denny cagur dulu pas di MilanGlorie dibeliin…"
"20367","246","Ehh.. ke retweet , gak sengaja https://t.co/zL2hAiyPlm"
"20368","246","RT @patragumala: Ngobrol bareng @dennycagur di channel youtubenya tentang #duaanakcukup standup comedy show kami yang digital downloadnya u…"
"20369","246","RT @daharmodoluIin: gegara podcast onad sama deni cagur soal marsel disunat, anjing beneran pecah sih tai 🤣🤣"
"20370","246","7 icon, belom ada yg punya nama nih. ada yang mau ngasih nama? https://t.co/aMoO2zS8ju"
"20371","246","Dirgahayu @tiaraandini Jaya Selalu di Darat, Laut &amp; Udara.. juga Kepolisian.. https://t.co/Z2llaUY6fB"
"20372","246","RT @EKASEPTIAWA: Nontonin kontennya istrinya Denny cagur seru banget, konten yg isinya makan bakso menjelajahi tukang bakso
Kusuka kusuka 😀"
"20373","246","RT @lazyyycat: mon maapp nemu di tl yutup trs gasengaja ke klik vidnyaaa @DennyCagur @GilangDirga , and then nemu si anak iniiii lgsg deh t…"
"20374","246","4D Sarapan pagi di Jogya, bareng kel besar @paski_official_ yg lagi pada mencar-mencar 😬persiapan untuk pelantikan… https://t.co/BPQRzLwOVB"
"20375","246","@m_marshel Benar syekali inih..🤣"
"20376","246","Best part waktu tethering HP ke TV 🤣 https://t.co/zwvEhuhYgi"
"20377","246","RT @Gibrannochigaro: Konsep Poling alias Podcast Kelilingnya @DennyCagur ini lucu banget 😂😂 https://t.co/PYoAJcnGg1"
"20378","246","RT @faisalutomo: Ketika semua yutuber bikin podcast di studio yg proper, ini pak @DennyCagur bikin podcast sambil keliling RT 😂😂
Tiap ketem…"
"20379","246","NAH https://t.co/tXKZkq7k1y"
"20380","246","@Arie_Kriting Semoga lembaga2 yg disebutkan mau instropeksi, karena jika tidak, rakyat akan melakukan tungpangcingnong..!"
"20381","246","@nangsdewa @jakartaakeras Kayanya.."
"20382","246","@jakartaakeras Bukannya nuduh ya tapi kayanya itu tai deh.."
"20383","246","😭 https://t.co/IFEfv23uPB"
"20384","246","RT @dede_soccerboy: Perjalanan Karier @DennyCagur On @helmyyahya Berbicara https://t.co/qKHVRLzX4H"
"20385","246","RT @Khomichael: Watched @DennyCagur and @pandji talked is interesting. It's so open , free and u can feel that they respect each other so m…"
"20386","246","Ngakak malam 🤣 https://t.co/X3oi9jxB74"
"20387","246","Masukin ratusan Ikan di Aquascape..
.
Aquascape by aquair_indonesia https://t.co/BdFCvgNNPF"
"20388","246","Assooyy.. https://t.co/MDfPWhygyW"
"20389","246","Leonardo Dicaprio lagi makan bubur sama Kate Winslet dengan background Kapal Titanic.. https://t.co/Otq2KRI8Ji"
"20390","246","Like Father Like Son.. @ Studio E7 Trans https://t.co/s334wlb9Yo"
"20391","246","@ollo_olloan Iya bgt, mana nyeker lg"
"20392","246","@KeishakU Yg nyewa perjam atau harian?"
"20393","246","Kangen masa-masa Kerajaan Singosari.."
"20394","246","Ngga Setuju.. https://t.co/jC8SMHs1bU"
"20395","246","Bromo Kumboro.. @ Gunung Bromo https://t.co/TrmdO8gAqi"
"20396","246","Penyakit dari dulu, gampang ketiduran. Terakhir tadi pagi, lagi berenang trus ketiduran.. https://t.co/zO2FzQL3hl"
"20397","246","Jaman udah canggih, postingan ini bisa sekalian jadi info buat mamih shantydenny yg lagi tidur-tiduran dikamar, kal… https://t.co/81B2lGgPQh"
"20398","246","RT @ruang_sandi: 20 MINUTES TO GO TO THIS EPISODE WITH @DennyCagur dan bang @sandiuno , DONT MISS IT! https://t.co/47XQD6jGpa"
"20399","246","Dikelilingi wanita-wanita cantik.. https://t.co/p0vpR8PCcy"
"20400","246","@m_marshel Emang panitianya kaga share loc..?"
"20401","246","RT @EkaHospital: Sunat anak di masa pandemi, aman nggak ya? Daripada bingung dan malah mendapatkan informasi yang tidak valid, mending join…"
"20402","246","Legend 🙏 https://t.co/hN8UaA1PWk"
"20403","246","Foto adek arsa waktu lagi cubby 😬 https://t.co/qBVvwG0hnE"
"20404","246","Happy Birthday Managerkuh @indri_indi , Wish You All The Best 👏👍😇 https://t.co/pFG05jMm27"
"20405","246","Mainin uler sendiri..
.
Super golden child tiger sunfire purple 😍 https://t.co/u5CO5CUsiz"
"20406","246","@abdelachrian Warna orange tiangnye, Aaaah.. konci sarden"
"20407","246","@abdelachrian Licin dong, Bisa Ae.. jaket dealer *tipis"
"20408","246","@SamMagel Saya alumni UNJ"
"20409","246","RT @tuanfajar_: cape bgt ketawa nonton vlognya deny cagur yg nganter marcel disunat 😂😂😂"
"20410","246","RT @dimasakbarz: Kemarin di studio podcast bersama chief @sandiuno &amp; bro @DennyCagur

Ramadhan bukan momen bermalas2an. Tetap produktif ber…"
"20411","246","RT @detikoto: #MostPopuler Bikin Heboh! Prank Rolls-Royce Denny Cagur untuk Raffi Ahmad https://t.co/SYg3XB8QRS"
"20412","246","RT @kompascom: Dalam unggahan di Instagramnya, Denny terlihat mengisi mobil miliaran rupiah dengan bensin eceran. Ternyata itu hanya ""prank…"
"20413","246","https://t.co/LyPWt9f4wQ"
"20414","246","With abang tercintah @andribudiman1 https://t.co/MopMMByQG0"
"20415","246","RT @okezonenews: Kelakuan Denny Cagur Gunakan Mobil Mewah Raffi Ahmad untuk Jemuran #TauCepatTanpaBatas #Celebrity #KabarArtis #Gosip . htt…"
"20416","246","RT @Veluve18: @jeomeolli Kalo inget sunat inget si Marcel Di YouTube Bang Deni Cagur ,si Marcel ni non Islam udh tua di sunat,ngakak bat sa…"
"20417","246","RT @Rizkylando_: Happy anniversary yang ke 7 buat @KeL_BangJali , semoga makin solid, loyal dan militan . Dan terimakasih juga , gara gara…"
