"id_tweet","id_user","tweet"
"30941","360","Yuk nonton... ⁦@tvOneNews⁩ 🙏 https://t.co/G85lPVXVOj"
"30942","360","Jika tidak ada peeubahan dalam politik maka 2024-2029 apa yang terjadi ya?"
"30943","360","3 Tahun Lagi Rakyat Nyoblos!
2 Tahun Lagi Calon Kampanye!
1 Tahun Lagi Mesin Parpol ON!
Sekarang Ngapain kita? https://t.co/95zqSU7foS"
"30944","360","Para pencinta @ILCtv1 di @tvOneNews mulai selasa besok ada gantinya nih...♥️♥️🇮🇩🇮🇩👍👍 https://t.co/CiqS5f6KAv"
"30945","360","Para pencinta @ILCtv1 di @tvOneNews mulai besok ada gantinya nih...♥️♥️🇮🇩🇮🇩👍👍 https://t.co/V3WOxEnsTz"
"30946","360","Pagi kawan,
#NewProfilePic https://t.co/Grsdm6hG28"
"30947","360","Mari kita mulai hari baik ini dengan hal yang baik.... #1Syaban1442H #29HJelangPuasa"
"30948","360","Dapat lagi kiriman adikku buka Bakery. Sila bagi yg minat. 
Instagram: @whiskbakehouse.id
No tlp: 081221777296
Alam… https://t.co/7mFCX0iiUk"
"30949","360","😭😭😭😭 https://t.co/glpuCVyYI9"
"30950","360","Jangan lupa pergi jumatan kawan... https://t.co/4G6oeJC1GH"
"30951","360","Inga...inga...Badaftar Rame2.... https://t.co/YKDZ3qviDu"
"30952","360","Selamat berlibur,
Selamat memperingati #IsraMiraj1442H .
Perjuangan memerlukan imajinasi melampaui masa. Perjungan… https://t.co/cDv7LwaiO2"
"30953","360","Teman2 aku dapat kiriman Pie yg enak. Bagi yg berminat. Silahkan hubungi:

Website https://t.co/I0u6CsBYRE
IG… https://t.co/dprr3094SI"
"30954","360","Apa kabar bu ⁦@susipudjiastuti⁩ sehat selalu... ini bukan baby lobster tapi lobster sebesar baby...(berat: 5,1 Kg).… https://t.co/pazAdPa4fd"
"30955","360","Itu artinya saya gak nyapres tapi @partaigeloraid punya konsep jitu bersihkan Indonesia dari korupsi.  Korupsi muda… https://t.co/VBRoWFcOXZ"
"30956","360","Saya sih senang mendengar pak Prof. Amien Rais dkk diterima presiden @jokowi . Di kepala saya hanya ada rekonsilias… https://t.co/6nE5T5XY1D"
"30957","360","Pagi sahabat,
Waspada kalau ada orang nyasar menawarkan peta jalan...😂😂🇮🇩🇮🇩"
"30958","360","#hariperempuaninternasional https://t.co/ltyt0joSn0"
"30959","360","Ampun https://t.co/oGlb8jBXHO"
"30960","360","@gagal_gondrong terima kasih ya,
Meski agak serem gapapa...😂🙏 tetap terima kasih..😂 https://t.co/1QTbRCLLJ3"
"30961","360","Kemana2 juga paling enak jadi rakyat lah om...suka2 bebas...😂"
"30962","360","Aku baru sadar sekarang ternyata lihat orang rapat itu membosankan ya..nah mereka yg rapat gak pernah bosan...😂😂 om… https://t.co/wuqvtRk8CN"
"30963","360","Mas @kaesangp apa kabar?"
"30964","360","Cerita lama ini...😂 https://t.co/hQN12NStb9"
"30965","360","Sudah sampai mana tadi ceritanya yak? 😂"
"30966","360","Jenderal Bintang 4 vs Mayor.

Kalau jenderal menang ya wajar. Tapi kalau sang mayor menerjang jenderal dan menang i… https://t.co/TG8D44goFC"
"30967","360","Tapi kalau anda dizalimi, tugas anda melawan!"
"30968","360","Kasus yang terjadi pada Partai Demokrat ini harus menjadi momentum evaluasi total tentang peran partai politik ke d… https://t.co/5Gmy6vUvfq"
"30969","360","Kudeta biasanya berakhir kudeta..."
"30970","360","RT @Fahrihamzah: @partaigeloraid berdiri dgn ikhtiar sendiri, mengumpulkan sumberdaya satu per satu. puluhan ribu pengurus awal, ribuan ran…"
"30971","360","@partaigeloraid berdiri dgn ikhtiar sendiri, mengumpulkan sumberdaya satu per satu. puluhan ribu pengurus awal, rib… https://t.co/mqdWK1UWJF"
"30972","360","Kezaliman itu punya banyak wajah...tapi semuanya diternak oleh feodalisme yg kemudian merampas hak kita untuk menga… https://t.co/FOx6bWHxIF"
"30973","360","#MelawanLupa

PKS:  AD/ART diubah sepihak supaya saya mudah dipecat.

PD:  AD/ART diubah supaya seorang mudah jadi… https://t.co/DcH0FAAIyY"
"30974","360","Moms, yuk latih kembali bakat terpendam dan jadikan dapur tempat beraktualisasi saat pandemi 😁

Ikuti aja acara Bak… https://t.co/CzxutIV4iN"
"30975","360","Malu juga kita...
Gini amat sih ya..."
"30976","360","Penyesalan selalu datang belakangan...😷"
"30977","360","Ayuk ikutan...🙏🇮🇩🙏 https://t.co/zGhwilRsnm"
