"id_tweet","id_user","tweet"
"27813","328","RT @adtaufiq: Gus Ketum @Ansor_Satu Ansor Dadirejo Bagelen panen raya 

📹 @ansorcybermedia 
#AnsorMandiri https://t.co/77Wm8rdgEm"
"27814","328","RT @Official_Ansor: Selamat Hari Suci Nyepi dan Tahun Baru Çaka 1943 kepada Umat Hindu di Indonesia.

Semoga Hyang Widhi Wasa, Tuhan Yang M…"
"27815","328","Aspirasi Penolakan dan Bahaya Tambang, perlu diperhatikan oleh Pemerintah.
https://t.co/mS2i0SUD4n"
"27816","328","RT @YaqutCQoumas: Pagi tadi saya terbang ke Bima bersama Gubernur NTB Zulkieflimansyah dan Walikota Bima Sahabat lamaku Lutfi Iskandar. 

S…"
"27817","328","RT @nahdlatululama: Selamat memperingati dan meneladani Isra Mi’raj 1442 H.

Semoga kita senantiasa diberi rahmat dan kekuatan oleh Allah S…"
"27818","328","RT @YaqutCQoumas: Malam ini diselenggarakan Peringatan Isra' Mi'raj Nabi Muhammad SAW Tingkat Kenegaraan Tahun 2021 M/1442 H dengan tema ""S…"
"27819","328","RT @YaqutCQoumas: Acara dilakukan secara hybrid dan Wakil Presiden RI @Kiyai_MarufAmin berkenan memberikan sambutan secara virtual. 

Semen…"
"27820","328","RT @YaqutCQoumas: Berdiskusi singkat dengan Ustadz Shamsi Ali, pemimpin spiritual Pusat Muslim Jamaika, New York. 

Cara pandang keagamaann…"
"27821","328","RT @Official_Ansor: Tukar Cinderamata dari GP Ansor untuk Dubes Swedia dan Uni Eropa

Oleh Waketum GP Ansor Gus Aam, Ketua LBH Ansor Bib Qo…"
"27822","328","RT @Official_Ansor: Duta Besar Swedia dan Uni Eropa telah tiba di PP GP Ansor untuk acara silaturahmi dengan Ketua Umum PP GP Ansor dan LBH…"
"27823","328","RT @Official_Ansor: Sebaik-baik kalian adalah yang paling baik kepada perempuan.

#InternationalWomensDay https://t.co/EUY2C9hFHh"
"27824","328","RT @YaqutCQoumas: Masjid Istiqlal dibawah kepengurusan Prof. Kyai Nazarudin Umar ini memang luar biasa. Ada saja gagasan segar yg dimunculk…"
"27825","328","RT @YaqutCQoumas: Ikhtiar yang sudah dilakukan harus terus dipastikan jalan, pandemi ini sudah turun secara tren penyebaran. 

Tapi bukan b…"
"27826","328","Alfaatehah... https://t.co/CwMwpgiFUk"
"27827","328","#AnsorBelaNegeri https://t.co/YnO8YpUQrl"
"27828","328","Perlu perhatian serius soal Tambang Emas ini. @JokowiCentre @jokowi https://t.co/jhX2DGZCYo"
"27829","328","RT @Official_Ansor: Ingat Sahabat, nanti tanggal 26 - 28 Februari 2021 mengibarkan Bendera Merah Putih, NU, Ansor, dan Banser di Rumah, Kan…"
"27830","328","RT @faisalsaimima: Sebab kami adalah BANSER

#WeAreBanser https://t.co/GNJQ4cDPSx"
"27831","328","RT @faisalsaimima: Sebab kami adalah BANSER...

#WeAreBanser https://t.co/8z1KXOcFH3"
"27832","328","RT @akhmad_tauhid: Pagi ini @Official_Ansor GP Ansor Jakpus Banser Tanah Abang bersama PPSU (Pasukan Oranye) melakukan operasi sisir sampah…"
"27833","328","RT @jokowi: Lima tahun dibangun, Bendungan Tapin dengan luas genangan 425 ha di Kalimantan Selatan telah selesai. Saya meresmikannya kemari…"
