"id_tweet","id_user","tweet"
"15846","200","@WiroSabIeng 🤭🤭"
"15847","200","@asushana Iya 🤭"
"15848","200","🤭🤭😊 https://t.co/mD0huzC7Iu"
"15849","200","@asnaip22 🤭🤭"
"15850","200","@Jayeng_seno_ @musniumar @hnurwahid @MardaniAliSera @ustadtengkuzul @msaid_didu 👌🤭"
"15851","200","@Riham61449079 @msaid_didu @fadlizon @haikal_hassan 👌🤭"
"15852","200","@UbayFatR 🤭🤭"
"15853","200","@Orangtimur17 @nambahikangen 👌🤭"
"15854","200","@Edone_PKY Penjilat 🤭"
"15855","200","@mamanjunaedi 🤭🤭"
"15856","200","@BukanTanos Oowwhhh 🤭"
"15857","200","@dee_jacobus @radhityaputrar1 🤭🤭"
"15858","200","@LangitB98153561 Yup 👌"
"15859","200","@RitchieCorneli1 🤭🤭"
"15860","200","@agnov12 🤭🤭"
"15861","200","@b3joku 🤭🤭"
"15862","200","@TuanTak39090106 👌🤭"
"15863","200","@KhoHiWan1 👌🤭"
"15864","200","@erwanice 👌👍"
"15865","200","@OnlyOnesia Betul 👍"
"15866","200","@Wdyanto75 @Antonius061 Aamiin 🙏"
"15867","200","@Yadiwiyanto1 Aamiin 🙏"
"15868","200","@AaSutanto Aamiin 🙏"
"15869","200","@MaulanaLevine Boleh 🤭"
"15870","200","@Man42Christ 🤭🤭"
"15871","200","@YustinaRahayu3 👌😊"
"15872","200","@MesiasJ82982684 👌👍"
"15873","200","@Prasety72595950 👌😊"
"15874","200","@HartonoRian1 😰😰"
"15875","200","Setuju sih aku dengan dr. Tirta, ga ada koordinasi untuk pengerahan massa, spontanitas aja,   beda dgn yg dulu, itu… https://t.co/NUVv48x47y"
"15876","200","@geetracker 😰😰"
"15877","200","@senja_xx @Hilmi28 @felixsiauw @ustadtengkuzul @haikal_hassan 🤭🤭"
"15878","200","@Edone_PKY 🤭🤭"
"15879","200","@CDamai2020 🤭🤭"
"15880","200","@EddyWilmy 👌🤭"
"15881","200","@pawa_anugrah 🤭🤭"
"15882","200","@______ata42na 🤭🤭"
"15883","200","@MasaSetia 🤭🤭"
"15884","200","#DKIbutuhGubernur bukankah gubernur sekarang lebih hebat dari bu Susi ? 🤭🤭😊 https://t.co/qzmK4x72Xq"
"15885","200","@KicauSunyi 🤭🤭"
"15886","200","@kartarahardja @joanna 🤭🤭"
"15887","200","@Ek4_Puspita 🤭🤭"
"15888","200","@Man42Christ 🤭🤭"
"15889","200","@erwanice Tadi lihat berita di CNN Indonesia 😊"
"15890","200","@kneel1828 Aamiin 🙏"
"15891","200","@ArnasCandra 😱🤭"
"15892","200","@PaisalDarmawan 🤭🤭"
"15893","200","@recobeng Iya 😊"
"15894","200","@bhre_ko 🤭🤭"
"15895","200","@DRan354 🤭🤭"
"15896","200","@u_udy 🤭🤭"
"15897","200","@andreaskoernia1 🤭🤭"
"15898","200","@rico_katsumoto @aniesbaswedan 🤭🤭"
"15899","200","@herlilo 👌👍"
"15900","200","@S4N_W1B1 Aamiin 🙏"
"15901","200","@OnlyOnesia Bahaya klu ga bisa menyimpan 😱🤭"
"15902","200","@Pithenk1 👌👍"
"15903","200","@SiEncan2 @sabilla_shaffa 🤭🤭"
"15904","200","@andriandjaya_ 🤭🤭"
"15905","200","@Chan_Che_Wok Iya 😊"
"15906","200","@dipejet 🤭🤭"
"15907","200","@suhendar1963 🤭🤭"
"15908","200","@PaskalisO 🤭🤭"
"15909","200","@PaisalDarmawan 👌👍"
"15910","200","@99_heryanto Ridwan Saidi 🤭"
"15911","200","@ophunkdoank @aniesbaswedan @ArizaPatria 🤭🤭"
"15912","200","@BiroeLangitkoe 🤭🤭"
"15913","200","@widarto72094379 🤭🤭"
"15914","200","@PrabuJordan 🤭🤭"
"15915","200","@moerhadio Yup 👌"
"15916","200","@teliaz223 😱🤭"
"15917","200","@WahabBill1 🤭🤭"
"15918","200","@ArdiSyahmir 🤭🤭"
"15919","200","@Wan9Wong212 🤭🤭"
"15920","200","@P_Eneste @Ruslam42 @musniumar 👍🤭"
"15921","200","@yunantyo2 🤭🤭"
"15922","200","@alpin_daffa05 @musniumar 🤭🤭"
"15923","200","@anagemilang 👌👍"
"15924","200","@modien_ganesa Iya 😊"
"15925","200","@P_Eneste 🤭🤭"
"15926","200","@Siijo10 @KakekHalal 🤭🤭"
"15927","200","@kepoinguecom 🤭🤭"
"15928","200","@liechaikha_yoza 🤭🤭"
"15929","200","@juntonkb Iya 😊"
"15930","200","@ttheomanalu 🤭🤭"
"15931","200","@eddywiyose @djokoAdv 🤭🤭"
"15932","200","@IndraLondo 🤭🤭"
"15933","200","@ayonk20725200 🤭🤭"
"15934","200","@marssibarani 🤭🤭"
"15935","200","@Belok_dong @GeiszChalifah 😱🤭"
"15936","200","@toServetoGive 🤭🤭"
"15937","200","@MoTeeTee 🤭🤭"
"15938","200","Alhamdulillah Sinovac di China udah menyelesaikan uji klinis ketiga untuk anak2 usia 3 thn sd 17 thn, hasilnya aman… https://t.co/r1ZQogH3Pl"
"15939","200","@ayoktweet 🤭🤭"
"15940","200","@AbuNawas911 🤭🤭"
"15941","200","@ernithea74 🤭🤭"
"15942","200","@Suriptogamelan2 👌👍"
"15943","200","@smile_guys 🤭🤭"
"15944","200","@JimTjia Yup 👌👍"
"15945","200","@anaman_08 Iya 😊"
