"id_tweet","id_user","tweet"
"22999","278","@ummihasfa @deelestari It’s going to (once again) shake the world.."
"23000","278","@nizarmaulanaz 👍🙏"
"23001","278","Creativity is a:"
"23002","278","The ""Indonesian way"" is what needs to be, not what has been. 

https://t.co/BGkgi6sZCt @SGPPIndonesia https://t.co/6PA1OmezD4"
"23003","278","Turut berduka atas berpulangnya ibu Roosminnie Roza Salim. Semoga almarhumah husnul khotimah dan keluarga bpk… https://t.co/WAv3gUoYRo"
"23004","278","How capitalism has instead displaced some of the very fundamental elements of society that it was originally design… https://t.co/Sywjz9aacK"
"23005","278","Son and sun. Been a while. https://t.co/4ucTlJEt5T"
"23006","278","Lebih betah mengonsumsi buku versi apa (dan kenapa)?"
"23007","278","Making every second count with my worry medicine. https://t.co/z5lNDCihOs"
"23008","278","As featured on Endgame S2E04 w/ @alamandas :

Misi mulia utk mendidik calon2 pemimpin teknologi di Indonesia ke dep… https://t.co/dkjZBg9Qdw"
"23009","278","Best night of @JavaJazzFest 2017.. https://t.co/LyIrjeaL84"
"23010","278","Happy #ChineseNewYear to those who celebrate! Hope the year of the Ox brings meaningful change to everyone's lives. https://t.co/ahy7SD6Q7Z"
"23011","278","One of the greats.

Rest easy, rest calmly. Light as a feather.

#RIPChickCorea https://t.co/f58bMexgVY"
"23012","278","@munhalil 🙏🙏"
"23013","278","RT @SGPPIndonesia: The world is full of uncertainty.

This week @gwirjawan examines some philosophical questions with @NorthwesternU profes…"
"23014","278","RT @emilsalim2010: Anggapan “semakin tinggi religi, semakin rendah science” lupa ilmu aljabar &amp; science diciptakan al-Khawarizmi Pemimpin “…"
"23015","278","Sweet is not so sweet.

Debunking the myth of one of the world’s most prevalent diseases: https://t.co/Flj2SYjzSG"
"23016","278","The cognitive, agricultural, and industrial revolutions came at a cost: a markedly worse way of breathing that is t… https://t.co/apQ7i86Wif"
"23017","278","RT @SGPPIndonesia: Study the science of art.
Study the art of science.
Develop your senses — especially learn how to see.
Realize that ever…"
"23018","278","@maliklentera Dicatat.. 🙏"
"23019","278","RT @elonmusk: https://t.co/vviUzWhodT"
"23020","278","RT @dr_tompi: Percakapan dengan @GWirjawan     https://t.co/RVnqZr0qmL https://t.co/ttPCELv4ZO"
"23021","278","Because size does matter.

#ASEAN https://t.co/PthjBsVCKI"
"23022","278","A deafeningly meticulous and in-depth look into how ASEAN has and will necessarily have to evolve in a continuously… https://t.co/PXe7JTOznq"
"23023","278","It’s a privilege to still see Hendra/Ahsan play so wonderfully.. 

#BWFWorldTourFinals https://t.co/QWi3tJFd3T"
"23024","278","@fialhanief @helmyyahya Solid takeaways!"
"23025","278","Also, Michael Ahsan.. https://t.co/xGJLmVZouY https://t.co/8L6liqIB7g"
"23026","278","For far too long, the story of Indonesia has been told through foreigners' pens. 

A discussion with @janetdeneefe:… https://t.co/Wlx1glzjJx"
"23027","278","Spent an hour talking with @ubudwritersfest founder @janetdeneefe, exploring the might of the humble pen and how it… https://t.co/kXsll60oPG"
"23028","278","Deserving of a remake of capitalism. https://t.co/3D9Jfo0Cbv"
"23029","278","The sheer ambition and rapacity of a for profit corporation that resulted in centuries of colonization of one of th… https://t.co/YZwzw4QiXK"
"23030","278","Proud of them.. https://t.co/gPdCatA5lr"
"23031","278","Demystification of science where the ability to edit the DNA of current and future generations will make evolution… https://t.co/ZIN7mcUXhf"
"23032","278","Let’s go, Indonesia! https://t.co/xMY6plf8aG"
"23033","278","@siskovaa_ Apik! Terima kasih.. 🙏"
"23034","278","And we’re back! https://t.co/0BKqns1gpN"
