"id_tweet","id_user","tweet"
"29255","343","Selamat ulang tahun Mamah Syarifah Salmah. Panjang umur, sehat, dan terus mendapingi Maulana Habib Luthfi bin Yahya… https://t.co/3eukR4mlLn"
"29256","343","RT @Rahman_Nashir: Habib bahauddin bin luthfi bin ali bin hasyim bin yahya membaiat Habib Husein bin luthfi bin ali bin hasyim bin yahya pu…"
"29257","343","RT @BanserBlora_X8: Selamat atas dilantiknya Maulana Habib Lutfi Bin Ali Bin Yahya sebagai Dewan Pertimbangan Presiden Republik Indonesia…"
"29258","343","RT @jas_hijau: Selamat atas dilantiknya Maulana Habib Luthfi bin Yahya (@HabibluthfiYahy) sebagai Dewan Pertimbangan Presiden (Wantimpres)…"
"29259","343","RT @Ayang_Utriza: Selamat ya Mawlânâ Abah @HabibluthfiYahy ya qutba-l awliyâ menjadi Wantimpres. Semoga Abah bisa mendorong Pak @jokowi unt…"
"29260","343","RT @MARQUEZ_RADJA: Tokoh sekaligus Ulama NU Habib Lutfi @HabibluthfiYahy
Sebagai Dewan Penasehat Presiden @jokowi 🙏🇮🇩🇮🇩🙏 Jangan Lupa Tumpas…"
"29261","343","RT @ifalatas: Selamat kepada Guru kita tercinta Maulana @HabibluthfiYahy Yang hari ini diangkat sebagai anggota Wantimpres. Kebanggaan yg l…"
"29262","343","Menjelang pelantikan ""Anggota Dewan Pertimbangan Presiden 2019-2024"". Jakarta, 13 Desember 2019.

#habiblutfi… https://t.co/c0FC7TZH73"
"29263","343","Pelantikan Watimpres 2019-2024. Jakarta 13 Desember 2019. https://t.co/yQQgadY3JU"
"29264","343","https://t.co/J2qgtvknOq"
"29265","343","13 Desember 2019. https://t.co/tabYjk3Lg1"
"29266","343","Bertemu Nabi Muhammad lebih Mudah daripada Bertemu Para Wali

https://t.co/ZbgXoda5ms"
"29267","343","RT @aniesbaswedan: Alhamdulillah, bersyukur dapat menghadiri peringatan Maulid Nabi Muhammad SAW bersama jamaah Kanzus Sholawat di Pekalong…"
"29268","343","Hadir 1 Desember 2019 di Kanzus Sholawat kota Pekalongan. #habibluthfi #maulidkanzus2019 https://t.co/RJ3wQfzXxi"
"29269","343","Pagelaran wayang kulit kebangsaan dengan judul pari kesit hamanditho. Habib Luthfi menyampaikan, ""Dalam wayang terk… https://t.co/2uMADzMnXG"
"29270","343","Pagelaran wayang kulit di Kanzus Sholawat tadi malam, 27 November 2019. Rangkaian maulid akbar kanzus sholawat.… https://t.co/IvjRE8QfvX"
"29271","343","Pagelaran wayang kulit di Kanzus Sholawat tadi malam, 27 November 2019. Rangkaian maulid akbar kanzus sholawat.… https://t.co/FESw9gDBHo"
"29272","343","#FotoProfilBaru https://t.co/OmlYj6KXFj"
"29273","343","Daerah Pati dan sekitarnya. #admin https://t.co/tAXYcupGfL"
"29274","343","RT @Itjen_Kemenag: 4. Menurutnya tarekat sejatinya merupakan organisasi yang berfungsi menjaga otoritas dan kesahihan sanad ilmu yang diwar…"
"29275","343","RT @Kemenag_RI: Menag @lukmansaifuddin bersyukur dan menyambut baik atas terpilihnya Habib Luthfi bin Yahya sebagai pemimpin Forum Ulama Su…"
"29276","343","RT @Itjen_Kemenag: 2. Menag Lukman Hakim Saifuddin merasa mendapatkan kehormatan dan kebahagiaan yang luar biasa karena bisa hadir bersama…"
"29277","343","RT @Kemenag_RI: ""Hari ini, saya ajak kita semua terus bumikan dakwah Islam dgn pendekatan sufistik yg cerdas &amp; cermat. Mari isi media sosia…"
