"id_tweet","id_user","tweet"
"19534","237","2. Semoga aparat TNI dan POLRI bersatu memberangus aksi makar Soenarko. Soenarko dalam pertemuan itu bahkan menjele… https://t.co/Kjncghm5Ik"
"19535","237","1. Soenarko tertangkap kamera sdg memberikan arahan utk mengepung Istana Negara &amp; Gedung DPR, Alasannya apalagi jik… https://t.co/AkTHMXBW5X"
"19536","237","@edi_sadja @JOEDURBAN @thehelldud3 @bambangelf @meow_leader @kpp_pa @KemensosCare @PemprovJabar @jokowi @kemenkopmk… https://t.co/g15jvefwAc"
"19537","237","@EdwinDodi Untuk Perbaikan Drainase, kewenangan di Pemerintah Provinsi. Sudah dikoordinasikan bos. Tunggu action Pr… https://t.co/JPrBP4vcmZ"
"19538","237","@YulbrinManurung Nanti kita cek Kang"
"19539","237","@echowibowo InshaaAllah Kang.."
"19540","237","Terimakasih mbak Fika https://t.co/if6GeT7fA1"
"19541","237","Ramadhan adalah sebaik- baiknya kesempatan untuk menghidupkan kebaikan. Dengan cara yang sederhana... #RelawanAKUR… https://t.co/hGc2vLYJkV"
"19542","237","RT @maman1965: Besok di @QA_MetroTV ""Pindah Panggung"" bersama @Giring_Ganesha @JaneSha_111 @Hengkychova https://t.co/eeDuUGltpj"
"19543","237","RT @ciradio: #NowAiring 

🎶Aku Bisa Apa - @bclsinclair 
🎶Langit Ke 7 - @Hengkychova 

It's #INDOFRESHHITZ Indo Request || Hosted By @yuriko…"
"19544","237","RT @Official_PANLPG: Saudaraku Ketua Umum Zulkifli Hasan tanpa mengenal lelah, terus menjahit kembali Merah Putih yang mulai terkoyak. Zulk…"
"19545","237","RT @Official_PAN: ""kesenjangan yang saat inu juga terjadi adalah kesenjangan politik. Apa yang diharapkan rakyat tidak diperjuangkan oleh P…"
"19546","237","RT @Megakreasifilms: Saksikan #SinemaIndonesia #PintuBerkah ""IKHTIAR SANG PENJUAL COBEK""
Pemain
@hengkykurniawan 
@fairuzarafiq 
@kanayagle…"
"19547","237","RT @SerangRadio: #LagiMuter @ucie_sucita feat @Hengkychova - Kalo Bulan Bisa Ngomong w/ @Rasyid_898 cc @SheSomad #SerangRadio #SerangMadani…"
"19548","237","RT @ciradio: #IndoFreshHitz @ciradio #MakesUHitz
#NowAiring @Hengkychova - langit ke 7"
"19549","237","RT @Denbang995FM: #CintaLangka @missfazura @aria_dinata1|| @Universal_Indo

#LangitKe7 @Hengkychova &amp; Sonya Fatmala || @NAGASWARA_ID 

#IDO…"
"19550","237","RT @ciradio: #NowAiring 

🎶Langit Ke 7 - @Hengkychova 
🎶I Miss You - @cleanbandit ft @imjmichaels 

It's #AFTERNOONHITZ Indo-Manca Request…"
