"id_tweet","id_user","tweet"
"23399","282","Kamu masuk dalam ekskul mana? - https://t.co/IPe6Lv37T9"
"23400","282","kamu dapat salam dari Randy Martin 😉 - https://t.co/ItCMYSL6rp"
"23401","282","kamu dapat salam dari Randy Martin 😉 - https://t.co/6hMd8XdZxM"
"23402","282","Saatnya Bertamu Secara Online? emang bisa?? - https://t.co/V2dvmwva8X"
"23403","282","Ada Berita Positif dari Covid-19 😷 - https://t.co/zgOk1ApivP"
"23404","282","Nanti Kita Cerita Tentang Jadi Alumni 😁 - https://t.co/OsMsMIsDU9"
"23405","282","Ada apa dengan 22 Maret? 😲 - https://t.co/rh60hjJxLl https://t.co/vLnYijUCYO"
"23406","282","You did well for today!😎 - https://t.co/mw7BBKv10l"
"23407","282","Teruntuk Diriku Sendiri, Terima Kasih Telah Menjadi Tangguh😊 - https://t.co/IgW6wm4Jji https://t.co/czSboQiELa"
"23408","282","Kamu sudah berjuang dengan baik hari ini 😀 - https://t.co/WVhczDggKV"
"23409","282","Informasi lowongan pekerjaan untuk lulusan IBIKKG dalam bagian Marketing

#InfoIBIKKG
#KwikKianGieEDU https://t.co/mSXCM0FxPN"
"23410","282","Kunjungan dalam rangka kegiatan presentasi oleh Kwik Kian Gie School of Business ke SMA Santo Yosef Pangkal… https://t.co/7zegtW2S19"
"23411","282","Kunjungan dalam rangka kegiatan presentasi oleh Kwik Kian Gie School of Business ke SMK Negeri 1 Pangkal… https://t.co/dhLg9vf9Fo"
"23412","282","Kunjungan dalam rangka kegiatan presentasi oleh Kwik Kian Gie School of Business ke SMA Global Persada Mandiri… https://t.co/zOKu2K6YbM"
"23413","282","Kunjungan dalam rangka kegiatan presentasi oleh Kwik Kian Gie School of Business ke SMK Bakti Pangkal… https://t.co/Wh7UY2ka83"
"23414","282","Selamat kepada Sahabat IBIKKG yang berhasil mendapatkan beaiswa dari Kemenristekdikti tahun 2019
.
Bagi mahasiswa p… https://t.co/dmXfz6FzVK"
"23415","282","Selamat kepada Sahabat IBIKKG yang berhasil mendapatkan beaiswa dari Kemenristekdikti tahun 2019
Bagi mahasiswa pen… https://t.co/BOVBXkEZgF"
"23416","282","Penerimaan Mahasiswa Baru Program Pascasarjana S2
.
Ayo bergabung bersama kampus IBI Kwik Kian Gie
.
PROGRAM PASCAS… https://t.co/ukR28upE6Z"
"23417","282","Kunjungan dalam rangka kegiatan Edufair oleh Kwik Kian Gie School of Business ke SMAK PENABUR… https://t.co/iodR03ktsK"
"23418","282","Kunjungan dalam rangka kegiatan Edufair oleh Kwik Kian Gie School of Business ke SMAK PENABUR… https://t.co/4mAcL5o9qZ"
"23419","282","#Repost himabiksb 
・・・
Hai, Gimana nih awal semester kalian?
Kayanya pada butuh Refreshing yaa...
.
Nah pas banget… https://t.co/fEBDl8dN4U"
"23420","282","Randy Martin, and Mahasiswa jurusan Bisnis di IBI Kwik Kian Gie

#Repost iab_ksb 
・・・
Jadilah pria yang bukan hanya… https://t.co/3jynMPmLIc"
"23421","282","Hai teman - teman !! 🙆‍♂️🙆‍♀️
Kami dari KWIK KIAN GIE ACCOUNTING FORUM bekerja sama dengan DIREKTORAT JENDERAL PAJA… https://t.co/cyBLzIdwIc"
"23422","282","Kunjungan dalam rangka kegiatan Presentasi dan Edufair oleh Kwik Kian Gie School of Business ke SMA Sint Carolus… https://t.co/3dO9SgRjAO"
"23423","282","Raih Beasiswa s/d 100%* potongan uang pangkal dengan hadir pada Penerimaan Mahasiswa Baru di OPEN HOUSE IBIKKG!
.
📅… https://t.co/9RrcWM7J77"
"23424","282","Kunjungan dalam rangka kegiatan Edufair oleh Kwik Kian Gie School of Business ke SMA Pangudi Luhur II Servasius… https://t.co/u8dVKRcvzj"
"23425","282","Kunjungan dalam rangka kegiatan Presentasi oleh Kwik Kian Gie School of Business ke SMK Paramitha… https://t.co/6MfVvnmjGd"
"23426","282","Rektor Institut Bisnis dan Informatika Kwik Kian Gie, Dr. Ir Hisar Sirait, M.A.  memberikan tanggapan melalui… https://t.co/IUMTs2BHYk"
"23427","282","Hai Sahabat IBIKKG, Tanggal 13 September 2019 kemarin, kampus IBIKKG kedatangan siswa/i dari SMK Dharma Budhi Bhakt… https://t.co/HO4tDo6wwK"
"23428","282","Rektor Institut Bisnis dan Informatika Kwik Kian Gie, Dr. Ir Hisar Sirait, M.A.  memberikan tanggapan melalui… https://t.co/h1fcEuSsnQ"
"23429","282","Kunjungan dalam rangka kegiatan presentasi oleh Kwik Kian Gie School of Business ke SMA Pangudi Luhur II… https://t.co/g0QvIGu1bm"
"23430","282","Rektor Institut Bisnis dan Informatika Kwik Kian Gie, Dr. Ir Hisar Sirait, M.A.  memberikan tanggapan melalui… https://t.co/VXCsGtCutG"
"23431","282","Pertunjukan Dansa Ballroom dan Latin oleh pasangan Rusia!
.
Anastasiya Nasulenko &amp; Aleksandr Razorenov
.
Rabu, 18 S… https://t.co/pyXvn0Apd5"
"23432","282","Raih Beasiswa s/d 100%* potongan uang pangkal dengan hadir pada Penerimaan Mahasiswa Baru di OPEN HOUSE IBIKKG!
.
📅… https://t.co/NK44JLRO2n"
"23433","282","Segenap civitas academika Institut Bisnis dan Informatika Kwik Kian Gie turut berbelasungkawa atas wafatnya Bapak B… https://t.co/bo3Dnooi81"
"23434","282","Kunjungan dalam rangka kegiatan presentasi oleh Kwik Kian Gie School of Business ke SMAN 19… https://t.co/6tPgSQPQLH"
"23435","282","Kunjungan dalam rangka kegiatan Edufair oleh Kwik Kian Gie School of Business ke SMA Regina Caeli… https://t.co/bPSfjnmaXW"
"23436","282","Dokumentasi kegiatan Open House IBIKKG pada 08 September 2019 https://t.co/HsI0Venm8q"
"23437","282","Kunjungan dalam rangka kegiatan Presentasi oleh Kwik Kian Gie School of Business ke SMK Strada I… https://t.co/sKkjq0fHSg"
"23438","282","Kerjasama Program Talenta antara IBIKKG dengan Metrodata 

#IBIKKG 
#kwikkiangieedu 
#infoIBIKKG
#Metrodata https://t.co/U0QHLAfYMV"
"23439","282","Kunjungan dalam rangka kegiatan Edufair oleh Kwik Kian Gie School of Business ke SMA Mardi Yuana… https://t.co/UAaWyNcQjR"
"23440","282","Woohoo! Bingung pulang kuliah mau ngapain?! Mending ikutan acara Welcome Party kita yuk, acaranya seru banget lohh.… https://t.co/Hh7IxiAouY"
"23441","282","Woohoo! Bingung pulang kuliah mau ngapain?! Mending ikutan acara Welcome Party kita yuk, acaranya seru banget lohh.… https://t.co/fYTscSeEFG"
"23442","282","Hai Sahabat IBIKKG, Tanggal 04 September 2019 kemarin, kampus IBIKKG kedatangan siswa/i dari SMA Kanaan Jakarta!

K… https://t.co/HlaKfjCIVr"
"23443","282","Kunjungan dalam rangka kegiatan Edufair oleh Kwik Kian Gie School of Business ke SMA Budi Mulia… https://t.co/LwjUVTnXUG"
"23444","282","Raih Beasiswa s/d 100%* potongan uang pangkal dengan hadir pada Penerimaan Mahasiswa Baru di OPEN HOUSE IBIKKG!
.
📅… https://t.co/YoZ9Dg7OEC"
"23445","282","Kunjungan dalam rangka kegiatan Presentasi oleh Kwik Kian Gie School of Business ke SMA Mardi Yuana… https://t.co/kpgBIpSit6"
"23446","282","Kunjungan dalam rangka kegiatan Presentasi oleh Kwik Kian Gie School of Business ke SMA Ricci… https://t.co/DReFMz0t56"
"23447","282","Informasi lowongan kerja khusus mahasiswa IBIKKG

Bagi kamu yang memenuhi persyaratannya bisa langsung mengirimkan… https://t.co/wTevzK1POQ"
"23448","282","Hai Sahabat IBIKKG, Tanggal 30 Agustus 2019 kemarin, kampus IBIKKG kedatangan siswa/i dari SMA Cahaya Sakti Jakarta… https://t.co/w8eKnNFiWt"
"23449","282","Kunjungan dalam rangka kegiatan Presentasi dan Edufair oleh Kwik Kian Gie School of Business ke SMA Santa Maria… https://t.co/VnjtobwoTb"
"23450","282","Kunjungan dosen IBIKKG dalam rangka kegiatan Penyuluhan mengenai Teknologi Informasi ke SMA Santo Yakobus… https://t.co/nf2wDNQYzh"
"23451","282","Selamat Datang Mahasiswa Baru Institut Bisnis dan Informatika Kwik Kian Gie 2019
.
.
GOTCHA!  Going to Change  !! https://t.co/NFwHfpj6TO"
"23452","282","Kunjungan dalam rangka kegiatan Presentasi oleh Kwik Kian Gie School of Business ke SMA Cinderamata… https://t.co/mHmAeft64o"
"23453","282","Kunjungan dalam rangka kegiatan Presentasi oleh Kwik Kian Gie School of Business ke SMA Yakobus Jakarta… https://t.co/b3nt0sI6BT"
