"id_tweet","id_user","tweet"
"23599","284","@DaniEl_Lasombo @mohmahfudmd Tpi bkn lewat PDIP kan"
"23600","284","@BudyJember @turnmeon25 @tempodotco @SBYudhoyono Cocologi"
"23601","284","@landsca30859010 @turnmeon25 @tempodotco @SBYudhoyono Ha.... Ngumpet, gue banyak kerjaan lain bro, dripada buang waktu ama robot"
"23602","284","@landsca30859010 @turnmeon25 @tempodotco @SBYudhoyono Betul.. 
Saya tidak menyangga itu,"
"23603","284","@landsca30859010 @turnmeon25 @tempodotco @SBYudhoyono Ngomong sama robot ya begini ni.. Wkkwkwk"
"23604","284","@mohmahfudmd Munafik. 
Awalnya gak ngaku, eehhhhhh Tiba2 jdi Ketum Abal2... 
Malaikat pun kalau masuk di pemerintah… https://t.co/OV1DrgQlec"
"23605","284","@landsca30859010 @turnmeon25 @tempodotco @SBYudhoyono Kan sudah menjalani hukuman buntat. 
Makanya otak dipakai bua… https://t.co/0oI0FTOf5K"
"23606","284","RT @PutraWadapi: #KLBBodong  https://t.co/fIAAUZSUXA"
"23607","284","@mohmahfudmd Bukan di internal PD. 

Dulu saya respek dengan bapak, krna argumen dan pendapat yg bapak sampaikan be… https://t.co/T6A1xM4wJp"
"23608","284","@mohmahfudmd Jangan kira Rakyat Bodoh pak, seolah_olah bapak aja yang paling pintar di negeri ini, ada perbedaan be… https://t.co/NgFx3clNtp"
"23609","284","@landsca30859010 @turnmeon25 @tempodotco @SBYudhoyono Ada Bukti? Jgn nyebar fitnah lo bot"
"23610","284","@turnmeon25 @tempodotco @SBYudhoyono Asli robot loe. 
Ngomong asal ngorocos aja, pakai data dan otak kalau ngomong"
"23611","284","@maggotsxxxx @turnmeon25 @tempodotco @SBYudhoyono Dasar robot"
"23612","284","@ekagumilars Saya setuju, KLB aja PDIP."
"23613","284","Biasanya kalau org yang sudah memberi tpi merasa bersalah dan menyesal atas perbuatan tersebut berati ada kesalahan… https://t.co/2RysNabyjT"
"23614","284","@turnmeon25 @tempodotco Asli gak nyambung loe. 
Zaman ibu mega, @SBYudhoyono  tidak merampok PDIP. 
Tapi mendirikan… https://t.co/uDaBSMA3tn"
"23615","284","@HukumDan Itu namanya bijiiii kontoll"
"23616","284","Eh si gerombolan tutup botol muncul https://t.co/WZxuzquW1v"
"23617","284","Si Moelbontot gak tau aturan https://t.co/Xn4Ifv3W9B"
"23618","284","RT @PDemokrat: Saksikan !!!

Konferensi Pers Ketua Umum Partai Demokrat @AgusYudhoyono

https://t.co/n1bCbw313q https://t.co/A6LbyICims"
"23619","284","Gak tau malu https://t.co/dNP72LYRL2"
"23620","284","Woeooeoee. Dasar tidak punya malu loe moelbonto https://t.co/1UG3exiEBc"
"23621","284","@Tinoheidel @jokowi @mohmahfudmd Wong mereka yg mendukung ko"
"23622","284","Sdh jatuh korban https://t.co/85pkGMIGt5"
"23623","284","@AndiAndis6 @jokowi Korban dari Kubu mana ni?"
"23624","284","Manttaap https://t.co/H7LtfaKLa8"
"23625","284","RT @irwan_fecho: https://t.co/PPRL2FEULu
#KLBBodong"
"23626","284","Luar biasa kader muda partai berlambang Merci, selalu santu dan tak patah semangat https://t.co/I8jkJe3jve"
"23627","284","@YudhistiraJPD1 Jj dia... Ahahha.. Ketahuan"
"23628","284","Mantap. 
Respon yang bijak https://t.co/II2sQHmDRn"
"23629","284","Hmmmm. Asli parah kronis kelakuan di Mulbontot https://t.co/d8MbhWMTDX"
"23630","284","Kelakuan gerombolan Kaka Pembina telah dan sangat menciderai Demokrasi yang telah dibangun pasca Reformasi. 
kaka p… https://t.co/KjrAdFgDvQ"
"23631","284","Wowww https://t.co/hBji9XAjng"
"23632","284","@AndiArief_ID Fb bang"
"23633","284","@YudhistiraJPD1 Pastinya murid dari kaka pembina yg berbuat"
"23634","284","@dpp_gamki Sama2,"
"23635","284","Di hack oleh gerombolan tutup panci https://t.co/UfZKFcgonC"
"23636","284","Parah mereka... DPP GAMKI aja gak ngakuin.. 
Terus itu gerombolan mana. 
Mantap Gamki yg bertindak cepat https://t.co/MTbA1ZhhnI"
"23637","284","Jauhnya.. https://t.co/lBxtboaS8t"
"23638","284","Semua didikan kaka pembina turun tangan rupanya  wkkwkwkwkw https://t.co/ltNIMdrEsS"
"23639","284","Awalnya ngelak, eh.... Ternyata busuk loe Mol https://t.co/w4d4ph5ylb"
"23640","284","Aamiin https://t.co/rFoiNervZT"
"23641","284","RT @Koeswoyo_nhs: https://t.co/qW6h6BNyIu"
"23642","284","Inikah https://t.co/iEjP9kmksY"
"23643","284","RT @vierda: Zina didukung dengan alasan consent.
Riba didukung dengan alasan terpaksa.
Miras didukung dengan alasan kearifan lokal.

Gilira…"
"23644","284","RT @NMoekijat: ""Hai orang-orang yang beriman, sesungguhnya (meminum) khamar, berjudi, (berkorban untuk) berhala, mengundi nasib dengan pana…"
"23645","284","RT @PutraWadapi: Pemimpin yg benar-benar taat pada ajaran agamanya sangat tidak mungkin dia berpikir untuk ijinkan investasi MIRAS di Negar…"
"23646","284","Wahai para pembuat dalil yang menghalalkan yang haram, Coba dengarkan  syair ini https://t.co/q357PkyTl6"
"23647","284","Inilah kalau kekuatan di pegang oleh oligarki https://t.co/gQSoTNaTDT"
"23648","284","Saya tidak mengomentari https://t.co/22DuWNuJTH"
"23649","284","@Tinoheidel @jokowi Sedari awal saya tidak pernah percaya dengan Pinokio"
"23650","284","@Tinoheidel @jokowi Prestasi yang menggiurkan ya bung"
"23651","284","@minangkocak7 .. Wkwkkw https://t.co/DquK9IWnwS"
"23652","284","Kabarkan kesemua. 
Bahwa saat ini memang keadaan sedang tidak kawan https://t.co/KLj1AnpZoU"
"23653","284","@Stevaniehuangg Bro sis... Biji mata..
Ngaku paling pancasilais... Tapi sarang korupsi.. Kan bangsat namanya"
"23654","284","RT @widhisetyok: @ekowboy2 Karena Undang Undang itu HANYA BERLAKU UNTUK MANUSIA. Hukum tidak berlaku untuk DILUAR MANUSIA (contohnya binata…"
"23655","284","PSI cari panggung https://t.co/iOlgTb9TcN"
"23656","284","Jago??? https://t.co/I6LcfbLMjn"
"23657","284","Dan digaji pakai APBN https://t.co/QcJ7Y3MOPM"
"23658","284","Mutunya dmna?. 
Tidak lebih dari seorang Buzzerrp https://t.co/K7I8x1lYUY"
"23659","284","Ok.. 
Hanya rakyat yang punya akal yang paham..
Kaum itu ahhhhhhh suuhhhhhhhhhhhh"
"23660","284","@Tinoheidel Covid hanya menyerang manusia nyata tidak pada pinokio bung"
"23661","284","@geloraco Kan Front Persaudaraan bukan Pembela"
"23662","284","Jgn di marahi pajak @PutraWadapi , nanti nangis dia.. 
Merengek didzolimi pula https://t.co/f2oRgYQMDC"
"23663","284","Tukang nyalahkan https://t.co/iFgJ2XX4EH"
"23664","284","Gak Fair loe bro, waktu jateng loe bilang siklus 50 tahun sekali, Kalteng loe bilang cuaca ekstrem, lah DKI ko nyer… https://t.co/oop6J9bfKL"
"23665","284","Otak Udang https://t.co/t6JKHluuPF"
"23666","284","@jokowi bagaimana ini. 
Bingung saya https://t.co/CB4nZxcpJb"
"23667","284","Isinya palsu semua.. Wkkwkw https://t.co/dt76v8L4Hh"
"23668","284","Jeruk 🍊 makan 🍊 https://t.co/7XUXjr9K2d"
"23669","284","@AndiAndis6 Sia-sia masyarakat bayar pajak kalau cuma utk bayar Buzzer rp"
"23670","284","Kann... Begitu.. Klaw mereka oposisi https://t.co/lDT2avc7fB"
"23671","284","Parah menang otak bapak panjul ini https://t.co/BpsUsrbEbF"
"23672","284","@HukumDan @jokowi Suka blokir memang merka bang"
"23673","284","Itulah sifat mereka. 
Suka mengada_ada https://t.co/iMOCChaiYr"
"23674","284","Revisi, skrang banyak pasal Karet https://t.co/SOwl8m2ZhF"
"23675","284","Ginikah https://t.co/igMmtrRWGQ"
"23676","284","Kalau mau maju pilgub DKI jangan lupa nyemplung di Got. 
Karena itu tradisi kalian"
"23677","284","Anggap saja lelucon kalau sedang berhadapan dengan buzzer rp"
"23678","284","RT @ekowboy2: Ahok kalah di DKI.. 
Anies disebut didukung kelompok RADIKAL

PDIP kalah di Sumbar.. 
Puan sebut Sumbar provinsi tak Pancasil…"
"23679","284","RT @susipudjiastuti: https://t.co/U0JKTInzJG"
"23680","284","@idtodayco Akkakkak.. Ketawa aja"
"23681","284","Cak nun https://t.co/FAkmDbVAkZ"
"23682","284","Gile lu ndro https://t.co/P87oeGPTDt"
"23683","284","Hm dan terjadi lagi https://t.co/Vy1PPweoJ7"
"23684","284","Gelar baru https://t.co/ql2GRK5LmP"
"23685","284","Turut berduka, semoga cepat sembuh dan mendaptkan hidayah dari Allah swt https://t.co/eFe7tYzRO8"
"23686","284","Jumat berkah"
"23687","284","@Aliragil86 @Mr_Herdiansyah @ganjarpranowo 😏"
"23688","284","Hebat mereka.............. https://t.co/8XOwUxdisn"
"23689","284","@ekowboy2 Pemimpin Negeri yang memelihara sampah Demokrasi. (Barat daya zimbawe)"
"23690","284","No caption https://t.co/DV8Gt2qh1m"
"23691","284","@idtodayco Mudahan cepat bekerja nya"
"23692","284","Mbere afi, mbere Moti 
Oro runduna kone nifi. 
Nangi_nangi dana tambora. 
Leli_leli doro tambora. 
Maina bala tiloa ndi tola"
"23693","284","🍻 mereka https://t.co/USmpdpNu5w"
"23694","284","Sabar Bung @nazaqistsha . 
Sepertinya sampah_sampah seperti mereka sdang dipungut. 
Karna hanya di rezim ini pencit… https://t.co/InbjBWJw4L"
"23695","284","RT @hincapandjaitan: Disiram air keras, diserang isu taliban, kini dilapor ke Polisi akibat kritiknya. Novel Baswedan seperti tidak punya t…"
"23696","284","@AndiAndis6 @RachlanNashidik Ucapan duka dari para pecundang negeri"
"23697","284","Oh gitu.. 
Jadi ini toh, parahhhhh otaknya https://t.co/0bxvrU4Xep"
"23698","284","RT @demokrasicoid: Eks Anak Buah SBY Bongkar Bobrok Polisi, Terkait Aktor Mafia Tanah https://t.co/ltzGMRDUP3"
