"id_tweet","id_user","tweet"
"20630","250","🧑 : "" kenapa si gw mudah banget CARE sama 
        Orang. Sedangkan orang susah banget CARE 
        sama gw"". (bis… https://t.co/JePeSwye7A"
"20631","250","Berjuang Sendiri, Nyemangatin Diri Sendiri, Ngandelin Diri Sendiri, Terimakasih Untuk Aku, Aku Sayang Aku."
"20632","250","SUDAH CUKUP SEMANGATNYA,
      WAKTUNYA BERPUTUS ASA"
"20633","250","Sadar oo Cokkkk!!!!!
Koe iki mung dinggo
 pelampiasan nk de'e Bosen."
"20634","250","Skrang jamannya tidak ada yang ditakuti sob.skarng jamannya darah dibalas dengan darah. https://t.co/eRiJYENoL5"
"20635","250","#SaatnyaJokowiTurun 
Turunkan jokowi jadi rakyat biasa.biar dia merasakan jadi kuli desa.
#TurunkanJokowi… https://t.co/aUjfoI55Fl"
"20636","250","Semangat berjuang kawan.✊ https://t.co/npt1ldndKS"
"20637","250","@Lini_ZQ Selamat berjuang kawan.✊"
"20638","250","""Lebih baik hidup dari sampah,
Daripada hidup jadi sampah!!!"""
"20639","250","Jujur ""salah""
Nggk jujur ""dipendem""
Terlalu jujur ""dibodoh-bodohin""
Apa gua harus jadi manusia apatis???"
"20640","250","""Pagi Pagi dapet info THR""
       .BAHAGIA BANGET DONK.
 
   ""Eh taunya Sore"" dapet info PHK""
   .DAMAGENYA KENCENG AMAT ASW."
"20641","250","Lu sangee,Gua sangeee.
Ya udah hayukkk ng*we!!!"
"20642","250","Batal gak sih puasanya .ketika kita menangis saat nonton hafidz indonesia??

#seriusnanya"
"20643","250","""Hidupku cuman sebatas Rebahan, Rebahan dan Rebahan"""
"20644","250","*Apaa sih bedanya virus, kuman dan bakteri? *

Serius nanya!!!"
"20645","250","Lah sama njir,🤣 https://t.co/ysKduKfofa"
"20646","250","*Cewe kalo ngeluarin darah kotor kan waktu PMS, 
Klo cowok ngeluarin darah kotor lewat paa coba? 
Ya kali, masa kencing darah? *"
"20647","250","""Baru kali ini liburan panjang, 
Tapi terasa membosankan😪"""
"20648","250","""Jangan malu jika gajimu sedikit, 
Tapi malu lah, jika kamu tidak mempunyai gaji.""

"" Lebih baik berpenghasilan sedikit dari pada nol besar"""
"20649","250","""Udah capek Mau Ngapain😓

~Nonton Drakor?  Udah. 
~Nonton FTV?  Udah. 
~Nonton Anime?  Udah. 
~ Game?  Udah. 
~Reba… https://t.co/LNinODzdIm"
"20650","250","Kerja capek, 
Rebahan juga capek. 

Dasar aku : ("
"20651","250","*Aku dianggap Kebal virus oleh perusahaan*
Tapi jika pulang, 
*Aku dianggap pembawa virus oleh orang kampung *

#budakperantau"
"20652","250","Rebahan lagi : )"
"20653","250","""Percuma lu sekolah lama-lama, 
Eh ujungnya malah Lulus jalur CORONA"""
"20654","250",""" Pantang Keluar Kamar, 
Sebelum Kebelet Berak""

#dirumahaja"
"20655","250","@nadzifirstha Penjara njir"
"20656","250","@nadzifirstha Ojo karantina kamar lah"
"20657","250","""Until Tomorrow""

Apaan sihhh?? ..."
"20658","250","""Nih Bapak nakutin aja"" https://t.co/2WwV6cxT96"
"20659","250","GARA GARA CORONA
  • Banyak  yang tanya "" Kerja tanpa keluar      
Rumah? ""

~Jawaban Gw:  ""Dadio Pelacur cuk, Merg… https://t.co/hUxcfY84v4"
"20660","250",""" Yang diingat atasan itu bukan kerja kerasmu, 
Tapi kesalahan mu. """
"20661","250",""" Satu kesalahan akan melenyapkan 1000 kerja keras anda """
"20662","250","Bagi klean yang kerja keras!!! Percuma ,Lu akan kalah sama yang cari muka😲. 

#anakPT"
"20663","250","""Dekat dengan Ibukota, 
 Jauh dari Ibu Kandung"""
"20664","250","Awas Jakarta Banjir, Cewe"" Jangan pada Keluar Untuk Berenang, Ntr Hamil loh ya!!!"
"20665","250","""Mulai Sekarang Laki - Laki klo renang pakek baju renang kek gini ya!!!!🤣

#KPAI #hamil https://t.co/i8J28UbF1g"
"20666","250","👱‍♀: "" Mah, Aku Hamill!! ""
👵: "" Siapa yang Hamilin Kamu? ""
👱‍♀: "" Ga Tau Mah, Rame Banget soalnya"". https://t.co/CcoZNPGOgB"
"20667","250","@ezash Maenin dong bang. Gak skalian buat video di youtube bang"
"20668","250","Apasih gunanya minum""an keras? 
Bikin Ganteng? Atau Bikin Keren? https://t.co/LhBSzziwoM"
"20669","250","""Panjang umur untuk semua hal-hal baik🌻"""
"20670","250",""" Pernah ga sih lu, Saat berduaan sama cewe, Saat itu juga ada yang berdiri tegak menantang, padahal bukan keadilan… https://t.co/HRv59DoL4U"
"20671","250","Cowok vs Cowok : ""Obrolan gak ada habisnya, dipisuhin pun gak ada  masalah, adanya malah tertawa suka ria""
Cowok vs… https://t.co/VQqc9TK1Hh"
"20672","250","1% Rindu. 
99% Sange."
