"id_tweet","id_user","tweet"
"25224","301","lupakan  3 periode yg anda bayangkan ..

#AmienRaisSakitJiwa https://t.co/fZoj0OQevS"
"25225","301","inget janji mau jalan kaki ..?

#AmienRaisSakitJiwa https://t.co/rv7jAUlFkN"
"25226","301","Gelandangan Politik ...
jangan ampe predikat itu nambah lagi ke predikat2 lain ...
kasian liat njenengan kie… https://t.co/R53CfuGjKd"
"25227","301","suudzon itu ndak baik ...

#AmienRaisSakitJiwa https://t.co/uS0QeA1iIK"
"25228","301","Jokowi ga gila jabatan 
ambisi 3 periode ...
mbah amin ndak usah ngelantur lagi ya
kasian liatnya… https://t.co/2HVXrfYKk5"
"25229","301","udah ndak usah lagi ribut ttg politik ...
udah habis masa untuk njenengan ...nonton ikatan cinta ama cucu saja… https://t.co/qMaq6ACLSt"
"25230","301","inget umur dah 
jangan ngelantur terus ...
bahaya lhooo

#AmienRaisSakitJiwa https://t.co/FDNYFHardP"
"25231","301","lagi rame nie ya ...
emak denger dari tetangga ..
mbah amin2 mbah amin ...
sudah lupakan Presiden 3 periode… https://t.co/3NnEeFRDFh"
"25232","301","JK Dibalik Kasus Bosowa https://t.co/9Z2XNbwRtU"
"25233","301","JK Dibalik Kasus Bosowa https://t.co/hHQooeNEOh"
"25234","301","JK Dibalik Kasus Bosowa https://t.co/KB7dssRbZS"
"25235","301","JK Dibalik Kasus Bosowa https://t.co/zWPpwP1a6E"
"25236","301","JK Dibalik Kasus Bosowa https://t.co/z9eX46mqZX"
"25237","301","JK Dibalik Kasus Bosowa https://t.co/OKASh8hjDz"
"25238","301","JK Dibalik Kasus Bosowa https://t.co/TuNKqvhVmH"
"25239","301","JK Dibalik Kasus Bosowa https://t.co/TkupBvzVKH"
"25240","301","Keponakan yg ceroboh ..
Omnya ikut di cemooh 😁
JK Dibalik Kasus Bosowa https://t.co/QePDzaIwZj"
"25241","301","Kumisnya itu lhoo
Bergoyang2

JK Dibalik Kasus Bosowa https://t.co/s2Rm6Vwt4K"
"25242","301","KPK loyo ...
Sini Mak Urut biar kenceng lagi 
Ngadepin JK Dibalik Kasus Bosowa biar brani https://t.co/eS4IKHKiDZ"
"25243","301","Nih gambar siapa yg buat 😁😁😁
.
JK Dibalik Kasus Bosowa https://t.co/NMITi1MjD4"
"25244","301","Antara JK dan Bosowa
JK Dibalik Kasus Bosowa https://t.co/g3NfH6a33l"
"25245","301","Kpk ga ada nyali kalau ama Bosowa
JK Dibalik Kasus Bosowa https://t.co/Wet7R5xWXy"
"25246","301","Emak geregetan kek begini ..
Semakin yakin nieh kemumgkinan
JK Dibalik Kasus Bosowa https://t.co/3HUK45vKTA"
"25247","301","KPK seperti macan ompong

JK Dibalik Kasus Bosowa https://t.co/d4orli8jfq"
"25248","301","Kalau bener JK Dibalik Kasus Bosowa ,, jangan ampe dia kebal hukum https://t.co/iQBoIhbsVB"
"25249","301","Emak mulai curiga nih
Apakah bener JK Dibalik Kasus Bosowa ?? https://t.co/lIEXu3nu3R"
"25250","301","Segera Usut Chaplin https://t.co/2IjXuM4vUW"
"25251","301","Segera Usut Chaplin https://t.co/x69wfdHVCV"
"25252","301","Segera Usut Chaplin https://t.co/pnEslCQrYQ"
"25253","301","Segera Usut Chaplin https://t.co/owLj1YvNFV"
"25254","301","Segera Usut Chaplin https://t.co/6xnwGySGS9"
"25255","301","Segera Usut Chaplin https://t.co/LH74n1LHf2"
"25256","301","Segera Usut Chaplin https://t.co/uFlIlxlm4O"
"25257","301","Segera Usut Chaplin https://t.co/Eq61jTCnRg"
"25258","301","inget 
jangan lupa juga
Segera Usut Chaplin https://t.co/aaZ4CjlKct"
"25259","301","Segera Usut Chaplin juga pokoknya https://t.co/2cH0sFa2vP"
"25260","301","pintu udah kebuka nih
emak minta aparat brani masuk
jangan lupa juga
Segera Usut Chaplin https://t.co/UxBmDetwaA"
"25261","301","kalau emak yg punya ni ponakan,udah emak kebiri nih anak

jangan lupa juga
Segera Usut Chaplin https://t.co/oiBAwDCU88"
"25262","301","emak yakin omnya ikutan ntu
jangan lupa
Segera Usut Chaplin https://t.co/UeGja6duzi"
"25263","301","jangan lupa juga
Segera Usut Chaplin https://t.co/v4aQZBzHLu"
"25264","301","emak ingetin juga 
angan lupa juga
Segera Usut Chaplin https://t.co/ZWd1BWDD9x"
"25265","301","Segera Usut Chaplin https://t.co/T9urLvaBuM"
"25266","301","komplotan sange mungkin ..

Penjarakan Aksa Bosowa https://t.co/MD4bLRgzb5"
"25267","301","mafia peju apa ya ??
wkwkwkw https://t.co/VrJVWgvNPz"
"25268","301","emang suka yg ditahan ,, bisa tahan lama enak

Penjarakan Aksa Bosowa https://t.co/c2NC87Y0yH"
"25269","301","emak ga suka kamu dibeking2 ...

Penjarakan Aksa Bosowa https://t.co/M7pYR63SAV"
"25270","301","emak ga suka yang basa basi

Penjarakan Aksa Bosowa https://t.co/9kFz2FNf0M"
"25271","301","emak di bantu dong ..

Penjarakan Aksa Bosowa https://t.co/DDMAx5aeeT"
"25272","301","ini mah jemb......ttttt

Penjarakan Aksa Bosowa https://t.co/yFPGzwOzuR"
"25273","301","mak terkejoootttt

Penjarakan Aksa Bosowa https://t.co/uSQYsgpKg2"
