"id_tweet","id_user","tweet"
"29055","341","https://t.co/wALnIYcFqc"
"29056","341","Gus Baha di waktu ke 1:00:06

https://t.co/LsM85I0XlZ"
"29057","341","Hari ini Senin, 15 Maret 2021 

KH. Ahmad Baha'uddin Nursalim (Gus Baha') melaksanakan vaksinasi covid-19 di UPT Pu… https://t.co/SILzPn6puY"
"29058","341","Peringatan Isra' &amp; Mi'raj 

Doa untuk Negeri Pulih dari Pandemi 

KH. BAHAUDDIN NUR SALIM (GUS BAHA') 

Rabu 17 Mar… https://t.co/iAfZKjyMB4"
"29059","341","Ngaji Bareng dan Peluncuran Pusat Studi Tafsir Al Qur'an dan Hadist (Tafaquh) UII

Pemateri:

Prof. Dr. M. Quraish… https://t.co/sOvGlor4qi"
"29060","341","LIVE) Gus Baha' | Khotmil Bukhori &amp; Peringatan Isro' Mi'roj | Majelis Madinatul 'ilmi Kudus… https://t.co/UyI3necJa1"
"29061","341","Gus Baha' &amp; Ust. Mas'ud Syahat | Tahlil dan Do'a 7 Hari KH. Minan Abdillah Kajen Pati.

https://t.co/TpUdSvqG4Y

Gus Baha di waktu 1:03:10"
"29062","341","Haul KH Nursalim Narukan Digelar Secara Terbatas Hanya Untuk Internal Keluarga dan Santri.

Berhubung karena masih… https://t.co/t4YmYJeASD"
"29063","341","Harlah JP3M Ke 5 Bersama Gus Baha'

https://t.co/6sdvIAEA5B 

Gus Baha di waktu ke 4:24:49"
"29064","341","Telah dibuka pendaftaran siswa-siswi baru sekolah Formal Tahun Ajaran 2021-2022.

Yayasan Pondok Pesantren Tahfidz… https://t.co/9FnDnOxKke"
"29065","341","K.H. BAHAUDDIN NUR SALIM (GUS BAHA) | HAUL K.H.R. ASNAWI KE-63 1442 H

https://t.co/P3ZHAO9PHP"
"29066","341","HAUL K.H.R. ASNAWI KE-63 | BERSAMA K.H. BAHAUDDIN NUR SALIM | 1442 H

https://t.co/sOufvN1dAL

Gus Baha di waktu ke 55:10"
"29067","341","Live Streaming Doa Bersama Gus Baha // HUT KE-66 RSUD dr. R. SOETRASNO REMBANG //

https://t.co/uSnk9bjnyP

TAUSIYA… https://t.co/NUfxtMKEoa"
"29068","341","(LIVE) KAJIAN AKHLAQ BERSAMA GUS BAHA || BANK INDONESIA

https://t.co/s1bUBXcv64"
"29069","341","MANDIRI MENGAJI BARENG GUS BAHA

https://t.co/AiRORM6ebN 

Gus Baha di waktu ke 1:11:24"
"29070","341","Muhasabah Dan Munajat Kebangsaan Bersama Gus Baha' || DIES NATALIS Ke-2 UNISVET

https://t.co/s7CreOMfTb"
"29071","341","RT @zettamangifera: https://t.co/BIs5a80hn3"
"29072","341","Ngaji Bareng Gus Baha' 

Jum'at 22 Januari 2021 

15.00 - selesai

Live Streaming di Channel Youtube Official LP3IA https://t.co/BUEsPGvm4h"
"29073","341","Majelis Tahlil Virtual #7 Al-Maghfurlah KHR. M. Najib Abdul Qodir Munawwir

https://t.co/axklIULIEk 

Gus Baha di waktu ke 1:38:33"
"29074","341","[LIVE] NGAOS SARENG GUSE || Ngaji Online GRAB Jawa Tengah dan DIY || 08, Januari 2021

https://t.co/AmGkh8wOh3

Nga… https://t.co/Z6ReYm9RbK"
