"id_tweet","id_user","tweet"
"31872","370","Bandung ngariung #nowplayingfest #nowplayingfestivalbandung #nadapromotama @ Lapangan Bola Pussenif https://t.co/x8jwXWOvgs"
"31873","370","Buat peminat NOAH di Malaysia, penjualan album terbaru kami sudah bermula hari ini! 

Anda boleh beli di beberapa k… https://t.co/2EJ2ihEE5U"
"31874","370","Untuk malam ini #konserkejarmimpiuntukindonesia #semarang #sheilamajid #noah @ Semarang, Indonesia https://t.co/vgG37AyrQz"
"31875","370","Rilis video klip “Kupeluk Hatimu” @NOAH_ID dari album #keterkaitanketerikatan hanya di youtube channel NOAH OFFICIA… https://t.co/imqzRoF7fG"
"31876","370","halo semua, akhirnya Noah Launching album baru, dan ini adalah video clip dari single pertama ""Wanitaku"", selamat m… https://t.co/uujPPq674Q"
"31877","370","Lagu berikutnya dari noah “Kupeluk Hatimu” release hari ini di semua digital platform, sebelum album launch nanti.… https://t.co/tdtZeQEtwz"
"31878","370","Silahkan https://t.co/DhopvfAkvi"
"31879","370","Garut 3 menit #360 #garut: https://t.co/IAkFF6aAFb via @YouTube"
"31880","370","Restorasi Shogun #VlogAriel #ArielNoah #Ngulik: https://t.co/PM3GSPlJaH via @YouTube"
"31881","370","Bangun Tidur terus kerja: https://t.co/v3gPx7HQl7 via @YouTube"
"31882","370","TANA TORAJA Trip in 360 #VlogAriel #ArielNoah: https://t.co/LJlKWr2vjc via @YouTube"
"31883","370","Awalnya saya pikir akan menghabiskan malam ini dengan bekerja. Tapi tiba2.....gerombolan berat kelas kakap menyerbu… https://t.co/wM2hs7Dxpr"
"31884","370","I'm live on my Insta360 Nano S: https://t.co/JHsgdK5Xwp via @YouTube"
"31885","370","Rifda Irfanaluthfi atlet senam #AsianGamesGemes2018 https://t.co/xHepeUBcpS"
"31886","370","Buka bersama Warlook 2018: https://t.co/8qZFwz48nv via @YouTube"
"31887","370","Gunung Gede Pangrango 2017: https://t.co/C4XmrXxXJM via @YouTube"
"31888","370","Bor Helm Bor: https://t.co/3v7lyvzKEF via @YouTube"
"31889","370","(360º) Bromo 2018 - foto sesi Greenlight: https://t.co/JDZdu52w3X via @YouTube"
"31890","370","Rekamaman (tes Video): https://t.co/kgey9HcSVH via @YouTube"
"31891","370","NOAH - My Situation (Official Video) https://t.co/LhnL3s5ZqG via @YouTube"
"31892","370","Baru senang kemarin, hari ini suram, one of my biggest influences in music, so sad.... the… https://t.co/AVKx68Ut9h"
"31893","370","Yes its Liam Galagher ✌🏻, the show is tonight ecovention Ancol #nadapromotama #liamgalagher https://t.co/i4KYB8Jwle"
"31894","370","Selamat jalan Yon Koeswoyo (1940-2018) #legend #musisiindonesia #itsanhonor https://t.co/yOU84nxkfi"
"31895","370","100% Indonesia https://t.co/Xv5WYzfni0 via @YouTube"
"31896","370","Ariel YOUTUBE: https://t.co/RHmA3xWdIL via @YouTube"
"31897","370","Had a really great time last night, semoga semua yg datang merasakan hal yg sama. Dan… https://t.co/7KpBISrbtx"
"31898","370","With mustikoworo (dalang cilik)
#preproduction #noahliveinkl https://t.co/wIRoWmKusN"
"31899","370","Konser terakhir tur tahun ini, next Kuala Lumpur 😉 #metro #lampungtimur https://t.co/9L7I8AFZvy"
"31900","370","GR untuk nanti malam #pekalongan https://t.co/3My2HLvTtf"
"31901","370","RT @NOAH_ID: Hallo Sahabat 2 lagu terbaru kami dari #NOAH2ndAlbum sudah bisa kamu dengarkan di @JOOX_ID ya. Yuk dengarkan 🙏🏼🙂 https://t.co/…"
"31902","370","Saya mengerti dengan para penerka, orang yg suka menerka-nerka, liat suatu objek lalu… https://t.co/PBPRdUkCmO"
"31903","370","Malam ini https://t.co/YbwZH7pvAD"
"31904","370","Ada sahabat noah #Opening, #greenlight, #store @ Jl.By Pas Ngurah Rai https://t.co/VPytL01K2O"
"31905","370","Selamat hari musik nasional para musisi seluruh indonesia"
"31906","370","Today Is A Big Day!!!
The day she has dreamt of, when you will see her stories, her dream, and… https://t.co/mAATtlmef8"
"31907","370","Venue buat besok @ Gili Trawangan Island,Lombok https://t.co/YPWC21VoPn"
"31908","370","Mudah-mudahan cepet ketemu kang @noeyjeje https://t.co/JUztCqKx2L"
"31909","370","Selamat tahun baru 2017, terima kasih banyak untuk tim noah yg sudah bekerja secara total sampai akhir tahun 2016. https://t.co/9yyINHsZ77"
