"id_tweet","id_user","tweet"
"23299","281","RT @yosnggarang: Pengalaman Pahit sewaktu kecil membuat bang RR selalu berpihak kpd rakyat. Itu ditunjukn baik didalam kekuasaan maupun dil…"
"23300","281","RT @AdhieMassardi: DUA JALAN MASA LALU 》 masa lalu yg getir bentangkan 2 jalan. 
1. Jalan perjuangan entaskan kemiskinan. 
2. Dendam pd ora…"
"23301","281","RT @andry19633: Masa Kanak Rizal Ramli yang Pahit Getir membuat RR Membela Kepentingan Rakyat https://t.co/FgmkmHLjCL @RamliRizal https://t…"
"23302","281","RT @rmol_id: Jokowi Gaungkan Benci Produk Luar Negeri, Ubedilah: Hanya Gimmick Agar Terlihat Nasionalis https://t.co/niGxnN4M6k"
"23303","281","RT @ArieKuntung: Yang sabar ya para temen2 yg di pandemi ini tiba2 jadi pedagang
Pembeli mang macem2 gayanya, ada yg bgeselin kadang ada ju…"
"23304","281","RT @bima_____: Habis benci terbitlah impor...

https://t.co/Y9pPB3a0mP"
"23305","281","RT @dnyn_ee: https://t.co/Ku3Z28Pkdo https://t.co/i9GC7quS7M"
"23306","281","RT @Sahabat_Bangsa: Puji Susi Pudjiastuti, Rizal Ramli: Ibu Susi itu Street Smart.
https://t.co/HDLIjvhSkd @RamliRizal @susipudjiastuti"
"23307","281","RT @minatoyellowfl4: @andry19633 @RamliRizal cageur,bener,bageur,singer tur wanter 😎"
"23308","281","RT @Depe_Rush: Terjungkal dari Menko Kemaritiman, Rizal Ramli: Sedih Karena Tujuan Trisakti Dikorbankan. Cc @RamliRizal 
https://t.co/8jLSE…"
"23309","281","RT @Depe_Rush: ""Sebut Kabinet Jokowi Lelet dan Ekonomi Semakin Nyungsep, Muslim Arbi: Rizal Ramli Pantas Jadi Capres 2024"" 
Cc @RamliRizal…"
"23310","281","RT @Depe_Rush: Masyarakat Sunda Menyerahkan Kujang Pusaka Kepada Rizal Ramli dan Makna Simboliknya
Cc @RamliRizal 
https://t.co/Nl3HeXt8fh"
"23311","281","RT @yosnggarang: Activist Yosef Sampurna Nggarang said the soaring land prices and profits have attracted criminals who are colluding with…"
"23312","281","RT @AdhieMassardi: BELAJAR DI SINI 》anak muda di negara2 ASEAN belajar dari pelajar dan mahasiswa Indonesia bagaimana berjuang membangun ma…"
"23313","281","RT @CNNIndonesia: Faisal Basri: Rasio Pajak RI Terparah, 8 Tahun Berturut-turut https://t.co/y8VwnKZZeB"
"23314","281","RT @bima_____: Cerita Rizal Ramli Tetap Happy Meski Disingkirkan Oligarki Dan Pengpeng https://t.co/ZnI7oxeJk2 @RamliRizal https://t.co/eHs…"
"23315","281","RT @Sahabat_Bangsa: 2014 janji tidak impor pangan, faktanya impor ugal-ugalan.

Fakta tsb terjadi akibat strategi, kebijakan &amp; personalia y…"
"23316","281","RT @andry19633: Masyarakat Sunda Menyerahkan Kujang Pusaka kepada Rizal Ramli dan Makna Simboliknya https://t.co/vaHAckl2po @RamliRizal htt…"
"23317","281","Michael Jackson Tribute - Heal The World - Child Prodigy Cover | Maati B... https://t.co/31Wa0GEG1M via @YouTube"
"23318","281","RT @Bicaralahdotcom: https://t.co/X7Ftb4MZbU

Satyo Purwanto sebut sosok @RamliRizal adalah 'Aset bangsa, dan mampu atasi hambatan demokras…"
"23319","281","RT @online_britain: salut untuk Pak @RamliRizal 
iko nan namonyo urang rantau tulen ..."
"23320","281","RT @Sahabat_Bangsa: Pemerintah mengklaim telah melakukan segala sesuatunya dengan pruden, mengklaim lebih mengutakan ekonomi kecil dan korb…"
"23321","281","RT @Syaroniyes: Luar biasa Bang @RamliRizal, berani bersikap keras di dalam ataupun di luar pemerintahan, meskipun resiko direshuffle, saya…"
"23322","281","RT @ardhinotonegoro: @TeguhTimurCom @RamliRizal Tetap happy asal idealisme tidak tergusur"
"23323","281","RT @dnyn_ee: Berharap iklim demokratis berkembang di dunia pendidikan dan masyarakat luas negeri ini https://t.co/cb7gBtRsQQ"
"23324","281","RT @Bicaralahdotcom: https://t.co/ak5cVB51Hb

Gede Sebut 'Kemungkinan terjadi kesalahan dalam kebijakan perpajakan dan spending pemerintah,…"
"23325","281","RT @sulaiman_editor: @oy_asuralele @RamliRizal Lho, justru yg dulu bicara seperti ini sekarang menjabat Hakim MK. Terus untuk apa?"
"23326","281","RT @Dandhy_Laksono: Mengapa kalau anak terantuk meja, jangan pukul dan menyalahkan meja?

Agar tidak jadi Menkeu. https://t.co/wQQMzunUoQ"
"23327","281","RT @GalangR70668824: @Hmmurahmurahhm2 @RamliRizal Walau beliau kadang terbawa arus sehingga pernyataanya ngeri"" sedap,,tpi beliau tetap put…"
"23328","281","RT @oy_asuralele: Sangat"
"23329","281","Jail .. jail 😄😄 https://t.co/X5bFu5fmfe"
"23330","281","RT @bima_____: Terjungkal dari Menko Kemaritiman, Rizal Ramli: Sedih Karena Tujuan Trisakti Dikorbankan

https://t.co/vJF3XscbW4 @RamliRiza…"
"23331","281","RT @Sahabat_Bangsa: Sebut Kabinet Jokowi Lelet dan Ekonomi Semakin Nyungsep, Muslim Arbi: Rizal Ramli Pantas Jadi Capres 2024  https://t.co…"
"23332","281","RT @AgielRizky: RR 25 Nov 2019; Ini Dua Cara Berantas Buzzers Sampah Demokrasi Ala @RamliRizal 
. 
https://t.co/m6gdn37b4l"
"23333","281","RT @AgielRizky: @RamliRizal : Politik Machiavelli Ala Influencer dan BuzzeRP
https://t.co/CmcTXtYPzc"
"23334","281","RT @BachtiarAbdull3: @ramlirizal https://t.co/tuR3uvi6IX"
"23335","281","RT @Hmmurahmurahhm2: Apresiasi Bung @Ramlirizal Meski
Terus Dibully Buser Rp KEBAL HUKUM Miring'Sebelah, Tapi Tetap
Keluarkan Ilmunya Untuk…"
"23336","281","RT @Achmadf26548798: @TeguhTimurCom @RamliRizal Semoga beliau selalu sehat dan panjang umur "" kepretannya "" dibutuhkan untuk bangsa dan neg…"
"23337","281","RT @TeguhTimurCom: Cerita @RamliRizal Tetap Happy Meski Disingkirkan Oligarki Dan Pengpeng https://t.co/b0Z72sLg0o"
"23338","281","RT @CakNur971: @TedyMoel1 @BinoBoy8 @RamliRizal @mohmahfudmd Maka saat ini, orang baik, berintegritas, memiliki kapabilitas serta amanah su…"
"23339","281","RT @CakNur971: @TedyMoel1 @BinoBoy8 @RamliRizal @mohmahfudmd Reformasi yg tadinya ingin menghentikan praktik KKN yg terjadi pada orba, just…"
"23340","281","RT @hidayyatt: @RamliRizal semoga tetap selalu dalam kebaikan dan diberikan kesehatan jiwa raga. Aammiinn"
"23341","281","RT @Reuters: Rishi Sunak also announced a costly extension of his emergency aid program to see Britain’s economy through its current corona…"
"23342","281","RT @Reuters: 💷 From the furlough scheme extension to a tax hike for many businesses, Britain's Chancellor of the Exchequer Rishi Sunak prom…"
"23343","281","RT @AdilBeradab: Korban kaum 1% juga nih @binbin_ft @AlifKamal__"
"23344","281","RT @wotonnie: ✌️Sudah dua kali presiden ( KH Abdurahman Wahid Gus Dur ) menawarkan, dua kali pula Rizal Ramli menolak. Begitu tawaran ketig…"
"23345","281","RT @Sahabat_Bangsa: Rizal Ramli Ungkap Pernah Tolak 3 Kali Tawaran Jokowi Jadi Menko Maritim https://t.co/Sz6L25Z4GW"
"23346","281","RT @Sahabat_Bangsa: Sering Diejek Menteri Pecatan, Rizal Ramli Bongkar Ada Peran Taipan saat Dirinya Didepak Jokowi
 
https://t.co/dqKDNoRh…"
"23347","281","Michael Jackson - Heal The World [Lyrics] https://t.co/CDTZ3tdp3Y via @YouTube"
"23348","281","RT @Sahabat_Bangsa: Susi Pudjiastuti: Bang Rizal Ramli Saja Masih Kecele, Terus Level Saya yang Cuman SMP Apa Dong? https://t.co/44ymSG6qWz"
"23349","281","RT @bima_____: @jubel122905 @RamliRizal @jokowi https://t.co/4Ic2sU5pUI"
"23350","281","RT @Zahzazahza1: @RamliRizal krn RR Nasionalis sm seperti Anies yg berani Say NO cukong Say NO reklamasi. 
Pejabat Nasionalis rugikan cukon…"
"23351","281","RT @CakNur971: @RamliRizal Masalah utama pak RR jk nyapres itu adalah anti cukong politik. Sementara sebagian rakyat, khususnya yg miskin d…"
"23352","281","Ini analisa sok teau 😀😀 Yg bloking itu biaya sewa partai, threshold. https://t.co/707yPVWcA1"
"23353","281","RT @_Tarida_Indah_: Negeri Ngeriii !!😱
Kekuasaan Negara Dikuasai Taipan &amp; PengPeng !!

@RamliRizal :
""Baru setelah Jokowi minta tolong deng…"
"23354","281","Joan Baez, ""We Shall Overcome Someday"".

We shall overcome, we shall overcome,
We shall overcome someday;
Oh, deep… https://t.co/BQIAvRtzme"
"23355","281","RT @akhwatelya: @RamliRizal @jokowi Biasa ksh sesuatu yg d lempar itu ngasih sama ikan makan e mpang begitu makanan d lempar ikan berhambur…"
"23356","281","Malah makin bersemangat Zara 🙂😀 https://t.co/iqQ2rJpjLo"
"23357","281","RT @BachtiarAbdull3: @ramlirizal https://t.co/hx6aXi2h4t"
"23358","281","RT @AchmadS86871449: @RamliRizal @jokowi Jika ada ragu dan bertanya ""apa betul RR DIPECAT?"", betul RR memang DIPECAT, sama dengan GUS DUR b…"
"23359","281","RT @Bicaralahdotcom: https://t.co/x0EFHlp0Lj

Soal dipecat, karena memang Pak Rizal ini melawan oligarki dan Peng-peng... Cc: @RamliRizal"
"23360","281","Foreard: The pandemic savings glut has flooded German banks, encouraging them to charge negative rates on deposits… https://t.co/5SAn7Jvzgk"
"23361","281","RT @amaluddin_s: @RamliRizal @jokowi Bersyukurlah kita pak RR juga terhindar dari KEDUNGUAN dan selalu tetap cerdas dan juga tegar dalam me…"
"23362","281","RT @TonnyObes: @RamliRizal @jokowi Setelah minta tolong dgn sangat, kemudian di pecat atas tekanan taipan.. 

Pemimpin kok sepertinya tidak…"
"23363","281","Ndak punya sifat2 luhur Kesatrio Jowo 😀😀 Kaya lempar2 paket @jokowi kepada rakyat, dapat kerumunannya,, seolah2 dip… https://t.co/lr2jGi8nv3"
"23364","281","Amin. Tks 🙏 https://t.co/D5vEaSfuU7"
"23365","281","RT @FaisalBasri: Tak ada satu negara pun yang mengalami penurunan tax ratio separah Indonesia, nyaris 8 tahun berturut-turut. Hanya 1 digit…"
"23366","281","RT @noto_rogo: @RamliRizal Kami sangat yakin Penyerahan Pusaka KUJANG Sunda bukan tanpa alasan, karena pemegang dipastikan orang CAGEUR, BE…"
"23367","281","RT @TeguhTimurCom: Di antara yg bertanya mengapa RR dipecat, sebetulnya sudah tahu bahwa RR dipecat karena keberpihakannya pada rakyat. RR…"
"23368","281","RT @adianradiatus: Rizal Ramli for Indonesia One ? Why not ? He know well the state problems and he has knowledge to solve this damage of e…"
"23369","281","RT @andry19633: Kenapa Sih Rizal Ramli Harus Dipecat Presiden Jokowi ? Karena Tekanan Taipan Reklamasi &amp; Peng-Peng. Wah https://t.co/WMJ96R…"
"23370","281","RT @BambangSP2: @RamliRizal Yaa org yg berani berkata dan bertindak benar, untuk kepentingan rakyat inilah konsekuensinya. Tapu tetap terca…"
"23371","281","RR malah happy2 aja 🙂 Karena RR menolak tawaran @jokowi utk mau jadi Menko Maritim 3x di istana Bogor bulan Agustus… https://t.co/TqRByG8EDL"
"23372","281","RT @Nicho_Silalahi: @RamliRizal Tetap semangat bang negri ini masih membutuhkan Abang. 🙏"
"23373","281","Kenapa sih RR harus dipecat ?
RR Berpihak pada Rakyat dan Disingkirkan: Jejak Kerja Rizal Ramli di Kabinet Jokowi S… https://t.co/uZ9H7jXYdX"
"23374","281","RT @TheEconomist: China looks the likely prize-winner in South-East Asia. But its bid for dominance in the region is far from assured https…"
"23375","281","RT @DonAdam68: SMI gagal membawahi 2 institusi di kementeriannya. Pajak dan Bea Cukai! 
https://t.co/fOyxTPI9ha"
