"id_tweet","id_user","tweet"
"27113","321","@ariefopg @TyasZain @danaracelli @KatolikG @FebrianiVinanda @uinjktofficial @collegemenfess @HamdaanLW825Ky… https://t.co/5qnLuGCQnw"
"27114","321","Para kafir2 ini spt katak dlm tempurung, mungkin juga terlalu lama jadi cebong.

Baru sampai ke bulan aja para PKI… https://t.co/p2XqMkH8nd"
"27115","321","@ariefopg @TyasZain @danaracelli @KatolikG @FebrianiVinanda @uinjktofficial @collegemenfess @HamdaanLW825Ky… https://t.co/YmO86wazWW"
"27116","321","@AkuSendirri Ini ajarannya, Bro. https://t.co/AkiiTOHAqh"
"27117","321","@AkuSendirri Yg dekat2 aja. Pernah gak dengar ada tuduhan Rizieq bukan Islam?"
"27118","321","@JunizarT Bagus ya khayalannya. Lanjutkan"
"27119","321","Mari bagi2 kue di 2024 https://t.co/zJTWRCrer4"
"27120","321","@AkuSendirri Argumentum ad Populum. Kalau benar penyimpangan Islam bukan Islam, kenapa tdk ada penyangkalan kalau I… https://t.co/vaDfHn3EPR"
"27121","321","@AkuSendirri Saya siap berhadapan dgn siapa saja utk argumen ini. Silahkan ajukan counter debat."
"27122","321","@JunizarT Diuji ya.

Rizieq penganut agama Islam atau bukan?"
"27123","321","@JunizarT Penafsiran Islam yg salah itu apakah bukan Islam? Apa berani pemerintah bilang itu bukan Islam?

Semua ag… https://t.co/mL9IIgGbk8"
"27124","321","@JunizarT Belum banyak kasusnya. Silahkan dikembangkan. Islam radikal yg membuat heboh dunia skrg"
"27125","321","Ada logika aneh yg berkembang dari Jokowi:
Jika ada yg jadi teroris bernuansa agama, kita sangkal dia berbuat bukan… https://t.co/komT14icfq"
"27126","321","@JunizarT Saya menyalahkan Islam berpaham radikal."
"27127","321","@ariefopg @FebrianiVinanda @collegemenfess @uinjktofficial @ushuluinjkt @DianAfifahCame1 @yeahmahasiswaa… https://t.co/RqKkaSBA0D"
"27128","321","Perhatian para pemerhati properti akhirat, daripada kita pusingi rumah DP 0% yg gak tahu apa ujungnya, mari kita al… https://t.co/2s6yYS65mv"
