"id_tweet","id_user","tweet"
"25024","299","My eyes look so puffy rn"
"25025","299","Ada yg tau ini lanjutannya di akun mana gak?? Pengen baca 🥺 https://t.co/flJFTFbsgq"
"25026","299","@lithiumeffect Have a nide day, tegaa"
"25027","299","@mycrossman Have a nice day yha ya"
"25028","299","@yuuuxhii_ Hallo yut, have a nice day yha"
"25029","299","@re_nteiku Thank you~"
"25030","299","@apkerman 🐒"
"25031","299","@ERENY3AG3R Have a nice day yhaa😒✌️"
"25032","299","@apkerman Kok emotnya gitu??"
"25033","299","@captsatoru Morning syaah, have a nice day yhaa"
"25034","299","@mjlkyboy Hallo ri, have a nice day yhaa"
"25035","299","@Requiemload Have a nice day yhaa"
"25036","299","Morning bestie🙄✋"
"25037","299","@re_nteiku Actually.... idk"
"25038","299","I still cant believe that these thing is the same creature https://t.co/et66P3NOJI"
"25039","299","@re_nteiku Yeah... it kinda better now

I guess"
"25040","299","@y0urserot0nin Lagi capek om"
"25041","299","It’s too suffocated... i can’t breathing normally"
"25042","299","RT @choouva: Iwahina ft. Hinata harem ga pendek tapi ga panjang tweet au!!

Tentang Hinata yang tidak beruntung dikerjain secreto,,
.
.
Ata…"
"25043","299","USHI HORROR AJG WOYLAH 😭😭😂😂 https://t.co/JJnnIUJE0K"
"25044","299","@n4tsukki Ushiten"
"25045","299","@DIORGRAM Shhtt"
"25046","299","@krisnsky @TOJIBASE Gue aja belum difolbek 😀"
"25047","299","BAU BAYI AU NYA https://t.co/YMXghPudHF"
"25048","299","RT @sparklytooru: https://t.co/os9QtNZQta"
"25049","299","@ERENY3AG3R thank you, zef."
"25050","299","@naoyalatte makan dulu, sakit ntar"
"25051","299","RT @necoviii: https://t.co/qgcpaFlORq"
"25052","299","makanan https://t.co/rxUvQtJOcH"
"25053","299","udah kok https://t.co/2aHuJxIDnZ"
"25054","299","RT @PADSET: ㅤ
ㅤ
ㅤ  ㅤ      Saya tanya Anda jawab

ㅤ    ㅤ     ㅤ  QRT ya mniezz
ㅤ
ㅤ"
"25055","299","@naoyalatte udh makan kah?"
"25056","299","@naoyalatte i hope so..."
