"id_tweet","id_user","tweet"
"17844","220","@jokowi Amin"
"17845","220","Minim prestasi jadi terpaksa bangun prasasti di masa pandemi Covid-19 ini. 
Prihatin. https://t.co/QYJRZ5TwSQ"
"17846","220","@FirzaHusain Nah itu ygsedang ngomong sedang buzz maka dia adlh buzzer"
"17847","220","@MataIndonesia8 @aniesbaswedan Jgn sampai ada propinsi daerah khusus org edan"
"17848","220","@KompasTV Oknumnya layak dihukum mati.
Krn dia sdh menikmati hasil mejual senjata utk membunuh para angota TNI POLR… https://t.co/J55HxilSNs"
"17849","220","@KrisyantoOni Dari wakil rakyat jadi pemimpin rakyat #GanjarOK"
"17850","220","@Dennysiregar7 @PDemokrat Hidup #BuzzerNKRI"
"17851","220","@KrisyantoOni Dasar emang tabung melon licik sempurna"
"17852","220","Bahagianya mendapat penghargaan. 
Selamat! 
 https://t.co/OlQ8mxLoRk"
"17853","220","@KompasTV Bandel atau tdk paham? Sdh ditetapkan sbg ormas terlarang masih berani muncul.
Yg bandel dalangnya
Yg tdk paham pion2 suruhannya"
"17854","220","@Corona_KafirNw Propessor bocor, .....pak Hasto tdk ada menyebut DKI atau pemimpinnya"
"17855","220","@mochamadarip Toleransi sesama wong edan"
"17856","220","@mochamadarip Yg kiri, ""Semoga badai cepat berlalu""
kanan, ""Selamat datang Ibu"""
"17857","220","Dari ujung rambut ke ujung kaki ditutupin. Isinya apa ya? Penampakannya spt dlm video https://t.co/VqE5Eux6iG"
"17858","220","Proud of you  (Terpesona) https://t.co/vsxzEiJOXJ"
"17859","220","@KompasTV Boten nopo-nopo to mbah
Yg penting kaya akan kebaikan hati dan syukur kpd Tuhan"
"17860","220","@lejef @listy9021 @4dit14_P Amin"
"17861","220","Membahas air(banjir) kagak ada habisnya krn sumber utamanya dari langit. Bagaimana kesiapan anda utk menghadapinya?… https://t.co/Sf5smlOTOi"
"17862","220","@SantorinisSun @sanuri118___zz Mksh bang 🙏"
"17863","220","@AeBabahno @03__nakula @RiuRizkiUtomo_ @wisanggeni_084 Lagi cari goloknye bang Japar kebawa ame arus kali krukut"
"17864","220","@OYODNAH_INOR @KompasTV Yg benar dari langit mas"
"17865","220","@sanuri118___zz @SantorinisSun 😀 Terimakasih bang utk atensinya"
"17866","220","@SantorinisSun @sanuri118___zz Paling tepat  ""Kiriman dari Langit"""
"17867","220","@KompasTV Pengen lihat brp banyak pemuja anies?  Katakanlah yg benar!"
"17868","220","@KompasTV 2 Thn khilaf???????????????????????????"
"17869","220","@kompascom Mudah2an yg ngirim bukan si cepat atau si halu"
"17870","220","@MataIndonesia8 Si ibunya yg oon, knp dia tinggal pergi anak2 perempuannya. Menyesal tak ada guna. Sdh tau buaya"
"17871","220","@KrisyantoOni @CakNunTv @MYahyaWaloni Pilihan rakyat langsung, jgn mimpi @CakNunTv utk menurunkan pak Jokowi spt Suharto."
"17872","220","Kalau yg seharusnya jadi panutan masyarakat tdk mampu memberi contoh yg baik, maka ada baiknya anda belajar kpd yg… https://t.co/NSc0cfefdB"
"17873","220","@KompasTV Ini sdh puncak hujan, drainase mengapa tidak dipersiapkan?? 
Laporan KLASIK"
"17874","220","@angedespoir5 Di pintu air Manggarai ngecek sdh brp meter qubik air yg lewat"
"17875","220","@gembong_warsono Fungsi pengawasannya di mana??  
nothing Action Talking Only PDIP"
"17876","220","@MrsRachelIn Telat peringatannya setelah bertahun2 dia berkoar2 ke seluruh Indonesia dan ramai di media sosial. Selama ada pembiaran"
"17877","220","@DavidWijaya82 Bibit ikannya sdh ditabur blom"
"17878","220","@kompascom Mendingan dibuat jadi RTH daripada ke depannya lebih parah"
"17879","220","@kompascom Sampai dibtitik ini, anda org hebat, dan teruslah menjadi orang yg hebat"
"17880","220","@kompascom Tuhan tambah2kan hikmat dan kebijaksanaan kpd pemerintah dlm mengatasi semua masalah yg ada."
"17881","220","@merdekadotcom Anak TK juga paham itu. 
Tidak perlu penjelasan seorang gubernur Daerah Khusus Ibukota"
"17882","220","@YRadianto Di sana lobangnya kurang banyak jadi air ngantre ke jalan"
"17883","220","@merdekadotcom Hanya 329kk?  Blm mencapai target ya"
"17884","220","@yunartowijaya Geis kalipah F1 kpn mulai?"
"17885","220","@DivHumas_Polri Tuhan memberi kesehatan,imun tubuh yg prima  dan memberkati para relawan/petugas C-19.
Semoga cepat berlalu"
"17886","220","@KompasTV Hebat pak Rudi , sehat selalu!"
"17887","220","Pembohongan/pembodohan terencana yg mempermalukan diri sendiri dan pribadi yg didukungnya.

Polemik Foto Gunung Ged… https://t.co/4lwZHt9XOz"
"17888","220","Vaksin Nusantara dr Terawan  butuh dukungan penuh dari pemerintah khususnya bapak presiden @jokowi 

Komentari Vaks… https://t.co/WJIIkLRdBU"
"17889","220","@KrisyantoOni Tiga kata,  SALUT dan HORMAT"
"17890","220","@kompascom Sangat terpuji, kembali berkarya pd keahliannya dan jadi berkat buat org lain"
"17891","220","@KrisyantoOni Akan makin stresslah si yahya waloni, Tuhan sdh mengacaukan otaknya"
"17892","220","@KompasTV Mencintai(minginginkan)hak milik org lain adlh dosa, pelanggaran Hukum Taurat ke 10"
"17893","220","@Dennysiregar7 Miiriisss, kapan pintarnya ya"
"17894","220","@KrisyantoOni Pak presiden datang melayat, luar biasa"
"17895","220","@Lundayee @sanuri118___zz Terharu melihatnya sampe mrebes mili"
"17896","220","@Nirmala_F2021 Luar biasa"
"17897","220","@AnakKolong_ Yg ditutupi kopiah cuma secuil jd pemikirannya gitu"
"17898","220","@KrisyantoOni Keren tuh bang kaosnya kalau sdh jadi boleh size M 1 ya 😃 #BravoNKRI"
"17899","220","@ridoyando201 Amin. Semangat ya mas! 
Hati yg gembira adlh obat"
"17900","220","@ArisWila Bibit yg baik di tanam di manapun akan tumbuh dgn baik ❤ dr Terawan Putranto"
"17901","220","@sanuri118___zz Bohong itu kreatif ya bang 😀"
"17902","220","@YRadianto Sebaiknya begitu agar tidak merusak tatanan yg ada"
"17903","220","@PantunJ2P @YRadianto @MUIPusat @ustadtengkuzul @PKSejahtera Gaspol... jgn kasih kendor para #BuzzerNKRI adlh org2… https://t.co/oR6DGDceCy"
"17904","220","@YRadianto @MUIPusat @ustadtengkuzul @PKSejahtera @PantunJ2P Haramnya d mn?  tdk memfitnah, tdk menghasut dan tdk ngehoaks"
"17905","220","@KrisyantoOni Amin"
"17906","220","@merdekadotcom Hukum ditegakkan utk mendapatkan keadilan. Semoga keadilan itu bisa didapatkan"
"17907","220","@KrisyantoOni Bantu dari luar ya bang semoga sukses. Demi kebaikan God bless"
"17908","220","Sampai tahun berapa tempat ini bebas banjir ya? https://t.co/eqUHQCYY1O"
"17909","220","@KrisyantoOni @Dennysiregar7 Tambah satu lagi bang #CebongBerintegritas"
"17910","220","@Dennysiregar7 @dinaslhdki @aniesbaswedan Hahahahaha...... kreatip"
"17911","220","@kompascom Surat protes masuk dulu baru sebulan kemudian ada oernyataan bahwa yg diprotes tidak tahu menahu.  Sudahinum susu belum dek"
"17912","220","@Dennysiregar7 Mantap bang"
"17913","220","Partai mana yg mau mengusung? https://t.co/xUUueKku4y"
"17914","220","@KompasTV Apa yg lo jual?"
"17915","220","@Corona_KafirNw Terapkan di sekolah keagamaan (swasta) tetapi tidak utk sekolah Negeri
Sekolah Negeri adlh milik ne… https://t.co/3RUXhWtrUI"
"17916","220","@fadjroeL @waskita_karya @jokowi @JubirPresidenRI Rest In Peace"
"17917","220","@RachlanNashidik Lebih baik hambalang dirongsokin lumayan hasilnya buat nambah bangun museum satu lagi agar generas… https://t.co/NMc0plhUHz"
"17918","220","@mochamadarip @sanuri118___zz Tunggu yg edan edan pada ga ada baru diusut"
"17919","220","@Candraasmara85 @sanuri118___zz Ibu2 hadiiirrrrr"
"17920","220","@KompasTV P'Terawan, always be a blessed for blessing"
"17921","220","@AnakKolong_ Fungsi utamanya utk membajak sawah yg telah digantikan oleh mesin. Sementara dagingnya tidak laku diju… https://t.co/0l4uWHUB2w"
"17922","220","@KompasTV Layak. 
Pertanyaannya, berani? 
Jika ia, hebat!"
"17923","220","@kaesangp Bersyukur
Apabila dikasih senyum sm mas Kaesang"
"17924","220","@bringas3006 @KomnasHAM @CCICPolri @NKRI__1 @Aryprasetyo85 @tjhinfar21 @Nirmala_F2021 Ini org berpendidikan katanya… https://t.co/ks5SruSXeS"
"17925","220","@KompasTV Yg mengkritik umumnya para politikus yg notabene org berpendidikan dan paham hukum. Memngkritik seharusny… https://t.co/Lw3KLRaPzk"
"17926","220","Bingung dan penasaran, ""Sejak kapan Gunung Gede Pangrango kelihatan jelas dari jalan raya di pusat Jakarta?
Hebat t… https://t.co/Xy82kaqGW7"
"17927","220","@RachlanNashidik Ini narasi jadi membongkar borok- borok sendiri"
"17928","220","Sangat setuju
Ada skala prioritas seperti yg sering disampaikan p'Jokowi https://t.co/Ch7OKYOVvT"
"17929","220","@MrsRachelIn Euphoria selama lima bulan, maintenancenya ga paham akhirnya jadi rongsokan atau habis dijual utk ngar… https://t.co/Flj6B4f2lS"
"17930","220","@jokowi Semoga kita bisa cepat keluar dari permasalahan ini. Doa + uasaha maksimal + campurtangan Tuhan = sempurna. Optimis 😊"
"17931","220","@Ephraym9 @DeHoutman_id Amin"
"17932","220","@Dennysiregar7 #BuzzerRNKRI siap menghadang radikalis media"
"17933","220","@Dennysiregar7 Penfanut paham bumi datar itu biasa bang"
"17934","220","@Aalembur Otak Rocky Garong sdh ga bisa direvisi krn sdh dpl"
"17935","220","@merdekadotcom Ada malpraktek? 
Make it clear!"
"17936","220","@AnakKolong_ Dsimpan di Cipinang 😊"
"17937","220","@mediaindonesia Baiklah"
"17938","220","@Corona_KafirNw Dibuang Tuhan dan jatuhnya k sana. Prihatinnya banyak umat yg mendengar olok olokannya. Terbayang dong kualitas jamaahnya"
"17939","220","@Garuda_Sakti1 Kembaran ya a 😊
Buzzer NKRI..... go.. go.. go, cumungut"
"17940","220","@KrisyantoOni Cakep bang"
"17941","220","@Dennysiregar7 @ReflyHZ Semakin banyak bicara, semakin kelihatan kualitasnya."
"17942","220","@MataIndonesia8 @DivHumas_Polri @Kemenag_RI @BNPTRI @jokowi Mengacau atas nama agama. Merusak nilai2 keagamaannya s… https://t.co/bY2LtCWzSN"
"17943","220","@Parapat_Nixon @jokowi @DivHumas_Polri @BNPTRI Caper"
