"id_tweet","id_user","tweet"
"32171","373","Champions Fun Match - League of Legends: Wild Rift #2

https://t.co/DflF1bGq9j"
"32172","373","@luv4nihachu @sweatcalm haha"
"32173","373","@sihksihk pick 1 agent then use it frequently"
"32174","373","@sihksihk I carry u letsugo"
"32175","373","📸 https://t.co/RMQiBv6TJu"
"32176","373","https://t.co/YjFRn7q8YK"
"32177","373","@OnlyPqin tsk. 2 ez"
"32178","373","@erhaaaaaaa me TF no cap"
"32179","373","@aricklt ☺️☺️☺️☺️"
"32180","373","@FajarRizqy8 nope"
"32181","373","I WILL JOIN WILD RIFT ESPORTS TEAM BOSS FUN MATCH TONIGHT LIVE AT wildriftesportsindonesia YOUTUBE CHANNEL-- 7PM SH… https://t.co/jAAjwucJk7"
"32182","373","@CCICPolri I'll be minding my own business"
"32183","373","Now I have more than $10k so I leave that behind

I take 4 if it's Business/First Class

If it's not then I pick 5… https://t.co/pN5XntKDC5"
"32184","373","good night🌙
https://t.co/oCj5vpRZcw"
"32185","373","@AYEHUASCA btr msh in game"
"32186","373","@caramelia__ ...im still on silver how tf i carry plat"
"32187","373","@AYEHUASCA ign#?"
"32188","373","Wild Rift, anyone?"
"32189","373","@IrlieWijanarko @copuco_ yee bawa2 velg u mah.. yodade w dkung😤"
"32190","373","@cursedkidd nga ad ak"
"32191","373","@copuco_ buat apa anjing irli"
"32192","373","who https://t.co/cYmKvywfLI"
"32193","373","Bule discovered kolek https://t.co/adZ7HBAj1X"
"32194","373","@TepeJumpers anda siapa"
"32195","373","whos having a birthday today"
"32196","373","@Eno_Bening wah"
"32197","373","@_mardial_ capek bgt"
"32198","373","@AndriasR4 bade ngising sek"
"32199","373","🙄 https://t.co/XuDZI8AlLh"
"32200","373","@sxltedcaramells 🥺🥀"
"32201","373","gmn https://t.co/xkhRrJNc1f"
"32202","373","ON STREAM IN 5 https://t.co/4PftCFkJHi"
"32203","373","sepi https://t.co/6Jpbn7rhcs"
"32204","373","RT @animegaIlery: https://t.co/YjBk1IHIEY"
"32205","373","@ajengnsav 👀"
"32206","373","LAST DAY VALORANT TOURNAMENT https://t.co/mIYySDIBi9"
"32207","373","@thiceee buset kaga uda2"
"32208","373","fuck I leaked it zz baka"
"32209","373","🍀 https://t.co/V164d7BUFI"
"32210","373","DAY 2 VALORANT TOURNAMENT https://t.co/seHDwZzyKm"
"32211","373","DAY 2 VALORANT TOURNAMENT AT 7 PM"
"32212","373","first time Jesus doing vlog on youtube: https://t.co/UoodDzH5kk"
"32213","373","10s timer https://t.co/AU6oVwPsJZ"
"32214","373","@juliusnovanc hehe"
"32215","373","yourbae/YOURBAE"
"32216","373","@pillowsloverz @katadochi suru wendy😶"
"32217","373","@katadochi pas denger begitu"
"32218","373","@okysuwu I'll have another round today at 7pm. anyway, thanks🤍"
"32219","373","@katadochi bukan nasinya"
"32220","373","@katadochi apa rasanya"
"32221","373","I feel tired..like- VERY TIRED"
"32222","373","👀 @MikeCervello"
"32223","373","MY VERY FIRST VALORANT TOURNAMENT

https://t.co/RzeqWZJjfT https://t.co/susngkT0DS"
"32224","373","@i6tweets @_Wendywalters wendy punya satu yg ada isi e saac"
"32225","373","@okysuwu 👁👄👁"
"32226","373","akwoakwoakwoa @YBRAP https://t.co/Eec2dCzPUV"
"32227","373","🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️🤷🏽‍♂️ https://t.co/jYiwk5Nc4l"
"32228","373","@majelismeyong taiiii"
"32229","373","@nocturnsl waibi. he cute"
"32230","373","@dimsaditiya bro it's 1AM you could fuck but you chose to be hotman"
"32231","373","@lordatps 9"
"32232","373","@ioioajaa HxH"
"32233","373","@yamapaopao BAE"
"32234","373","@pablossins love yourself"
"32235","373","#AskYB https://t.co/MQ03V5Q7KA"
"32236","373","@Joan_alfarizi baka"
"32237","373","LATIHAN BESOK TURNI

https://t.co/nyZcd440bl"
"32238","373","I join Valorant tournament tomorrow haha"
"32239","373","@Eno_Bening anak anjing"
"32240","373","memes"
"32241","373","@JakaAdy beli dimanaa"
"32242","373","@tilehopper ☺️"
"32243","373","@s_hz2000 bentrok sama rilisan astralwerks kawan"
"32244","373","I promise this year I/WG will produce OST for anime. I'll retweet this later. Ikuzo minna!!!!"
"32245","373","@clara_ng ntr gua tanyain kl ud ada jwbannya gua email"
"32246","373","@itsclevt how much"
"32247","373","https://t.co/NsNHQK1W7W https://t.co/lLBsfbdnzG"
"32248","373","@fullmoody fact💯"
"32249","373","Selamat Hari Musik Nasio- https://t.co/eTD5zo8MOs"
"32250","373","Random camera roll /1 https://t.co/j1KA2VJ1qp"
"32251","373","@SnipedPaulie BROOOO💀💀💀💀"
"32252","373","yay/nay https://t.co/74mCpeUUQA"
"32253","373","@piggiehyunsuk 👀"
"32254","373","@SafitriAlifatun @AREAJULID I'm not even a real rapper"
"32255","373","@ladazaa Alice.."
"32256","373","@_Wendywalters aduh ngatau ah"
"32257","373","WHERES THE SUPER FOLLOWS WHEEEERE😡😡😡😡"
"32258","373","zup https://t.co/28MEg47zQk"
"32259","373","@PanduAnakBaik 1375 gas"
"32260","373","need to put '203k Followers On Tiktok' on my bio"
"32261","373","Go.

LITTLE NIGHTMARES II EP. 1 - YB https://t.co/CTbqRwzcPx"
"32262","373","@Masmasbiasa6 @hooligrad wii"
"32263","373","@BincangSyariah ASJDJSKKSLSKAKSKALAOEOQO"
"32264","373","@IDNTimesSumsel ..."
"32265","373","GOING TO BLOW SUM HEADS LFGGGG

https://t.co/XSKxTNPGGC"
"32266","373","LNII"
"32267","373","@mamatamu_ @hiboorans apa yang berubah anjing"
"32268","373","@_Wendywalters gua wakilin yang wendy mau sampein yak. emosi bgt dia haha

kalo emang kuarga wendy sesuai sama ster… https://t.co/Cx3evVHwBr"
"32269","373","https://t.co/ciYyGRq3rQ"
"32270","373","da gila https://t.co/NEuXUnZSMF"
