"id_tweet","id_user","tweet"
"19135","233","kakk...kakk...kakakk...🙃 maap lagi ML https://t.co/cR5pkWrUQ6"
"19136","233","LAGI MARAH !!!...karena saya gendut 😡 @ Cafe D'Pakar https://t.co/4DXcXvF4MS"
"19137","233","akhirnya kesampaian juga maen kolam cetek 🙂 @ Cipanas, Garut - Jawa Barat https://t.co/lCGHR7geN6"
"19138","233","sieun bade nyebrang 😏 https://t.co/rCHUb7siHk"
"19139","233","awalnya muka ngantuk...ketemu kopi jadi terang benderang 😄
@rm_priangan_timur 
@numpangngopi_ @ Batu Tumpang Cikaja… https://t.co/D4ifacxGSb"
"19140","233","itu gunung apa bukit ya?? 🙂 @ Cikajang Garut JawaBarat https://t.co/UsOtRJaCND"
"19141","233","nggak akan pernah bosen meng edukasi tentang covid19...pencegahan ataupun penanganan saat terinfeksi covid19...🙏 https://t.co/ZERkzyI5OQ"
"19142","233","ngopi+combi+pinggir jalan kota bandung...perfecto !!! 😁
@lestarikopilembang @ Bandung https://t.co/XinOiKGB3w"
"19143","233","Ngopi di tempat yang unik 👍 @ Sama Dengan Cipaganti https://t.co/VrWZE02bk2"
"19144","233","masih sisa anak band...bersama cahaya 😍
@natashawilona12 https://t.co/3FbgnyHrJh"
"19145","233","Hito and Feli wedding 😍 https://t.co/7mr1EBokGN"
"19146","233","Tim CINTA KARENA CINTA 😍 https://t.co/3oGLv7sZvp"
"19147","233","bersama cogan2 masakini..
@ryanyansen 
@giorgino_abraham 
@t_orasudi_ro https://t.co/5zBlTVZ0EP"
"19148","233","wefie sisa semalam...😁
@djorghisultan @hapsarianissa29 https://t.co/4UCXhAej8P"
"19149","233","kalian anak muda luar biasa !!!
@ajunperwira @aditsur88 @bobieantonio08 @magharra @farhanrasyidd @erdin.werdrayana… https://t.co/JbXvOQKxrs"
"19150","233","om band dan tante band 🤘
Partner kerja yang seruuu 🙏👏 @nunudatau 
#anakband 
#anakbandsctv https://t.co/hbQFPxWSDG"
"19151","233","agak gugup dan grogi ☺🤭
#anakband 
#anakbandsctv https://t.co/q8HG20WIM2"
"19152","233","Senior panutan...😍
#anakband 
#anakbandsctv https://t.co/AY0895YVIJ"
"19153","233","om band...mama band..papa band 😁🤘
#anakband 
#anakbandsctv https://t.co/Os6TZq4Fq4"
"19154","233","anak band dan om band 🤘
#anakband 
#anakbandsctv https://t.co/e1aqbJWrVX"
"19155","233","kelamaan nunggu callingan syuting anak band hari ini ...ngegas2 duluu ahh...#halusinasi #gilasyuting 😁
#streetcub https://t.co/NEyD8lGBBp"
"19156","233","ANAK BAND malam ini...seruu !!! https://t.co/wQc85pLml6"
"19157","233","ANAK BAND malam ini di SCTV !!! https://t.co/6z0ih3Y00e"
"19158","233","saksikan ANAK BAND malam ini di SCTV !!!
#anakband 
#anakbandsctv https://t.co/ahXXXTbNoi"
"19159","233","Just posted a photo https://t.co/7sFZXuFGjp"
"19160","233","THE JUNAS 🤘
#anakband 
#anakbandsctv @ Ciawi, Jawa Barat, Indonesia https://t.co/CCoNrNpRE6"
"19161","233","ANAK BAND di SCTV https://t.co/kIU4xrtn9N"
"19162","233","Om Band 🤘
#anakband 
#anakbandsctv @ Ciawi, Jawa Barat, Indonesia https://t.co/Ba0rFhfoeU"
"19163","233","menunggu panggilan...
@langitbiru.coffee https://t.co/zdhwElZ10K"
"19164","233","Menikmati suasana mendung kota bogor..😁
@id_bambang
@bnitipradja
@budi_ao234
@onscootgarage https://t.co/5Z8omr9QLo"
"19165","233","muka bantal vs kopi 😎
@stucocoffee https://t.co/lcoEd683UE"
"19166","233","Pasukan THE JUNAS  🤘
@ajunperwira 
@bobieantonio08 
@aditsur88 
@magharra 
@farhanrasyidd 
#anakband 
#anakbandsctv… https://t.co/Ja4R7svYgV"
"19167","233","ANAK BAND now di sctv !!!! https://t.co/fwHrPlxCXn"
"19168","233","lagi jaga lapaknya mang odet 😎 https://t.co/VAtxPG0AXW"
"19169","233","Keluarga ketjil di ANAK BAND 😎
#anakband 
#anakbandsctv https://t.co/RPMYz88F1y"
"19170","233","ANAK BAND now !!! https://t.co/wUZD4K1FlT"
"19171","233","Pasukan ANAK BAND pengejar rating 😃
#anakband 
#anakbandsctv https://t.co/QBr68zr69l"
"19172","233","Episode ANAK BAND sore ini !!! https://t.co/VKagqCXSDd"
"19173","233","ANAK BAND tayang jam 18.00 di SCTV !!! https://t.co/pIyf0je583"
"19174","233","sambil nunggu action! ..bagaya dulu sikit 😁 @ Tempat Mengais Rejeki https://t.co/DZ0vSLNocS"
"19175","233","caci maki tidak akan memperbaiki yang telah terjadi, tangisan juga tidak akan mengembalikan yang sudah sudah lewat.… https://t.co/3TeLKVcqDE"
"19176","233","ANAK BAND malam ini di SCTV !!! https://t.co/bOUnyk7ls5"
"19177","233","muka happy ketemu tempat ngopi asik 😁 @ Tempat Janjian https://t.co/q0VX4SNUIy"
"19178","233","pada kumpul....ada apa ya?? 🤔
#anakband https://t.co/AgwHHu3lsk"
"19179","233","apakah dia zafina?? 🤔
#anakband https://t.co/jKvUOdmzuz"
"19180","233","anak scooter kebanyakan gaya 🤣 https://t.co/bPSYxYEUP7"
"19181","233","ANAK BAND malam ini di SCTV !! https://t.co/9nmOJaAnm3"
"19182","233","anak muda lagi bergaya 😁
@nunudatau @mamiiren @ Kluwih Sunda Authentic https://t.co/onz3Gg7yA9"
"19183","233","ANAK BAND di SCTV NOW !!! https://t.co/ZfBo8XXQZM"
"19184","233","TIARA - WIJAYA  yang nggak pernah akur 😁 @nunudatau
ANAK BAND setiap hari jam 19.40 di SCTV
#anakband 
#anakbandsctv https://t.co/I1ZVG1PpcY"
"19185","233","The JUNAS - WIJAYA -SHEILA
setiap hari jam 19.40 di SCTV https://t.co/omA0HAPw6r"
"19186","233","ISTRI TERCINTA sore ini di SCTV https://t.co/yxwrTMyWaS"
"19187","233","""Kunci kenikmatan itu cuma satu : Jangan melihat kenikmatan orang lain."" 
-Gus Baha- https://t.co/3FyT20NeHk"
"19188","233","ANAK BAND skuy !!!! https://t.co/3WpkHxLCKS"
"19189","233","ISTRI TERCINTA di SCTV  now !! now !! now !! https://t.co/KGbFV2FonA"
"19190","233","Episode ANAK BAND malam ini !!!
Semakin makinnn !!! 😁
SCTV !!! https://t.co/7IZFXUkaGB"
"19191","233","Semakin ceruu nih...ISTRI TERCINTA !!
SCTV !!! https://t.co/ZHkOdCwb5A"
"19192","233","ANAK BAND !!!
SCTV NOW !!! https://t.co/3hl3Z4DXmO"
"19193","233","ISTRI TERCINTA !!!
sctv now !!! https://t.co/McwmVrh7he"
"19194","233","ISTRI TERCINTA !!!
SCTV !!! https://t.co/UJUZsihjZq"
"19195","233","ANAK BAND Now !!! https://t.co/jj1UKitOGr"
"19196","233","A N A K  B A N D !!! https://t.co/PrIuVaqdMb"
"19197","233","ANAK BAND di SCTV malam ini !!! https://t.co/TAQaQXmXi3"
"19198","233","""Selamat utk Diagnos Laboratorium yang sudah hadir di RS Edelweiss, Soekarno-Hatta - Bandung""
Sukses terus !!!… https://t.co/xyiQXRsiEC"
"19199","233","Bismillahirrahmanirrahim 🙏🙏 https://t.co/nVzqzgPCbO"
"19200","233","Jaket @psdoriginals ini menambah ke anuan gw jd naik beberapa level ...😂😂
Semoga brand lokal indonesia terus berjay… https://t.co/0z9B2jmRvG"
"19201","233","Jepretan hari ini 🙂
nunudatau @ochi_24 
#anakband 
#anakbandsctv https://t.co/K2V2T2UPgy"
"19202","233","Selamat ya mas @rafkbar buat wisuda sarjananya....semoga ilmu pengetahuan nya bisa memberikan berkah dan manfaat ya… https://t.co/MwO70ccxzE"
"19203","233","Proud of you mas @rafkbar 😍

@djorghisultan 
@anissahapsari99 https://t.co/edMH5kgjDW"
"19204","233","Seharian perut kosong dan lapar karena puasa, pas waktu nya buka puasa dapat kiriman ayam betutu bali...kok bisa ta… https://t.co/QSKdHM7dJ6"
"19205","233","Ngejar memory otot...😔

#basketball https://t.co/xGDoF7NJUd"
"19206","233","Malming sambil nyruput kopi 🙂

Shot by @rafkbar https://t.co/33VdWtWoOU"
"19207","233","Guysss, mau tanyaaa, berapa lama sih kalian kalau mau medical check up? 1 tahun, 2 tahun? Atau jangan2 ga pernah ni… https://t.co/1hcFuCh8Jj"
"19208","233","Berbuat baik pada orang yang berbuat baik pada kita, itu orang fasik pun seperti itu, maling juga seperti itu: sama… https://t.co/6r4gdjhra7"
"19209","233","W I J A Y A

anakband
@sctv_ https://t.co/flQF20ht4c"
"19210","233","Yeay .... kembali sudah bisa treatment di dermaster_id dengan dokter andalanku dr mick.dr
Nah kali ini karena masih… https://t.co/6VIO2pakgv"
"19211","233","Hello gaess! 
Buat kalian yang cape abis lari dan butuh makanan untuk ngembaliin tenaga, bisa datang ke pempekmasur… https://t.co/xW8JAglRtO"
"19212","233","ISHD WEST JAVA
LONG LIVE !!!!

LOYAL TO THE CLUB !!!
RESPECT YOUR BROTHER !!!
PROUD OF YOUR VEST !!!

#ishd… https://t.co/2Pm2d8jJ7O"
"19213","233","Buat kalian yang mau liburan ke Bandung
Cari tempat stay yang seru , dingin dan banyak fasilitas tentunya . 
Buruan… https://t.co/mTHbGayFTj"
"19214","233","Jadi !!!   Sah jadi barista 😁
kopidesabestquality @ Pendopo Kabupaten Sukabumi https://t.co/Ea8Wo25ZAt"
"19215","233","Tempat nya buat penikmat kopi di sukabumi kopidesabestquality 

Excelsa, robusta, arabika gunung 3, arabika wine, r… https://t.co/EZD8rwK5Eb"
"19216","233","😘😍
novitapetria https://t.co/bQ3v7gPPFM"
"19217","233","berkumis dan berjenggot 🙂 https://t.co/5QTgIw12NQ"
"19218","233","suatu subuh menjelang matahari terbit 🙂 @ Bumi Perkemahan Ranca Upas Ciwidey https://t.co/U1D0t3o07Z"
"19219","233","nyabtu ngemping 🙂 @ Ranca Upas https://t.co/cWFDVw8uif"
"19220","233","Bersyukurlah tiada henti...
Alhamdulillah dapat nikmat bisa isi bensin 🙂 https://t.co/rBPVzn46Nk"
"19221","233","Thx bro firmanxroughrebel buat jaket kerennya 🙏
Sukses buat roughandrebel 👍 https://t.co/kK1dS776q6"
"19222","233","Ayo kembangkan bisnis kamu bersama Genie!
Cara mudah berjualan di berbagai platform hanya dari 1 dashboard &amp;  syste… https://t.co/MHtcLSghS4"
"19223","233","Thx bro @rezvani_bccb untuk ngobrol2 santai dan jamuannya 🙏
Sukses buat lalunebdg 👍 @ Lalune Coffee &amp; Luncheonette https://t.co/gjjgJ6mmo4"
"19224","233","melestarikan budaya bangsa adalah tugas kita semua untuk itu ikatan abang none jakarta membuat suatu pertunjukan te… https://t.co/J1zLjfq8eh"
"19225","233","#pernahagakmuda 😁 https://t.co/b8lkTbRHHK"
"19226","233","Late lunch and nongkrii 😎
roughandrebel nolan__1212 @ Like earth Coffee https://t.co/A6dLjAB1HO"
"19227","233","Pic of the day 😎
#flh1200 #sportster #shovelhead #harleydavidson #ishdwestjava #1212 #ishdindonesia https://t.co/FTmESp0CvG"
"19228","233","Biar traveling aman, akhirnya hari ini saya memberanikan diri untuk Swab PCR 😊 Dapat referensi dari teman kalau di… https://t.co/k0DuErYMiI"
"19229","233","braderr braderrr aing !!!
nolan_vpishd @midiahn 
#ishd 
#ishdwestjava https://t.co/NhKR8zr120"
"19230","233","silaturahmi sama kakak2 keren 🙂🙂
maulananunu76 alisyakieb https://t.co/2Ozj69ebyG"
"19231","233","""perlakukanlah orang dengan baik dan sebisa mungkin bantulah dia...karena kita tidak akan pernah tau kalau kebaikan… https://t.co/LHDgfuLkCi"
"19232","233","HAPPY BIRTHDAY !!!
LONG LIVE !!! https://t.co/PMJmgdvwdC"
"19233","233","Selamat Hari Raya Idul Fitri
1 Syawal 1441 H 🙏🙏 https://t.co/J9Y22yZTfH"
"19234","233","nolan_vpishd 
salmanbisyir https://t.co/AtTj3WTJjq"
