"id_tweet","id_user","tweet"
"27713","327","gue mau tidur bangunin gue jam 14.05"
"27714","327","@boobsnism @incursioxx lo mau ttd gue mar :v"
"27715","327","@kkazutora siape njrit"
"27716","327","@jeancutiee siapa"
"27717","327","@piexix astagfirullah"
"27718","327","@USHIJIMNA siapa jing"
"27719","327","@y0urserot0nin yakah"
"27720","327","@incursioxx ttdku https://t.co/ta9lqk2TJ9"
"27721","327","gue mau bub dr lama tp selalu ga enak karena tkut dia sadar"
"27722","327","@PempekT_T mafa"
"27723","327","@PempekT_T DEMI GUE BARU TAU ANJIR IRI"
"27724","327","@PempekT_T JING LO DI FB??"
"27725","327","@boobsnism kok gue search"
"27726","327","@boobsnism EMANG??"
"27727","327","anitwt niknem jembut emang ada"
"27728","327","@vrincses MAKASOH"
"27729","327","@boobsnism AJG https://t.co/ZNQYJUy6TV"
"27730","327","FANCAMKU MASUK MUNCONVO SIAPA YG MASUKIN"
"27731","327","@boobsnism ini maria pikirannya porno banget anjing"
"27732","327","@PempekT_T SIAPA YG PROMOSI"
"27733","327","stream 👍 https://t.co/Ed0PnLzrsx"
"27734","327","https://t.co/LyZvUCABbf carrd ku update guys"
"27735","327","@boobsnism PONINYA BADAI ANJING"
"27736","327","@mleyotd SEREM GMN SIH"
"27737","327","@starkdustt oke"
"27738","327","@mleyotd GABGITU MONYET"
"27739","327","@elahorann oke"
"27740","327","@tamurxa lo btuh dosa bre :v hubungi *****"
"27741","327","gua lagi pengen bejulid nih dosa gue nambah gak"
"27742","327","@ningquanc https://t.co/PhBdsHbWXv"
"27743","327","@ningquanc labil bgt hyunkkk :v 😭😭💔"
"27744","327","@ningquanc hyunk 😭😭😭"
"27745","327","@hutaorus pepek chan 🥺🥺🥺🥺"
"27746","327","mora lagi sagne takut https://t.co/k6RIAMsy6Z"
"27747","327","@ningquanc MORA PSANGEEEE"
"27748","327","@ningquanc mora luhk fans gue yak :v"
"27749","327","@ningquanc mls"
"27750","327","@ningquanc bjingan :v"
"27751","327","menuju 10k :v"
"27752","327","@starkdustt yha"
"27753","327","kalo kalian berasa ga nyaman ama bahasa gua di sini bisa bub aja ya tks fren :v"
"27754","327","@PempekT_T BUKAN LO"
"27755","327","@starkdustt kt sp hyunk 😭😭😭💔"
"27756","327","@pisceseaa followed hyunk :v"
"27757","327","@pisceseaa 👍👍👍👍👍👍"
"27758","327","RT @ningquanc: @akabyane pepek"
"27759","327","@ningquanc sokap luhk hyung :v"
"27760","327","@incursioxx lewat tl :v"
"27761","327","@kugisqki yaudah tidur anjir liz bobo oh liz bobo jika tidak bobo dikasih titit jerapah"
"27762","327","@incursioxx delsoon :vv"
"27763","327","@incursioxx yg gue maksut :v"
"27764","327","@incursioxx @kugisqki sepill hyunk entar gue salah :v"
"27765","327","@kugisqki @incursioxx WKWKWK ANYINGGG :v"
"27766","327","@incursioxx gajuga sih :v"
"27767","327","@imnotresnan itu"
"27768","327","@incursioxx kayanya gua tau dah yg elu maksut siape"
"27769","327","@pisceseaa blom"
"27770","327","***** nyeremin dah"
"27771","327","zaka private dulu :v"
"27772","327","@hutaorus ajg"
"27773","327","pringles gue kok asem dah"
"27774","327","@tamurxa ak mutual lama apa baru ya kakkk sori amnesia 🥺🥺🥺🔥👩‍👩‍👧"
"27775","327","@miyachienen enih ya https://t.co/33qz4tpmbh"
"27776","327","@hutaorus gue gapunya kucing"
"27777","327","@sinnerlic anjir"
"27778","327","@incursioxx maaf y"
"27779","327","beri alasan biar ga nyalain kamera dong tpi yg anti mainstream plis"
"27780","327","KOK DISURUH UPLOAD KE INSTAGRAM KON"
"27781","327","@vrincses ga sehat lo"
"27782","327","@sinnerlic jing berakin"
"27783","327","@kugisqki https://t.co/NlvUoAfl3r"
"27784","327","mau berakkkk anhing"
"27785","327","@boobsnism anjing"
"27786","327","@sinnerlic followed"
"27787","327","@kugisqki TERUS GIMANA LO JAWAB APA"
"27788","327","@incursioxx ini pk,, https://t.co/z52ptANU9C"
"27789","327","@jeancutiee oke sudah di fb"
"27790","327","@inipineapple inii https://t.co/z52ptANU9C"
"27791","327","@hlehbabi inii https://t.co/z52ptB5vyc"
"27792","327","@starkdustt :v"
"27793","327","@kugisqki KENAPE"
"27794","327","@sagistariyours ini syg https://t.co/z52ptANU9C"
"27795","327","@jeancutiee https://t.co/z52ptANU9C"
"27796","327","@boobsnism sdh mb,,,"
"27797","327","@haitanni sudah jugaaa"
"27798","327","@boobsnism blom:v ini https://t.co/z52ptANU9C"
"27799","327","@oceancand iye"
"27800","327","@haitanni ini bungg https://t.co/z52ptANU9C"
"27801","327","@vrincses ini bre :v https://t.co/z52ptANU9C"
"27802","327","@eggxotics ini yh https://t.co/z52ptANU9C"
"27803","327","ayo tukeran spotify biar romantis"
"27804","327","@starkdustt maksih ataas support"
"27805","327","@boobsnism ngentot luhk :v"
"27806","327","@starkdustt IYAKAN"
"27807","327","@sinnerlic stuju stuju"
"27808","327","@eggxotics thx atas support"
"27809","327","@rccastle mksh"
"27810","327","pls doain ppt kelompok gue tidak terpilih agar gue ga harus presentasi di depan 3 angkatan"
"27811","327","ABIS INI PRESENTASI 🤗🤗🤗🤗🤗"
"27812","327","@PempekT_T :v"
