"id_tweet","id_user","tweet"
"33062","382","@moontitalenta bangunin za"
"33063","382","@unicornsnotreaI kamu bukan pacarku tp istirku😡"
"33064","382","@jjellyym nanti kalo tbtb w nikah ama dia jan kaget ya"
"33065","382","@sectrashs Aaminin ajaa"
"33066","382","@leopeowple @ArianaGrande ama adeknya juga gapap deh"
"33067","382","@ArianaGrande let's be my gf bby!🥰"
"33068","382","pengen punya pacar kaya ariana grande"
"33069","382","@gxgacc nanti nderr, ttp semangatt"
"33070","382","@gxgacc jd temen cerita dulu nderr yuk"
"33071","382","@p0orteen benerr ahaha"
"33072","382","@qwertyu14022 mau satu:("
"33073","382","@unicornsnotreaI ak dukung pling depan"
"33074","382","@aetheraz i hope so, btw thankyou baik bgtt km🥺❤"
"33075","382","@xmildzx thankyou, semangattt jugaaaa natttt"
"33076","382","@abbewl yash i will"
"33077","382","@iguazuraky iyaa si kayanya"
"33078","382","@ciwacihuahua Aamiin dehh ciwaa"
"33079","382","@ebibloom Aamiin, thankyou🥰"
"33080","382","@Olaaaf12 i hope so"
"33081","382","@sianakbaikbaik katakuuu iimm"
"33082","382","@ciwacihuahua gemes bgt ciwaa"
"33083","382","@kadalnyasar aku manis ga"
"33084","382","@uremergencycall gmes bgtt ka piaaa"
"33085","382","@gxgacc ayo"
"33086","382","@rlgxg gas"
"33087","382","knp ya tiap nge crushin org gapernah dapet feedback yg bagus brati bner I will never have a relationship like other ppl"
"33088","382","@chiki2rebu @gxgacc WKWKW KETAWA"
"33089","382","@jakunjeki beliin boba skrg"
"33090","382","@xmildzx harus dong"
"33091","382","@dedeayinn2 km kmna aja"
"33092","382","@unicornsnotreaI spa yg bilang ajggggg"
"33093","382","@piyoouuuu coba lg bsk"
"33094","382","@skwidipap haruss ad lach"
"33095","382","@diniwahh coba lagi bsk"
"33096","382","@xmildzx asik udh balikk"
"33097","382","@unicornsnotreaI hehe siang bby"
"33098","382","@wufbee bguss"
"33099","382","@Ysclsmn coba lagi besok"
"33100","382","@panggilakuollin ofc harusss adaa"
"33101","382","@kejucheeseee as alwayssssssss"
"33102","382","@dumplingsallday coba gedein lagi"
"33103","382","@pusschuuu_ haruss ada emang"
"33104","382","@kadalnyasar yalaah, klo gda ak marah"
"33105","382","coba liat ada km ga https://t.co/xZQW6rn2uG"
"33106","382","@pineapplepeew buang aja"
"33107","382","@bihoeld oke😳"
"33108","382","@sereinelysianc @moontitalenta HAHAHA STRESSS"
"33109","382","@lesssugarx ada ak di ujunh"
"33110","382","@arightsenpai setujuu"
"33111","382","@unicornsnotreaI bner emang aku gamau jauh² dr kamu"
"33112","382","@__4rezaa udh siang tp"
"33113","382","@kadalnyasar itu kurmaaa yaaaa asuu"
"33114","382","@milikdilan buka cabang baru ka"
"33115","382","@y0urfavbby aw ada aku"
"33116","382","@kafankun ada aku yeay"
"33117","382","@tukangciloq maaf deh"
"33118","382","panas bgt gasi"
"33119","382","@sssuckness ko gada aku:("
"33120","382","@dotbayiiii adaaa dong"
"33121","382","@uramericanno gaboleh boong"
"33122","382","@jakunjeki ikut"
"33123","382","@iptkatiw alesanya ""km terlalu baik buatku""🤡"
"33124","382","@lesssugarx benerr"
"33125","382","banyak bgt tugas lier uey"
"33126","382","@shuttupbtjh pabrik gua udh km borong ya"
"33127","382","@gxgacc sure, letsgoo"
"33128","382","@uremergencycall tidurr ka piaaa yaampun"
"33129","382","@tukangciloq iyaa jangan deh"
"33130","382","@skwidipap tdur jee udh pagi"
"33131","382","@baetjful omg cantikk bgt aaaa"
"33132","382","@belowzerou abis ngapain bew"
"33133","382","@heyimanii yaallah masi pagi"
"33134","382","@diemdieman_ morninggg, hv a great day"
"33135","382","@punyaduaa skrg udh jam 00.47"
"33136","382","@kafankun mau apa kun"
"33137","382","@diemdieman_ kenapa niii,"
"33138","382","@gxgacc yu"
"33139","382","@gxgacc yo"
"33140","382","@gxgacc @uremergencycall mantep nder peka"
"33141","382","@ciwacihuahua aww congrats ciwaaa"
"33142","382","@jakunjeki jgn lupa balik lg"
"33143","382","@unicornsnotreaI akhirnya peka"
"33144","382","@hermatchalatte knp ren wkw"
"33145","382","@rwumput ga dulu gres"
"33146","382","@lasolasido bantu tag @lasolasido"
"33147","382","@wufbee kamu ca"
"33148","382","@brz3nska siapa coba je"
"33149","382","bisa keluar dari kepalaku sebentar ga? masa lg berak juga mikirin km si"
"33150","382","@hanjakutia km papahnya?"
"33151","382","@kejucheeseee kurang papahnya brati"
"33152","382","@lasolasido tahun depan deh biar ga minor wkw"
"33153","382","@Dineshcaraaaaa hdeh udh"
"33154","382","@pensilsasetan papahnya mna ya"
"33155","382","@akutuhanaknya ga dulu ca"
"33156","382","@heyimanii gmau jadi mahmud"
"33157","382","@bukan_aripp kren juga idemu bung arip"
"33158","382","@iizxixzii mirip jodohku"
"33159","382","@lasolasido blm pernah ngerasain bucin wkwk"
"33160","382","@gxgacc yu"
"33161","382","@unicornsnotreaI @gxgacc jemput dong bby"
