"id_tweet","id_user","tweet"
"19730","239","APAPUN PIYU LAKUKAN, DEMI ""PADI REBORN"" KEMBALI HITS! INI SOSOK WANITA D... https://t.co/z2iRPYOapD via @YouTube"
"19731","239","@ashanty_ash @ananghijau @aurelie.hermansyah @azriel_hermansyah @queenarsy @arsya.hermansyah  
Hiburan disaat isola… https://t.co/4wznS8Ns4f"
"19732","239","APAPUN PIYU LAKUKAN, DEMI ""PADI REBORN"" KEMBALI HITS! INI SOSOK WANITA D... https://t.co/z2iRPYOapD via @YouTube"
"19733","239","Just posted a photo @ Anang Hermansyah https://t.co/oyG32GVMLC"
"19734","239","@ashanty_ash @ash.juice @ashantyid @ Anang Hermansyah https://t.co/d56P2DisUk"
"19735","239","pagi ini @queenarsy sudah bangun dan ceria ... terima kasih temen2 sudah mendoakan kita semua sudah mulai sehat dan… https://t.co/tCPuLg17t1"
"19736","239","Just posted a photo @ Anang Hermansyah https://t.co/sJ1Vs7xQ4f"
"19737","239","AURELIE HERMANSYAH - CINTA SEPERTI AKU (Official Music Video) https://t.co/EwESbsf46I via @YouTube"
"19738","239","KELUARGA POSITIF❗️ANANG HERMANSYAH ANGKAT BICARA‼️ https://t.co/ySmYL183BN via @YouTube"
"19739","239","KELUARGA POSITIF❗️ANANG HERMANSYAH ANGKAT BICARA‼️ https://t.co/ySmYL183BN via @YouTube"
"19740","239","KELUARGA POSITIF❗️ANANG HERMANSYAH ANGKAT BICARA‼️ https://t.co/ySmYL183BN via @YouTube"
"19741","239","Anang Hermansyah semangat nyanyi bareng Ahmad Band sebulan sebelum Orde ... https://t.co/hNUQMH0sND via @YouTube"
"19742","239","@arsya.hermansyah ganteng kamu tole .... @ Anang Hermansyah https://t.co/MT74YjuoXp"
"19743","239","CURHATAN ""CING"" ABDEL, NASIB KOMEDIAN SAAT PANDEMI hingga POLITIK ""MENGG... https://t.co/uzCNHloOji via @YouTube"
"19744","239","buat temen2 yg suka lagu kakak @aurelie.hermansyah bagian mana baik lirik atau suara kakak yg sangat menyentuh ....… https://t.co/NBmxv1PR0b"
"19745","239","AURELIE HERMANSYAH - CINTA SEPERTI AKU (Official Music Video) https://t.co/EwESbsf46I via @YouTube"
"19746","239","AURELIE HERMANSYAH - CINTA SEPERTI AKU (Official Music Video) https://t.co/EwESbsf46I via @YouTube"
"19747","239","@ashanty_ash @aurelie.hermansyah @azriel_hermansyah @queenarsy @arsya.hermansyah 
Myfamily😍 @ Lu’miere Pondok Indah https://t.co/ogI8MOuHn4"
"19748","239","ANANG ASHANTY MERAYAKAN HARI KASIH SAYANG yang ANTI MAINSTREAM!! https://t.co/5tjmPGZxS8 via @YouTube"
"19749","239","SEMPAT PUTUS, ATTA HALILINTAR LANGSUNG INGIN MENIKAH!! ASHANTY PERTANYAK... https://t.co/7Wq1937POR via @YouTube"
"19750","239","Just posted a video https://t.co/quHprdmFJf"
"19751","239","AURELIE HERMANSYAH - CINTA SEPERTI AKU (Official Music Video) https://t.co/EwESbsf46I via @YouTube"
"19752","239","https://t.co/Lau4EaDhT7"
"19753","239","AURELIE HERMANSYAH - CINTA SEPERTI AKU (Official Music Video) https://t.co/EwESbsf46I via @YouTube"
"19754","239","AURELIE HERMANSYAH - CINTA SEPERTI AKU (Official Music Video) https://t.co/EwESbsf46I via @YouTube"
"19755","239","@arsya.hermansyah lagi latihan #taekwondo @ Lu’miere Pondok Indah https://t.co/BlUi6AfpXg"
"19756","239","OUT NOW lagu baru kak @aurelie.hermansyah di @hijaumusik 🎉🎊🥳 @ Lu’miere Pondok Indah https://t.co/GMLTi8i1am"
"19757","239","Just posted a photo @ Lu’miere Pondok Indah https://t.co/I8ylt9Tskq"
"19758","239","@arsya.hermansyah @thehermansyaha6 
Gong Xi fat cai😍 @ Lu’miere Pondok Indah https://t.co/gX7b4ES6xR"
"19759","239","makannya boleh apa aja yg penting ada #TEMPE ... itu kata @queenarsy https://t.co/iuyAZwo2UI"
"19760","239","H-4 @ Lu’miere Pondok Indah https://t.co/NbO7jC8fXq"
"19761","239","@aurelie.hermansyah @aurellolycosmetics @ Lu’miere Pondok Indah https://t.co/ppRG3nz2O0"
"19762","239","@aurelie.hermansyah @aurellolycosmetics ... @ Lu’miere Pondok Indah https://t.co/hNr2vw2rRD"
"19763","239","@aurelie.hermansyah pemotretan produk #asixstudio @ Lu’miere Pondok Indah https://t.co/pjbKUwHRFv"
"19764","239","@ashanty_ash @ashantyid pemotretan di bali .... @ Lu’miere Pondok Indah https://t.co/8I4lEccmev"
"19765","239","Just posted a photo @ Lu’miere Pondok Indah https://t.co/wARZWmIdpE"
"19766","239","Just posted a photo @ Lu’miere Pondok Indah https://t.co/DsRNN9vjok"
"19767","239","@ashanty_ash @ashantybeautycare.id @ashantyid @ashantybeautycosmetics ini foto pas di Singapore... @ Bali, Indonesia https://t.co/2eCLnnUdTW"
"19768","239","@ashanty_ash ini foto pas di bali lagi fotoshoot produk @ashantyid @ashantybeautycare.id @ashantybeautycosmetics @… https://t.co/PLyiurOwkC"
"19769","239","PENGAKUAN ANANG!! BELI KAMERA ""LEICA"" 500 JUTA untuk FOTO PREWED. GUS MI... https://t.co/IJTcDqv2EG via @YouTube"
"19770","239","BAHAS KAPOLRI NON MUSLIM sampai SIAP JADI PENGHULU NIKAHAN AUREL HERMANSYAH https://t.co/WMOEgoy1Eb via @YouTube"
"19771","239","Just posted a video @ Lu’miere Pondok Indah https://t.co/Kfs6Y6t4k5"
"19772","239","@arsya.hermansyah #lelakikecilku kamu ganteng tole .... @ Lu’miere Pondok Indah https://t.co/Y1kHB8K2Tb"
"19773","239","keren @arsya.hermansyah ...... calon drumer harapan bangsa ...bagaimana menurut mas @gilangramadhan.drummer @ Lu’mi… https://t.co/IHsxtpkgkz"
"19774","239","@aurelie.hermansyah @aurellolycosmetics #asixstudio @ Lu’miere Pondok Indah https://t.co/N7c2MXTcDH"
"19775","239","@ashanty_ash @aurelie.hermansyah 
hasil fotoshoot produk 
@ashantyid @ashantybeautycare.id @ashantybeautycosmetics… https://t.co/A2I9TACbJL"
"19776","239","@ashanty_ash 
ini fotoshoot kemarin dari produk 
@ashantyid 
@ashantybeautycosmetics 
@ashantybeautycare.id… https://t.co/Huw0J13edZ"
"19777","239","@aurelie.hermansyah @aurellolycosmetics sesi fotoshoot hari ini #leica #sl2 #asixstudios @ Lu’miere Pondok Indah https://t.co/EkrqmzKplL"
"19778","239","@aurelie.hermansyah @aurellolycosmetics keren kakak ini hasil fotoshoot hari ini #leica #sl2 #bronco @ Lu’miere Pon… https://t.co/KJMToXIAqe"
"19779","239","@ashanty_ash @ashbodycare @ashantyid #bw #blackandwhite #bwphotography #bwphotooftheday #x1dii @ Lu’miere Pondok In… https://t.co/sgVNvCD4PY"
"19780","239","ampun ini anak ..... @arsya.hermansyah @ Anang Hermansyah https://t.co/lUG7CsbdnP"
"19781","239","jeprat jepret hari ini pakai #leica #246 #monochrome sama lensa legend #summarit50mmf15 @ Anang Hermansyah https://t.co/nh6olk8gow"
"19782","239","@ashanty_ash @ashantyid @ashbodycare sehat ,segar dan cantik 2021 #asixstudio @ Lu’miere Pondok Indah https://t.co/4ARqtnzTEX"
"19783","239","@ashanty_ash sehat dng @ash.juice cantik dengan @ashantyid segar dng @ashbodycare #hasselbladx1dii @ Lu’miere Pondo… https://t.co/WLc9vSo4bI"
"19784","239","@ashanty_ash @ashantyid @ashbodycare #hasselbladx1dii cantik dan sehat ini juga berkat @ash.juice jalankan #prokes… https://t.co/PGNkZw1s8a"
"19785","239","@aurelie.hermansyah @aurellolycosmetics #leica #sl2 #noctilux @ Anang Hermansyah https://t.co/b4DQB0nbLQ"
"19786","239","@aurelie.hermansyah @aurellolycosmetics #leica #sl2 #noctilux @ Anang Hermansyah https://t.co/0KJsQDeBsD"
"19787","239","@aurelie.hermansyah @aurellolycosmetics #leica #sl2 #noctilux @ Anang Hermansyah https://t.co/E21xs4zvn2"
"19788","239","@aurelie.hermansyah @aurellolycosmetics #leica #sl2 #noctilux @ Anang Hermansyah https://t.co/oXSvifqE9t"
"19789","239","@aurelie.hermansyah @aurellolycosmetics #leica #sl2 #noctilux @ Anang Hermansyah https://t.co/2lmN16pIHr"
"19790","239","ini kalau #blackandwhite @aurelie.hermansyah #leica #sl2 #noctilux #bw @ Anang Hermansyah https://t.co/3Ib2yDZh2u"
"19791","239","@aurelie.hermansyah @aurellolycosmetics #leica #sl2 #noctilux @ Anang Hermansyah https://t.co/HoOT5AcRCy"
"19792","239","@aurelie.hermansyah @aurellolycosmetics #leica #sl2 #noctilux @ Anang Hermansyah https://t.co/4SruGpv6K5"
"19793","239","@lumierepondokindah #kopisusukampung #crispypufflumiere #dessertboxlumiere #leica #sl2 #noctilux @ Anang Hermansyah https://t.co/d1MlgFyNWC"
"19794","239","@aurelie.hermansyah #refleksi #mirror #kaca #leica #sl2 #noctilux @ Anang Hermansyah https://t.co/vHLRmmvj7A"
"19795","239","@aurelie.hermansyah #bw #leica #sl2 #noctilux @ Anang Hermansyah https://t.co/cBAXjyjN7S"
"19796","239","@ashanty_ash @ashantyid ini foto produk untuk 2021 di #asixstudio di @lumierepondokindah @ Lu’miere Pondok Indah https://t.co/aieKQjzkI1"
"19797","239","cantiknya istriku @ashanty_ash hasil fotoshoot @ashantyid @ Lu’miere Pondok Indah https://t.co/DqEyYFKslP"
"19798","239","cantiknya istriku #hasselbladx1dii @ashanty_ash @ Lu’miere Pondok Indah https://t.co/rwoDx7Af3I"
"19799","239","my cool little boy @arsya.hermansyah #sl2 #cron50rigid #leica #bw @ Lu’miere Pondok Indah https://t.co/eXaG0UGyGG"
"19800","239","@ashanty_ash @queenarsy @arsya.hermansyah #sl2 #cron50rigid #leica #bw @ Lu’miere Pondok Indah https://t.co/Ji38oZna8U"
"19801","239","my little boy @arsya.hermansyah #sl2 #cron50rigid #leica #bw @ Lu’miere Pondok Indah https://t.co/jGIap5rFXd"
"19802","239","@lumierepondokindah #thaitealumiere ini baru uenak tenan seger luar biasa #yummy @ Lu’miere Pondok Indah https://t.co/1Dozzfhhbl"
"19803","239","@lumierepondokindah #lycheeteatogo kesegaran tiada tara #maknyus buat yg dahaga segera #gojekinaja @ Lu’miere Pondo… https://t.co/bdiOa7e88Q"
"19804","239","hasil fotoshoot hari ini .. by @azriel_hermansyah @lumierepondokindah #lycheeteatogo #asixstudio @ Lu’miere Pondok… https://t.co/obmRKFUsNM"
"19805","239","#summaron35mmf35 tajem banget lensa ini #sl2 @ Lu’miere Pondok Indah https://t.co/ssn0INh47k"
"19806","239","tahnx ya @young_lex18 @eriskanakesya sudah dateng ke @thehermansyaha6 sukses ya @ Lu’miere Pondok Indah https://t.co/50Ce3FIZzX"
"19807","239","@lumierepondokindah #shokupan yg selalu menggoda rasanya .... siapa yg suka , silahkan pilih dan pesan ... kalau ng… https://t.co/sx1DJ9utAr"
"19808","239","#myleica #sl2 #summicron50apo hari ini motret produk @lumierepondokindah @ Anang Hermansyah https://t.co/CY4uVHbD4a"
"19809","239","@queenarsy @arsya.hermansyah #ilovu❤️  kangen segera pulang ya ... @ Anang Hermansyah https://t.co/PmMbN66JrS"
"19810","239","@lumierepondokindah #japaneserolllumiere #lycheetea #kopisusukampunglumiere @ Lu’miere Pondok Indah https://t.co/MtLINM4Tts"
"19811","239","@lumierepondokindah #dessertboxlumiere @ Lu’miere Pondok Indah https://t.co/tfBNoYLuzL"
"19812","239","@aurellolycosmetics @aurelie.hermansyah @ Lu’miere Pondok Indah https://t.co/K6BEzTtOO8"
"19813","239","https://t.co/RLVTsvtuPr"
"19814","239","SUDAH DILARANG ASHANTY, ANANG TETAP AJAK SEMUA PERGI SAMPAI ARSY ARSYA H... https://t.co/M1VJDKtYLr via @YouTube"
"19815","239","@queenarsy mendoakan keluarga ,negara dan dunia dan segera bisa sekolah lagi serta ALLAH menurunkan pertolongan ,co… https://t.co/yk5O8smvFL"
"19816","239","@triolanjud #satuwajahberjutaingatan klik https://t.co/kl7PfNLGQV https://t.co/VKyHE7Sb9H"
"19817","239","#kopisusukampung ini kopi uenak tenan ..@lumierepondokindah https://t.co/I9S2VkpzT5"
"19818","239","ini akan di bawa ke bogor .. terima kasih @lumierepindokindah https://t.co/yy2snFED7N"
"19819","239","@lumierepondokindah  #klepondessertboxlumiere https://t.co/TC4DdKy9wo"
"19820","239","https://t.co/gqJvxsjrv2"
"19821","239","@lumierepondokindah #japaneserollcakelumiere @ Lu’miere Pondok Indah https://t.co/GqgmlsRigN"
"19822","239","@triolanjud @ari_lasso @jud1ka terima kasih yg sudah suport #satuwajahberjutaingatan @ Lu’miere Pondok Indah https://t.co/Nd0m1L8cMN"
"19823","239","#keluargakuhidupku @doublesixseminyak @thehermansyaha6 @ Lu’miere Pondok Indah https://t.co/yIAhBn1r8d"
"19824","239","@doublesixseminyak enak tempat ini di depan langsung pantai #fujifilmgfx50r #summicron50apo @ Double-Six Seminyak https://t.co/F87KySHlWY"
"19825","239","#seminyak sudah rame di bali #fujifilmgfx50r #summicron50apo @ Seminyak https://t.co/OitK8Ch5dP"
"19826","239","@revolverespresso keren tempatnya #bali #fujifilmgfx50r #summicron50apo @ Seminyak https://t.co/05Fpp4EKQA"
"19827","239","@thehermansyaha6 
Happy New Year 2021😍 
From the Hermansyah❤️ #dirumahaja #tetephappy #asalkumpul #bali @ Jimbaran https://t.co/KwkUz45TnG"
"19828","239","KEPUTUSAN SULIT AZRIEL UNTUK MELEPAS SARAH MENZEL https://t.co/FGtaAtOcvw via @YouTube"
"19829","239","TIBA-TIBA ASHANTY KEDATANGAN PUTRA, KAGET BANGET!! https://t.co/GHEB3Wj4xC via @YouTube"
