"id_tweet","id_user","tweet"
"21970","267","RT @DKIJakarta: DKI Jakarta mewakili Indonesia dalam World Summit on the Information Society (WSIS) Prizes 2021! 

WSIS Prizes diselenggara…"
"21971","267","Di masa pandemi @SatpolPP_DKI menjadi garda terdepan dan wajah Pemprov DKI Jakarta dalam menegakkan disiplin protok… https://t.co/LIx54hivcQ"
"21972","267","RT @DKIJakarta: Kolaborasi Sosial Berskala Besar (KSBB) Persampahan. Sebuah gerakan bantu sesama yang mempertemukan kolaborator dengan masy…"
"21973","267","RT @DKIJakarta: Penataan kawasan permukiman secara terpadu, sinergis, kolaboratif juga berkelanjutan, melalui program Kolaborasi Sosial Ber…"
"21974","267","RT @DKIJakarta: Perkembangan Tingkat Keterisian Tempat Tidur Isolasi dan ICU di 106 Rumah Sakit Rujukan #COVID19 DKI Jakarta, hingga 28 Feb…"
"21975","267","Untuk mendapatkan harga promo diatas teman-teman bisa berbelanja di Gerai JakGrosir dan Mini DC Perumda Pasar Jaya… https://t.co/OdMtSmWmt2"
"21976","267","Bahan baku murah dari @perumdpasarjaya untuk teman-teman Jakpreneur dan UMKM!

Berikut promo bahan baku murah yang… https://t.co/nR9Xrpvod8"
"21977","267","Sudah uji emisi?

#JakartaLangitBiru https://t.co/QB59Jh0YyG"
"21978","267","RT @DKIJakarta: Untuk mendukung Kegiatan Strategis Daerah Peningkatan Kualitas Fasilitas Pedestrian, di tahun 2021 ini, Pemprov DKI Jakarta…"
"21979","267","Kepada teman-teman @humasjakfire, di pundak Anda semua ada keyakinan ini tugas mulia, ada kehormatan yang dititipka… https://t.co/uzENw1F1uS"
"21980","267","Innalillahi wa inna ilaihi raji'un. Turut berduka cita atas wafatnya Bpk Artidjo Alkostar (mantan hakim agung, Dewa… https://t.co/dzzVnG4rqL"
"21981","267","Nahdlatul Ulama hadir menjadi salah satu pilar penjaga utama republik ini dan sabuk pengaman perjalanan sejarah ban… https://t.co/mbGAyek2a1"
"21982","267","RT @ITDP_HQ: Selamat untuk Jakarta Pemenangnya #STA2021 @itdpindonesia @DKIJakarta https://t.co/D1TrrVCQso"
"21983","267","Mengecek progres Jalur Sepeda Terproteksi di Sudirman-Thamrin. 

Jalur sepanjang 11,2 km dan lebar 2 meter ini dire… https://t.co/tkx8OXYlHR"
"21984","267","Turut bersyukur bisa berkumpul dalam perayaan Cap Go Meh, bersama keluarga besar @PerhimpunanINTI (Indonesia Tiongh… https://t.co/2jgSn8CWTD"
"21985","267","Alhamdulillah, setelah pada Oktober 2020 lalu Jakarta diumumkan sebagai pemenang, tadi malam terlaksana acara penga… https://t.co/G6mwz9AkFd"
"21986","267","2021 Sustainable Transport Award Ceremony
@itdpindonesia @ITDP_HQ 
#STA2021
https://t.co/0J6XkmW5Nk"
"21987","267","Teman-teman, mari rayakan bersama kemenangan Jakarta pada #STA2021.

Malam ini, 25 Februari 2021, pukul 19.00 WIB
R… https://t.co/LPEV6aV2Hq"
"21988","267","RT @ITDP_HQ: Join us February 25th at 7 pm WIB | 12 pm EST in celebrating the STA Winner, Jakarta, Indonesia for its impressive work on int…"
"21989","267","RT @DKIJakarta: Teman-teman, berikut poin penting kebijakan aktivitas selama masa PPKM di Jakarta.

Yuk, jalankan pembatasan kegiatan jni s…"
"21990","267","RT @disporadkijkt: Dinas Pemuda dan Olahraga Provinsi DKI Jakarta ikut berpartisipasi dalam penanganan banjir yang melanda Provinsi DKI Jak…"
"21991","267","Alhamdulillah, genangan dan banjir akibat hujan ekstrem pada Sabtu dini hari (20/2) telah tuntas ditangani.

Sebuah… https://t.co/NWzRGp19xD"
"21992","267","RT @DKIJakarta: Kini, tak perlu bingung lagi jika ingin mengetahui ketersediaan tempat tidur di RS rujukan COVID-19. Lewat aplikasi JAKI ka…"
"21993","267","RT @DKIJakarta: Guna terus menekan laju penurunan kasus aktif di Jakarta, Pemprov DKI Jakarta kembali memperpanjang masa Pemberlakuan Pemba…"
"21994","267","Atas nama Pemprov DKI Jakarta turut berbelasungkawa atas wafatnya Arjuna Satria Perdana (7) dan Chris Dewa Al Rohma… https://t.co/OHIoE5Hyx4"
"21995","267","Memimpin Apel Operasi Lintas Jaya 2021 pagi tadi di Balai Kota.

Kepada seluruh jajaran #OperasiLintasJaya2021, jad… https://t.co/5tVsVUunAz"
"21996","267","Pengumuman dari @dinkesJKT:

 Pendaftaran Vaksinasi COVID-19 bagi Lansia ber-KTP DKI Jakarta melalui… https://t.co/DIR5Md9Iek"
"21997","267","RT @Disdik_DKI: Pendidikan yang tuntas dan berkualitas bagi semua dengan KJMU

Kabar gembira! Pemprov DKI Jakarta melalui @disdikdki telah…"
"21998","267","Alhamdulillah, pagi ini ruas-ruas jalan yang tergenang luapan Kali Krukut sudah dapat dilintasi seperti biasa.

Apr… https://t.co/d0WehOOVMB"
"21999","267","RT @DKIJakarta: Terima kasih dan apresiasi kepada seluruh jajaran Pemprov DKI Jakarta, dan relawan yang siaga, tanggap dan galang, bahu mem…"
"22000","267","Menyapa warga di posko pengungsian dan dapur umum di GOR Otista, Jakarta Timur siang tadi. 

Apresiasi kepada selur… https://t.co/r7eAT27ufH"
"22001","267","Pagi tadi, memeriksa langsung pengendalian pintu-pintu air dan rumah pompa. Serta koordinasi lapangan di Posko Benc… https://t.co/ITI4L3zntn"
"22002","267","RT @DKIJakarta: Jakarta diguyur hujan semalaman. 

Jika teman-teman menemukan, ataupun mengalami keadaan darurat, hubungi Call Center 112.…"
"22003","267","RT @DKIJakarta: Pemprov DKI Jakarta melalui program Kartu Jakarta Mahasiswa Unggul (KJMU) membuka kesempatan bagi teman-teman yang baru lul…"
