"id_tweet","id_user","tweet"
"26417","314","@Shellaemeliana1 tentu sj🌝"
"26418","314","@ayyuaspita19 met pagiee"
"26419","314","@typingwriters emng pd kemana"
"26420","314","sekarang tiap pagi kalo gak cek hp dulu kek ada yang kurang, padahal isinya gitu-gitu aja🥲"
"26421","314","@ayyuaspita19 gitu neng"
"26422","314","@diddekarisma tauk tu"
"26423","314","@adityajuliannn jaaaah"
"26424","314","@mrndalstr iya nich bun"
"26425","314","@akutaurifky ga puasa ikutan bukber, sp tu"
"26426","314","@sintakayaknyaa boleh ug"
"26427","314","@Junotnott nanti aku jelasin"
"26428","314","@Hilmanmaarif iya"
"26429","314","@Moohd_Ilham diterkam beruang laut"
"26430","314","@sintakayaknyaa @uttazt_ @adityajuliannn @diddekarisma ko utta punya adek blangsak"
"26431","314","@adityajuliannn trs kapan ngobrol di kasur berdua tanpa batasan waktu? jaaaaaah"
"26432","314","@sintakayaknyaa bebek knp di muka"
"26433","314","@diddekarisma baru opening udah ngiler"
"26434","314","kalo kumpul sebisa mungkin ngurangin main hp, soalnya momen kek gini tuh udah mulai susah seiring waktu."
"26435","314","@aulmaulidiana heran bun"
"26436","314","@uttazt_ apalagi lupa bawa duit"
"26437","314","@izalizul15 besok kaya"
"26438","314","@anam__666 ga buleh"
"26439","314","@KangGamon0 sama ko aku jugaaak"
"26440","314","@Cawlyl1 kurang ajar amat setannya"
"26441","314","@typingwriters banyak ya"
"26442","314","@Hilmanmaarif ntar aja"
"26443","314","@KrismayantiDea makanya sambil makan aja"
"26444","314","@bntkh__ lg libur bi"
"26445","314","@akutaurifky andayyy"
"26446","314","@aldysuhanda_ tapi tidak easy"
"26447","314","kenapa jam segini tuh bawaannya ngantuk banget"
"26448","314","@usaisudahhh babat abis aja udah"
"26449","314","@kaikoprtw cantik"
"26450","314","@fikriyelius_ @pegipegi iya juga ya😭"
"26451","314","@sintakayaknyaa gimana bun💔"
"26452","314","@diddekarisma diblok kali a"
"26453","314","@Santi_nya pake sistem kebut dijamin bisa bun, bisa gila"
"26454","314","@Mhdafi @pegipegi rejeki a"
"26455","314","@candrapratams @pegipegi hbd a"
"26456","314","@junayyy__ @pegipegi ya kaaaan"
"26457","314","@mrndalstr @pegipegi taw aja nih bun"
"26458","314","@acoyow @pegipegi ada yg neww"
"26459","314","@cutifaai @pegipegi penasaran yhh😳"
"26460","314","@Santi_nya @pegipegi kamu😳"
"26461","314","@AntikaRamadhan3 @pegipegi tentuuu"
"26462","314","@BernikaAnggii @pegipegi coba tebak"
"26463","314","saat di situ ada kata ""spesial"" dan saat itulah hatiku deg-degan alias seneng banget. 
duh, jadi penasaran kan. bia… https://t.co/PbSGnQNrM2"
"26464","314","@sintakayaknyaa aqqqq"
"26465","314","@Mhdafi bilang apa dulu"
"26466","314","@herriiyadi mau bilang tua sopan ga ya🥲 hbddddd"
"26467","314","@junayyy__ 🤗🤗🤗"
"26468","314","@Chndrawhyn ga koberrrr😂"
"26469","314","@jek___ iya jg"
"26470","314","@fakmens @aulmaulidiana termasuk ogi"
"26471","314","@usaisudahhh g p"
"26472","314","@ayyuaspita19 tos dulu"
"26473","314","@fakmens bike, u gmn ogi ganteng"
"26474","314","@fakmens nax pinter"
"26475","314","@dheaamand_ kenapa gituu"
"26476","314","@Santi_nya gitu dong"
"26477","314","@MahesSyailendra iya donk"
"26478","314","@MZRRDP biarlaaah"
"26479","314","@Bimaadii_ harus😡"
"26480","314","@mrndalstr gak bangeeet"
"26481","314","@diddekarisma walaupun suckit"
"26482","314","@Hilmanmaarif iyaaaaaaaaaa"
"26483","314","@akutaurifky kasih tau ky"
"26484","314","@HeyAgungg iya ituu"
"26485","314","@typingwriters serem jg disambit"
"26486","314","@adiiwangsa masok"
"26487","314","yang sudah menghilang biarlah hanya untuk dikenang jangan sampai terulang."
"26488","314","@sintakayaknyaa ko sama"
"26489","314","@junayyy__ begitulaah"
"26490","314","@uttazt_ jd jagung dong"
"26491","314","@diddekarisma sek tak ambekan"
"26492","314","@intanorii makin canggih y"
"26493","314","@intanorii sedep amat"
"26494","314","@diddekarisma berita paling up to date"
"26495","314","@intanorii @adityajuliannn palkon, yg buat nyantai kalo sore sambil memandang sanset"
"26496","314","@intanorii bilang apa"
"26497","314","@AhmadRidhoAkbar hai"
"26498","314","@mrndalstr kasih mam majikan dulu bun"
"26499","314","@me_thefarmer nnti tumpah"
"26500","314","@rumahrasaa pedih💔"
"26501","314","@dedprasetya bener jg"
"26502","314","@yndaafr ojol"
"26503","314","@adiiwangsa udah"
"26504","314","@junayyy__ nyuci dulu🥲"
"26505","314","mau santai-santai tapi keinget cucian"
"26506","314","@DianaRahma20 selamat ulang tahunnn❤️❤️"
"26507","314","@FiersaBesari daripada gedein gengsi, mending gedein anu"
"26508","314","@junayyy__ betul ituuu"
"26509","314","@dinaaghnias dah kangen berat yh💔"
"26510","314","@iqballabqa matanya kecoloque"
"26511","314","@Shellaemeliana1 22 marchhhhhhhh"
"26512","314","@renunowijaya bener2222"
"26513","314","@kentankvibes enak tu bg"
"26514","314","@sintakayaknyaa speeti tarzan"
"26515","314","@Hilmanmaarif iayaa"
"26516","314","@diddekarisma 💔💔💔"
