"id_tweet","id_user","tweet"
"21770","265","RT @PDI_Perjuangan: Atas nama Partai Demokrasi Indonesia Perjuangan, Ahok mengucapkan selamat merayakan Tahun Baru Imlek, khususnya Tahun K…"
"21771","265","RT @PDI_Perjuangan: Terima Kasih Ahok Untuk Ibu Megawati Atas Konsistensinya Perjuangkan Hak Setiap Anak Bangsa.

https://t.co/R1sDhNddFj…"
"21772","265","Saya dan keluarga mengucapkan Selamat Tahun Baru Imlek, Gong Xi Fa Cai, bagi saudara-saudari yang merayakannya. Sem… https://t.co/3VSIMPI5J4"
"21773","265","RT @PDI_Perjuangan: Saksikan Imlekan Bareng Banteng live di kanal youtube dan facebook fan page PDI Perjuangan, Jumat 12 Februari 2021 puku…"
"21774","265","Selamat Ulang Tahun Presiden kelima Republik Indonesia, Ibu Megawati Soekarnoputri  yang ke-74. Semoga Panjang umur… https://t.co/wUI7awHRIW"
"21775","265","Salah satu bentuk kado dari anggota @fpdipjakarta kepada saya dan warga dgn terjun langsung kpd masyarakat dan mela… https://t.co/YXHb5tTIWC"
"21776","265","Selamat HUT ke-48 @pdiperjuangan. Semoga selalu menjadi partai yang setia pada garis ideologi dan selalu menjadi ba… https://t.co/4t2jMD4NaV"
"21777","265","Turut Berduka Cita unt seluruh korban jatuhnya pesawat Sriwijaya Air #SJ182 #PrayForSriwijayaAir https://t.co/zsHzI6nJox"
"21778","265","RT @imadya: Laporan lengkap fraksi PDI Perjuangan kepada warga DKI Jakarta thn 2020. Disini kamu jg bisa kenal&amp;hubungi wakil rakyat dari @f…"
"21779","265","Live di Youtube: Panggil Saya BTP - hari ini Jam 13.15 https://t.co/lCrbPolxER"
"21780","265","RT @imadya: Website saya sudah bisa diakses, segala kegiatan ada di website tersebut termasuk paparan gaji+tunjangan dan pengeluarannya. ➡️…"
"21781","265","RT @imadya: Juga menjawab tuduhan ke saya di salah satu channel youtube bahwa saya menikmati dan mengantongi 700 juta. Jujur ini sudah memb…"
"21782","265","RT @imadya: Dipanggil bapak @basuki_btp untuk menjelaskan mengenai rumor naik gaji dan tunjangan DPRD DKI Jakarta.

https://t.co/KI58MENBdB"
"21783","265","RT @PrasetyoEdi_: Pagi tadi saya di ajak sarapan Mie celor khas Jambi dan ngopi bersama Ketua DPRD Provinsi Jambi Edi Purwanto di Warung Ko…"
"21784","265","Pancasila adalah pondasi dalam kehidupan bernegara, jika kehidupan bernegara dijalankan dengan dasar nilai-nilai Pa… https://t.co/vSHAvjRE4w"
"21785","265","RT @pertamina: Pasca banjir bandang melanda Kec. Cicurug, Kab. Sukabumi pada Senin malam (21/9), Pertamina memastikan stok LPG tercukupi de…"
"21786","265","Turut berduka cita yang sedalam-dalamnya atas wafatnya Sekda DKI Jakarta Bapak Saefullah, semoga keluarga yang diti… https://t.co/hV4NJDc69s"
"21787","265","RT @PrasetyoEdi_: Dewan Perwakilan Rakyat Daerah (DPRD) Provinsi DKI Jakarta telah menjalankan amanat konstitusi dengan mengevaluasi lalu k…"
"21788","265","RT @imadya: Intinya kmrin itu kita mendengar Pertanggungjawaban kegiatan 2019 . Yang perlu digarisbawahi paripurna kmrin itu kita mensahkan…"
