"id_tweet","id_user","tweet"
"18938","231","Available on all digital platforms https://t.co/lQE6ej5my5"
"18939","231","BCL - 12 TAHUN TERINDAH
now available on all digital streaming platform! @deezer @langitmusik @spotify @spotifyasia… https://t.co/YekVThng54"
"18940","231","BASH Music Company presents
BCL ""12 TAHUN TERINDAH""

Music: Ifa Fachir
Lyrics: Bunga Citra Lestari
Produced by Ifa… https://t.co/qMUTGVklnO"
"18941","231","#NewProfilePic https://t.co/qX2nS6NzQV"
"18942","231","NUCA X BCL - A THOUSAND YEARS - SPEKTA SHOW TOP 5 - Indonesian Idol 2020 https://t.co/FDtqJ4K37e via @YouTube"
"18943","231","RT @kolonigigs_: Dari @BatikMusicFest selanjutnya ada penampilan @bclsinclair yang cakep banget malam ini pake baju batik 😀 https://t.co/ZI…"
"18944","231","https://t.co/uKLroxFkdA"
"18945","231","RCTI 30 : ANNIVERSARY CELEBRATION – BCL ""Dance Tonight"" [23 Agustus 2019] https://t.co/LszElvYkLa via @YouTube"
"18946","231","RT @gen1031fm: Dan pastinya jawara minggu ini @bclsinclair - ""MEMILIH DIA"" udah bisa kamu dengerin sekarang di Ganas 1 #GanasWaniPooll http…"
"18947","231","RT @masdhafm: #95Top9 In This Week!! 🎶✨ | #JoggingHitz

Dan jawara kita minggu ini adalah... Terereretttt!!!
Congrats for you @bclsinclair…"
"18948","231","RT @gen1031fm: ""MEMILIH DIA"" dari @bclsinclair minggu ini naik 9 posisi langsung ke Ganas 7 #GanasWaniPooll https://t.co/lkoGpUWQ9H"
"18949","231","Supersilk Anti Noda presents
BCL - Memilih Dia
OFFICIAL MUSIC VIDEO

Directed by Katinka Pulungan
Starring BCL, Chi… https://t.co/jPeWFnYkau"
"18950","231","“Perempuan punya pilihan.. Kita punya kebebasan untuk menentukan pilihan dalam hidup kita.. -BCL-

Selamat Hari Kar… https://t.co/cwdLRseFaE"
"18951","231","Just posted a photo https://t.co/qU8KokoPM0"
"18952","231","Begini aja mau die 🙈😂 #bungacitralestari #pilates https://t.co/haZowBvKY3"
"18953","231","Wanna know the full story behind ""Memilih Dia"" and what's the song about?? Watch Now on ""IT'S ME BCL"" Youtube Chann… https://t.co/wJbaj8PHT5"
"18954","231","RT @SCTV_: @bclsinclair gak cuma jago akting, dia juga handal dalam bernyanyi. 

Jangan lupa dukung BCL dengan cara:
Vote via Twitter denga…"
"18955","231","RT @Billboard_INA: Sejak minggu lalu @bclsinclair memberikan beberapa teaser karya baru. Hari ini Jumat (22/3/2019) sebuah lagu “Memilih Di…"
"18956","231","RT @WORLDMUSICAWARD: Happy Birthday to the very beautiful and multitalented Indonesian Star #BungaCitraLestari! @bclsinclair 
❤️🇮🇩🎤🎂🎉🎁🎈💐🎇🌟…"
"18957","231","OUT NOW!
""MEMILIH DIA""

Composed and Produced by @laleilmanino 
Enjoy 💙💙💙 #bungacitralestari #newrelease #newsingle… https://t.co/Oob0o1C7IJ"
"18958","231","BESOK!

#bungacitralestari #comingsoon #TEAMBCL https://t.co/DEn71yH1wy"
"18959","231","@elleindonesia March 2019 Issue
#ELLEWomeninCinema 
Photographed by @ryantandya 
In @balenciaga
Styled &amp; Directed b… https://t.co/HKGuLxoMZ8"
"18960","231","Check this out! https://t.co/LxB8g674t8"
"18961","231","RT @flickmagazine: Lagu tema terpilih dimenangkan oleh ""Harta Berharga"" dari film #KeluargaCemara yang dibawakan @bclsinclair #PialaMaya7"
"18962","231","#Repost sandhysondoro_official
・・・
Selalu senang berduet dengan sahabat saya yang cantik nan baik hati bersuara ker… https://t.co/ls4RToi2qF"
"18963","231","Original soundtrack kedua @FilmKelCemara sudah rilis dan bisa kamu dengar di semua digital platform!! Sebelum nonto… https://t.co/CUsULh8Peg"
"18964","231","FACE YOUR FEAR and #DANCETONIGHT

Singing above 5 meters heights for #sweet17transmedia opening number last night!!… https://t.co/82N0FJUoKQ"
"18965","231","So that I don’t look too short 😉 @BrianMcFadden @officialkeith #bungacitralestari #singer #backstage #boyzlife https://t.co/ngSzd4sU0l"
"18966","231","BCL &amp; BCL boys ""Trauma""  | Panasonic Gobel Awards 2018 https://t.co/xeO2nd205w via @YouTube"
"18967","231","BCL - Harta Berharga (OST ""Keluarga Cemara"") | Official Video https://t.co/WN5KYMFkni via @YouTube"
"18968","231","This is it, the new TRAUMA 💗💗
Remix by @osvaldoriomusic

Available in all digital platforms 🎧🎧🎧 #bungacitralestari… https://t.co/oZoaUAstFE"
"18969","231","in Shanghai #bungacitralestari #GucciSS19 https://t.co/728OAyP4JE"
"18970","231","Tadi malam di Hartono Mall.. Duet sama Adnil Lasso 😂 @adnilfaisal #akudandirimu #bungacitralestari #jogja 

video :… https://t.co/f4ML39gb46"
"18971","231","Benar-benar sebuah pengalaman besar yang belum pernah kurasakan sebelumnya. #GoBigRWS #RWSMoments rwsentosa… https://t.co/SRMHsrVr0G"
"18972","231","And then.. i joined them.. 😁 #bungacitralestari #noahsinclair #dancetonight https://t.co/dJItiplGXb"
"18973","231","Noah and his classmates dancing for their performance at the assembly.. #noahsinclair #dancetonight… https://t.co/H2wTHyKZ19"
"18974","231","BCL - Harta Berharga (OST ""Keluarga Cemara"") | BCL Video Project https://t.co/fmZlZdmuXF via @YouTube"
"18975","231","BCL - Harta Berharga (OST ""Keluarga Cemara"") | BCL Video Project https://t.co/Yqk01zXvQv via @YouTube"
"18976","231","Disaat Kerani jadi model 😂 #bungacitralestari #newproject https://t.co/AtNk0eTfVJ"
"18977","231","Bila cinta memang harus memilih antara aku, dirimu, dirinya.. #konserinspirasicintayovie #yovieandhisfriends… https://t.co/rReZ4nyqbA"
"18978","231","Thank you mas @yoviewidianto for having me at #konserinspirasicintayovie..
It was truly an honor for me singing you… https://t.co/8jjJ7XsAix"
"18979","231","SURPRISE!!
ORIGINAL SOUNDTRACK @FilmKelCemara
HARTA BERHARGA
Re-arranged by @ifa_fachir

Sudah bisa kamu dengar di… https://t.co/QGImX4WAuw"
"18980","231","Pain is my fuel.. Set me on fire.. You shoot me down.. But im flyin higher.. https://t.co/7jK75H0iDV"
"18981","231","#Repost teambcl
・・・
BLACK SWAN 
In @rinaldyyunardi headpiece
Styled by zheyamada1006
Makeup by @cherrywirawan 
Hair… https://t.co/BoJuIuXsof"
"18982","231","The only person standing in your way is you.. -Black Swan- #bungacitralestari #HollywoodHalloweenBASH #BCLHalloween https://t.co/4ZePh1ok7Z"
"18983","231","#HollywoodHalloweenBASH
Always love having a costume party with you guys.. Our annual #HalloweenParty with… https://t.co/TLfdfkmQ5G"
"18984","231","Its not your job to like me.. Its mine.. -Byron Katie- #backstage #bungacitralestari #ita2018 https://t.co/vJX1C9oYlW"
"18985","231","Throwback..
One the craziest moments in my life,  to have the chance to duet with the legend @julioiglesias at his… https://t.co/k5MQepWL0h"
"18986","231","Throwback..
One the craziest moments in my life,  to have the chance to duet with the legend @julioiglesias at his… https://t.co/rKO366sEC5"
