"id_tweet","id_user","tweet"
"32567","377","Alat pel jaman now 🤔😩😭 https://t.co/ar5b5umGh0"
"32568","377","Berani gaya klo ga ada bini😡 https://t.co/SSf2wKxb4b"
"32569","377","Ada apa sih heboh2 masalah gunung? Aku zoom, lha koq ada penampakan 🙊 https://t.co/mx7b4UMRED"
"32570","377","Liat nih #PastiAdaPromo setiap harinya, simpen biar gak ketinggalan jadwalnya~ https://t.co/y9GcbQsmki"
"32571","377","Cara hematnya mas Adam dadi rame ngene ihiiiir~ aku yo punya cara hemat tapi pakai @gofoodindonesia yang… https://t.co/AkFLaZTO8S"
"32572","377","Bojone sopo tho iki, #PastiBisaHemat kok koyok ngene~ Coba, siapa lagi yang punya cara hemat unik koyo ngene? hayo… https://t.co/ileFBdaE7x"
"32573","377","RT @Official_MNCTV: Masak sambil nyanyi yuk bareng Bunda @daratista_inul biar makin semangat !! Apalagi masakannya ueeenaak 🤗
•
BESOK PAGI…"
"32574","377","Hayuk nonton Kopi Viral di Trans tv pagi ini pukul 10.00 Wib💕 https://t.co/BU4AR46WtZ"
"32575","377","https://t.co/fw2BX3QKTr"
"32576","377","Sebenernya... kumis mas adam terpaksa dicopot buat adegan ini lho gaes.. 
Bakal kaya gimana ya jadinya?? Yg AUTO PE… https://t.co/tkYbku1cXb"
"32577","377","@kangdede78 😁😁😁"
"32578","377","Seumur hidup aku kenal sm mas adam, baru kali ini aku liat mas adam tanpa kumis.. AUTO TERKEDJOET 🙈🙈 Ya ampun yaaang 😂"
"32579","377","Sosok suami inul daratista tanpa kumis sekarang,😭😭😭🙄🤔🤭 https://t.co/Z3zEEmMO3t"
"32580","377","Hiburan gaesss🤣🤣🤣🙏 https://t.co/9oqbQ80xJL"
"32581","377","Hari ini pukul 18.00 Wib hanya di Trans 7💕 https://t.co/gC082Skmui"
"32582","377","Saya tidak pakai Facebook... https://t.co/kzDpqUFnxM"
"32583","377","Jamune kurang joss iki !! 🤣😂 https://t.co/OoK2vbYjhF"
"32584","377","Tutorial masuk rumah, ketika pintu pagar di gembok.. #tiktokinuldanmasadam https://t.co/jjFRnc8J1u"
"32585","377","@rainysumzara Hahaha.. Baiklah anak online ku"
"32586","377","@hizkiandries Matur suwuun"
"32587","377","@AndisBrighter Wkwkwk.. Sekali2 akustikan laah.. 😁"
"32588","377","@24cancerynn Sabar ya 😁"
"32589","377","@Funkflow22 Nungguin yaaaa 😁"
"32590","377","@sikumannakal 🤐"
"32591","377","@cerealgandum Tak ada ubin yg tak retak shaay.. wkwkwk"
"32592","377","@inganggita Wkwkwk.. HQQ banget ya 😅"
"32593","377","Sekali sekali posting yg romantis dulu ya.. Tik tok Inul vs Adam nya nanti dulu.. Hehehe https://t.co/hb8HWT1zMs"
"32594","377","https://t.co/3NXHx5gF5e

Selamat menikmati karya baru saya🙏 cocok buat buibu yg lagi ga asik sm misuanya🙏😭😇"
"32595","377","Single anyarku buat emak2 yg lagi mumet lakinya di nikmati  pelakor wkwkwkkwk🤣😂 nontonnya di indosiar mlm ini yo sh… https://t.co/PEegm8qaZe"
"32596","377","TOP 6 grup 1 Lida Indosiar malam ini live pukul 20.00 Wib🎼🎤 https://t.co/6iv2uDyIew"
"32597","377","Mikir PSBB mumet mwnding lihat ini wae mood boster gaess https://t.co/ZFKMOM9dKa"
"32598","377","Jadi istri ga boleh lemah🤣kudu byk ide kreativ 🤣💃 https://t.co/ClPYVChAW3"
"32599","377","Jadi nih kita cerai ??? https://t.co/Plyvn0N14v"
"32600","377","Suami gak sopan,bininya di suruh masuk koper👊🏼😩🤭 https://t.co/BDUZsLgPVJ"
"32601","377","Baca yg bener jgn tengok2 tuh akibatnya klo ga fokus,🤣🤣🤣🤣 https://t.co/6WAiNKCzAo"
"32602","377","RT @xcintakiehlx: With a humble diva @daratista_inul ♥️ https://t.co/UsmXnxBln5"
"32603","377","RT @daratista_inul: Fokus !! Jgn lihat mobilnya ,lihat Posenya split diatas mobil tinggi ,panas tanpa matras dan keras dgn posisi balance❤️…"
"32604","377","Fokus !! Jgn lihat mobilnya ,lihat Posenya split diatas mobil tinggi ,panas tanpa matras dan keras dgn posisi balan… https://t.co/ILuQwcBQfI"
"32605","377","Malam ini hanya di trans7 jgn lupa nonton ya❤️🙏 jam 21.00 wib https://t.co/amuCoiXdOE"
"32606","377","Bayiku minta susu,kasih yg jumbo ya sayang🤣🤣🤣🙏 https://t.co/MdQSBLWrts"
"32607","377","Clue ke 6 dari #dapurjenkminul :-) https://t.co/PCmXdckEYL"
"32608","377","Clue ke 5 dari #dapurjenkminul https://t.co/Ugm2bmZWVd"
"32609","377","Clue ke 4 dari #dapurjenkminul masih ada 4 clue lagi.. :-) https://t.co/3uDQxcgbCz"
"32610","377","Clue ke 3 dari #dapurjenkminul monggo ditebak2 https://t.co/KWVTlM2KVN"
"32611","377","@megandhik Bukan acara tv, resto bisa jadi 😁"
"32612","377","@wetyook Coba di tebak.. hehehe"
"32613","377","Clue ke 2, enak dimakan panas2, pake nasi lebih mantep 👍
Nama makanannya apa ya ? Yang pasti bukan Klepon lho yaaa.… https://t.co/MVLkjbfpQG"
"32614","377","@RifqiArifin32 Hehe.. tebak dulu aja, nnt masih ada clue selanjutnya 😁"
"32615","377","@afrizalirfan Koyo opo rasane klepon isi rawon ? 😅"
"32616","377","@Rockslashjeffry Wkwkwk"
"32617","377","Rame2 Klepon, ada apa dengan Klepon ? 😁 
Tebak-tebakan yuk.. kira2 #dapurjenkminul mau bikin masakan apa tgl 23 Jul… https://t.co/Zo4KAcuKaB"
"32618","377","Bismillah.. Dapur Jenk m Inul 23 Juli https://t.co/LjlHonC9ls"
"32619","377","Kira2 berani gak melaney ricardo melintir kumis mas adam ? Hihihi.. nonton aja.. sebentar lagi… https://t.co/BlvgYpa3fU"
"32620","377","@donpikapdepon 😁"
"32621","377","@sagoselebes Jabodetabek dulu.. sambil tunggu buka. Luar kota masih tunggu reda covid.. semoga bs segera"
"32622","377","The New Inul Vizta https://t.co/vhG09qo4iw"
"32623","377","@bintangwirayasa Wakakakakkk"
"32624","377","@bintangwirayasa Hahahaha makasih mas bintang😘😘😘😘😘😁😁😁 waduh suamiku populer alamat kalah ngetop aku wakakakkaak"
"32625","377","@bintangwirayasa Coba pikir baek2’anaknya berani bilg begitu emg ada waktu itu hehehe klo hanya dengar dr katanya /… https://t.co/wBUHMTITme"
"32626","377","@bintangwirayasa Ya biarkan saja hanya Tuhan yg tau,😘saksinya byk yg msh hidup ,mustinya klo mau jujur tanya sj sm… https://t.co/L8uQsgCWKv"
"32627","377","@Lemonyakult_ Hahahaha"
"32628","377","@DimsumHangat @agilseto Huhuhu.. aku jg dah ga sabar pengen buka Inul Vizta, tp blm boleh. Hiks"
"32629","377","@fauugee @DimsumHangat @agilseto Wkwkwk.. boleh dicoba 😁😁 monggo, aku baru buka Inul Vizta di Summarecon Bekasi"
"32630","377","Buka masker mau Aisyah !! #TikTok Inul VS Mas Adam https://t.co/0zb6qed4LT"
"32631","377","Jangan asal pencet tombol ❤️ !! Inul vs mas adam #TikTok https://t.co/kgh56cYuza"
"32632","377","Mending senyum drpd mumet ngomongin ngalor ngidul🤣🤣🤣🤣🤣 https://t.co/VnzrVVQugJ"
"32633","377","https://t.co/rqLbcy72WZ"
"32634","377","Jangan lupa nonton #keluargajenginul eps 2 udah tayang.. cuuusss

https://t.co/rqLbcy72WZ"
