"id_tweet","id_user","tweet"
"32964","381","RT @solehsolihun: dear jurnalis, idealnya sih, kalo mau bikin berita dan ngutip kalimat orang berdasarkan komentarnya di medsos, minta ijin…"
"32965","381","2020 itu ibarat mata kuliah yg susah banget,tapi akhirnya terlewati.. kita evaluasi nilai kita masing2, mari bersia… https://t.co/7Qa50zaM0R"
"32966","381","RT @gizelacindy: Nangis aku liat ads ini. TOO GOOOOOOOOD MCDONALD’S 😭✨😭✨😭✨😭✨ https://t.co/FA200W2JGr"
"32967","381","Youtube down? Mending curhat ke @solehsolihun deh"
"32968","381","@rievy_ipy Saps tuh? 😂"
"32969","381","@abdelachrian bonita"
"32970","381","🤭 https://t.co/gb1uEk8M9G"
"32971","381","RT @tempodotco: Parlemen Jepang telah mengeluarkan Undang-undang untuk memberikan vaksin Covid-19 seluruh warga negara dengan biaya yang di…"
"32972","381","Fans MU.. sabar yo.. mari ngelus dada bareng2 😭 ku menangiiiiiiiiiiissssssss.. membayangkan..."
"32973","381","GGMU ❤️ CAVANI 🔥"
"32974","381","RT @Husen_Jafar: Kalau Mujahidin Indonesia Timur (MIT) itu paham Islam, mereka akan tahu kalau jobdesk mereka adalah jihad di Indonesia Tim…"
"32975","381","pray for sigi"
"32976","381","RT @ernestprakasa: Di saat-saat terberat, peluklah erat orang tersayang. Lekatkan telingamu ke dadanya, dengar degupan yang menyala. Itu, a…"
"32977","381","RT @ndreamon: Berpikir itu sulit, makanya sebagian besar orang lebih memilih untuk nge-judge.

Demikian katanya Carl Jung."
"32978","381","Taek! 😂"
"32979","381","Komentar netizen:
Lebih baik gini..
Lebih baik gitu..
Alangkah bijaknya..
Cuman mengingatkan..
Kalo gw jadi lo gw m… https://t.co/w7IqhwYofV"
"32980","381","Kenapa kebahagiaan org selalu diusik bahkan drusak begitu gampang di era sosmed ? 

standard bahagia org beda2..

p… https://t.co/H9Bospcg5N"
"32981","381","RT @OfficialGTVID: @dhikacungkring sudah siap menjadi host untuk mencari talenta muda penerus Didi Kempot
.
The Next Didi Kempot
Mulai 2 De…"
"32982","381","Korupsi kok musibah?! Korupsi iku kelakuan dul!"
"32983","381","RT @Arie_Kriting: Mohon maaf mohon diluruskan sedikit Pak. Yang tertimpa musibah bukan beliau, tapi yang tertimpa musibah saat ini adalah r…"
"32984","381","RT @dede_soccerboy: PSBB ( Pakar Segala Bubur Bubur )
@dhikacungkring 
@abdelachrian 
@gadiiing 
@borisbokir 
@uusbiasaaja https://t.co/67x…"
"32985","381","@escendoldawet__ nggak diaduk tetap jalan hidupku"
"32986","381","REST IN PEACE MARADONA ⚽️"
"32987","381","GA DIADUK‼️‼️‼️‼️

https://t.co/AMdjiiI9gu"
"32988","381","RT @TretanMuslim: Wkwkwkkw"
"32989","381","@uusbiasaaja sendal gw Rindi"
"32990","381","PLN oh PLN.. mati lampu kok hampir tiap hari.. opo karepmu?"
"32991","381","Manchester United 🔥"
"32992","381","RT @auubameyanggg: Yakin iki pembicaraan berbobot, mengisnpirasi 
Sukses terus mas alit mas dika 
@shitlicious @dhikacungkring https://t.co…"
"32993","381","@pandji itu kesendok bang bukan keaduk"
"32994","381","@abdelachrian hmm mulai...."
"32995","381","GGMU ❤️"
"32996","381","@4mrkno thx 🔥"
"32997","381","@masmasjawabgt suwun"
"32998","381","https://t.co/DpvtqVykIF"
"32999","381","Krupuk minta semangkuk dipisah.. sesekali nyendok bubur pake kerupuk.. 💯"
"33000","381","BUBUR GA DIADUK + TEH MANIS ANGET = 💯"
"33001","381","NO.. bubur diaduk itu ibarat pacaran sampe kawin rasanya FLAT! ga warna warni perjalanannya. KRUPUK IKUT DIADUK ITU… https://t.co/HhFE9VJl9a"
"33002","381","TUH LIAT KEKURANGAN YG DIADUK! MEREKA MEMANG SULIT BERFIKIR BUAT ORANG LAIN 😂 https://t.co/X1fxDySk33 https://t.co/eO1seEpnCV"
"33003","381","RT @zidnyTaqiyya: Sampai detik ini, saya gak pah dengan 2 hal soal makanan, salah satunya kenapa orang suka makan bubur diaduk bahkan sampe…"
"33004","381","Bubur diaduk hanya buat orang yg ga bisa menikmati keindahan..😎HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA… https://t.co/pjXyHfeJvC"
"33005","381","NAH KAN KANG BUBUR NONGOL! https://t.co/LYswhtLGhP"
"33006","381","DIADUK ITU HANYA AKAN MEMPERCEPAT WAKTU MAKAN DARI MULUT KE PERUT.. INI SEMUA JG TENTANG MENIKMATI “PROSES” DARI SE… https://t.co/775dp0Rn6s"
"33007","381","NO! LIDAH ITU DIBIKIN BUAT BISA NIKMATI SEGALA RASA. DIMANA SERUNYA KALO DIADUK DAN CUMAN RASA BUBUR?? https://t.co/7IzwhL5rm8"
"33008","381","NO!! BUBUR GA DIADUK ITU LEBIH NIKMAT KARNA SETIAP ELEMEN PUNYA SENSASI RASA YG BEDA2 , DAN LIDAH KITA BISA NIKMATI… https://t.co/Ikh8MVWWca"
"33009","381","MU vs Liverpool!!

https://t.co/1ZQ94ia3Hg"
"33010","381","RT @FiersaBesari: Mulai menyayangi diri sendiri, karena negara tidak pernah benar-benar peduli"
"33011","381","RT @FiersaBesari: Manusia tempatnya salah. Keangkuhan bikin kita enggak mau kalah"
"33012","381","❤️ https://t.co/3368iXrZvJ"
"33013","381","@rievy_ipy ipyyyyy makasih bangettttt ❤️"
"33014","381","@GilangDirga amiiiiiiiinnnn"
"33015","381","RT @zamzaminr: Ketemu maneh ambe @dhikacungkring @LakiLuks 

https://t.co/I7EqA67rNz https://t.co/37wsjt7xC3"
"33016","381","CANGKRUK ama BULUK SUPERGLAD udah tayang ..

klik: https://t.co/yy1UHhLCAG"
"33017","381","BULUK SUPERGLAD “DIANGKAT MIMPI , DIBANTING KESERAKAHAN!” BERKACA YUK! https://t.co/yy1UHhLCAG via @YouTube"
"33018","381","@abdelachrian 🔥🔥🔥"
"33019","381","@catatansibuluk syipppppp 👍"
"33020","381","CANGKRUK episode BULUK SUPERGLAD! tayangin kapan ya enaknya? https://t.co/ZNqRH5DIlR"
"33021","381","RT @visualizevalue: Work vs. luck. https://t.co/kGpFIkG2r0"
"33022","381","artinya apa sih bang? https://t.co/VDGGGXssAV"
"33023","381","ketoyor saya bang ama kata2nya.. makasih 🙏 https://t.co/M10oAiovtP"
"33024","381","RT @Indra_Sinaga: #TamuNaga EPS 1 : ANDHIKA PRATAMA https://t.co/aEZ5cvLDpL via @YouTube"
"33025","381","@11fakhrizal cuk"
"33026","381","@masmasjawabgt wei ga gt dong"
"33027","381","RT @zamzaminr: Matur suwun mas @dhikacungkring @shitlicious 

https://t.co/40R8oKZbCh"
"33028","381","Pelajaran sabar pagi ini yaitu liat MU kalah lagi.."
"33029","381","RT @Indra_Sinaga: CERITA “ANUGERAH TERINDAH” NAGA &amp; FEBI BIKIN ANDHIKA NANGIS.. STOP BASA-... https://t.co/mJxkedWziM via @YouTube"
"33030","381","MU oh MU 😌 perasaan fansmu habis diangkat eh dibanting lagi.."
"33031","381","@t_ORASUDI_ro @abdelachrian @uusbiasaaja @kemalpalevi @GilangDirga sekalian ah.. bis itu ke gw ya bang tor 🙏😂"
"33032","381","@abdelachrian gerrrrrrr"
"33033","381","@abdelachrian adanya apa cing?"
"33034","381","jaman GERRR BERANTAKAN! https://t.co/iJhRoMt4cU"
"33035","381","BAGUS BANGET!! ⭐️⭐️⭐️⭐️⭐️ https://t.co/N0gnq4nk0l"
"33036","381","tak enteniiiiiii yo sam https://t.co/kxGGOHcQYE"
"33037","381","RT @adjisdoaibu: Swag! Bersama Andhika Pratama 

Klik: https://t.co/GP7rnKrVSg https://t.co/VDY4evIs8Y"
"33038","381","@abdelachrian susah kenyang"
"33039","381","GASSSSS!!! https://t.co/6s6wuvTfbk"
"33040","381","wkwkwkw batagor MU 😂 kirim sini!! https://t.co/2uuvM4WorK"
"33041","381","@fakeink5hit https://t.co/GvEPwNeNkR"
"33042","381","Sudah lama ga sebahagia ini liat MU menang 😂 

yok bisa yokkkk GGMU"
"33043","381","@abdelachrian gw berterimakasih bisa merasakan momen halim 9 bulan yg legendaris"
"33044","381","ahayyyyyy https://t.co/gvGPf0B9HO"
"33045","381","RT @Husen_Jafar: Siapa yg hina Nabi Muhammad Saw, maka yg terhina yg menghina. Seperti jg siapapun yg hina Yesus, maka kehinaan bagi yg men…"
"33046","381","RT @Bimo_KY: Turut berkontribusi dalam perunjingan duniawi yang sedang terjadi.

Sekalian R nya aku benerin dikit yah kak punten https://t.…"
