"id_tweet","id_user","tweet"
"24428","293","@bermasyarakatt silahkan bang di dengarkan"
"24429","293","@skydelunes namanya juga idup"
"24430","293","@bermasyarakatt kaga nyet"
"24431","293","fuck bro fuck"
"24432","293","@bermasyarakatt kacau kacau"
"24433","293","@bermasyarakatt aku not included gitu ya rasanya"
"24434","293","RT @aisyauu: yawlo pgn bgt air jordan"
"24435","293","RT @KuntoAjiW: 🌱◻️ https://t.co/rnC0duLXQn"
"24436","293","@bermasyarakatt @paanmuham_ad setuju farhan sih"
"24437","293","berasa rebutan"
"24438","293","@bermasyarakatt aduh siapa gatau"
"24439","293","@bermasyarakatt engga."
"24440","293","bagas anjing ngatain2 https://t.co/TnQ7xcAXwp"
"24441","293","@sojuyakoolt abis dipake apa tuh kalo bole tau"
"24442","293","RT @ShouldHaveCat: https://t.co/nbfXqXJL9f"
"24443","293","RT @adambrotowijono: its official now Clubhouse trends di indo is ended, took 5 days to its peak, and took another week to vanish. 

Now I'…"
"24444","293","RT @Visionthagreat: “what you like to do for fun?“ 

Me: https://t.co/rNPREJUMfe"
"24445","293","@sakkarepkutomas mau ketemu banget☹️☹️☹️"
"24446","293","@rayyalkh @haunaay dia beneran gatau itu yg di foto mobil merk apa ya?🥲"
"24447","293","@haunaay ikutan marah kalo ini"
"24448","293","@bermasyarakatt mo ketawa tp takut ternyata pemikiran kita ga sejalan....."
"24449","293","@haunaay suzuki🥲🥲🥲"
"24450","293","PUSIIIIIING"
"24451","293","RT @lovelypotatoph: i'll always be this type of person https://t.co/4ggtAg3yA3"
"24452","293","@bermasyarakatt @AbrorGhifari HAHAHAHHA BANGSAAAAAT"
"24453","293","@bermasyarakatt @AbrorGhifari HAHAHAHAHA KENAPASIH HAH"
"24454","293","@AbrorGhifari @bermasyarakatt jiah https://t.co/OBSFi9s4JI"
"24455","293","@bermasyarakatt @AbrorGhifari mari dibuktikan ghof"
"24456","293","@bermasyarakatt @AbrorGhifari galauin yg mana dulu ni ngab🤪"
"24457","293","@sojuyakoolt pas bgt lah buat mengawali hari"
"24458","293","@sojuyakoolt bajingan"
"24459","293","bener2 butuh duit anjing"
"24460","293","naik motor kaya gini berasa cari mati mulu"
"24461","293","nice bro nice"
"24462","293","@bermasyarakatt aneh tapi kalo lagu nya sedih gegara saham"
"24463","293","RT @RexChapman: A pandemic. A snowstorm. And a bored guy... https://t.co/LesW42P8rf"
"24464","293","masih pagi"
"24465","293","RT @LilMeeru4: Me after noticing a slight change in someone's energy towards me: https://t.co/0xJuhd5zNn"
"24466","293","ga yakin bakal dibales, tp yauda aku nya seneng ko🥲☹️🦦"
"24467","293","RT @olivehateem_: tutup akun twitter, private instagram, fokus jalan-jalan keliling dunia dan hidup bahagia"
"24468","293","@bermasyarakatt kaco parah"
"24469","293","mampus kalo sakit"
"24470","293","bego bgt?????"
"24471","293","RT @sakkarepkutomas: tekke indomie goreng lah edian po we"
"24472","293","@sojuyakoolt mati dong kalo ngopi"
"24473","293","capeeeeeee"
"24474","293","@bermasyarakatt masi bangke https://t.co/03BpVulMmV"
"24475","293","ok bgt bro @bermasyarakatt https://t.co/E4sHLgldCm"
"24476","293","@bermasyarakatt bangsat"
"24477","293","@bermasyarakatt ga ikut2an kalo dosa ya nyet"
"24478","293","@bermasyarakatt mabok duls"
"24479","293","@bermasyarakatt mo ikutan mabok om"
"24480","293","@bermasyarakatt emang"
"24481","293","kocak dah"
"24482","293","have a great daaaaay"
"24483","293","@skydelunes @axipix33s temen lo tu emang"
"24484","293","@dannsskyyy atuuur"
"24485","293","@axipix33s ogah bgt kalo sm lo yg ada tengah2 ngobrol ditinggal"
"24486","293","@WanandaRai spill dulu sebelom anda jd buronan bang"
"24487","293","@mermanofgal reply nya bang rai uda 14 tp doi kaga muncul2 gue liat2 ni, hajar dulu apa gmn ni"
"24488","293","@mermanofgal bole langsung masuk liputan kali ya kalo uda kesebut inisial nya"
"24489","293","pengen ngobrol panjaaaaaang bgt"
"24490","293","@WanandaRai spill dulu ayok siapa"
"24491","293","@BiandiZ @WanandaRai HAHAHAHAHAHAHA"
"24492","293","@WanandaRai @bermasyarakatt apa baaang"
"24493","293","@oddday_ beneran ga ni"
"24494","293","@bermasyarakatt gapapa kan asik pindah2"
"24495","293","@bermasyarakatt ayo semarang"
"24496","293","dont u know?"
"24497","293","emg uda waktu nya ganti laptop😀"
"24498","293","https://t.co/aHpNhEnVL5"
"24499","293","@FatLonewolf kepo juga"
"24500","293","cengeng👎🏻"
"24501","293","☹️"
"24502","293","i know its hard to deal with me👍🏻"
"24503","293","ganti wallpaper nya kenapa jd balik kesana lagi si😀"
"24504","293","@bermasyarakatt KENAPA WOI"
"24505","293","RT @IndraAziz: Tips relationship dari saya nih: 

Kalau marah ya marah aja, komunikasikan kenapa kamu marah. Jangan pendam emosi tapi lama…"
"24506","293","good old days"
