"id_tweet","id_user","tweet"
"24228","291","@tubirfess Maen catur pake cheat fungsinya buat apa? Agar kudanya yg tadinya jalan L bisa jadi C gitu ya"
"24229","291","@agigaguna Lumayan bae 20 juta mun tiasa di goyang mah"
"24230","291","Saya juga resah, manusia yg berseragam coklat suka memelihara koruptor eh tikus maksudnya https://t.co/4r182LtjYH"
"24231","291","@agigaguna Siap di berangkat keun iyeu mah"
"24232","291","Tidak ada yg namanya kesialan, hanya saja sedang tidak beruntung."
"24233","291","@agigaguna Oh guin hayang 1 vs 5 kitu nya?"
"24234","291","@agigaguna Request the back up teu?"
"24235","291","RT @Dandhy_Laksono: WTF https://t.co/PCbZPh7EPP"
"24236","291","RT @FaisalBasri: Mau Impor Beras Besar-besaran Lagi: Pemburuan Rente Lagi, Rente Lagi
https://t.co/fw6Mv6QVJm"
"24237","291","RT @ngabdul: Hari ini (15 Maret) adalah Hari Melawan Kebrutalan Polisi

International Day against Police Brutality https://t.co/A6e5xXLHma"
"24238","291","Mantap. https://t.co/MfagaOmuQg"
"24239","291","RT @febridiansyah: Gimana cara mengindari WA dibajak?

sebuah UTAS

*bukan gimana cara agak ga disadap ya.. ini sih beda lagi 😬
**ini tips…"
"24240","291","@Rizkiw_HD Rituit ah"
"24241","291","RT @9GAG: clean my soul https://t.co/gVIRHGNhNQ"
"24242","291","@septidikaraa Iya sep https://t.co/z2fHdAajIO"
"24243","291","@septidikaraa Banyak di toko serba 35rb"
"24244","291","@septidikaraa Gak mau gak suka gelaay"
"24245","291","😏 https://t.co/DLPuqiYOWC"
"24246","291","@txtdarionlshop Kata pengantin dan orang tuanya: ""makan dulu mas silahkan jangan malu malu"""
"24247","291","@fayazunn @agigaguna @angonisme Nahh eta oge, bari jeung di geprek tea"
"24248","291","@agigaguna @fayazunn @angonisme Aya geh raja gantang"
"24249","291","RT @collegemenfess: [cm] Apakah kalian juga begini? Atau aku aja hiks https://t.co/F6X9kR4UN4"
"24250","291","@subtanyarl Sengaja sih itu mah, bukan karena kebegoan yg nulisnya"
"24251","291","Yg penting kualitas dan tahan lama https://t.co/s3b1RmK0Yv"
"24252","291","@septidikaraa @MutiaKaren @agigaguna Nawaitul Ghusla Liraf'il Hadatsil Akbari Fardhan Lillaahi Ta'aala."
"24253","291","@septidikaraa @MutiaKaren @agigaguna wabillahi taufik wal hidayah wassalamualaikum warahmatullahi wabarakatuh."
"24254","291","@MutiaKaren @septidikaraa @agigaguna Takut kena syndrome ajg ih :(("
"24255","291","@septidikaraa @MutiaKaren @agigaguna Gak boleh, ini mah urusan yg hakekok"
"24256","291","@MutiaKaren @septidikaraa @agigaguna Minggu depan deh, minggu ini mah mau ke semarang"
"24257","291","@septidikaraa @MutiaKaren @agigaguna Bulan ini belum bayar uang sampahnya geh, lezz."
