"id_tweet","id_user","tweet"
"25374","303","capek https://t.co/WcUrmrJKCn"
"25375","303","RT @munconvo: 🐳 ya Allah cape banget tapi gapapa"
"25376","303","sesuai dugaanku cuma bertahan 20 menit sisanya gw ketiduran berakkk https://t.co/WtsYRLZbUs"
"25377","303","RT @komangtrisanthy: CIPETE https://t.co/5MMAhokMfF"
"25378","303","@nan6is schratotul maut"
"25379","303","@dapetventi nangis"
"25380","303","@itadoly omg buka open joki zoom gk jigeum"
"25381","303","UDAH MULAI WKWKWKKWKWKW"
"25382","303","WKWKKWKWKWKWK NGAPAIN ANJINGGGGGGGGGGGGG AKU GILA https://t.co/Zbj5VgWeqc"
"25383","303","RT @aespafess_: /ae/ alhamdulillah akhirnya kembali ke setting pabrik tingkahnya 👏👏👏😭😭😭🙏🙏
https://t.co/JrmFkXJtV9"
"25384","303","RT @sushidal: main twitter mulu pr lu noh kerjain"
"25385","303","RT @aespafess_: /ae/ 
Disaat visual grup lain jaim biar makin cakep, sedangkan visual aespa :
https://t.co/gxeYYJm4YT"
"25386","303","RT @itadoly: jail aja"
"25387","303","ya allah ini siaapa https://t.co/zuqsBrtKtO"
"25388","303","jadi bahan bertanya https://t.co/IrYcR0BSQJ"
"25389","303","@ancoustic panggil aku lee"
"25390","303","RT @BOKUMGO: (bismillah dulu sebelum buka twt)"
"25391","303","bukannya sama aja ya https://t.co/KjbEvMjAm5"
"25392","303","tukang piket hari senin dateng jam 6 
gak tau knpa dari kelas 10 sampe lulus kalo gak piket jumat senin terus https://t.co/dPvZ4ccq04"
"25393","303","@ancoustic WKWKWKKWKWKKWKWKKWWKWKWMWK"
"25394","303","@ancoustic YA ALLAH Liat disini aja https://t.co/BgqWJXNUWp"
"25395","303","@paimonfess YA ALLAH"
"25396","303","@ancoustic liat aja"
"25397","303","YA ALLAH https://t.co/qaN98RCKQz"
"25398","303","WKWKWKWKW https://t.co/xJZaUpjfR9"
"25399","303","RT @knockknock_0408: XIUMIN Lysn : 못받은 EXO-L을 위해~🍭
@weareoneEXO https://t.co/E3iiQaUe6F"
"25400","303","😅😅😅 https://t.co/9MoB7zLvPp"
"25401","303","@ei8jun WKWKWKWKWKKW"
"25402","303","@dapetventi DARI WKWKWKKWKWKKWWK"
"25403","303","@ei8jun qiqi emang ngeheal ya"
"25404","303","@ngiIani OMG SEMOGA MAKIN LANCAR MAINX PAKE KEQING JADIIN DPS GUDLAK"
"25405","303","@dapetventi FOLLOW DULU????????"
"25406","303","@ei8jun tp ketawa bgt aky mian"
"25407","303","@ei8jun ya allah sabar"
"25408","303","@makmummasjid gilang"
"25409","303","@dapetventi temenan aja"
"25410","303","NANGIS https://t.co/lFZO3bPDYx"
"25411","303","@dapetventi https://t.co/NrjFG5yXG8"
"25412","303","@ngiIani GIMANA SKRG PAKE ARTE APQ"
