"id_tweet","id_user","tweet"
"22070","268","Tadi pagi vaksinasi untuk masyarakat kembali kita lakukan. Kali ini pedagang pasar di Kota Surakarta. Vaksinasi ini… https://t.co/V7gkkq2sUL"
"22071","268","RT @disporaparjtg: Pelatihan Pengelola Desa Wisata , penerima bantuan keuangan Provinsi Jawa Tengah sebesar 500 juta

Desa Prangkokan dan D…"
"22072","268","@doxx_x Setuju... kamu ikut bergerak gak? Seperti @sekolahsungaik1"
"22073","268","@NURSali88818567 Bantuan nopo den?"
"22074","268","RT @bkdjatengprov: Mari bersama peduli lingkungan untuk antisipasi tanah longsor, tanggul rusak, dan banjir ..
Bersama kita bisa...... http…"
"22075","268","Kanal pengaduan dari para bupati &amp; walikota di Jateng. Siapa yg pernah coba? https://t.co/qx7pbhw7pS"
"22076","268","RT @Transsemarang: #SobatTS mohon maaf sehubungan dengan perbaikan armada koridor IV dan Feeder I maka pada tanggal 05-07 Maret 2021 *Tidak…"
"22077","268","RT @Bptjwilpkl: Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pekalongan

#JatengGayeng @ganjarpranowo @TajYasinMZ…"
"22078","268","RT @Bptjwilpkl: Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pekalongan

#JatengGayeng @ganjarpranowo @TajYasinMZ…"
"22079","268","RT @Bptjwilpkl: Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pekalongan

#JatengGayeng @ganjarpranowo @TajYasinMZ…"
"22080","268","RT @Bptjwilpkl: Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pekalongan

#JatengGayeng @ganjarpranowo @TajYasinMZ…"
"22081","268","RT @Bptjwilpkl: Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pekalongan

#JatengGayeng @ganjarpranowo @TajYasinMZ…"
"22082","268","RT @Bptjwilpkl: Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pekalongan

#JatengGayeng @ganjarpranowo @TajYasinMZ…"
"22083","268","RT @Bptjwilpkl: Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pekalongan

#JatengGayeng @ganjarpranowo @TajYasinMZ…"
"22084","268","RT @Bptjwilpkl: Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pekalongan

#JatengGayeng @ganjarpranowo @TajYasinMZ…"
"22085","268","HBD Grobogan. Makin maju &amp; sejahtera https://t.co/HVpnlw39Eh"
"22086","268","RT @poldajateng_: Waspada Penipuan Vaksin Covid-19!

1.Berpura-pura menjadi NAKES
2.Modus mengaku mempercepat antrian
3.Modus meminta bayar…"
"22087","268","RT @setkabgoid: Selamat pagi, Kawan Kabinet!

Simak kembali yuk arahan Presiden @jokowi pada Rakornas Penanggulangan Bencana Tahun 2021, Ra…"
