"id_tweet","id_user","tweet"
"13550","176","Baru saja mengirim foto https://t.co/TTTWKlJLEp"
"13551","176","جزا الله عنا سيدنا محمد صلى الله عليه وسلم ما هو أهله... https://t.co/iOptYCcZhM"
"13552","176","Baru saja mengirim foto https://t.co/ma3fwgYXH0"
"13553","176","""إن الله وملائكته يصلون على النبي يا أيها الذين آمنوا صلوا عليه وسلموا تسليما""

اللهم صل وسلم وبارك على سيدنا محمد وعلى آله وصحبه أجمعين."
"13554","176","Kadang karena terlalu bersemangat mengurusi dan menasihati o r a n g  l a i n , kita jadi lupa terhadap diri sendir… https://t.co/uu3zU54LTo"
"13555","176","Baru saja mengirim foto https://t.co/TsTWEd5YFc"
"13556","176","Baru saja mengirim foto https://t.co/O9YNwBCLQk"
"13557","176","Baru saja mengirim foto https://t.co/WpGuFc6Nly"
"13558","176","Baru saja mengirim foto https://t.co/OxGZyHFMiA"
"13559","176","Baru saja mengirim foto https://t.co/W1aNYAp8hT"
"13560","176","Baru saja mengirim foto https://t.co/hgU8lEPQcm"
"13561","176","@ulil @lukmansaifuddin @quraishihab Kami, aku dan Habib Quraish, sampai harus menjeda-hentikan makan kami, terkesim… https://t.co/vUwwWISNoc"
"13562","176","Baru saja mengirim foto https://t.co/Y5NMGKjDiv"
"13563","176","Baru saja mengirim foto https://t.co/OMz1mZ69H3"
"13564","176","😭⚘💐 https://t.co/N1oXFLizWL"
"13565","176","Baru saja mengirim foto https://t.co/46wXh4K2rq"
"13566","176","Baru saja mengirim foto https://t.co/M6z1l0jlLn"
"13567","176","Baru saja mengirim foto https://t.co/xKR87BBEs5"
"13568","176","Alhamdulillah, masih bisa 'nututi' Peringatan Haul Allãhu yarham Gus Dur. https://t.co/olC8lBXJIq"
"13569","176","Al-Fãtihah lisayyidiil-akh Asy-Syeikh Abdurrahman Wahid, rahimahuLläh ... ⚘🙏 https://t.co/1zONnbY8Q7"
"13570","176","Baru saja mengirim foto https://t.co/MRODNUBJeG"
"13571","176","Baru saja mengirim foto https://t.co/YxU32JyEsw"
"13572","176","Baru saja mengirim foto https://t.co/UCIHPpGv6M"
"13573","176","Baru saja mengirim foto https://t.co/tl1GhEUiBQ"
"13574","176","@Daniesa_91 Mabrűk alfu-alfi mabrűk...⚘💐"
"13575","176","Baru saja mengirim foto https://t.co/41ZKd93MCm"
"13576","176","Baru saja mengirim foto https://t.co/9Yr1wAT3m0"
"13577","176","Baru saja mengirim foto https://t.co/s2zbvSLvfu"
"13578","176","Baru saja mengirim foto https://t.co/bZpXz0s6mA"
"13579","176","@beesibontot HASYIM ASY'ARI ?"
"13580","176","@DAMARWU71420603 Mabrűk alfu-alfi mabrűk ⚘ Saya nyumbang nama WARDAH (Mawar) atau MAGDA (Mulia) 😊"
"13581","176","@DwiAciep Rabbunã yusyfiih... 🤲"
"13582","176","Wa'alaikumussalam warahmatullahi wabarakatuh.  Bagaimana kalau dinamai MUHAMMAD ABDUL QUDDUS? https://t.co/JVE35hKOcd"
"13583","176","Tidak ada amal saleh dengan menzalimi orang. Kezaliman sangat dibenci oleh Tuhan. https://t.co/BhyrdJIlyx"
"13584","176","Baru saja mengirim foto https://t.co/fsPy4JMEul"
"13585","176","Hari-hari ini, tiba-tiba aku kangen Gus Dur, rahimahuLlãh. https://t.co/vggefb8l9r"
"13586","176","Ãmïn yã Rabb. 🤲 https://t.co/iE6KbxfPo7"
"13587","176","Baru saja mengirim foto https://t.co/WuVFHUrnBD"
"13588","176","Assalamualaikum warahmatullahi wabarakatuh. Selamat pagi. Selamat Hari Pahlawan ⚘🇮🇩💝
Marilah berusaha --minimal-- m… https://t.co/pIgtwLGXIX"
"13589","176","Baru saja mengirim foto https://t.co/Vm2gkggowl"
"13590","176","Assalamualaikum warahmatullahi wabarakatuh. Semoga kalian semua sehat wal afiat. 

Dalam gambar, silakan tebak. 😄 https://t.co/pAKhGjTRbd"
"13591","176","Baru saja mengirim foto https://t.co/KqVapwLlts"
"13592","176","⚘🇮🇩 Selamat Hari Soempah Pemoeda 🇮🇩⚘ Al-Fãtihan untuk Allah yarham Simbah Maimoen Zoebair yang lahir pada hari Soem… https://t.co/7BLXr2hmcd"
"13593","176","Baru saja mengirim foto https://t.co/GyowH2MAqb"
"13594","176","Baru saja mengirim foto https://t.co/N9eKY7TbzR"
"13595","176","Baru saja mengirim foto https://t.co/Eg7ivLracA"
"13596","176","Baru saja mengirim foto https://t.co/jsUyOW0O6a"
"13597","176","Dalam kondisi P a n d e m i seperti sekarang ini, kumpul anak-anak; menantu; dan cucu-cucu; merupakan hal mewah yan… https://t.co/8WrLeiR2gm"
"13598","176","Anak-anakku tak menjaga jarak hanya untuk foto bersama, tapi tetap memakai masker. Semoga p a n d e m i  ini segera… https://t.co/REXk2PhL2h"
"13599","176","@Husen_Jafar Allãhumma yã Rabba Muhammadin wa 'alã Äli Muhammadin shalli 'alã Muhammadin wa 'alã Äli Muhammadin waj… https://t.co/OpQUNc4GEm"
"13600","176","https://t.co/ieNFuIN6CF https://t.co/LONcfzs94D"
"13601","176","Baru saja mengirim foto https://t.co/DmhRjOfqJi"
"13602","176","Baru saja mengirim foto https://t.co/jy8RAdj2Oi"
"13603","176","Assalamualaikum warahmatullahi wabarakatuh. Selamat pagi. Serasa sama atau tetap terasa berbeda hari-hari Anda, yan… https://t.co/EOFinMNKH8"
"13604","176","Baru saja mengirim foto https://t.co/5t01go54Od"
"13605","176","⚘Selamat Hari Batik⚘

Foto dengan keponakan beberapa waktu sebelum datangnya Pandemi. Semoga si Pandemi ini segera… https://t.co/LpGd6jwywB"
"13606","176","Baru saja mengirim foto https://t.co/NDXphtosrg"
