"id_tweet","id_user","tweet"
"28612","336","RT @subtanyarl: Tanyarl
You did well, it's good enough, and I'm so proud of you"
"28613","336","@elzamzam9 kmu Tuhan?:("
"28614","336","maaf yaAllah sambat terus.."
"28615","336","pernah ga si kaya bangun tidur setengah sadar trus buka twitter atau ig ngerasa kek ngetik sesuatu gt trus ketidura… https://t.co/uDrJDUOV5z"
"28616","336","mo petjah"
"28617","336","enak bgt nangis sambil sujud berasa semua masalah idup ilang😭"
"28618","336","ga kepikiran😭 https://t.co/UYz9khdvvA"
"28619","336","RT @0oryzasativaa: H-30🤯
Simpen sini biar ga lupa🤧

Credit to owner https://t.co/IFKhqpzEpz"
"28620","336","kopinya saorsa gaada obat, mata gw masih 95%"
"28621","336","RT @looneyfrozz: i miss we the fest HELPPPP"
"28622","336","@dayuftraa hashhhhh🥵"
"28623","336","@sanrmf serba terbalik🦎"
"28624","336","emang cuma nyokap eug yg anaknya belajar trs dimarain gada abisnya 🤡"
"28625","336","RT @tweetislamii: Self Reminder. https://t.co/e7lEOy2hTU"
"28626","336","RT @txtdrberseragam: https://t.co/AyKP1KXlwv"
"28627","336","fisika fix valid no debat no kecot https://t.co/2lj9YsqckR"
"28628","336","RT @UnusualPoems: one day,

i’m gonna have
everything
i prayed for.
i really believe it.

—gon.
photo not owned https://t.co/GEN1v9Dndx"
"28629","336","RT @kegblgnunfaedh: ketika dua orang keras kepala ketemu di jalan https://t.co/2Ffa4GTDyh"
"28630","336","@dayuftraa WALAH"
"28631","336","RT @Maba21k: Ya Allah, sesungguhnya aku beristikharah pada-Mu dengan ilmu-Mu, aku memohon kepada-Mu kekuatan dengan kekuatan-Mu, aku memint…"
"28632","336","RT @kegblgnunfaedh: Udah gede aja lu ngab https://t.co/X55aC466Pw"
"28633","336","RT @remindersph: you're so strong I'm so proud of you https://t.co/mXP1IGiaFE"
"28634","336","ada y manusya kek gini pen julid sumpa https://t.co/A0edZMTNgP"
"28635","336","@dayuftraa WKWKKWKWKWKW"
"28636","336","@dayuftraa oponeE"
"28637","336","Z bgt"
"28638","336","RT @PusatSemestaku: :) https://t.co/0rQSPtclk1"
"28639","336","RT @nanidlot: Aku kadang kagum sama kemampuanku menggali informasi :)))"
"28640","336","RT @RANforyourlife: Kapan ya bisa kaya gini lagi? https://t.co/LYOtBNSofw"
"28641","336","three times."
"28642","336","smgt https://t.co/T6XYol4QyV"
"28643","336","@dayuftraa kenapa km cantik:("
"28644","336","RT @deditrii: Terkadang omongan lebih sakit dibanding pukulan."
"28645","336","alah alah iya iya paham☹️"
"28646","336","miss my #5 👨‍👩‍👧‍👦👭🧍🏻"
"28647","336","@dayuftraa bikin apa bun:("
"28648","336","RT @lowkeyalbert: when i find out my family ate something good while i wasn’t around https://t.co/3srA4ZyiVR"
"28649","336","RT @agsrivaniaa: ada anak cewek yang mendambakan pasangan hidup seperti ayahnya. namun,ada juga yang berpengharapan bahwa kelak semoga pasa…"
"28650","336","RT @dsuperboy: Minuman keras yang sering saya nikmati adalah es batu."
"28651","336","RT @remindersph: You can do it ! Fighting ! https://t.co/sSIZoXAr8b"
"28652","336","permisi, jalan menuju perut ibu lagi ada gak ya? 😩"
"28653","336","RT @90spicture: https://t.co/trRzPIKAju"
"28654","336","🤡 udh semangat tp serverny ga mendukung https://t.co/K58NSbQrWD"
"28655","336","RT @evanescentlin: ""KAN UDAH DIBILANG ANGKAT KOPLING DULU BARU GASSS"" https://t.co/K2UgqHnMoE"
"28656","336","RT @90spicture: https://t.co/ReSjiybt1A"
"28657","336","HAHAHHAHA https://t.co/Ir2tJlqwe8"
"28658","336","RT @PoemHeaven: gentle reminder: https://t.co/ngF55DXZpp"
"28659","336","sekarang gaada ig jd nge tweet mulu eug☹️"
"28660","336","twice."
"28661","336","RT @PoemHeaven: put your head on my shoulder. https://t.co/FnrFfp9GTF"
"28662","336","kpn trauma bs ilang.."
"28663","336","kl denger org teriak/bentak bawaannya pengen nangis&amp;deg2 an🤡"
"28664","336","502 bad mood:( wkwkwkkw"
"28665","336","tiba tiba 502 bad gateaway https://t.co/TnzF0cKFp1"
"28666","336","RT @dwikimic: Gini mulu hidup, tiba-tiba malam, tiba-tiba udah mau senin, kek berasa cepet aja gitu"
"28667","336","RT @oodivudipidiv: pemandangan sehari” https://t.co/hlgHSqheKJ"
"28668","336","RT @dsuperboy: Halo, Maret. Baik-baik, ya."
"28669","336","Halo Maret, see u again ig&amp;tiktok
Bismillah https://t.co/Xi80kviHVI"
"28670","336","500 error"
"28671","336","pagi pagi udah ""sabarrrrr....""🥰"
"28672","336","disuruh ujian tapi ga dikasih token😭"
"28673","336","hwaaaa pengen balik ke kandungan"
"28674","336","😴"
"28675","336","RT @uttazt_: Tetaplah sabar, Allah pasti punya rencana yang terbaik buat kita kedepannya. Semangat"
"28676","336","RT @oodivudipidiv: This guy, the one and only who makes me feel safe when i go to sleep with the lights off"
"28677","336","@oodivudipidiv awwwwww"
"28678","336","RT @radenrauf: Capek ya?
Sama, aku juga."
"28679","336","RT @90spicture: when anxiety kicks in https://t.co/lkzo9ff1Uu"
"28680","336","AAAAAAAAAAAAAAAAAAA"
"28681","336","dahlah dahlah"
"28682","336","sesek napas"
"28683","336","😪"
"28684","336","RT @marlangatang: the right person will make you fall in love with YOURSELF TOO...read that again"
"28685","336","@sanrmf dark bgt bun"
"28686","336","RT @sbmptnfess: PELUK JAUH BUAT KALIAN! SEMANGAT TERUS YA! (◍•ᴗ•◍) ‹3 ptn! https://t.co/7M8n0OQx7Q"
"28687","336","RT @looneyfrozz: i miss my bestfriends"
"28688","336","kenyanggggG 🤡"
"28689","336","RT @sbmptnfess: ptn! mau sungkem juga sama kak fika😭 jadi ngerti banget sama biologi🥺 https://t.co/0anNN9BvCC"
"28690","336","hormon gue rollercoster astaghfirullah"
"28691","336","RT @duniaberdrama: Jujurr..
Kadang takut saat lagi ketawa ngakak dan bahagia gitu, karna aku tau habis itu bakalan nangis.
Hehe:)

#depress…"
"28692","336","stress bgt uploud tenggat waktu 23:59 grgr wifi jd telat🙂"
"28693","336","MAU UPLOUD UPRAK SINYAL NYA JELEK BGT NANGIS"
"28694","336","RT @masasikamu: ibaratnya mending gue cape &amp; stress karna kerjaan daripada stress ga ada kerjaan"
"28695","336","RT @CTRLFINE: stop saying "" idc about love"" , you do care about it when u found the right one, just don't give up 😁👍🏻"
"28696","336","@sanrmf yang bikin tweet fix pernah ngalamin"
"28697","336","@sanrmf NGAKAK AHHAHAHAHAHA"
"28698","336","😭😭😭"
"28699","336","RT @brokenhomedaily: Kita cuma manusia, 
Cuma punya tangan dua, 
Cuma punya kaki dua,
Energi yang ada juga terbatas, 
Tapi punya keinginan…"
"28700","336","pengen balik ke kandungan lg bisa ga:("
"28701","336","Goodluck for me n everyone who applies for snmptn!!❤️🌈 🥳2021 is our year insyaAllah🤗"
"28702","336","RT @zilchalamet: SNMPTN!
you make me anxious, nervous, overthink, depressed, stress, and crazy at the same time."
"28703","336","RT @babeofgoddess: This post is weird for me tbh. Yes you could encourage these kids for SNMPTN by saying it's not everything, but giving B…"
"28704","336","RT @ItsPrincessAnna: idc who i lose anymore, as long as i don’t lose myself again, i’m good"
"28705","336","🥱 https://t.co/Hf4xurT0Gf"
"28706","336","RT @ustadchen: Yo... What happens when you cut off a toxic person? You glow. https://t.co/FvyjVYRPkI"
"28707","336","@oodivudipidiv penuh yg pahit pahit:("
"28708","336","bener bener sm aja :("
"28709","336","@elzamzam9 mbii"
"28710","336","RT @bellansxrddn: girl. you study, you work, you are responsible. you dress well, you put yourself together every morning, you manage your…"
