"id_tweet","id_user","tweet"
"20973","254","Saras jancok"
"20974","254","@cursedkidd Terima jasa hapus kenangan mantan"
"20975","254","Bangsat emang saras anjeng"
"20976","254","Saras anjing"
"20977","254","Saras agressif anjay"
"20978","254","Karakter saras di sobat ambyar adalah tipikal wanita masa kini."
"20979","254","Posheng"
"20980","254","Pagi ini. https://t.co/MwFzBWK5ZK"
"20981","254","Ah kontol. Itukan yang kamu mau."
"20982","254","@bisanyanangis Iya, pejabat indon beberapa masih ngeyel keknya terlampau santuy. Gini nih kalo pandemi dimasukin un… https://t.co/0oqPrnqzZx"
"20983","254","Baru diumumin padahal mah udah banyak kejadian mutasi, mungkin agar publik tidak geger. Gue ga bakal kaget sih ya b… https://t.co/17ovjBX1jH"
"20984","254","Remuk dah ni badan abis tracking ke gunung. Maklum badan tua gini"
"20985","254","Demi apa gue dengerin Jakarta Flames lagi. Nostalgia banget anjay."
"20986","254","Otw ke puncak andong tracking kecil kecilan terus menikmati sunrise dan indomie rebus. Terus pulang tidur bangun2 isya. Ah mantab awkawkawk"
"20987","254","Yaampun cuman gara2 1 cewe doang bisa jadi 1 album + 1 EP album. Berasa erros chandra gueeee...."
"20988","254","@Bandungfess Wah boleh juga tuh pas malem pertama bisa tag team 😂"
"20989","254","Ntar jam 3 mo tracking ke gunung andong 😂 subuh2 naik gunung komedi bener dah orang2 gabut."
"20990","254","When kebanyakan temen lo udah nikah dan mo nikah, lo gabut sendirian gada topic. Wkwkwkwkkw"
"20991","254","Dengerin orang ngobrol ngomong ""foto foto cakep pas terculik bingung"" 😂"
"20992","254","@wrwbs0b Mirip temen kampus gue pol"
"20993","254","Everytime mantan ngechat
Gue auto mode: Sekarang lo nyeselkan, keselkan mutusin gueee"
"20994","254","@naivepiscean Cakep bgt si jadi orang. Kapan jeleknya"
"20995","254","Sebenernya byk crita gila yg gabisa gue bagikan si tp menurutku yaaa penanganan covid indo tuh memprihatinkan."
"20996","254","Terkadang ironi men utk membayar mahal di rs. Eh ini ke dokter yang termasuk ga kota gede2 amat malah disuruh bayar… https://t.co/s2hpslrlb8"
"20997","254","Sopirnya di rs gila ga ada yang ngebantuin, bantuinya pun itu cuman jam visit bahkan keluarganya ga berani ngurusin… https://t.co/YZNJyCWqBJ"
"20998","254","Keluarga om gue dan sopirnya positif covid dengan umur om gue 65thn dan sopir nya 54thn. Sekeluarga om gue di tampu… https://t.co/eSmDZSx21y"
"20999","254","Sayang bgt gue bertamunya diwaktu yg telat kalo bisa gue bisa liat teknik pengobatan mereka. Gila gatuh tanpa apd,… https://t.co/B0VRofIuAt"
"21000","254","Ketika gue tanya soal apa yg harus kita lakukan apabila terjangkit covid ini jawabanya simpel. Lo hrs makan banyak… https://t.co/IMoUVYJAt6"
"21001","254","Dokter2 ini dalam penangananya sempat terjangkit covid namun berhasil sembuh dan sekarang mendapatkan imunitas terh… https://t.co/lxgFsuxywG"
"21002","254","Yang bikin gue geleng2 adalah para dokter ini melakukan pengobatan yang luar biasa unik. Memadukan pengetahuan kedo… https://t.co/tcuLYpfFYr"
"21003","254","Dikatakan bahwa di Indo we are not sure ya jenis evolusi covid apa yang udah masuk bisa aja mix gitu critanya. So,… https://t.co/nojwy02cGz"
"21004","254","Dijelaskan bahwa awal virus dari wuhan ketika yang terjangkit pulang ke asal masing terdeteksi mengalami evolusi vi… https://t.co/FBjrCFu9Qv"
"21005","254","Hari ini banyak banget perbincangan bersama dokter2 crazy rich purwodadi mengenai masalah covid dll. Rupanya telah… https://t.co/zxraZLkZJB"
"21006","254","@nunaabobo Subhanallove"
"21007","254","Kegiatan hari ini di tempat crazy rich purwodadi. https://t.co/vwMYXokWhs"
"21008","254","@ZOO_FESS Lucu bet si boleh minta 1 ga"
"21009","254","@lunaalullaby Ok tinggal dimana? Gue besok ada kondangan bulan maret 😂"
"21010","254","@sukaeggroll Itu bisa kena hack ati2 gue barusan jg ke dm."
"21011","254","@anhpls Maksiat terus :("
"21012","254","@xxxonald Boong ih itu ada 4rebu"
"21013","254","So kesimpulanya adalah I have a lots of trust issues right here or maybe you too when it comes to a person. Gue leb… https://t.co/tZpDxFMpyp"
"21014","254","Representing as a real friend is too much pressure man. Like geezzz, I know for some people it is sound beautiful ""… https://t.co/hjhAEEfBK1"
"21015","254","Next Poin, ketika temen lo mau ngutang. Ini yang bikin gue resah si, krn banyak bgt disini ujianya. Kalo ga dikasih… https://t.co/SeUlZ4qAzq"
"21016","254","Karna bagi gue itu merupakan beban yang kudu dipikul. Ketika teman yg lain mulai ngomongin teman satunya padahal fa… https://t.co/gCghzVc24U"
"21017","254","Lebih enak orang nganggep as a good friend and that's it. When people mulai menaruh kepercayaan sama gue untuk mend… https://t.co/kBRAOshrNk"
"21018","254","Tidak masuk terlalu dalam hubungan pertemanan, membuat merasa seperti ""teman sejati"" melainkan merasa seperti ""tema… https://t.co/k98XWfJUjn"
"21019","254","I personally now, ga pernah menaruh hubungan, praduga atau pikiran yang dalam terhadap seseorang. Kenapa bisa jadi… https://t.co/47U6oduMO7"
"21020","254","Didunia ini apa yg kita pikir atau prasangka kita terhadap sesuatu kerap kali menjadi pedang bermata dua. Either ge… https://t.co/vAgxYiqsGd"
"21021","254","Mari mulai pagi ini dengan pikiran random soal fake friends."
"21022","254","Entah hal baik atau buruk, ketika warga net indo ngebully microsoft terkait survey mereka terhadap netijen indo ini… https://t.co/dYzAO8Evl7"
"21023","254","@iainajaa Mantab siap siap asam lambung bun"
