"id_tweet","id_user","tweet"
"33363","386","I'm jealous of people who get to see you everyday."
"33364","386","RT @tadabburmaiyah: Sinau Bareng Cak Nun &amp; Kiai Kanjeng
“Gondelan Klambine Kanjeng Nabi”

Silakan ikuti di link berikut: 

https://t.co/z5M…"
"33365","386","Pasukan cleleng😬 https://t.co/AcFciIUJqS"
"33366","386","RT @mojokdotco: Nasi uduk, ikan tongkol
I love you

Rupi Kaur
Puskesmas Ngaglik II, 2021"
"33367","386","Lagi.. https://t.co/pvFhZkEhC0"
"33368","386","Kentekan foto🙂"
"33369","386","EO dolan sedang loyo ra ndue duit."
"33370","386","Bapak badil yaopo kabare yo rek, ijek sehat gak a?"
"33371","386","Playlist sebelum tidur piweling maiyah khatam, next dr fahrudin faiz wuenak tenan😬"
"33372","386","RT @plastikmicin: Sabar ya kaka desainer logonya. Mintik tau rasanya lelah :') https://t.co/3PC1lUqVOP"
"33373","386","@MelviraTisa tidur emang self healing terbaik ya"
"33374","386","RT @tadabburmaiyah: ""Kemalasan adalah bentuk ketidakjujuran terhadap anugerah Tuhan atas potensialitas kerja hamba-Nya. Manusia tidak bisa…"
"33375","386","RT @jangandengerin: Cuman saat kuliah doang orang-orang disuruh cari masalah justru pada pusing"
"33376","386","""Koe selalu tak dongake angger koe kelakuan apik, sayang ng kabeh makhluke Allah maka nanti  
مِنۡ حَيۡثُ لَا يَحۡ… https://t.co/LUkG1bNHlH"
"33377","386","Keberanian Merusak | Mocopat Syafaat Maret 2021 https://t.co/LfWEUfHkWh via @YouTube"
"33378","386","RT @DarmantoMS: Nek Pengeran menehi luwih seko kebutuhanmu, iku tandane ono titipan sing perlu diterusno nang wong liyo. Ojo diuntal dewe."
"33379","386","Datatable ki cen bajingan og🙃"
"33380","386","RT @Thefucch: Tidak ada resolusi apapun untuk tahun ini. tidak ingin mengejar apapun, sedang dalam mode tidak ingin memperdulikan hal² yg m…"
"33381","386","RT @Thefucch: Betul, ya. Semakin bertambah usia dan dewasa seseorang, pilihan menyelesaikan masalah kiranya ada dua cara: dibicarakan untuk…"
"33382","386","@yonnas_ https://t.co/LJC4O89zI9"
"33383","386","Eman-eman kasih sayangku😛"
"33384","386","@vikiyanaharis @Albaaqy_ Wkwk la arep bahas bab hakikat po makrifat ki, tak cepake wedangan."
"33385","386","@Albaaqy_ @vikiyanaharis Benke cah kui kik, lagi wae start e ndak kelangan meneh."
"33386","386","@Albaaqy_ Frekuensi wireless ta, fokus sek luwih prioritas, urusan cinta nomer pitulikur yo raa?🖐️"
"33387","386","Sek penting satu frekuensi."
"33388","386","Kacau bener."
"33389","386","RT @YBRAP: I feel tired..like- VERY TIRED"
"33390","386","Ngelu tenan ndasku."
"33391","386","Ealah ono-ono wae."
"33392","386","@yonnas_ Info ngopi A1 ki @Farhanyulianto_ https://t.co/O7vNijOeM1"
"33393","386","RT @gmbrsn: Uripku men di toto Gusti
Wingi tak toto dewe kurang nyeni."
"33394","386","Caraku menikmati dan menghormati kopi adalah dengan tidak mengkonsumsi tiap hari, disamping menjaga lambung juga me… https://t.co/pKaF5jRF9V"
"33395","386","RT @ryuhasan: Ancen koslet arek iku"
"33396","386","@Albaaqy_ Self reward teros nganti entek-entekan e🙃"
"33397","386","Pendidikan, duit, karir, kacau og."
"33398","386","RT @Thefucch: Kita tidak akan benar-benar menjadi dewasa sebelum kita dihajar habis-habisan oleh realita."
"33399","386","@abdielalim Niat jahat e wi lo🤣🤣"
"33400","386","Arep foya-foya malah udan be like : https://t.co/J0NM8RmFSC"
"33401","386","@midiahn Cok @abdielalim 😂😂"
"33402","386","Siapin. Dolan numpak bis."
"33403","386","Kacau."
"33404","386","Save dulu ndak lupa. https://t.co/lW9n0QAoa5"
"33405","386","Didunia kerja skill itu nomer sekian, itu bisa dilatih. Tapi attitude yg utama ndes."
"33406","386","RT @Thefucch: Menjadi dewasa itu berat nduk, semua hal diuji mulai dari pertemanan yang hilang ekonomi yang naik turun perasaan yang tak me…"
"33407","386","Mosok aku blas ra reti iki ngendi. https://t.co/NGha4B6L3f"
"33408","386","@vikiyanaharis @AlBaaqy @yonnas_ Rene jaga kontrakan makane, banyak cerita i"
"33409","386","@AlBaaqy @yonnas_ Kirim kantor gurameh aja pak CEO🙏"
"33410","386","@AlBaaqy @yonnas_ Tolong para karyawan jangan sambat disini🙏"
"33411","386","@yonnas_ Ha balinan e"
"33412","386","Kasi tau ngab. https://t.co/fu6LdF5ULb"
"33413","386","Sing gede pangapuramu🙏"
"33414","386","RT @ankerleci: Yg kek bgini boleh gue pukulin aja nga si 😭 https://t.co/F3WkEplnPJ"
"33415","386","Belanja belanja wae, koe ki mikir ra to pi sopi, tanggal tuo i loooo. https://t.co/7c7Ta061bB"
"33416","386","RT @lantip: tampaknya memang benar,
netijen kita ga ada sopan-sopannya :| https://t.co/Ox2aEfREb6"
"33417","386","@vikiyanaharis @AlBaaqy Lagi sadar bul typo🙃"
"33418","386","@AlBaaqy Loh mosok yo kudu diomongke nk ono kamu hawane barang xixixi"
"33419","386","Tolong pillow talk yg menyebabkan kawanen itu jangan dibuat thread ya kak. https://t.co/EY28TtwHD2"
"33420","386","@ayukurniasihh Kok ono huft e🙃"
"33421","386","@ayukurniasihh Kelesuan ini jangan lekas pergi"
"33422","386","@vikiyanaharis Ra marai mundak putih e"
"33423","386","Sini tak untir gulumu😐 https://t.co/tV3OAdRypp"
"33424","386","""Kerjo gur lunggah lungguh karo nguntir boyok sambat kesel"""
"33425","386","@vikiyanaharis @yonnas_ ancene taek arek-arek iku"
"33426","386","@vikiyanaharis Ancene ngono rek, masio lunyu kudu tetep menek."
"33427","386","Ngapunten Gusti, seminggu iki full kopi terus, lagi repot🙏"
"33428","386","@Farhanyulianto_ Banyak tanya wartawan satu ini"
"33429","386","@FachrizalAsqi @abdielalim Embuh yo"
"33430","386","@abdielalim Mari mangan seblak🙏"
"33431","386","RT @hrdbacot: Ada yang lagi Over thinking? karena mikirin nanti gajian beli apa ya buat obat stress kerja sebulanan~"
"33432","386","🙏 https://t.co/2qvdooj1Kf"
"33433","386","@abdielalim @vikiyanaharis 🙏 https://t.co/IQNbLm78pi"
"33434","386","Baleske @vikiyanaharis 🙏 https://t.co/QcSdNzKA4y"
"33435","386","@abdielalim 🙏 https://t.co/1TZvCyyQpZ"
"33436","386","Haesss ra ngurus, jatah cutiku unlimited 👋 https://t.co/YMnRDhLj34"
"33437","386","@WinterJalu Bapakmu cen visioner og😂"
"33438","386","👋🙏"
"33439","386","@kaptenAmercia ..."
"33440","386","Sebanyak apapun kamu punya relasi bakalan kalah juga sama yg punya orang dalam🙃"
"33441","386","RT @hrdbacot: Hai... cape ya? Sama, aku juga..."
"33442","386","RT @tadabburmaiyah: “Cinta dewasa yang matang adalah kesediaan kita untuk berkorban. Untuk hal-hal menyenangkan, kekasih yang kita dahuluka…"
"33443","386","aku sing ngopeni koe sing nduweni~"
"33444","386","Hawane kok gur pengin dolan teroosss."
"33445","386","RT @ko2w: Wawancara Lokadata dengan penemu GeNose ini sungguhlah...... https://t.co/uyi8tB0pvD https://t.co/wjhpC5z8oq"
"33446","386","RT @BuruhYogyakarta: Sertijab Bupati Sleman ke Istri sendiri. Acara keluarga."
"33447","386","@Farhanyulianto_ @yonnas_ Em saya suka yg seperti ini, gobloknya natural pemberian tuhan."
"33448","386","@jowoshitpost @aan_hasanu Info loker slur @Farhanyulianto_ @yonnas_"
