"id_tweet","id_user","tweet"
"31241","363","Singgah di satu toko kerajinan di Ubud, siang ini, saya sempat bertemu pemilik galeri. Saya ingin tahu bagaimana da… https://t.co/srhQ8cmEIs"
"31242","363","Vaksinasi massal Covid-19 digelar bagi para pelaku industri pariwisata, pemuka agama, budayawan, pemuda, dan masyar… https://t.co/2NGPpgZive"
"31243","363","Saya bertolak menuju Bali, pagi ini, untuk kunjungan sehari ke Gianyar dan Denpasar.

Di sana saya hendak meninjau… https://t.co/vP97qmz6Ct"
"31244","363","Undang-Undang Dasar 1945 telah mengatur masa jabatan presiden paling lama dua periode. Mari kita patuhi bersama.

J… https://t.co/JGOWXJk76F"
"31245","363","Sebagai presiden yang dipilih langsung oleh rakyat berdasarkan konstitusi, maka sikap saya terhadap konstitusi yang… https://t.co/GWEb1WxV7V"
"31246","363","Empat dari tujuh venue olahraga untuk penyelenggaraan PON XX di Papua ini telah selesai.

Saya telah menginstruksik… https://t.co/8y1MZIzOxY"
"31247","363","Dalam hening dan sepi, kita menyelam ke lubuk hati, merenungkan karunia hidup dari Sang Pencipta. 

Maka meluruhlah… https://t.co/uj6UK3lqIx"
"31248","363","Perjalanan agung Nabi Muhammad SAW dari Masjidil Haram ke Masjidil Aqsa, lalu ke langit ketujuh, mengingatkan kita… https://t.co/EkI3xQ3yAU"
"31249","363","Kita harapkan vaksinasi seperti ini segera diikuti daerah-daerah lain. Jadi, semakin hari semakin banyak warga kita… https://t.co/A7QU8J5nnd"
"31250","363","Vaksinasi massal bagi para ulama, tokoh agama, dan santri di Semarang siang ini. 

Di antara lebih 1.000 penerima v… https://t.co/iW2DZMTh7z"
"31251","363","Gatotkaca yang sakti hari ini divaksinasi di Padepokan Seni Bagong Kussudiardja di Pedukuhan Kembaran, Bantul. 

Me… https://t.co/3zOJQZTHHu"
"31252","363","Hari ini saya berkunjung ke Yogyakarta dan Semarang, untuk meninjau pelaksanaan vaksinasi massal Covid-19.

Di Yogy… https://t.co/DePkI4brQw"
"31253","363","Sebuah pesawat KLM tiba di Bandara Soekarno-Hatta  kemarin sore, membawa 1,1 juta dosis vaksin siap pakai AstraZene… https://t.co/oxkyfwUJoc"
"31254","363","Tak ada pertunjukan, tur, sampai festival musik dalam satu tahun ini. Tapi saya tahu, pemusik-pemusik Indonesia tak… https://t.co/O7yvQ0j8H6"
"31255","363","BPPT harus mampu memiliki jejaring luas dan menjadi lembaga akuisisi teknologi maju dari manapun, selama belum bisa… https://t.co/hSlbKwu9x9"
"31256","363","Selama pandemi ini misalnya, akselerasi inovasi bisa kita lihat di bidang kesehatan seperti ventilator untuk perawa… https://t.co/t21WXWZMSp"
"31257","363","BPPT harus aktif berburu inovasi dan teknologi untuk dikembangkan lebih lanjut dan diterapkan. 

Ada ribuan penelit… https://t.co/Um2rVQKkwT"
"31258","363","Di dunia yang kian terbuka dan modern, setiap orang, laki-laki atau perempuan, punya kesempatan yang sama untuk men… https://t.co/thsN0GGWXe"
"31259","363","Vaksin Covid-19 ini telah melalui perjalanan panjang untuk sampai ke kita. Sudah melewati tahapan penelitian, pengu… https://t.co/rrCsOL0fdC"
"31260","363","Bendungan Sindangheula di Serang, Banten, yang dibangun sejak 2015, telah selesai dan saya resmikan kemarin. 

Bend… https://t.co/DrXTXkyUbe"
"31261","363","Di ruang-ruang laboratorium dan ruang produksi Bio Farma hari-hari ini, para ilmuwan berkejaran dengan waktu, mengo… https://t.co/sPILFatNLF"
"31262","363","Saya selalu menyampaikan kepada seluruh kementerian, lembaga, dan BUMN untuk memberi ruang lebih bagi produk-produk… https://t.co/uY2YLlhFKg"
"31263","363","Rakernas Hipmi saya buka pagi tadi di tengah tantangan dunia usaha yang tidak mudah dalam setahun ini. 

Tapi saya… https://t.co/FGXhxGzdOq"
"31264","363","Sekali lagi, prioritas pemerintah jelas: keselamatan dan kesehatan masyarakat adalah yang utama. 

Untuk itu, pemer… https://t.co/SDG8dcfe8G"
"31265","363","Jumlah vaksin semakin meningkat seiring dengan komitmen dari berbagai produsen. Seluruhnya untuk program vaksinasi… https://t.co/BCZ06WreyN"
"31266","363","Berkat pendekatan sejak jauh-jauh hari kepada perusahaan farmasi global produsen vaksin Covid-19, kini Indonesia te… https://t.co/Q25JpSDpsK"
"31267","363","Saya bergembira dapat hadir dan meresmikan kampus baru Universitas Sultan Ageng Tirtayasa (Untirta) di Sindangsari,… https://t.co/JYonUGyMgv"
