"id_tweet","id_user","tweet"
"23900","287","RT @BBCIndonesia: Ankara diguncang bom mobil, 18 tewas. https://t.co/YnJV5I46kj https://t.co/qioWbx3sd4"
"23901","287","RT @IslamLurus: Ini Pertimbangan MUI dan Ormas-ormas Islam Dorong LGBT Dilarang https://t.co/GQfYuP2GmP via @hidcom"
"23902","287","RT @BBCWorld: Donald Trump will not be president says President Obama https://t.co/CCevYzzdUW https://t.co/kxs9miqDHO"
"23903","287","RT @AndiArief_AA: Saya gak tahu apa yang membuat Presiden malu disandingKan fhoto dg Nikita Mirzani. Kan itu fhoto asli, dulu Nikita penduk…"
"23904","287","RT @luviku: Harga2 kebutuhan dapur meroket. Telur, daging, ayam, sayur, cabe, tomat dll ..."
"23905","287","RT @ypaonganan: waduh apa ini sotosop..? 😀😀😀

#PapaMintaPaha #PapaMintaPaha #PapaMintaPaha https://t.co/cGdi7FB6cD"
"23906","287","RT @ypaonganan: selain 

#PapaMintaPaha #PapaMintaPaha  

ternyata juga

#PapaDoyanAmoy https://t.co/mr0fdaVziV"
"23907","287","WOW RT ""@AnjarGRT: Jangan asal “@ypaonganan: terbangken ke pluto  #PapaDoyanLonte #PapaDoyanLonte #PapaDoyanLonte https://t.co/hfLw6IIzf0”"""
"23908","287","RT @peppramu: #jokowiPenipu #JokowiRamikir ""@Datu_daha: @Intelijen_ @peppramu yg mengangkat jg jago tipu..rezim penipu"""
"23909","287","RT @hotradero: #mikir https://t.co/adYo2MEMWM"
"23910","287","RT @Intelijen_: Mulai tercium gelagat bahwa Penempatan para relawan Jokowi di BUMN merupakan strategi Jokowi untuk mendapatkan dana di Pilp…"
"23911","287","RT @Ber1dalam1: Lambungken ..
#JokowiRangertiLCS #JokowiRangertiLCS #JokowiRangertiLCS https://t.co/6fbyARKXwT"
"23912","287","RT @makuro48: MyAnshari: Awalnya ""belajar"" mencinta,.. akhirnya pasti ""dipaksa belajar"" pula terpisah dgn yg dicinta, segala yg di dunia...…"
"23913","287","RT @Beritasatu: Kabut Asap, Masyarakat Bisa Gugat Pemerintah http://t.co/YrHxTwtxAn http://t.co/nx3KLyL0wg"
"23914","287","RT @ypaonganan: lanjutken #JokowiTakutAsap #JokowiTakutAsap #JokowiTakutAsap #JokowiTakutAsap"
"23915","287","RT @yani_bertiana: Asap Sumatera dan Kalimantan makin pekat, jokowi-jk bisa jatuh !!
https://t.co/6CaPsg21KY
#jokowiJKberasap http://t.co/O…"
"23916","287","RT @pa2nkOz: @SangPemburu99 @fadjroeL ditunggu kata2 ""KomUt PT adhi karya"" di bio twitternya panjul #FadjroeLMeroket"
