"id_tweet","id_user","tweet"
"26018","310","@ykzr w mo beli ada ni yg alolan raichu tp masi mikir-mikir"
"26019","310","@ykzr DoOoH"
"26020","310","Kangen mam daging yang digunting-gunting https://t.co/CONPcODDDr"
"26021","310","@trancenote Samaaaa ini warna rambut udah butek ga gue bener-benerin emang wfh bikin jadi pasif dan ga merawat diri dah"
"26022","310","@trancenote Asliii perawatannya juga gila soalnya 😭"
"26023","310","@_tal93 Satu hal yg w bisa syukuri aka gaslighting diri sendiri: bisa istirahat setidaknya 1-2 minggu 😭"
"26024","310","Kangen jalan-jalan 🥺 https://t.co/OtweLsHpkN"
"26025","310","@_tal93 Pet sembuh talll ✨"
"26026","310","https://t.co/rxIIMiMlh4"
"26027","310","@_tal93 lo bener-bener kayak gue ya, ga kemana-mana ga nongkrong terus ujung-ujungnya kena hhhh"
"26028","310","Ya Allah ketemu juga ni ariana malaysia yang makan pak gembus https://t.co/IoFm547rCw"
"26029","310","Yah sama kayak lo @mzakski https://t.co/jAztarneok"
"26030","310","RT @allyavyn: @msofyan Samaaannn!! https://t.co/3vrMphj7wn"
"26031","310","RT @karindhiya: ‼️ sendal ikan supremacy‼️ https://t.co/evwnhKYSnC"
"26032","310","@eoriin @YouTube Suka bgt anaknya rain oppa 🥺"
"26033","310","[MV] Ciipher(싸이퍼) _ I like you(안꿀려) https://t.co/hpVIC2JplI via @YouTube"
"26034","310","Jalan malam bersama pukiman https://t.co/HPuSVTfPLo"
"26035","310","Baru bangun jam segini enaknya ngapain ya oh jelas tentu lebih baik berburu pokemon"
"26036","310","@eoriin Asli giliran dah tua malah foto melulu 😭"
"26037","310","Ga ada gue foto waktu kecil sumpah gue waktu kecil jualan kue lopis ama nyapuin kuburan https://t.co/3J8MN1hpN3"
"26038","310","RT @TIFF_NET: Academy Award Nominee Youn Yuh-jung 🌱 #OscarNoms https://t.co/ttT3FYuKC8"
"26039","310","Pengen pacaran terus nanti pacar w ajak nobar konser sechskies (pernah w download) (maaf ga ada akses) (full bahasa… https://t.co/JQ1dLQNdV1"
"26040","310","@djamtjoek Wqwqwqeqeq same"
"26041","310","@senjatanuklir Jaijin myluv 😭"
"26042","310","❤️I’m the karyawan❤️ https://t.co/2NMVpPhupq"
"26043","310","@xurbiaxendless Wkwkwk maren kamar adek w ni disembur"
"26044","310","credit:
https://t.co/Q5KddkDkQj"
"26045","310","@magruderjazz no comment"
"26046","310","@nadiyahrs setidaknya ketiduran di angkot AC"
"26047","310","""Rihanna kemana sih kok gak keliatan di grammy?""

Rihanna: https://t.co/cYby4UFYKJ"
"26048","310","jAnGaN nYaLaHin PeMeRiNtAh bAnG https://t.co/XomCfzHpj4"
"26049","310","@jfc127BP HAHAHAHA KENAPEEEE"
"26050","310","@jfc127BP kebayang ya main Resident Evil kek gitu"
