"id_tweet","id_user","tweet"
"17444","216","https://t.co/IgzQnr5z3X"
"17445","216","Dunia saat ini seperti akhirat. Hari-hari ini bila seseorang mengeluhkan kesulitan ekonomi kepada seseorang seperti… https://t.co/ekINnyfdx3"
"17446","216","https://t.co/onTLIB8cdu https://t.co/LEdcQwkncZ"
"17447","216","KEJUMUDAN

Lurus dalam berteori, muter dalam bertindak.
Abai saat argumentasi, mumet saat konklusi.
Menggemari cand… https://t.co/SETgWoHwNi"
"17448","216","CERMIN 

Yang terlihat baik pada dirinya oleh dirimu adalah dirimu.

Yang terlihat buruk pada dirinya oleh dirimu a… https://t.co/etjKhJkO1b"
"17449","216","YANG CEDERA DI LAPANGAN DAN YANG TERIAK DARI TRIBUN https://t.co/5Tem3yG65k"
"17450","216","IMAN KEBANGSAAN DAN TEOLOGI KEMANUSIAAN https://t.co/f2XKJCan88"
"17451","216","PERCAYA https://t.co/PEZt3H4d7x"
"17452","216","SENSASI, IMAJINASI DAN INTELEKSI https://t.co/M4qiGhgCZG"
"17453","216","BE HAPPY https://t.co/iNadzA4h67"
"17454","216","Pamrihlah dalam keburukan karena kalau tulus pasti tak dapat pahala."
"17455","216","https://t.co/JVtvrcO5uW

HAK MEMILIH SESAT https://t.co/bmMsgwyypH"
"17456","216","https://t.co/ADwdAKfZ5M https://t.co/aWDYKCGx0c"
"17457","216","IMAN KEBANGSAAN DAN TEOLOGI KEMANUSIAAN https://t.co/UPI5Wt5nbR"
"17458","216","TERKURUNG DALAM RUANG (Bagian 2) https://t.co/U5kgh9v3Gw"
"17459","216","IMUNISASI INTERNAL https://t.co/TFoYnaqEa4"
"17460","216","https://t.co/pNcsinjLvX https://t.co/TkBP19vFdq"
"17461","216","#KangJalal
Berada di puncak ketenaran. Satu  dari 4 ikon intelektualisme Islam di Indonesia dengan sederet keunggul… https://t.co/jF5lnGbUyx"
"17462","216","https://t.co/N5pg8IQRpD"
"17463","216","Makin modern, makin percaya ramalan. Dunia jungkir balik."
"17464","216","Beberapa waktu lalu bakteri hanya menyerang orang-orang kelas alit  yang hanya menyantap makanan alot. Kini orang-o… https://t.co/TJBdCn3wOI"
"17465","216","Beberapa waktu lalu kecemasan adalah hak eksklusif kelompok yang lolos dari kemakmuran. Kini orang-orang yang lolos… https://t.co/GV7qJkZP2s"
"17466","216","Gong Xi Fa Cai
كل عام و انتم بخير"
"17467","216","Semoga bulan Rajab menjadi momentum titik balik menuju keadaan lebih baik bagi kita secara lahir dan batin."
"17468","216","Siapapun dia dan apapun kesalahan yang dituduhkan terhadapnya, kematian seorang tahanan adalah tragedi."
"17469","216","Setiap orang bisa menciptakan dunia sempit, pengap dan bising yang hanya diisi orang-orang yang sesuku, seetnis, se… https://t.co/L0kHpJs74n"
"17470","216","BISIKAN NEGATIF https://t.co/UaChAUMgsc"
"17471","216","MEMUJI JUSTRU KARENA TAK MENGIKUTI https://t.co/s3OgAttSPg"
"17472","216","KHUMUS DAN UJIAN KONSISTENSI https://t.co/uwySCt6aaI"
"17473","216","“MENOLAK POLIGAMI” https://t.co/KhEGzSp66t"
"17474","216","NASIB MINORITAS ALIRAN https://t.co/juIvNMo9Pv"
"17475","216","NGAJI MANIFESTO https://t.co/rpgSlAx7RJ"
"17476","216","Orang kerdil tak membuktikan kebenaran keyakinannya dengan argumentasi, tapi memfitnah, mencemooh dan menyesatkan keyakinan lain."
"17477","216","Orang pamrih menganggap kebaikannya sebagai piutang yang harus ditagihnya. Orang tulus menganggap kebaikannya sebag… https://t.co/7F0c9oeEUR"
"17478","216","Tertulis pada kaca belakang sebuah angkot tertulis :

ربي إن كان هناك من يكره أن يراني سعيدا فارزقه سعادة تنسيه أمر… https://t.co/qIo537qYSK"
"17479","216","""Langit dan bumi tak mampu menampungku, namun hati seorang mukmin mampu menampungku."" 
(Hadis Qudsi : Awali Al-Ali, vol. 4 / hal.1)"
"17480","216","@garudear Common di kalangan rasional saja"
