"id_tweet","id_user","tweet"
"15550","197","Bangun pagi ga ngantuk lagi tapi laper banget:3"
"15551","197","RT @afrkml: Pas lg stres tuh pengen makan yg pedes2 gak sih?
Gua iya wk

Rupanya, capsaicin yg memicu pedas menipu otak dg bilang ""Woi tuh…"
"15552","197","Apakah aku bukan cwk? https://t.co/qkbf4894l8"
"15553","197","RT @nksthi: Tuhan: “YO MBUH YOOO” https://t.co/XHOo5PZvcQ"
"15554","197","RT @aulmaulidiana: Semakin dewasa lo bakal ngerti enaknya punya temen yang itu-itu aja.

yup, it’s all about quality not quantity."
"15555","197","Kadang mikir juga si abis kelar skripsi mo ngapain hmm, padahal blm finish:))))) https://t.co/w7IULytKB4"
"15556","197","RT @olivehateem_: sengaja nunda-nunda lanjutin skripsi soalnya takut tiba-tiba kelar terus bingung mau ngapain"
"15557","197","Aku tiap malem https://t.co/PFT2UQdZ9r"
"15558","197","RT @aulmaulidiana: Selalu bilang ke diri sendiri:

yauda gpp kok
Semangat ya
Sabar ya dikit lagi

Padahal rasanya capek banget, kek selalu…"
"15559","197","Beng-beng mini naks banget, porisinya pas buat 2 kali gigitan aaaaa😍 https://t.co/EEoUaU2LFZ"
"15560","197","RT @bayu_joo: self reward terbaik untuk diri sendiri:

tidur seharian"
"15561","197","RT @ayubsr: kayaknya seru kalo rumah kita deketan, bisa ketemu tanpa harus nunggu berbulan-bulan lamanya."
"15562","197","RT @yaelahcan: It's okay to not be okay.
Someday, everythings will be fine."
"15563","197","RT @aulmaulidiana: Semarah-marahnya aku sama pasangan
Setiap kali mau ngomong selalu mikir “ini nyakitin dia ga ya”"
"15564","197","RT @radenrauf: Kapan nikah? Pertanyaan sejuta umat yang beberapa di antara kalian pasti sebel kalo ditanya gitu. Sama. Gua dulu juga gitu.…"
"15565","197","RT @bayu_joo: seringkali ngerjain sesuatu itu sesuai dengan:

jadwal ❌
mood ✅"
"15566","197","RT @mhdarief2208: Dari nissa sabyan dan ayus aku gamau belajar, soalnya setia dan bucin sama satu orang itu enak banget."
"15567","197","Bisa ngga si dunia berenti becandanya. Aku cape :("
"15568","197","Kzlllll sama yg udah nambahin ngadi2 di sk ku. Heh tolong lah lain kali lebih teliti kalo masukkin nama di sk-,-"
"15569","197","Ngadi-ngadi bgt demi apaaaaa-,-"
"15570","197","RT @aulmaulidiana: Pernah ga ketemu seseorang yang bener2 tulus, ketika lo capek, ada masalah dia jadi rumah tempat lo pulang.
Senyaman itu…"
"15571","197","RT @selphieusagi: Coba diurut dari prioritas kamu dalam mencari pasangan
1. Sifat (setia, rajin,dsb)
2. Kebiasaan (jam kerja, pola makan, d…"
"15572","197","RT @Bimaadii_: Mood cwe akan bagus ketika diajak makan dan keliling kota."
"15573","197","RT @andihiyat: Banyak platform media sosial baru tapi twitter tetep tempat terbaik buat berkeluh kesah"
"15574","197","RT @andihiyat: Prioritas utama sekarang adalah bertahan hidup"
"15575","197","Semoga tidak berkurang, atau hilang"
"15576","197","Apapun keputusannya, harus siap."
"15577","197","RT @radenrauf: Orang yang bisa kamu harapkan untuk menyayangimu sepenuh hati ya cuma diri kamu sendiri."
"15578","197","@ayundarizkha Me too"
"15579","197","RT @handokotjung: Mata: Sudah malam, saatnya istirahat.

Otak: Okee jumpa lagi pemirsa dalam acara ""Hal-hal yang harusnya tidak kamu lakuka…"
"15580","197","Antara pengen tidur, laper, dan insom jadi satu."
"15581","197","Sabtu, 13-02-2021
Alhamdulillah for a good day."
"15582","197","RT @ayubsr: sedikit gerak, banyak magernya."
"15583","197","Jam segini udah ngantuk, bayi banget deh"
"15584","197","RT @skhdijahh_: Aku tipe orang yang cuek dan gampang ilfeel ketika ada yang deketin tapi sekalinya aku udah suka sama seseorang bakalan buc…"
"15585","197","Laptop lemot banget heran, sabar sabar"
"15586","197","@tanyainrl Kalo malem aku lagi begadang ngerjain sesuatu tp bapak udah bobo pasti bangun, terus ke kamarku cuma nyuruh tidur. Sayang banget❤"
"15587","197","@squidwardfess Pengertian, setia, komunikasi, keterbukaan, dan ga posesif"
"15588","197","RT @radenrauf: Stuck with you"
"15589","197","@squidwardfess Mau aja asal ngga jauh-jauh banget selisihnya"
"15590","197","👦: Makasih udah memberikan kepercayaan❤️
👧: Gaada yg bisa aku berikan, kecuali rasa cinta, kasih sayang, dan keperc… https://t.co/4DCxcJ8bnR"
"15591","197","Hujannya bikin khilaf ih. Bangun2 udah jam 10 aja😪"
"15592","197","Request dinyayiin lagu melamarmu dari sekarang boleh gasi. Nyanyinya sambil main gitar kyaknya ah mantap."
