"id_tweet","id_user","tweet"
"33263","385","https://t.co/lRuzY5VXpa"
"33264","385","@pln_jogja min daerah purwomartani kalasan kok mati listrik lama nggih ...dari jam 2"
"33265","385","RT @KemenristekBRIN: #KawanIptek, saksikan penayangan perdana trailer ""Film Musikal Hikayat Ajisaka"" dengan mengakses laman https://t.co/nL…"
"33266","385","@makemac Boros banget di ip 7 plus"
"33267","385","@makemac Boros battre 😥🤭"
"33268","385","@faisalammar30 @makemac Boros batree juga 😳"
"33269","385","RT @XeloGames: Our Discord channel is up and running! Come and say hi or just chill.
You can also download the Demo for free inside the cha…"
"33270","385","@anvie Sabar mas☺️"
"33271","385","@ToyotaID Corrola twin camp ☺️"
"33272","385","@herry_zudianto @tempodotco Emm saya juga gitu pak hehehe..."
"33273","385","https://t.co/gU3nTTlpVf"
"33274","385","https://t.co/zClPpq1Okb"
"33275","385","https://t.co/1Buc5BmDOa"
"33276","385","https://t.co/3wLcmX41w6"
"33277","385","@bamsmart_26 Dari dulu mas makanya saya ganti hallo telkom"
"33278","385","Seluruh rakyat: Pidanakan petugas KPU yang melakukan kecurangan - Tandatangani Petisi! https://t.co/zwGZO7ph5n via @ChangeOrg_ID"
"33279","385","@bamsmart_26 @TelkomCare Hehehe kan ikut pemimpinnya 🤭"
"33280","385","@Kemlu_RI Keren"
"33281","385","Guys, sekarang bisa wifian di Mall @hartonoyk :D
Akses #freewifi powered by @citranet pakai ssid: FREE@HARTONOMALL"
"33282","385","@bamsmart_26 Setuju"
"33283","385","@bamsmart_26 Amiinn"
"33284","385","@bamsmart_26 Ya kapan mas dapat undangannya 😬"
"33285","385","@RUMAHSAKITJIH @herry_zudianto Tapi ya harga selangit nggih 🙏😊, semoga selalu sehat selalu"
"33286","385","@ferynugra @makemac Aman dan lancar https://t.co/jI9VNR8ox5"
"33287","385","Iki lagi ngopo toh yo 😬 https://t.co/TDMjM4ojit"
"33288","385","Aneka Ria Safari Kemesraan (Iwan Fals,Rafika Duri,Chrisye,Betharia Sonata)
#jadul 😂 https://t.co/Mupwdf5XAA"
"33289","385","@tni_ad Alhamdulillah 👍"
"33290","385","Angon 😂 https://t.co/gd9ZsYoFQK"
"33291","385","@anvie semoga bisa berubah 😂😇"
"33292","385","@anvie wah seru ni mas ☺☺"
"33293","385","@anvie mas keren masih riset text mining social media ? Mantap"
"33294","385","@TMCPoldaMetro tonjong brebes arah jogja macet parah sudah -+ 1 jam"
"33295","385","@PertamaxIND thanks min"
"33296","385","@PertamaxIND daerah mana saja, semua spbu min?"
"33297","385","@makemac @iphonesecondd bisa aman untuk 5S"
"33298","385","I'm at Saoto Bathok Mbah Karto in Sleman, DI Yogyakarta https://t.co/9eR8Pui7Lp"
"33299","385","@PertamaxIND saya tetap setia pakai pertamax min"
"33300","385","Iya sama , akhirnya harus daftar ulang baru batu bisa  https://t.co/jw1C0nPlM6"
"33301","385","@aagym aa apakah ini bukan pemborosan, mohon pencerahannya"
"33302","385","RT @aagym: Masya Alloh kuda Jerman ciptaan Alloh ... Silakan hadir Ahad 30 Agustus jam 7 pagi di pacuan kuda Pamulang yaa http://t.co/0j5vD…"
"33303","385","@PertamaxIND ho..ho...ho...tetap setia 😎"
"33304","385","@PertamaxIND 😭, usaha sudah Sanggat Keras ternyata belum Curup harus Lebih Keras lagi go RIO 🇮🇩"
"33305","385","@PertamaxIND 😰😭 , ternyata oh ternyata 😭"
"33306","385","@PertamaxIND sudah dan insya Allah sering ...Aaamiin 🙏🇮🇩"
"33307","385","@PertamaxIND sudah berusaha tinggal berdoa "" Bismillahitawakal...."
"33308","385","@PertamaxIND @RHaryantoracing indonesia bangga Padamu dan bangga Indonesia untuk kamu 🇮🇩"
"33309","385","Bismillah 🙏 https://t.co/3yOCVzLilJ"
"33310","385","@PertamaxIND @RHaryantoracing , bismillah 🙏"
"33311","385","@PertamaxIND @RHaryantoracing "" Tidak ada yang tidak bisa juara, hanya 1 kata saya ingin juara """
"33312","385","@anvie iya saya juga kebetulan ada tugas dijakarta, katanya mau lanjut studi tak dukung pokoknya mas 👍😁"
"33313","385","@anvie mas kemarin minggu katanya ke kampus ya . Kok ndak mengabari 😊"
"33314","385","RT @dewahoya: Pengen nangis gue baca ini 😭 http://t.co/fZ8FJ2NnG3"
"33315","385","👍 http://t.co/3o2S8o6RlA"
"33316","385","Alhamdulillah berbuka dengan sambal pun barokah 😰😁 https://t.co/UFVZTPu5sf"
"33317","385","Bismillah (@ LPPMP UNY (Lembaga Pengembangan dan Penjaminan Mutu Pendidikan) in Yogyakarta) https://t.co/bUebY2JTCX"
"33318","385","Ayo raih kesempatan pergi ke Eropa &amp; dukung langsung Rio Haryanto di Sirkuit Monza, Italia #PertaminaPFGTE http://t.co/Mw7OGkTae8"
"33319","385","@Saptuari jangan lupa bro jaga koles Nya :)"
"33320","385","RT @Saptuari: Masih kemringet habis badminton, ustadz Wijayanto pun langsung melumat Tengkleng Hohah → http://t.co/D4kmtnjH2N"
"33321","385","""Berbohong itu tidak mudah. Perlu mental baja, konsistensi dan mampu ciptakan kebohongan baru utk tutupi kebohongan sebelumnya - by Hamka"""
"33322","385","Kenikmatan yg kita peroleh, akan menyesatkan dan menyombongkan selama Kita tidak mengingat Allah Ta’ala, sehingga memuji dan bersyukur."
"33323","385","UMAR ibn Khattab keras tetapi perasaan yang halus yang menghindarkannya dari menyakiti perasaan rakyatnya.(3)"
"33324","385","UMAR ibn Khattab memang
Walaupun keras, kebijakannya saat menjadi pemimpin sungguh didasarkan pada hati yang lembut(2)"
"33325","385","UMAR ibn Khattab memang bertabiat keras, namun kekerasannya itu senantiasa di jalan kebenaran.(1)"
"33326","385","""Ya Allah aku mohon kepada-Mu agar diberi ilmu yang bermanfaat, rezeki yang luas, dan amalan yang diterima."" [HR Ahmad]"""
"33327","385","@bamsmart_26 sbr mas :), itu pilihan rakyat...rakyat yg gigit jari"
"33328","385","Banjir, banjir dan banjir, ibu kota banjir, ibu kota termacet, ibu kota...apalagi ya :), Tetap bersyukur"
"33329","385","""Kemuliaan bukan ada pada kekayaan atau kemenangan, demikian kehinaan bukan ada pada kemiskinan atau kekalahan"""
"33330","385","""ADA burung yang kebiasaannya memakan semut. Ketika burung itu mati, ternyata dimakan semut."""
"33331","385","""Rizqi adalah ketetapan, Cara menjemputnya adalah ujian. Ujian yang menentukan rasa kehidupan"""
"33332","385","Dunia ini ibarat air laut, semakin kau minum, mk akan semakin haus. Ya, semakin kita mengejar dunia, mk akan semakin kita terpedaya olehnya"
"33333","385","""Kunci sukses adalah sikap mental positif disertai semangat utk berjuang sekuat-kuatnya dan berikhtiar mengerahkan segenap potensi yang ada"""
"33334","385","TIDAK bersedih hati atas apa yang tidak dimiliki dan berbahagia atas apa yang dimiliki adalah tanda-tanda dasar orang yang zuhud dan qana'ah"
"33335","385","Memiliki sebuah tempat utk dituju itu adl rumah. Memiliki seseorang utk dicintai itu adl sebuah keluarga. Memiliki keduanya adl berkah"
"33336","385","Tidak apa-apa jika kita ingin merayakan kesuksesan, tetapi akan lebih penting lagi untuk mengambil pelajaran dari kegagalan - Bill Gates"
"33337","385","""Iklan adalah kebohongan yang dilegalkan "" ;)"
"33338","385","===Orang sukses selalu mencari kesempatan untuk membantu orang lain. Orang tak sukses selalu bertanya, ""Apa untungnya bagiku?""==="
"33339","385","""Sangatlah mungkin kita gagal dengan banyak cara. Namun kesuksesan hanya mungkin diraih dengan satu cara - Aristoteles """
