"id_tweet","id_user","tweet"
"15946","201","@Giyanmocko Di sini ngga ada minyak sawit. Bersyukur jd penyeimbang dgn gaya ngopiku yg msh 2-3 gelas ngopi Nescafe… https://t.co/cvVrs6bPDO"
"15947","201","@Giyanmocko Heuheuheu. Di sini gak pake minyak sawit kalo goreng2. Pake Olive Oil atau Semi Oil dari Kedelai dan Bi… https://t.co/Cv82Mg8l6f"
"15948","201","Komit jalan kaki tuh asik, seru &amp; nyenengin. Keluar rumah “me time”-nya ibu domestik, heuheu.
Sambil menikmati cuac… https://t.co/AvWqC58M4d"
"15949","201","So pleased finished 8.1 KM walked in the afternoon!

Pencapaian harian membakar kalori. Konon jln kaki dpt menurunk… https://t.co/KpAS5phgRV"
"15950","201","Andai kita balik ke 2012, aku bakal mention dirimu @senhor_derpinho buat #NP single ini..❤️

Mariah Carey - Do You… https://t.co/aBPQjyZHLd"
"15951","201","Oknum Indon ngehek!! https://t.co/J3nib1XqGM"
"15952","201","RT @ValeYellow46: Ready?🚦
Training at the Ranch with @VRRidersAcademy 
📸 @camilss https://t.co/g2M1kZBfQL"
"15953","201","RT @ValeYellow46: Ready?🚦
Training at the Ranch with VR46 Riders Academy
📸 camilss https://t.co/EeNn7jcS61"
"15954","201","Ganteng bad boy!!!😍 https://t.co/3caluvsNWs"
"15955","201","@senhor_derpinho Ajarin aku hebrew yak. Di sini byk ebrei soalnya."
"15956","201","@ach_januar Salah. Woi!!!"
"15957","201","@Dima20065343 Beda. Org sini ga ada yg ngomong di belakang."
"15958","201","@Dima20065343 Akhiran O nya sama. Bedanya di aksen doang. Gak ada yg medok dan ngapak🤣"
"15959","201","@el_yasin #ForzaSpezia !!"
"15960","201","@oppiicial Kalau di Italia. Dottore &amp; Dott.ssa selain memang u/ dokter madico/medis, juga dipakai untuk gelar lulus… https://t.co/Ht9WDtYRUp"
"15961","201","Sekali kg, kl sama Org INA yg blm diwanti2 sejak awal, kl texting begini pasti dikira marah. 
Tanda serunya full🤣.… https://t.co/YhLQiUa2il"
"15962","201","Investigasi terbaruku adalah :
A : Sudah tidak di Twitter, tp kl scroll down Twitterku gercep sekali. 
Gengsimu ngg… https://t.co/oyQuzA3tut"
"15963","201","@byoby17 Puanas!!! Alhamdulillah"
"15964","201","Ke TKP untuk investigasi terbaru! https://t.co/jHGAJy3yhX"
"15965","201","@rihandaulah Saking menjiwainya, mulut komat kamit dan kepala manggut2, Mas."
"15966","201","Bahasa Italia :

Dott : dokter (laki-laki).
Dibaca : dottore

Dott.ssa : dokter (perempuan).
Dibaca : dottoressa

S… https://t.co/Bmgg9Yiur4"
"15967","201","RT @Vivo_Azzurro: 2⃣8⃣ anni fa ⌛️ #oggi

📂 #24febbraio 1993
 └📂 Portogallo-Italia 1-3
     └📂 Roberto&amp;Dino #Baggio 🪄💥
 
#Nazionale 🇮🇹 #Azzu…"
"15968","201","RT @nieke_aereta: Rizki tak terbatas materi (aset &amp; harta).
Bhsa INA-nya : Anugerah / Karunia. GIVEN.
2 hal di antaranya yg sdh tercatat se…"
"15969","201","Rizki tak terbatas materi (aset &amp; harta).
Bhsa INA-nya : Anugerah / Karunia. GIVEN.
2 hal di antaranya yg sdh terca… https://t.co/3O6ZUaRkhX"
"15970","201","RT @IFTVofficial: “Inter isn’t a surprise, the surprise is that they weren’t able to show this before.”

- Buffon https://t.co/JWhRS8bfSW"
"15971","201","@abiburakhman Kalau bagi manusia, ga ada yg ga mungkin. Krn semua terjadi sesuai kehendak-Nya. Tp untuk Allah, gak… https://t.co/K7eophF0NX"
"15972","201","@abiburakhman Tar ya abis Covid..."
"15973","201","Ya Rabb. Kangennya cabut aja deh, please... Aku ridho... Cape kangen tuh. https://t.co/NMAY1q1mWG"
"15974","201","Beda dgn mimpinya para Nabi yg notabene wahyu, mimpinya kita2 mah sering nggak jelas. Ntar tempatnya tau2 pindah da… https://t.co/7PYdkMYKoc"
"15975","201","@Efendi_Susana Sama Mas. Mandeg jg bisa🤣"
"15976","201","@asboediono_id @asboedionoid Sehat2 untuk Romo &amp; Ibu sayang❤️"
"15977","201","Tadi sore yg biasanya jalan kaki cepat, terpaksa ngga krn hrs ke dokter gigi. Tp stlh itu mumpung sambil nungguin M… https://t.co/vtbuaNRkJv"
"15978","201","+62 mah bebas. Coba aja di sini gelar pesta kawinan meski cm 40 org dekat khas inner circle bule, udah digeruduk sa… https://t.co/VqlOWqoGSO"
"15979","201","@SerieARuwet Aku mah jam sakiyeu keur gawe."
"15980","201","@SerieANostalgio Teu ngarti beneran. Nyarios naun sih?😅"
"15981","201","@el_yasin Ilfil🤣"
"15982","201","@SerieANostalgio Aku ngakak baca username-mu🤣"
"15983","201","@el_yasin Saya perempuan Pantura💪🏻☝🏻👌🏻"
"15984","201","La Spezia, Italia di malam hari.
Kota antik yang cantik dan juga Squadra Calcionya #ForzaSpezia Serie A, heuheu🥰 https://t.co/puO1amSuAv"
"15985","201","@VerzaBoiboiboi Au ah gelap"
"15986","201","RT @Cristiano: Vittoria importante! Felice di aver dato il mio contributo! Avanti così ragazzi! 🚀 🏳️🏴💪🏽 https://t.co/FC9PCpK7bh"
"15987","201","RT @SerieA_EN: Every point counts! 
The updated #SerieATIM League Table after Matchday 2️⃣3️⃣. 

#WeAreCalcio https://t.co/a8AI1b5hRr"
"15988","201","RT @juventusfcen: FT | ⏱ | THREE IMPORTANT POINTS! 💪💪💪

#JuveCrotone #FinoAllaFine #ForzaJuve https://t.co/PnoEydyHx7"
"15989","201","RT @Info_SerieA: FT: Juventus 3-0 Crotone
⚽⚽ Ronaldo 38', 45+1'
⚽ McKennie 66' https://t.co/Mzg9PM9ZAc"
"15990","201","@van_dalemans @gianluigibuffon @juventusfc Ya emang. Ga cocok itu buat yg badannya gak keren heuheu"
"15991","201","@van_dalemans @gianluigibuffon @juventusfc Hadeh. Kl org INA yg ngomong mah gitu. Ada aja dikomentarin. Kaos keren… https://t.co/l6gGWJMRaW"
"15992","201","RT @SerieA_EN: .@juventusfcen earns 3 important points thanks to the brace for @Cristiano and the goal by @WMckennie! 🔚

#JuveCrotone #Seri…"
"15993","201","RT @IFTVofficial: Crisitano’s brace leads Juventus to the 3 points against Crotone...

Back to winning ways ✅ https://t.co/euyw2z4H0Y"
"15994","201","RT @juventusfc: 𝗙𝗨𝗟𝗟-𝗧𝗜𝗠𝗘

Triplice fischio e 3️⃣-0️⃣!

Una vittoria nella partita numero 2️⃣5️⃣0️⃣ all'Allianz Stadium!! ⚪⚫

#JuveCrotone…"
"15995","201","RT @gianluigibuffon: harder better faster stronger 

#JuveCrotone 
#DaftPunk https://t.co/GHEq4io6hJ"
"15996","201","RT @juventusfc: HT | Termina la prima frazione all’Allianz Stadium.

Per il momento decide la doppietta, di testa, di @Cristiano! 

Concent…"
"15997","201","RT @juve_gl: HT Juventus 2-0 Crotone

Dua goal diciptakan oleh Ronaldo lewat sundulan, dua duanya umpan dari pemain Juventus yang bermain d…"
"15998","201","@juve_gl Hahahahah. Gak perlu pake ijin. Aku cm nanya tok. Soale kaya tangan yg blm kena gosok sabun seminggu. Aku… https://t.co/adiU9M4ity"
"15999","201","RT @IFTVofficial: CRISTIANO BRACE IN THE FIRST HALF, 2-0"
"16000","201","RT @juventusfc: 45’+1 |⚽| DOPPIO CR7, DOPPIO SIUUUU!
 
@Cristiano ci prova prima con un destro potente ben respinto da Cordaz, ma sugli svi…"
"16001","201","@juve_gl Itu tangannya siapa sih yg dicomot?"
"16002","201","Jadwal bersihin gigi tiap 6 bln. Jd ingat kasus temanku di BRI kantor cabang di Jatibarang yg Mas Satpamnya dicaci… https://t.co/oJFoMXdJqO"
"16003","201","RT @sudjiwotedjo: Sebenarnya aku gak nanya.. tapi krn jauh2 ngetwit dari Itali..okelah aku respon heuheuheu"
"16004","201","Grazie! https://t.co/fuuReOxvCt"
"16005","201","Cirebonan dan Indramayuan juga sama, Mas. 
“Udane beli mari-mari senget mau esuk”. Atau “Udane ora mari-mari senget… https://t.co/DyMzSwcIrP"
"16006","201","Pada ijo banget pengen jadi presiden. Najong dah ah. https://t.co/oh1OcH4oTN"
"16007","201","Thx Neng @LelaMatofani RO 3 BOX  #KopiMansap u/suami😍
(MINUMAN ANDALAN SUAMI PERKASA)

Bukan cm saluran nafas yg di… https://t.co/ftq93BCt1w"
"16008","201","Dimasa COVID selain imunitas, penyakit bawaan spt DIABET, JANTUNG &amp; PARU-PARU hrs dpt perhatian lbh

#KopiMansap dg… https://t.co/MBbRjm43qH"
"16009","201","RT @nieke_aereta: @xosantoz @AthosFreediver Saya yg di Italy &amp; alami masa pandemi tersulit, pastilah ikhtiar proteksi mencegah Covid-19 tak…"
"16010","201","@LelaMatofani Sampe tua jerawat &amp; komedo msh numpuk?
Mulai muncul flek?
Mulai byk Kerutan muka dtg sebelum waktunya… https://t.co/oEkPbhYgN3"
"16011","201","@Haris744 COVID-19 NYATA!

Thx Neng @LelaMatofani REPEAT ORDER BIOCE

Cegah gejala klinis Covid : Demam, Radang Ten… https://t.co/LD63rhkv5E"
"16012","201","Aku bukan tim sukses &amp; die hardnya Anies Baswedan. 
Cm mau blg, untung jaman pilpres gak latah ngefans &amp; expect tin… https://t.co/wQMetHOtmi"
"16013","201","Dari jaman pilpres, saya sih sama semua survei yg bilang elektabilitas PS08 unggul aja ngga percaya.
Apa lagi sama… https://t.co/vUFe8t2lLk"
"16014","201","@VerzaBoiboiboi Ya udah ga usah komen"
"16015","201","@dinasatriyo Banget neng. Itu juga. Semoga tahun ini bs. Tiket mah udh di tangan."
"16016","201","Twitter, titip kangen."
"16017","201","RT @nieke_aereta: Nggak perlu melakukan olahraga berat, bahkan rutin olahraga ringan seperti jalan kaki cepat pun sudah sangat amaze manfaa…"
"16018","201","RT @RAFIDA750: Saya lebih geli lagi ada yang teriak2 kawal uang rakyat tapi begitu ada menteri korupsi bansos Covid tiba2 senyap... 

Gelin…"
"16019","201","@robertricky19 Garuk2an heuheu"
"16020","201","@wan_jakh Boleh aja Mas. Gak minum jg boleh. Asal Mas Wan mau kenalan sm ancaman Hipertensi, Diabetes, Impoten, Covid, Stroke dan Jantung🤣"
"16021","201","@wan_jakh Hahhaha ngakak. Kan ketahuan Mas. Sebulan itu kan 30 hari. Artinya 3 pak #KopiMansap iru pas sebulan. Nah… https://t.co/0yOHRlD18W"
"16022","201","@AzharKamilya @januar9 Sudah dpt DM dari teamku blm neng? Dari Mas @kopimansap atau Mas @AthosFreediver ? Dari sema… https://t.co/eZrJQgIuBG"
"16023","201","Pada ikutan quiz tapi settingan DM nya pada dikunciin.
Pdh jelas tertera di poster bahwa peraturannya settingan DM… https://t.co/sPDV3MrV3Y"
"16024","201","@wan_jakh 1 bulan 3 minggu lagi, Mas Wan🤣"
"16025","201","Nggak perlu melakukan olahraga berat, bahkan rutin olahraga ringan seperti jalan kaki cepat pun sudah sangat amaze… https://t.co/LxQ9KSGBMr"
"16026","201","RT @nieke_aereta: Pemandangan jalan kaki cepat sore tadi menjelang Maghrib saat hampir sampai rumah❤️ https://t.co/Phm1zks0y8"
"16027","201","RT @nieke_aereta: Bener.. Jalan kaki olah raga paling asik. Meski pun langkah kakinya panjang2 &amp; cepat, seru. 
Bs lihat yg hijau2, mata ist…"
"16028","201","RT @nieke_aereta: Makanya, krn aku sadar pola hidupku msh amburadul.
Tidur tiap hari jam 4 pagi, kadang habis Subuh krn kerjaan beda jam dg…"
"16029","201","@wan_jakh Semoga Mas Wan jg ngabisin #KopiMansap nya sangat cepat. Secepat kilat🤣"
"16030","201","@VerzaBoiboiboi Pake ava dong spy komennya sah."
"16031","201","@aminah03138852 @TsamaraDKI Ngakak malah. Bukan geli lagi aku mah. Nama Ganjar iku bejibun sama kaya nama Hartono dll."
"16032","201","Udah sampe kan Mas @wan_jakh #KopiMansap nya?"
"16033","201","Pemandangan jalan kaki cepat sore tadi menjelang Maghrib saat hampir sampai rumah❤️ https://t.co/Phm1zks0y8"
"16034","201","RT @menxurigakan: @nieke_aereta persis!! ada aja yg bikin ketawa pagi2"
"16035","201","Kl tampangnya blm seketjeh Julia Roberts atau seganteng Keanu Reeves, gak usah jelek2in orang.
Kl belum setajir Agn… https://t.co/PxBbA2tFbN"
"16036","201","Bener.. Jalan kaki olah raga paling asik. Meski pun langkah kakinya panjang2 &amp; cepat, seru. 
Bs lihat yg hijau2, ma… https://t.co/x3rxqVMhRD"
"16037","201","Jangaaaaaaaaaaan!!!!! Ujung2nya bakal berakhir di MK heuheuheu https://t.co/4fOV8AHKXD"
"16038","201","Makanya, krn aku sadar pola hidupku msh amburadul.
Tidur tiap hari jam 4 pagi, kadang habis Subuh krn kerjaan beda… https://t.co/sN0NEoq46Z"
"16039","201","Typo : di masa pandemi. 
Bukan dimana heuheuheu"
"16040","201","RT @januar9: @nieke_aereta Alhamdulillah, grazie mille th 😁"
"16041","201","Ini dia 5 nama pemenang GA Video Youtube kita :  “Juventus Stadium Tour (Di mana Pandemi), Part 3!”
Yang mendapatka… https://t.co/ZL6gSmzgk5"
"16042","201","@AzharKamilya tolong DM-mu dibuka untuk yang belum followan jg agar bisa nge-DM. Spy teamku bisa ngehubungin. Nuhun."
"16043","201","@januar9 tolong DM-nya dibuka agar bisa dihubungi oleh team kita."
"16044","201","Saya juga paling geli pas dengar ada orang yang baper dengan nama Ganjar dan saya juga paling geli kalau ada sekelo… https://t.co/EyvRhRs7mq"
"16045","201","@yunitasilvia30 Langsing itu bonus neng. Yg penting manfaatnya overall. Langsing jangan dipikirin. Apa lagi ada ora… https://t.co/0ZmkhWBYZD"
