"id_tweet","id_user","tweet"
"10062","139","RT @raffi_nagita17: Dgn sgl krndahan hati,sy Mohon Maaf yg sebesar""ny kpd Pak @jokowi &amp; smuanya agar jd pmbelajaran untuk sy u/ lebih baik…"
"10063","139","Dgn sgl krndahan hati,sy Mohon Maaf yg sebesar""ny kpd Pak @jokowi &amp; smuanya agar jd pmbelajaran untuk sy u/ lebih b… https://t.co/M8v8vBqIff"
"10064","139","kami akan reveal di tanggal 12 hehehehehe https://t.co/GEkf0GIoTn"
"10065","139","@AREAJULID https://t.co/apWXyQ5fU4"
"10066","139","Sekali-kali Bangun Siaaang .., Oh Indahnya❤️ https://t.co/KuibdTRQNb"
"10067","139","Vespa Pink ❤️ https://t.co/04E4Ssci8M"
"10068","139","Jail bgt nih rafatar kayak bapake https://t.co/RMdqHO9z1t"
"10069","139","Good Morning 🌞 https://t.co/A1buachWjn"
"10070","139","☀️ sunset time https://t.co/qPV9PH5OqE"
"10071","139","@kniagst18 🤣"
"10072","139","Ajak dia LibuRans ??? Gimana Guys ???
Kayaknya seruuu bamgetttt ⭐️😁 https://t.co/xpnsVu84PP"
"10073","139","GOKIL!!!RAFFI NAGITA GAK MAU KALAH DARI MAMA RIETA, BORONG APARTEMENT SA... https://t.co/qzm5Ly34yy via @YouTube"
"10074","139","RT @RumahSelebMNCTV: Joged tiktok sore - sore emang paling cocok. Apalagi kalo joged tiktoknya sama artis -artis kece 🤗
..
Yukk cuss nonton…"
"10075","139","Tapi https://t.co/9cZDEKDrT0"
"10076","139","https://t.co/6VW0igod5H"
"10077","139","Iyaa betul sampai 10 juli yaa.. https://t.co/n6T5VOs2Je"
"10078","139","GoodMorning 🤣❤️ https://t.co/psMU9q6Cvq"
"10079","139","Hello Guys ❤️😊 https://t.co/9rHSuSnUVt"
"10080","139","Salam buat wilson @siwonchoi https://t.co/3XI4J7Jwgy https://t.co/s39MwPKLVK"
"10081","139","Cinta Luar Biasa 💌 https://t.co/YFHARsb47O"
"10082","139","Iyak betul 🤣 https://t.co/oWNhfZDWfK"
"10083","139","Bakal dipilih 1 pemenang beruntung memenangkan album Reload yang ada tanda tangan member NCT Dream!
•
Pemenang baka… https://t.co/oFPXUWn6uc"
"10084","139","Bikin thread dengan isi:

1. Capture kalo kalian udah follow twitter @raffi_nagita17
2. Capture juga kalo kalian ud… https://t.co/NhLrXihR3S"
"10085","139","#GiveaAwayRANSNCTDream A Thread

Buat NCTzen siapa yang mau Album 'Reload' dari @NCTsmtown_DREAM dan… https://t.co/qtlXSt4Ejj"
"10086","139","Wah iyaaa ya https://t.co/CVbdCfeO3M"
"10087","139","Minggu santai di Rumah Andara bersama Ketua MPR ❤️⭐️ https://t.co/K4KQHwtEOa"
"10088","139","Hati hati penipuan atas nama RANS ya guys, sudah banyak korbannya, demi keamanan bersama, mohon untuk tidak memberi… https://t.co/74DM5aLwKU"
"10089","139","😂 editor berkelas nihh @SRdesignArt https://t.co/tr1NeNlH4L"
"10090","139","@siwonchoi Santai kk"
"10091","139","Tonton yuk Animasi Series Si Aa Di youtube
Asli buatan Tim RANS dan Asli buatan Anak Indonesia 🇲🇨❤️… https://t.co/KNktXe85wW"
"10092","139","Minal Aidzin wal faidzin ,mohon maaf lahir dan batin❤️
Photo by @riomotret @riomotretofficial 
Make up @rama_jee 
S… https://t.co/rwDvYFTeM4"
"10093","139","Panjang umurnya dan sehat selalu ya Ibu Aminah Cendrakasih Mak Nyak Si Doel ❤️ Legend ❤️ https://t.co/RYTfSY3054"
"10094","139","RT @rsudsidoarjo: Kami Mengucapkan Terima Kasih atas bantuan &amp; kepeduliannya untuk penanggulangan COVID-19 di RSUD Kab. Sidoarjo Kepada Raf…"
"10095","139","Selamat pagi untuk semuanya ... Semoga Bumi tercinta lekas pulih ❤️
#staysafe https://t.co/74OGkhD3kV"
"10096","139","RT @anomdanas: Di rumah lagi musim banyak nyamuk ya, katanya ngusir nyamuk caranya cukup simpel, cukup simpan saja sandal dan sepatu di tem…"
"10097","139","Akibat kelamaan di indo nih @siwonchoi https://t.co/vdiUKONqvO"
"10098","139","RT @anggraenispd: Mimpi apa ue dapet thr dr mama gigi sama papa raffi😭

Makasi ma, pa😭
@raffi_nagita17"
"10099","139","Alhamdulillah 🙏
#staysafe ❤️ https://t.co/HmRCrI9txS"
"10100","139","Konser Amal Indonesia Satu #LawanCovid19 https://t.co/88q3AmAcfa"
"10101","139","Ahahahahah https://t.co/8rmsDiB67w"
"10102","139","Selamat Jalan Sang Legenda 🙏😭 https://t.co/GXmv6TewK4"
"10103","139","@mauniaa Sedaaap 👌"
"10104","139","Sahur apaaaaa yaaa yang enakkk ? https://t.co/wLuy9NaKT9"
"10105","139","Tiada kebahagiaan tanpa syukur
Tiada rasa syukur tanpa sabar
Tiada sabar tanpa maaf .
.
Marhaban Yaa Ramadhan
Mohon… https://t.co/3oiCR80YJV"
"10106","139","Doa selalu ....
Sebelum puasa tahun ini gak sempet Munggahan ke makam Almarhum Papa tapi doa selalu untuk Almarhum… https://t.co/vsv5INTC0r"
"10107","139","Paula Mana ????? https://t.co/3qKG5VqZhq"
"10108","139","@FeraSenja23 Haloo"
"10109","139","@hardiesem @erickthohir Nggak dicuci itu habis ngecat"
"10110","139","Oke https://t.co/iG159xqP7X"
"10111","139","Obrolan sore santai 🙏
Mr. @erickthohir 💪
Semangat teruusss untuk 🇲🇨
Belajar biar dapet ilmu dari beliau 😇 https://t.co/MPAlXXjZUo"
"10112","139","@Twitter https://t.co/wVUzuonWj0"
"10113","139","Tebak siapa yang lagi sakit perut? https://t.co/AnKVWYOqT1"
"10114","139","Kuaat bangettttt .... kuaatt tahann bauuuu gak ???? 😅 https://t.co/CqfuBiszIP"
"10115","139","@tiket .com berbagi. Ayo saatnya berdonasi dengan tukarkan Tix Point kamu untuk sembako, membantu para pekerja hari… https://t.co/5WtvpRs9ET"
"10116","139","Tebak mana yang udah mandi mana yang belum mandi? https://t.co/eO7FCAhFiu"
"10117","139","❤️ https://t.co/YYuXYSSDDi"
"10118","139","🤣😂🤣😂🤣 https://t.co/IKQTewsxQJ"
"10119","139","Gladiresik kalo ada bayi nanti posisi tidurnya begini dan ada yang cemburu pula 🤣😍 https://t.co/Gl9cN6Xhkm"
"10120","139","Vitamin C pagi hari ala rafathar https://t.co/MmX35IfZax"
"10121","139","😓 https://t.co/VTkpb6dJ8x"
"10122","139","😭 https://t.co/d0P3Xt1UcK"
"10123","139","Jemuran ☀️❤️
#dirumahaja https://t.co/VzSrYqHgIr"
"10124","139","RT @FamilyRaffiah17: Bantuan donasi dari kalian sudah mulai di distribusikan guys 🤗
Terima kasih aa Raffi, mbak Gigi &amp; Rafathar 💙
@raffi_na…"
"10125","139","🙏 https://t.co/NjCz1okQrM"
"10126","139","Tetep di rumah gaes https://t.co/1J3uxWjY0P"
