"id_tweet","id_user","tweet"
"20249","245","Halo, teman-teman. Semalam ada DM yang masuk menanyakan foto gue di platform lain. Jadi, di sini gue mau kasih tahu… https://t.co/zWw1AWQpf7"
"20250","245","@RokyKurniawan Keren! 👍🏻😁"
"20251","245","@Wiraskenziro Iye. Lagi dipinjem buat dikeplak2in 😅"
"20252","245","Tenanglah. Hasrat bermusik belum sirna. Angan berkarya masih wujud. Harapanmu berlaku doa, sampai gitarku kembali m… https://t.co/JswSEJI0EJ"
"20253","245","Insyaallah, kita bisa melewati pandemi ini dengan sehat dan selamat. Aamiin 🙏🏻😊"
"20254","245","Meskipun begitu, kita harus tetap disiplin melakukan protokol kesehatan, ya, teman-teman. Jaga jarak, jaga kebersih… https://t.co/uK8ShpX32x"
"20255","245","Masuk tahun kedua pandemi, rasa bosan, frustrasi dan lelah pasti ada. Pun gue paham banyak sekali orang yang mau ng… https://t.co/e4E9XPavk3"
"20256","245","😁 https://t.co/ESITNuU444"
"20257","245","@saykoji Gue jadi inget casing iPhone 4 Kamen Rider Black lo 😄"
"20258","245","RT @galihsatrion: Salah satu film pendek kesukaan, ""Gadis di Ruang Tunggu"".
Film pendek tapi pemerannya udah kayak film box office: Fedi Nu…"
"20259","245","@ManojPunjabiMD Terima kasih, Pak @ManojPunjabiMD Saya juga kangen sama Mas Pras 😁 hehehe."
"20260","245","@wildaajeng Aamiin. Terima kasih, ya 🙏🏻😊"
"20261","245","@AgusWid0d0 Aamiin. Terima kasih, ya 🙏🏻😊"
"20262","245","@Maulanijn20 Wow, selama itu? 😁 Terima kasih, ya 🙏🏻😊"
"20263","245","@asrigp Aamiin. Terima kasih, ya 🙏🏻😊"
"20264","245","@dindariesta_ Terima kasih 🙏🏻😊"
"20265","245","@itsme_nunuy Wow, keren banget. Terima kasih, ya 🙏🏻😊"
"20266","245","@raninihh Aamiin. Terima kasih 🙏🏻😊"
"20267","245","@imeldawwww Terima kasih 🙏🏻😊"
"20268","245","@NasirOmy Terima kasih 🙏🏻😊"
"20269","245","@kkkecu Aamiin. Terima kasih, ya 🙏🏻😊"
"20270","245","@liacliq Aamiin. Terima kasih, ya 🙏🏻😊"
"20271","245","@turtlexme Terima kasih 🙏🏻😊"
"20272","245","@SalisPhoenix Terima kasih 🙏🏻😊"
"20273","245","@deinaaw Aamiin. Terima kasih, @deinaaw 🙏🏻😊"
"20274","245","@ohrevitaoh Terima kasih, ya 🙏🏻😊"
"20275","245","Teman-teman, akun @FediNuril_ bukan akun saya. Akun saya yang asli hanya yang ini. Boleh tolong di-report bareng? Terima kasih 🙏🏻"
"20276","245","Semoga teman-teman bisa tetap tenang dan jangan lupa cuci tangan, ya 🙏🏻

https://t.co/R3Vydvl8Di"
"20277","245","Bismillah 🙏🏼silakan mampir ke Instagram lapak gue, teman-teman 😁

https://t.co/EXBb6ka8X0 https://t.co/OA6f8GQ16o"
"20278","245","@MuhadklyAcho @filestarii Sa’ ‘ae, Taplak 😤"
"20279","245","@upirocks FORSA mana suaranyaaa? 🙌🏻"
