"id_tweet","id_user","tweet"
"28312","333","Pastikan pemilu kita berjalan dengan baik untuk fondasi kita melanjutkan negara yang damai. bila pemilu gagal, inte… https://t.co/nE4oDv3N4R"
"28313","333","@farhanaziz13 🙏"
"28314","333","RT @muchlis_ar: Jangan biarkan oposisi hanya diisi PKS. Thread penting @saiful_mujani. 

https://t.co/oO0nADvLWW"
"28315","333","... maksudnya jumlah oposisi"
"28316","333","RT @bungazet: Kepada Prof. Saiful Mujani @saiful_mujani 

https://t.co/dkOXPcxmft"
"28317","333","Thread by @saiful_mujani: 11. kekuatan pks dan demokrat di dpr hanya sekitar 15 persen. ini merupakan jumlah yang p… https://t.co/6evaLqGx2i"
"28318","333","17. terima kasih. selamat akhir pekan. sehat selaku bagi kita semua.🙏"
"28319","333","16. di dua pilpres terakhir umat islam terbelah dua. yang membuat jokowi menang di dua pilpres itu adalah pemilih n… https://t.co/zewEt3TXl0"
"28320","333","15. karakteristik pks selama ini adalah berpolitik dengan narasi islam. dengan posisi pks sebagai oposisi tunggal m… https://t.co/lydMAZ8VNS"
"28321","333","14. pks akan jadi oposisi tunggal dengan kekuatan tak berarti. ini punya konsekwensi lain: jumlah yang tak puas den… https://t.co/YaSQ7i0zSD"
"28322","333","13. bila tinggal 8 persen oposisi maka check and balances bisa dikatakan hilang dalam demokrasi kita, dan demokrasi… https://t.co/uOO3djevs3"
"28323","333","12. sekarang ksp moeldoko ditetapkan jadi ketua demokrat lewat klb di sumut. bila hasil klb ini diterima pemerintah… https://t.co/ANbHAFVB8e"
"28324","333","11. kekuatan pks dan demokrat di dpr hanya sekitar 15 persen. ini merupakan jumlah yang paling kecil sejak presiden sby."
"28325","333","10. sikap oposisi pks dan demokrat terlihat dr sikap mereka terlait uu ciptakerja yang merupakan inisiatif penerint… https://t.co/xaj8IHpvs8"
"28326","333","9. pada term kedua presiden jokowi, gerindra dan prabowo yang jadi lawan utama di pilpres 2014 dan 2019 takluk pada… https://t.co/gUDxaWceSt"
"28327","333","8. pada term pertama presiden jokowi check and balances dapat diperankan oleh gerindra, demokrat, dan pks. kekutan… https://t.co/IEznuXLwJv"
"28328","333","7. pada masa presiden sby kekuatan check and balances diperankan oleh pdip, gerindra, dan hanura. kekuatan mereka s… https://t.co/23atnw1XOO"
"28329","333","6. pada masa presiden gus dur, tidak ada partai yang jelas oposisi, tapi golkar yang berkekuatan di dpr sekitar 25… https://t.co/OOlQ0g5HVb"
"28330","333","5. memang tidak ada aturannya berapa banyak partai yang dibolehkan untuk menjadi anggota koalisi pemerintah. sekara… https://t.co/RxSWnFUjZN"
"28331","333","4. kekuatan partai  di dpr yang di luar koalisi tidak mesti harus mayoritas taoi harus cukup besar. sebab kl mayori… https://t.co/eJWszyvWC6"
"28332","333","3. bisa saja anggota koalisi itu berperan untuk check and balances, untuk kontrol pemerintah, tapi dalam prakteknya… https://t.co/hLewy1kHo2"
"28333","333","2. check and balances itu mensyaratkan ada kekuatan dpr yg otonom atau independen dari pemerintah. idependensi itu… https://t.co/zSgNZy2xGP"
"28334","333","1. yang membedakan demokrasi dengan sistem yang lain adalah adanya check and balances antara legislatif dan eksekut… https://t.co/18TRY7EM54"
"28335","333","kondisi politik belakangan di tanah air mengingatkan pada buku 4 tahun lalu ini. apakah anda diktator? https://t.co/FZ6YyklSpJ"
"28336","333","@ismailfahmi 🙏"
"28337","333","@titianggraini @ARIFILIZER 😀"
"28338","333","2. dalam uu itu: keberadaan partai dibuktikan dengan akte, dan dalam akte harus ada AD/ART. ikuti AD/ARTnya kl mau… https://t.co/yjck0a6cjS"
"28339","333","2. dalam uu itu: keberadaan partai dibuktikan dengan akte, dan dalam akte harus ada AD/ART. ikuti AD/ARTnya kl mau… https://t.co/7KKepocPA1"
"28340","333","1. hak konstitusionsl setiap warga berpolitik, gabung partai, dan jadi ketua partai. dasar konsitusional itu dituru… https://t.co/J0s1I3hSa0"
"28341","333","@titianggraini 🙏"
"28342","333","melemahnya demokrasi di dunia krn pelemahan oposisi oleh pemerintah yang ironisnya adalah hasil demokrasi. selama i… https://t.co/bkPyL5V4A1"
"28343","333","6. Pelemahan demokrasi ini bisa dihentikan dengan mencegah negara ikut campur internal partai sebagai pilar utama d… https://t.co/FvWe3pTlgF"
"28344","333","5. Hasil akhir dari manuver KSP Moeldoko ini adalah membunuh PD. Demokrat mati di tangan seorang pejabat negara. ba… https://t.co/iTmpeigXp1"
"28345","333","4. akibatnya, 2024 Demokrat bisa menjadi seperti Hanura sekarang, yang hilang di parlemen setelah Wiranto tak lagi mimpin partai itu."
"28346","333","3. saya tak bisa membayangkan PD bisa besar dan bahkan terbesar pada 2009 tanpa SBY. suka ataupun tidak itu adalah… https://t.co/0EbxWmxoGl"
"28347","333","2. PD Ahy selanjutnya akan menggugat ke pengadilan, dan ini biasanya hanya bisa selesai di Mahkamah Agung. Berarti… https://t.co/LFO7EztHpa"
"28348","333","1. setelah KSP Moeldoko ditetapkan jadi ketua partai Demokrat lewat KLB maka selanjutnya tergantung negara, lewat m… https://t.co/JRcI6jKyFS"
"28349","333","Demokrasi dunia sekarang memang sedang mundur (backsliding). menurut studi terakhir Haghar dan Kufman  (2021) penye… https://t.co/Fwqk5C7ajG"
"28350","333","zaman Orba saja yang otoriter pengambilalihan kekuasaan lewat klb oleh kader partai sendiri. kasus pdi misalnya. di… https://t.co/b4tMJxFs4e"
"28351","333","@maspiqi megawati di klb oleh kader pdi juga, soerjadi."
"28352","333","kejadian pertama partai dibajak orang luar partai. https://t.co/Y3zEM8L6Vv"
"28353","333","jadi bener yang dibilang demokrat sebelumnya. segitu aja 🤪https://t.co/37mOitdjFZ"
"28354","333","ceitera klb paling mutakhir. mekumham kunci penhesahan klb. tapi pengadilan membatalkannya. lalu yang kalah banding… https://t.co/qX8tkFwqL4"
"28355","333","ingat klb Partai Demokrasi Indonesia (PDI) di zaman Orba ketika Megawati digusur Orba sbg ketua PDI waktu itu. tapi… https://t.co/CPYalBjUKJ"
"28356","333","Alfatihah buat almarhum Kang Jalaluddin Rahmat. Intelketual yang kami banyak ikuti pemikirannya terutama ketika mah… https://t.co/7IObp83251"
"28357","333","😀 “tak ada kapitalis maka tak ada demokrasi.” Barrington Moore Jr. (sosiolog Harvard University) https://t.co/ls48d7Omq9"
"28358","333","@ngalimahfudNKRI @DPR_RI tahapan pemilu dan pilpres harus sudah jalan 2 tahun sebelumnya, dan pilkada setahun sebel… https://t.co/JxaqIfUz4V"
"28359","333","kasih yang ga hoax dong. berapa kasus positif dari april sampai sekarang? serius ingin tahu🙏 https://t.co/qkGDiGwfb8"
"28360","333","😀 https://t.co/vnWx9Q5jkY"
"28361","333","kl lihat data ini sih sebelum dan sesudah pilkada tgl 6 desember emang nanjak, jadi sebab pilkadanya ga  jelas. ata… https://t.co/DyGmKYABvc"
"28362","333","https://t.co/WKsSS33IzA ini penilian pemerintah. mungkin ga bisa dioercaya ya?😀😀 @mohmahfudmd https://t.co/QyldeYOgBa"
"28363","333","@buluslg @KembangKardus @DPR_RI tapi ada yang basic. kepala daerah ga boleh diangkat pusat untuk kurun cukup lama.… https://t.co/OYQT2oKCJa"
"28364","333","@buluslg @KembangKardus @DPR_RI semoga tidak gagal 2024."
"28365","333","@buluslg @KembangKardus @DPR_RI 2020 uu nya juga dirubah u kebaikan hasil."
"28366","333","@buluslg @KembangKardus @DPR_RI itu soal lain lagi. tadi covid, sekarang uu. 😀kan boleh merubah uu kl dinilai hasil… https://t.co/h5V8pxNKhj"
"28367","333","kl asumsi itu benar, elite itu emang ga cocok menerintah dg sistem demokrasi dan otonomi daerah."
"28368","333","saya udah komentar soal ini di atas. intinya kl soal covid dan pilkada, 2020 kita punya pengalaman baik. pikiran sa… https://t.co/ucKaSE4pwM"
"28369","333","@buluslg @DPR_RI dari dulu juga ga setuju. sekarang momentum untuk omong muncul lagi dengan pengalaman serentak 201… https://t.co/gocNZylUQJ"
"28370","333","kl 2022 tak ada pilkada, maka sejumlah provinsi dan ratusan dt2 dari 22-akhir 24 akan diperintah oleh pejabat yang… https://t.co/hCakdyOY7P"
"28371","333","kl pilkada dki soal lain lagi.😀 secara demokratis, tidak boleh ada gubernur dalam kurun waktu cukup lama (katkan 1… https://t.co/TGjC8wbJ16"
"28372","333","@RustamIbrahim ya, kan argumennya untuk tetap pemilu dan pilkada tetap serentak 2024 adalah biar 21-23 fokus urusi… https://t.co/UrGzeW2iKH"
"28373","333","@RustamIbrahim argumen ini cacat dg pilkada 2020 yang sukses itu🙏"
"28374","333","kl pemilu gagal maka terbuka untuk kudeta dan berakhirlah demokrasi kita. tiran akan menentukan kehidupan negara ki… https://t.co/hsLfAv0r2O"
"28375","333","dlm demokrasi pemilu dan hasilnya merupakan dasar bagi pelaksanaan negara. krn itu pastikan bhw tiap pemilu tak ada… https://t.co/fFZcGVb9lQ"
"28376","333","RT @HadarNG: @saiful_mujani @titianggraini @KPU_ID @DPR_RI Catatan penting KPU ini perlu disampaikan kepada Komisi II DPR dan Pemerintah se…"
"28377","333","kemunduran demokrasi di dunia sekarang banyak disebabkan oleh pejabat/penguasa yang justeru hasil dari demokrasi itu sendiri. ironis."
"28378","333","top @BurhanMuhtadi . barang Langka ini. https://t.co/A8tQS7fWn3"
"28379","333","@thedufresne tahapan pemilu itu sekitar 3 tahun, pilkada sekitar 1 tahun. beban kpu numpuk tak bisa dihindarkan. pe… https://t.co/pUhV36cdgj"
"28380","333","memang saya juga belum faham pertimbangan dasarnnya mengapa pemilu legislatif, pilpres, dan pilkada harus serentak… https://t.co/lHYycQR5cs"
"28381","333","RT @saidiman: Yang begini juga ciri santri Google. Mereka tidak paham bahwa membela hak sipil suatu kelompok tidak mesti setuju dengan pand…"
"28382","333","Innalillahi wainna ilaihi rojiun. Alfatihan utk ayahanda sahabat @BurhanMuhtadi semoga alharhum khusnul khotimah. Amin🙏"
"28383","333","alfatihah buat prof. firmanzah😢 https://t.co/YKOtpUdzkB"
"28384","333","ya tapi partai cekcok di kpu hingga ga bisa putusan hasil 1999 itu. kpu nya dari partai. memalukan! untung kita pun… https://t.co/GwgWBz6cWW"
"28385","333","Pada pemilu demokratis 1999 partai yang masuk senayan tidak ditentukan  oleh batasan jumlah perolehan kursi. setela… https://t.co/SBuGkd3iuH"
"28386","333","RT @iqbalbasyari: https://t.co/NIxE4fnQep"
"28387","333","RT @iqbalbasyari: Jaga Independensi Partai Politik https://t.co/YiO8CRJcvS via @hariankompas @saiful_mujani"
"28388","333","RT @BurhanMuhtadi: Hello tweep, terutama yg tinggal di daerah Semarang dan sekitarnya. Ayah saya sedang memerlukan plasma darah gol O+ peny…"
"28389","333","@zarazettirazr @saifulmujani @saifulmujani  ini kantor mbak, bukan account pribadi saya."
"28390","333","@zarazettirazr @saifulmujani @saiful_mujani  ini mbak🙏"
"28391","333","RT @Andiarief__: Banyak yang bertanya siapa orang dekat Pak Jokowi yang mau mengambil alih kepemimpinan AHY di demokrat, jawaban saya KSP M…"
"28392","333","kl tak@mengundurkan diri ya dimundurkan dari pada opini tak sehat bahwa presiden intervensi internal partai orang.… https://t.co/OXlx3FItwa"
"28393","333","tapi nasi sudah jadi bubur. langkah kesatria adalah pak muldoko mengundurkan diri dari ksp untuk menjaga kehormatan… https://t.co/HE2o5RFodu"
"28394","333","kl pak muldoko mau cawe2 dg internal demokrat, gabung aja dg demokrat. pengaruhi kader2 lainnya untuk ambil alih ke… https://t.co/pJItewO7wQ"
"28395","333","wow, pejabat negara cawe2 politik internal partai orang. kasar pak jendral. Moeldoko soal Isu Demokrat: Jangan Gang… https://t.co/tIdc640oTK"
"28396","333","@syaltout @ismailfahmi trims Gus. secara rutin saya mengamati secara nasional berapa banyak yang menggunakan medsos… https://t.co/vBuT4KuRRi"
"28397","333","berakhirnya demokrasi di Myanmar. kita mengalami ini 1959, dan 1965. semoga tak terjadi lagi. harus tetap waspada.… https://t.co/6R3wPWiOTx"
"28398","333","@ismailfahmi @syaltout basisnya self report di internet. mungkin ini sumber perbedaan, tapi bedanya besar banget."
"28399","333","@ismailfahmi @syaltout ya, tapi 56% itu besar"
"28400","333","@ismailfahmi @syaltout beda dengan yang saya punya"
"28401","333","@ismailfahmi @syaltout beda banget ya"
"28402","333","@ismailfahmi @syaltout observasi saya jangkauan twit di indo mandeg di kisaran 2 persen. maka apapun isunya krn bas… https://t.co/Jp9sbkw6Lv"
"28403","333","@ismailfahmi observasi saya facebook istagram jauh lebih memotret populasi kita. dan trendnya makin menguat."
"28404","333","@ismailfahmi yang berbasis facebook liat di mana?"
"28405","333","@ChatibBasri 😀👍"
"28406","333","itu basisnya hanya twitter ya mas? https://t.co/t5YBcAFVBs"
"28407","333","@unilubis terlalu lambat un. india sejuta sehari. prifile sosial ekonomi india ga jauh beda dengan kita. ko mereka bisa jauh lebih cepat ya."
"28408","333","kalau bisa inginnya sih presiden juga tak dipilih rakyat langsung 🤪"
