"id_tweet","id_user","tweet"
"14250","183","Baru saja mengirim foto @ Makam Raja Raja Mataram,Imogiri https://t.co/QYhxlxgunQ"
"14251","183","RT @Quoteislam_id: Bekal utama kebersamaan hidup adalah kesabaran. Sebab kita tahu, perjalanan berombongan umumnya lebih lambat dibanding b…"
"14252","183","RT @arfhanmedia: READY STOCK! Baru datang dari penerbit --&gt; Saya menjual Original Sang Pangeran dan Janissary Terakhir Novel Salim A Fillah…"
"14253","183","RT @republikaonline: Kerumunan Jokowi dianggap spontanitas, kerumunan HRS di Bogor diganjar tersangka. https://t.co/Y3whYkPYcu"
"14254","183","RT @mimosapril: Apakah ini pesan tersirat utk karya ust @salimafillah berikutnya? Sunan Kalijogo, Sultan Agung, dan Hamengkubuwono I? https…"
"14255","183","RT @mimosapril: Buku fiksi sejarah Perang Diponegoro karya Ust @salimafillah yg sangat menarik utk dibaca. Ust sudah berhasil membuat cerit…"
"14256","183","RT @ismail_astar: ""Berdoa itu lebih penting dr pada hasilnya, krn hasil itu hanya fana, benda2, status2 dan kehidupan dunia yg tdk abadi. S…"
"14257","183","Baru saja mengirim foto @ Special Region of Yogyakarta https://t.co/JaNowtcE9d"
"14258","183","RT @dffjoo: bonus dikit sih, buat diri sndiri lebih tepatnya, mmm jangan brhenti buat evaluasi diri. kata2nya dari Ust. Salim A. Fillah. ht…"
"14259","183","RT @amoreShaa: Tak ada yang terlalu buruk untuk memulai hal yang baik.
Tak ada yang terlalu baik untuk berhenti dari kebaikan.

- Ustadz Sa…"
"14260","183","Baru saja mengirim foto @ Special Region of Yogyakarta https://t.co/pICnjlOYpe"
"14261","183","Baru saja mengirim foto @ Kotagede, Yogyakarta, Indonesia https://t.co/FTW4Dq6Ipe"
"14262","183","RT @VIVAcoid: Viral, Aksi FPI Beri Bantuan Dibubarkan, Perahu Karetnya Dipakai https://t.co/EToRdGKpfT #trending"
"14263","183","RT @sahabatalaqsha: Memperbaiki 
Membangkitkan
Memenangkan Rohingya dengan Al-Quran
Program #Indonesia untuk #RohingyaKita:
Gizi, pakaian,…"
"14264","183","Baru saja mengirim video @ Special Region of Yogyakarta https://t.co/T0FcWPD85W"
"14265","183","Baru saja mengirim foto @ Dukuh Tawangsari https://t.co/qrKXKxVpZY"
"14266","183","RT @sahabatalaqsha: Obrolan pagi 
ayah, anak, ibu 
di halaman masjid 
yg diberkahi

Plot twist: Jangan2 mereka bertiga itu yg ada di logo a…"
"14267","183","RT @zakyZR: https://t.co/MnXVwDwTnU"
"14268","183","RT @zakyZR: https://t.co/TpQj86NC2s"
"14269","183","RT @zakyZR: ""MENDINGAN GUE, GAK PAKE JILBAB TAPI BUKAN PELAKOR""

Apa iya mendingan? https://t.co/Vo5VwUSTkf"
"14270","183","RT @LA_Anwar_: Memberi maaf pada yang merasa punya khilaf, menentramkan hatinya. Memberi maaf pada yang tak merasa bersalah, menentramkan h…"
"14271","183","RT @sahabatalaqsha: Ini cara kita #Indonesia menghangatkan keluarga2 #SuriahKita: membuatkan pakaian musim dingin gratis terus-menerus utk…"
"14272","183","Baru saja mengirim foto @ Kölner Dom https://t.co/KFj3oRWjIP"
"14273","183","RT @Gamal_Albinsaid: Untuk menempuh 400 meter, siput butuh waktu 37 jam, tapi mobil Formula 1 hanya 9 detik.

Kita mungkin punya cita-cita,…"
"14274","183","RT @KRMTRoySuryo2: Tweeps,
Benar khan apa yg saya sampaikan ke berbagai media sebelumnya?
Kalau memang (Presiden @jokowi) serius, maka jala…"
"14275","183","RT @republikaonline: Laporan keuangan GAR ITB untuk proyek Prof Din Syamsuddin bocor ke publik. https://t.co/d2LMpaMvbb"
"14276","183","Baru saja mengirim foto @ Omah Dakwah ""Pro-U Media"" Jl. Jogokariyan 35 Yogyakarta https://t.co/OrpDIzh7Id"
"14277","183","Baru saja mengirim foto @ Special Region of Yogyakarta https://t.co/Yj19ebko2V"
"14278","183","RT @ShofwanAlBanna: Saya heran pejabat2 ini kok tidak punya rasa malu lagi sedikitpun. Jelas conflict of interest. Jamane jaman edan. Ra ed…"
"14279","183","RT @zarazettirazr: 6 polisi “ hilang kendali “ 
 https://t.co/5nTcL66fNo"
"14280","183","Baru saja mengirim foto @ Legen Mangir https://t.co/LS5sVSBdTN"
"14281","183","RT @samzalii: [Pujian Dari Sesama]
Pujian tuk insan shalih dan taqwa dari sesamanya mungkin kabar gembira seiring pahala; tapi tetap saja i…"
"14282","183","RT @ShofwanAlBanna: Cool! Semoga mindset kita bisa ikut berubah ya. Jangan karena benci pemimpinnya, inisiatif bagus ini digagalkan."
"14283","183","RT @FPKSDPRRI: #VIDEO BPJS Kesehatan Surplus 18,7 Triliun, Mufida: Kembalikan Iuran Seperti Semula

#fraksipksdprri 
#bersamamelayanirakyat…"
"14284","183","RT @amoreShaa: Tak ada cara memuliakan jiwa kita, yang seindah mentaati Allah. 

Dan tiadalah kita menghinakan jiwa, kecuali dengan bermaks…"
"14285","183","RT @immank_chia: @GeiszChalifah @salimafillah Maaf bang. Saya sudah khatam duluan. 😊 https://t.co/UGunApn4kS"
"14286","183","Baru saja mengirim foto @ Pesantren Masyarakat Merapi-Merbabu PM3 https://t.co/iWTrlbGz9Z"
"14287","183","Baru saja mengirim foto @ Special Region of Yogyakarta https://t.co/n0tEQbi7o0"
"14288","183","RT @hnurwahid: Saya sbg santri, dan PKS sbg Partai Islam rahmatan lil alamin yg mementingkan maslahat Umat dan Bangsa, sangat mendukung pen…"
"14289","183","RT @hidcom: JK: Bagaimana Mau Mengkritik Kalau Bertanya Saja Tidak Boleh? https://t.co/3BwHfCs4Ib"
"14290","183","RT @apathoni: In Indonesia, even writing an exam problem can land someone in jail."
"14291","183","Baru saja mengirim foto @ Jabal Tsur, Makkah. https://t.co/mQKVC8hZho"
"14292","183","RT @ainunnajib: Tepat 1 tahun lalu.

Kesombongan yang berakibat puluhan ribu kematian."
"14293","183","RT @ShaqeerAkhmad: Bismillah..
Karya Terbaik Ustadz @salimafillah 
Sang Pangeran &amp; Jannisary Terakhir
Hanya 99.000
https://t.co/xqvpQM0YJh…"
"14294","183","RT @FPKSDPRRI: 🔴🔴🔴🔴🔴🔴🔴🔴🔴

PKS Ingatkan Utang Indonesia Sudah Level Membahayakan⚠️

Total bunga yang harus dibayarkan Indonesia mencapai Rp1…"
"14295","183","RT @PKSejahtera: ""Kapal ikan berbendera Tiongkok paling sering melakukan kekerasan dan penganiyaan dalam kerja paksa dan bahkan perdagangan…"
"14296","183","@Puthutea Angkringan Pak Semi, Jl. Cuwiri, Jogokariyan. Teh panasnya juara sedunia fana. No debat.😷"
"14297","183","RT @kompascom: Mantan Wakil Menteri Luar Negeri, Dino Patti Djalal mengaku tak gentar menghadapi sindikat mafia tanah yang sudah merugikan…"
"14298","183","RT @dinopattidjalal: Kpd media, korban mafia tanah, rakyat Indonesia, berikut tanggapan saya di IG @dinopattidjalal mengenai upaya anggota…"
"14299","183","Nggak ada pilihan sarung dengan celana pendek tanpa celana dalam ya Mas @yudi_lek? 😷 https://t.co/myD1ElUjpN"
"14300","183","RT @zarazettirazr: Nurhayati, di Balik Donasi Rp 40 M untuk Penanganan Corona
#arsip2020
#wardah  https://t.co/I3U8AVIRji"
"14301","183","RT @HisyamMochtar: Gak proporsional jika mempertanyakan, kenapa Wardah memberikan beasiswa pada muslim? Ya, suka2 yang punya duit dong...
Y…"
"14302","183","RT @republikaonline: HRS dan menantunya plus Shabri Lubis berada di satu sel  https://t.co/pWdgxJVPFU"
"14303","183","RT @dusrimulya: Kemana itu @BimaAryaS yg kmrn ngotot ngejar HRS dan RS Ummi?"
"14304","183","Baru saja mengirim foto @ Special Region of Yogyakarta https://t.co/U83nSjwefx"
"14305","183","RT @zarazettirazr: ""Iya, tim kuasa hukum melaporkan Dino dalam dugaan tindak pidana pencemaran nama baik, hoaks, dan keonaran menggunakan m…"
"14306","183","RT @ocee_me08: Saling mendoakan lebih penting daripada berjumpa dan bertemu sesekali lebih menguatkan cinta daripada selalu bersama. 
Berte…"
"14307","183","RT @sahabatalaqsha: Selamat pagi Kakak2 #Indonesia

#YatimGarisDepan https://t.co/nUq8sO376U"
"14308","183","RT @ShaqeerAkhmad: @GeiszChalifah @salimafillah Seru ceritanya.. bahasanya mengagumkan.. ciri khas ustadz @salimafillah setiap menulis buku…"
"14309","183","RT @fadhlierlanda: Buku keren ini, dari cerita buku ini kita bisa belajar untuk waspadai jebakan"
"14310","183","RT @CNNIndonesia: JK: Bagaimana Cara Kritik Pemerintah Tanpa Dipanggil Polisi? https://t.co/5ICzJUrSu4"
"14311","183","@GeiszChalifah Masyaallaah... Baarakallaahu fiikum Pak Geisz. Terimakasih berkenan membaca bukunya. Menanti masukan dan sarannya 🙏"
"14312","183","RT @GeiszChalifah: Nama penulisnya sudah lama sy dengar, berawal dari bbrp teman yg meminta sy membaca tulisan2 ustadz @salimafillah. 

Har…"
"14313","183","Baru saja mengirim foto @ Special Region of Yogyakarta https://t.co/9AJeZOmCM1"
"14314","183","RT @hidcom: Fatwa MUI: Aktivitas Buzzer dan Yang Mendukungnya Haram #fatwa #Buzzer https://t.co/cOM7pmxsTH"
"14315","183","RT @hidcom: Nasib Guru Hervina, Bukan di Zaman Romusha #guruhonorer https://t.co/R9K4FQMtPP"
"14316","183","RT @msi_sohibuliman: Inna lillahi wa inna ilaihi rajiun. InsyaAllah mas @Prie_GS husnul khatimah. Amin.

Saya beruntung sempat satu panel d…"
"14317","183","RT @CerahkanNegeri: https://t.co/FtLx9ty7SX"
"14318","183","RT @ismailfahmi: ""Ini adalah tuduhan &amp; fitnah keji yg tidak bisa dipertjgwbkan kpd seorang tokoh &amp; pemimpin muslim penting tingkat dunia yg…"
"14319","183","RT @PKSejahtera: KH Muhammad Cholil dan KH Bisri Syansuri Layak jadi Pahlawan Nasional
https://t.co/YibuvxiZ2N"
"14320","183","RT @NMoekijat: Setiap kudengar ulama wafat semakin aku cemas jika yang tertinggal hanyalah orang- orang tanpa ilmu termasuk diriku.
- Prie…"
"14321","183","Baru saja mengirim foto @ Special Region of Yogyakarta https://t.co/mkzCQVxY7h"
"14322","183","RT @MardaniAliSera: #JumatBerkah
Sebuah nasehat dari Habib Salim Segaf Aljufri (Ketua Majelis Syuro @PKSejahtera) https://t.co/ExqDjAxXyF"
"14323","183","RT @lutfimuhamad_: Di Jepang, para guru amat sangat dihargai dan dihormati layaknya seorang kaisar. Di negara ini banyak guru yang diperlak…"
"14324","183","RT @salimafillah: Sambutan Mas @Prie_GS ketika buku #SangPangeranDanJanissaryTerakhir terbit, semoga harapan beliau mewujud. Maturnuwun san…"
"14325","183","RT @salimafillah: Innaa lillaahi wa innaa ilaihi raaji'uun. Sugeng tindak njih Mas @prie_gs. Perjumpaan sepanggung di Ngaji Budaya @PKSejah…"
"14326","183","RT @PKSejahtera: Nasihat Terakhir Prie GS Untuk PKS dan Kader-Kadernya https://t.co/6gCHEJ16au https://t.co/8KbCPpYMpW"
"14327","183","Sambutan Mas @Prie_GS ketika buku #SangPangeranDanJanissaryTerakhir terbit, semoga harapan beliau mewujud. Maturnuw… https://t.co/YacvaL6tXR"
"14328","183","RT @PKSejahtera: Almarhum Mas @Prie_GS pernah menjadi narasumber acara Ngaji Budaya DPP PKS memperingati HUT ke-72 RI dengan tema ""Rumah In…"
"14329","183","Baru saja mengirim foto @ Special Region of Yogyakarta https://t.co/vpf3tg0vP4"
"14330","183","RT @nadaqothrun19: Maka, pada tiap doa, 
Sesungguhnya kita diharap bersiap untuk menerima yang lebih baik, lebih banyak, dan lebih indah.…"
"14331","183","RT @njwzainal: 1. Jika dia tidak setia dengan Allah swt, bagaimana dia mahu setia pasangannya.

2. Jika dia tidak hormat terhadap ibunya, b…"
"14332","183","Innaa lillaahi wa innaa ilaihi raaji'uun. Sugeng tindak njih Mas @prie_gs. Perjumpaan sepanggung di Ngaji Budaya… https://t.co/GaE2koLqXj"
"14333","183","RT @ShofwanAlBanna: Another ""klepon"" fake story. Orientalism at work. Sayang belum ada yg meneliti ini secara serius untuk jadi tulisan aka…"
"14334","183","RT @MardaniAliSera: Semestinya Presiden Joko Widodo @jokowi melihat kenyataannya bahwa masyarakat semakin takut dalam berpendapat. Apalagi…"
"14335","183","Baru saja mengirim video @ Legen Mangir https://t.co/ybRZFHu5cN"
"14336","183","Baru saja mengirim video @ Legen Mangir https://t.co/YP33xxDhlF"
"14337","183","RT @NOTASLIMBOY: Teori jebakan betmen terbukti."
"14338","183","RT @jam9lebih45: https://t.co/egOU3iC0Ko
@salimafillah 
Opini pembanding ttg dandels yg lagi trending, meskipun tetap ada uang yang ada, yh…"
