"id_tweet","id_user","tweet"
"24128","290","CC: @rahung https://t.co/v4mJ1kZ8Cq"
"24129","290","Maklum, limbah pemilu kardus"
"24130","290","Beberapa ide.. https://t.co/4XRSL67xCt"
"24131","290","Kenapa tidak memasukkan limbah yang keluar dari bacot penguasa ke dalam kategori Limbah Berbahaya dan Beracun?"
"24132","290","RT @utopdiea: Bung @sandalista1789 gimana nih bung? 🤪🤪🤪

https://t.co/nIrhizNtvn"
"24133","290","RT @MurtadhoRoy: Benar kata Gus Dur ya @Dandhy_Laksono &amp; @sandalista1789 https://t.co/wavx884XqV"
"24134","290","RT @tsetiady: seperti sabda kang @sandalista1789: ""apa yg dibilang presiden, nanti yg terjadi malah sebaliknya"""
"24135","290","RT @Agusriadi_23: @raviopatra @Dandhy_Laksono Artinya sudah ada dua rumus:

I : Harusnya kejadian dulu baru kita tahu, kalau sebaliknya ber…"
"24136","290","RT @unang_sunarno: Aktivis buruh Perempuan🙅‍♀️ Nining Elitos (Ketua Umum KASBI) dkk, dipanggil Polda Metrojaya terkait Aksi Unjuk rasa di K…"
"24137","290","RT @Kawan_ulyanov: @Dandhy_Laksono @VeronicaKoman  @rahung @sandalista1789"
"24138","290","RT @arfibambani: Dua Rumus Memahami Jokowi. 

Oleh @Dandhy_Laksono dan @sandalista1789."
"24139","290","Sudah kuduga https://t.co/QpX8WJzQS2"
"24140","290","Setahun silam https://t.co/nf93WV5kes"
"24141","290","Kirain Moeldoko https://t.co/VWLYNJscH9"
"24142","290","RT @VeronicaKoman: 6/3/21 Intan Jaya, West Papua

Melianus Nayagau, a second year junior high-school student, was shot dead by the Indonesi…"
"24143","290","RT @goodkristof: anak SMP ketembak TNI tapi media mana yg liput? semua bungkam kalau soal Papua apalagi pelakunya dari aparat. Inilah salah…"
"24144","290","Anaknya ngeghosting anak orang, bapaknya ngeghosting anak esemka."
"24145","290","RT @artinamasaya: ""Myanmar di seberang lautan tampak, Papua di pelupuk mata tak tampak"" @sandalista1789"
"24146","290","Persiiiisss 👍 https://t.co/8J4hAmC8Nx"
"24147","290","Buah ghosting jatuh tak jauh dari pohonnya"
"24148","290","RT @simpulpuan: Kekerasan yg terus terjadi terhadap buruh perempuan adalah hal yg tdk bisa terus kita data, analisa, atau sekedar jadi angk…"
"24149","290","RT @riodotcom: Mereka bisa apa tanpa BURUH !!! Ye gak bung @sandalista1789 ?"
"24150","290","MU vs dirinya sendiri https://t.co/JJa68LnpsB"
"24151","290","K L B

Kampret Lu, Bong!"
"24152","290","Joko Wildoko"
"24153","290","Negara saja bisa diambil alih, apalagi sekadar partai"
"24154","290","kami jadi tahu apa yang bakal terjadi nanti https://t.co/2O3XeT1dqE"
"24155","290","Lho kenapa bukan Joko Widodo saja? https://t.co/LAz5QE6VRM"
"24156","290","tak ada sesuatu yang baru di bawah matahari https://t.co/vTokvp9CGf"
"24157","290","💩💩💩 https://t.co/6S6g8JQsWI"
"24158","290","Clear 👌 https://t.co/qD8S8BbGou"
"24159","290","👌 https://t.co/49zPij7Xkz"
"24160","290","Ada baiknya memang polisi minta pendapat jaksa myanmar https://t.co/88OgYZoFPz"
"24161","290","https://t.co/85BwNEFcEL https://t.co/kCa88G0d6M"
"24162","290","Tak sekeras hidup di bawah sepatu lars kolonialisme https://t.co/MSZuGPkhyW"
"24163","290","@julia_rachma Nyindir diri sendiri, saya kira.."
"24164","290","Myanmar di seberang lautan tampak
Papua di pelupuk mata tidak tampak"
"24165","290","RT @frsfauzan: Optimis 70 periode 🍻 https://t.co/DRaqz2F6tX"
"24166","290","3 Maret                        4 Maret https://t.co/uOd4b0JEth"
"24167","290","Kirain Cari Harun Masiku https://t.co/AbMj4OshQu"
"24168","290","Hari Binatang BuzzeRp Indonesia https://t.co/fDols5O7f1"
"24169","290","RT @NetizenSosMed20: Mohon Om Pemred @sandalista1789 arsipkan berita ini, mengenai para pejabat yang cengengesan diawal pandemi covid-19.…"
"24170","290","🎉 1 tahun 🎂 https://t.co/ur0hmGtteH"
"24171","290","Ikan membusuk dimulai dari kepalanya https://t.co/KfvQKTndmx"
"24172","290","cocok 👌 https://t.co/mSu5X0cfHF"
"24173","290","RT @RinaldiHRP: Kok aku ketawa ya baca ini kamerad @sandalista1789"
"24174","290","""mutiara kepemimpinan baru""
""orang baik""
""terperangkap""
""menjadi korban""

👌 https://t.co/yfZeFYDT3W"
"24175","290","Dan 2 Tahun Kemudian Masalah Infrastruktur di Medan Tidak Rampung 👌 https://t.co/AowW7qZcW1"
"24176","290","RT @jevjob: Mohon penerawangan dari kamerad Bilven @sandalista1789  🙏 https://t.co/ydkJMJZG0x"
"24177","290","Sudah KLIR yaaa....?👌
🛀🛀🛀 https://t.co/wpqhtUhg7W https://t.co/sSTtu0pezo"
"24178","290","Dari psi masih belum ada yg komen soal kasus nurdin abdullah?

Kalau soal anies banyak.."
"24179","290","Reformasi dikoruPSI 👌"
"24180","290","In cagub kita di Sulsel. Pak Nurdin Abdullah. Tokoh anti korupsi. Nggak sabar lihat Sulsel dibikin keren sama Pak N… https://t.co/v04adbl37b"
"24181","290","RT @HardimasHP: Hahahahaha udah kaya pak presiden Nikaragua nih lama2 bocah2 @psi_id hasilnya kebalikan 😂😂

@sandalista1789"
"24182","290","14 Des 2017            27 Feb 2021 https://t.co/GpQvsgAb6f"
"24183","290","RT @dhanyfir: tidak ada sesuatu yg baru di bawah matahari"
"24184","290","3 Sep 2018               26 Feb 2021 https://t.co/aCii6iRX7f"
