"id_tweet","id_user","tweet"
"25618","306","@666trazhh @dyy_shop emnh kpan ak gk keren"
"25619","306","@dyy_shop @666trazhh tolol"
"25620","306","@dyy_shop @666trazhh mlah ndesah anjg"
"25621","306","@666trazhh @dyy_shop yug ak carry"
"25622","306","@666trazhh kpan yh"
"25623","306","@666trazhh ap kh"
"25624","306","@dyy_shop GAK"
"25625","306","@dinocaurus lum"
"25626","306","cengeng"
"25627","306","@GamesMenfess yu"
"25628","306","@dyy_shop hhh mmpus jing"
"25629","306","RT @munconvo: 🐬 astaga . . . cemburu tapi ga berani bilang 😔"
"25630","306","@nekioma gpp hhe"
"25631","306","@rltxtt @GamesMenfess akun gembok"
"25632","306","@GamesMenfess yu"
"25633","306","https://t.co/sISlEvJCSC"
"25634","306","@gueneverse pagii"
"25635","306","@rltxtt HAHAHA"
"25636","306","@yuxppy gmna ay @vavlir"
"25637","306","@yuxppy hy https://t.co/3dVSzw5M0t"
"25638","306","met bobo peach"
"25639","306","@mlbbfess bg janggo tu ap"
"25640","306","@dyy_shop @666trazhh aph klian"
"25641","306","@okrayulian chat 😎✋"
"25642","306","@666trazhh @dyy_shop https://t.co/7YEsb00Fk6"
"25643","306","@666trazhh @dyy_shop km diem"
"25644","306","@dyy_shop hoki"
"25645","306","@dyy_shop teng kok silver, teng kok mati, teng kok recall"
"25646","306","@GamesMenfess yh ayo"
"25647","306","@mal_kamal007 https://t.co/nlyY4Yklaa"
"25648","306","@mal_kamal007 simple, pncet ap aj yg bsa dipencet"
"25649","306","@dyy_shop banyak gaya abis it mati"
"25650","306","cara pke supp yg bnar bs chat peachy 😎👊 https://t.co/FayLldAiem"
"25651","306","@cxigars https://t.co/hUonF80d5Q"
"25652","306","@dyy_shop gmn rsanya digendong sy"
"25653","306","@iam_zelta HAHAHA"
"25654","306","@dyy_shop on atau mati"
"25655","306","@cxigars eLU BOCIL"
"25656","306","@dyy_shop id atau mati"
"25657","306","@dyy_shop GA KE SS AJA YG LAIN"
"25658","306","@xelowxob WOI HAHAHA"
"25659","306","@dyy_shop pembohong"
"25660","306","@cxigars https://t.co/3J2uRW3E8o"
"25661","306","@etheesa huft"
"25662","306","@ultdxsh ga ada yh"
"25663","306","ada ga si org meninggal gara² mainin udel"
"25664","306","@dyy_shop mw pke kagura tp syaratna hrus win yh"
"25665","306","@bizuraee @lullabyees huft *nngis https://t.co/F4xtoIuWTR"
"25666","306","@lullabyees @bizuraee km gausah"
"25667","306","@exillions auto win gk"
"25668","306","RT @jaebeopm: Life. because people changed every seconds like you have best friends but suddenly they decided not want to befriend or spend…"
"25669","306","replyannya https://t.co/0EpOwzlgFV https://t.co/ApBUBjsqBs"
"25670","306","@bizuraee mw"
"25671","306","@ijcecream hy"
"25672","306","@bizuraee sy"
"25673","306","@alwaysenvyy y"
"25674","306","gk lg mam ais klim"
"25675","306","@exillions https://t.co/DkbICaxMDy"
"25676","306","iyh klo typingna mulai mulai https://t.co/rG43rP1sPr"
"25677","306","@exillions sungkem dl sm ratu"
"25678","306","@bizuraee eMANG KNPA KLO IYA!??!!?!? https://t.co/SuyIeU5PZf"
"25679","306","@exillions au"
"25680","306","@exillions elo"
"25681","306","@GamesMenfess yug"
"25682","306","@GamesMenfess yu"
"25683","306","@ree_haaan diem gk"
"25684","306","@abcdryl gip alok bg"
"25685","306","@runayomozki gk ajak si"
"25686","306","@ree_haaan aPH KM https://t.co/LyajGkn9l5"
"25687","306","@yuxppy @vavlir gue mau tdur"
"25688","306","ak akan bobo dengan keadaan bete https://t.co/Ad8rZq5nOe"
"25689","306","@GamesMenfess yug"
"25690","306","@vavlir @yuxppy gk lo smbong"
"25691","306","gue kesel sm rui pdhal dia ga ngapa ngapain tp gue kesel aja liatnya kek ni orang ngeselin bget pgen gue betot"
"25692","306","@yuxppy @lunowx Aduh cakep bgt, kok km mw sm rui si 😔😔😔😔 (2)"
"25693","306","@yuxppy jibang jiji banget"
"25694","306","@rafizdne1 gpp jago"
"25695","306","@rafizdne1 knph sekin basic efek kof"
"25696","306","@mlbbfess kagura biar co cwit"
"25697","306","@bizuraee @starrysiz mau"
"25698","306","@mlbbfess lilia sdh gede"
"25699","306","@rafizdne1 ok"
"25700","306","owh islam kh"
"25701","306","@mlbbfess hhh bnr"
"25702","306","@feelsappear 2in"
"25703","306","@ultdxsh @fredeixe akun pabos yg mn"
"25704","306","@wuican https://t.co/WWy7f4sVqk"
"25705","306","@bizuraee tiati rid"
"25706","306","@GamesMenfess gk"
"25707","306","@midroamajg tolol bgt gk seh"
"25708","306","RT @saotrome: gk bsa senyum soalnya aneh https://t.co/4UZJxZJiR5"
"25709","306","RT @saotrome: ↷.│welcome to my 𝘀𝘄𝗲𝗲𝘁𝗶𝗲 land ! ! 🍑 https://t.co/E05J11qklb"
"25710","306","@lullabyees huft"
"25711","306","@ChillDaBoi arthur kuuun"
"25712","306","@lullabyees SUN"
"25713","306","@munconvo muk"
"25714","306","@lullabyees sini cun"
"25715","306","@lullabyees ku betot ya pala kau"
"25716","306","@lullabyees pap"
"25717","306","@beaetrix hhh"
