"id_tweet","id_user","tweet"
"19830","240","Si Bear tumbuh Sehat dan Kuat, Thx braveryindonesia https://t.co/5053DAXkws"
"19831","240","Full Video @ Lucky Hakim Channel - YouTube https://t.co/ESVlXt8j8Z"
"19832","240","Buat yg takut ular dan ingin mencoba mengatasinya... silahkan check videonya di Lucky Hakim Channel (Youtube) cc: l… https://t.co/mz6sWCRp8f"
"19833","240","Pertama Kali dilakukan di Indonesia... larassatikusnandar https://t.co/D2OUR5PVZK"
"19834","240","Lucky Hakim Channel Youtube https://t.co/DRwdd5FNYS"
"19835","240","The Best Dog Food for your beloved one,,, braveryindonesia endi.vegebrand https://t.co/faWoabJvaK"
"19836","240","Full video di Lucky Hakim Youtube Channel cc irfanhakim75 https://t.co/d8M9wduHLT"
"19837","240","Soon at Lucky Hakim Channel &amp; Dunia Satwa Kita,  petualanganputra sandy_pigletzz bobbysant furqon.yaqin agusbrind3 https://t.co/Mn800wYSKj"
"19838","240","You missed out! #BIGOLIVE!  https://t.co/dHiUjXSN0m https://t.co/SQLBgVOxM3"
"19839","240","banyak yang menyepelekan ular python karena tidak berbisa, mereka menyangka lilitannya mampu merela atasi, dan mere… https://t.co/Qb5qQYR7PF"
"19840","240","Adik dari kakaknya masing2.. https://t.co/0qcUcgmZCR"
"19841","240","My Kime &amp; Hime #albinomonkey #monyetputih #monyet #monyetalbino https://t.co/xvNwwZ2c5o"
"19842","240","Kenalkan dua penghuni baru.. Kime &amp; Hime #keraekorpanjang #monyetalbino #albinomonkey https://t.co/tidDTPiJdv"
"19843","240","22 Desember 2019  jam 15.00 WIab di Dunia Air Tawar, saya akan berenang di kolam berisi 2000 ekor Piranhan yang Lap… https://t.co/KEtdq6MIcW"
"19844","240","Terimakasih banyak  pd  insectshop_id yg    Sudah mengizinkan mampir untuk wawancara tentang proses pembuatan produ… https://t.co/fLLMpifHg3"
"19845","240","Selengkapnya ada di Channel Youtube... https://t.co/OIYreOap2g"
"19846","240","Thx TeamYouTube https://t.co/C67GLMX7o9"
"19847","240","@YouTube @ytcreators  please monetized my Account (Lucky Hakim Channel), u may see my 163k subscribers &amp; the watch… https://t.co/y6RACiDKS1"
"19848","240","https://t.co/9pbehtBpqS https://t.co/maG65uZ5qf"
"19849","240","@YouTube please monetized my Account (Lucky Hakim Channel), u may see my 163k subscribers &amp; the watch time 9.7M min… https://t.co/fdEhuJNxpm"
