"id_tweet","id_user","tweet"
"20673","251","sumpah ini gue kaya maksa gak sih kesan nya? ya allah emang dasarnya gabisa tapi maksa soalnya gabut.."
"20674","251","@nctzenhalu @stfurnotjeno"
"20675","251","@membacotttt apalagi punya gue"
"20676","251","mending striming cocomelon https://t.co/HByZ6sYf7k"
"20677","251","@xerapocha banget"
"20678","251","KELUAR DARAHNYA ANJJ"
"20679","251","@melliflu0ussss kok bisa"
"20680","251","bangsat, ada cicak mati anjenggg"
"20681","251","sumpah gabut bgt gue anjir"
"20682","251","oink oink oink"
"20683","251","ada babi"
"20684","251","@xerapocha gue wkwk"
"20685","251","@menggorokmu kece nak osis"
"20686","251","aw gada zoom"
"20687","251","@woodoyie iya sama wkwk"
"20688","251","@overthinkna ide bagus"
"20689","251","@kvnmcls gaenak enakan sambil main air"
"20690","251","@membacotttt sama wkwk"
"20691","251","MAMPUS"
"20692","251","ANJIR LUPA MATIIN KOMPOR"
"20693","251","@thisjaemingf iya"
"20694","251","laper"
"20695","251","@jenosbux ya kan.. gue bisannya sambil baca2in baliknya shampo itu"
"20696","251","@txrobbly bingung dha"
"20697","251","@sensashen km ga bawa hp?😱"
"20698","251","@overthinkna ga anjirr lapoo"
"20699","251","kok bisa org2 boker bawa hp"
"20700","251","ini guru gue zoom ribet sendiri dah"
"20701","251","gue gaperna tuh https://t.co/n3xwifo5bK"
"20702","251","WKWKWKWK"
"20703","251","mau winwin"
"20704","251","mau haechan"
"20705","251","mau jeno.."
"20706","251","HAHAHAHA GUE LANGSUNG MATIIN CAMERA"
"20707","251","case gue anj"
"20708","251","gue nangis juga udh gabisa ..."
"20709","251","ini gue ditinggal sendirian gak dikasih sarapan gimana anjrot"
"20710","251","RT @LJNFEED: #JENO #제노 https://t.co/93MXsoChQ8"
"20711","251","@tynosaurus_ tugas ipa👎"
"20712","251","shit jgn lagi plis"
"20713","251","@apasihsokabbgt iya bener bgt, gue paling gabisa"
"20714","251","frustasi"
"20715","251","wifi nya ajg"
"20716","251","@apasihsokabbgt 👍"
"20717","251","@sensashen frustasi😞"
"20718","251","kita remaja yg sedang di mabuk tugas"
"20719","251","to : qrt gaib
kamu membuatku penasaran"
"20720","251","RT @LOOKSMKL: https://t.co/HHlO3OvTQZ"
"20721","251","frustasi sama tugas ipa"
"20722","251","@lydbrn 2"
"20723","251","RT @omoniannian: b-RJ🦊

🇨🇳🇰🇷 ""(aku) datang!"" https://t.co/ksuplLIxsl"
"20724","251","'senyum, sehat, semangat' BASI ANJENG"
"20725","251","IYA UDAH PLIS"
"20726","251","sama aja bodoh ah"
"20727","251","AHAHWHSJWBZUBWHSJWJWBSJWBSKEJBSJSBEHS"
"20728","251","anjeng musnah ae lo"
"20729","251","dbhwbshzbajabajsnansnsbdjebshwhshwbabsjsbwhshwnsbhznwnsjsbwjdubejdnsnsjajs"
"20730","251","duhh pusing udahan aja lah daring ga selese2 asu"
"20731","251","pusing bhs arab"
"20732","251","ga pahaaam"
"20733","251","RT @BTXTHOUR_: Praying circle :

                   🕯      🕯
           🕯                       🕯
                    SEMOGA
      🕯…"
"20734","251","@nctzenhalu @stfurnotjeno"
"20735","251","halah bangsat"
"20736","251","tolol dha ajg"
"20737","251","ganteng bagi no wassaf nya dong😁😘 https://t.co/FuRxPOnyVA"
"20738","251","kiw https://t.co/tHLQSgz5T6"
"20739","251","kiw couo😁 https://t.co/cycPPGjV6v"
"20740","251","winwin😁"
"20741","251","@jodohmarkleenct oke oke @O2OLJN ini main acc gue"
"20742","251","@jodohmarkleenct mau gue udh belom?"
"20743","251","@jodohmarkleenct oke"
"20744","251","@jodohmarkleenct https://t.co/bDnPXreVKO"
"20745","251","@jodohmarkleenct gue ada bentar"
"20746","251","gimana sih bodoh udh dijelasin panjang2 masih nanya tugas nya apa"
"20747","251","oiya tugas ipa belom semua anjir"
"20748","251","anjeng mata gue kenapa lewat tl sih wjdhsjsnsjsaja"
"20749","251","@ijodohmarklee sabar ya.."
"20750","251","LOH ANJIR GUE KESIANGAN"
"20751","251","@ijodohmarklee kok lgsg 22 nya😭"
"20752","251","loh gue kan udh follo perasaan"
"20753","251","tugas gue yg belom apa sih.."
"20754","251","beneran pgn bgt yg kaya haechan, sisain satuu aja buat gue"
"20755","251","🙏 https://t.co/JdwmnOHa2w"
"20756","251","RT @jnlfolder: just how fast                     the night changes https://t.co/mYyVMq3SBT"
"20757","251","https://t.co/j1luov8Gg0"
"20758","251","https://t.co/DAzwSahW4p"
"20759","251","gapapa serius gapapa https://t.co/jqJVY2GxCv"
"20760","251","BARU"
"20761","251","anjeng gue batu liat https://t.co/lKsi2oY8Sh"
"20762","251","RT @WayV_official: WayV_Kick Back(Hitchhiker Ver.)
⠀
#WayV #WeiShenV #威神V https://t.co/7OYLs1ZOwe"
"20763","251","RT @WayV_official: WayV_‘Kick Back – The 3rd Mini Album’_Concept Images(Hitchhiker Ver.)1
⠀
#WayV #WeiShenV #威神V https://t.co/YK47I42s3y"
"20764","251","RT @LOOKSWINWIN: https://t.co/X2V2Zl8DOQ"
"20765","251","sampe diingetin di 2 grup anjeng https://t.co/OhXewhQzDL"
"20766","251","@jaerensites gabisa.."
"20767","251","y ok"
"20768","251","@overthinkna udah anjir astaghfirullah😔"
"20769","251","sumpah guru ski sama kir tuh AKSNZJSNSHWJBSJA kenapa sih ?!?!!"
"20770","251","@lydbrn udh gaseru lagi.."
"20771","251","ih kok gemes"
"20772","251","@overthinkna sudah sudah.."
