"id_tweet","id_user","tweet"
"18343","225","RT @_avnt_: Mengingat Aku Lala Padamu yg isinya ""perjalanan"" sepertinya cocok sama nomer 3 karena menggambarkan suasana malam, yg mana adal…"
"18344","225","RT @sudjiwotedjo: Nomor berapa  yg kau pilih di antara calon cover baru dwilogi pertama #Rahvayana ini? Hingga 5 Maret 2022 tulis di tab RT…"
"18345","225","RT @LingkarOfficial: #TeaterLingkar41th
Pentas #wayangkulit Malam Jumat Kliwon Ki Sudjiwo Tedjo @sudjiwotedjo 
Sebelum pandemi #COVID19 htt…"
"18346","225","Tapi kslau boleh milih 22nya baiknya ya ngritik penguasa ya ngritik “oposisi” https://t.co/wfMmUFRXSR"
"18347","225","RT @SuparAbah: Setuju mbah... Hidup itu memang harus bebas menyampaikan pendapat.. Kritik dibalas kritik.. Data balas data.. Sejarah dibala…"
"18348","225","Kalau harus hanya memilih salah satu, aku memilih mengritik penguasa. Sebab mrk ud dapat fasilitas ini itu dari rak… https://t.co/zFt7fawVQq"
"18349","225","RT @sudjiwotedjo: Besok kamu akan didekati lagi oleh pagi. Tetaplah tenang. Jangan terlalu curiga. Tapi jangan pula terlalu percaya"
"18350","225","RT @sulkiepatootie: wOOWWW power tweet"
"18351","225","RT @ifhayz: Ini bener banget"
"18352","225","RT @jefripahid: 1 senja yang menceriakan untuk diceritakan #AkuLalaPadamu mbah"
"18353","225","RT @juklimanov: dadi pemirsa pemirasan sinambi rasan²..heuheuheu"
"18354","225","Mungkin krn korupsi itu soal usaha, Bang, sedangkan ketangkep itu soal nasib https://t.co/9Ea1Pj6KtV"
"18355","225","RT @ciriwcuit: #AkuLalaPadamu cocoknya pakai koper nombor 3, Mbah"
"18356","225","RT @Roisnaldoo: Nomor 1. Pink nya cakep. Cocok dgn rahwana si sugar daddy penuh cinta."
"18357","225","RT @sudjiwotedjo: Kalau mau tau tentang ikan teri, tontonlah TV-TV berita hari2 ini. Kakapnya masih di laut."
"18358","225","RT @happyyuswita: no 3 mbah... macam darksoul gitu"
"18359","225","Pemirasan itu kamu punya aib, seseorang yg tahu aib itu memirasmu . Bila kamu tak mau dipiras, aib tersebut akan di… https://t.co/djdXUAp632"
"18360","225","RT @wotonnie: Jancuk....Mbah @sudjiwotedjo ternyata bisa bahasa Madhure jugen....🙏"
