"id_tweet","id_user","tweet"
"25474","304","kgk jadi sayang, yakali gue sayang anjing yg paling anjing"
"25475","304","gada cinta cinta, dah cape gue anjing!"
"25476","304","fokus perbaikin diri sendiri"
"25477","304","pokonya gue harus muve on!"
"25478","304","apapun itu gue ttp sayang"
"25479","304","sedih bgt udah gabisa kek dulu"
"25480","304","imysb,"
"25481","304","kasar sm cewe adalah level terendah cowo"
"25482","304","keseringan becanda smpe lupa kalo hatinya serius"
"25483","304","malem ini gua harus tidur nyenyak!"
"25484","304","alhamdulillah beban hidup sedikit berkurang"
"25485","304","udah 3 harii ga ngetweet garagara tugasss🤧"
"25486","304","sejak kuliah bagi gua
sehari berasa semenit (klo belom nugas)
sehari berasa seminggu (klo zoom)"
"25487","304","kelar satu tumbu seribu
-tugas be like"
"25488","304","@ohmybeautybank gaada yg pake ss acnes kahh? klo ada boleh review dong -ns"
"25489","304","@bbriellaid @ohmybeautybank maaf kakk boleh tau belinya dimana? makasii"
"25490","304","@pinfisam @ohmybeautybank maaf kak mau nanyaa, centella sama niacin boleh digabung ga? makasii"
"25491","304","udah semangat ngerjain tugass tapi refrensi nya salah judul. KESELL!!!"
"25492","304","@pwxrpxff @ohmybeautybank maaf kak st nya apaa"
"25493","304","mood hari ini adalah baca meme di tl, sumpah woi ngakak banget"
"25494","304","@ohmybeautybank safi dermasafe"
"25495","304","kebiasaan gua adalahh tidur jam 9 kebangun tengah malem dan lanjut tidur abis subuh"
"25496","304","semoga ntar pas tanggal cantik gua ga ketiduran lagi"
"25497","304","singkat cerita ada cewe sm cowo yg kerjaannya berantem ampe jadi saling suka tapi tetep gedein ego masing masing da… https://t.co/b0PhAX4YX0"
"25498","304","yakinin gua anjg!!😭"
"25499","304","aela bang tinggal jadian aja ribet"
"25500","304","4-3-21
tanggal cantik tapi gabisa meet"
"25501","304","udah sakit fisik ditambahin sakit batin😤"
"25502","304","jangan kasarin cewe pms! ada akhlak lo?!"
"25503","304","bacot"
"25504","304","pernah gasi lo ditanyain dosen tapi gabisa jawab karna tiba tiba sinyal ilang. gua barusan ngalamin anjj"
"25505","304","sejak daring standar keaktifan kuliah gua bergantung pada lord sinyal"
"25506","304","@FFOODFESS apel
nanas
melon
durian
pear
lengkeng
jambu merah
kiwi
manggis sama anggur sukaa
pisang"
"25507","304","anw sory gua lagi kesel"
"25508","304","lo emg serius atau gaada yg mau sama lo."
"25509","304","sory gua gabisa bedain kang serius sama kang bohong"
"25510","304","kebangun mulu ih"
"25511","304","wishlist banyak usaha kagak"
"25512","304","laper tapi males makan"
"25513","304","tugas kuliah emg gaperna absen"
"25514","304","@ohmybeautybank wardah acne spot"
"25515","304","dulu kesel sekarang sayang"
"25516","304","kangen nr sama kamu"
"25517","304","hai semua! jd ini scnd acc twitter aku yg dibuat atas dasar mau spam."
