"id_tweet","id_user","tweet"
"20773","252","@Jessicachrsna anjir gua ga konek ama twit lu selanjutnya,gua kira lg ngomongin aot WKKWKW"
"20774","252","@Jessicachrsna porco ya"
"20775","252","kena juga ni harddisk bangsat,padahal baru 2 bulan ngentot"
"20776","252","@captshinta skip dulu dah"
"20777","252","@mariusricky1 @115Abrahamhsb @RichardoAlvito gua nanya abraham jancu"
"20778","252","@115Abrahamhsb @RichardoAlvito @mariusricky1 jadi udah ke opik blum?"
"20779","252","@115Abrahamhsb @captshinta skip bange5"
"20780","252","@jinx_pro777 roki siregar"
"20781","252","@voxyllcri rokok ga ketauan anying,koreknya doang"
"20782","252","sampe dibeliin peredam suara sama nyokap karena nyokap tau kalo gua lagi maen bahasanya kristiani sekali"
"20783","252","RT @AotDaiIy: Attack On Kitten https://t.co/e2IiGwzps0"
"20784","252","@captshinta pertanda apa bgst"
"20785","252","@voxyllcri @captshinta buset bisa begitu"
"20786","252","@captshinta enak ya bgst gw masi mimpi potong rambut tiap 2 hari sekali"
"20787","252","jumpa memek lupa kawan"
"20788","252","RT @txtdariperokok: sunday morning vibes https://t.co/lPZMw0zMsc"
"20789","252","benerin pc serasa beli pc baru"
"20790","252","gimana cara fix auto repair anjinggg"
"20791","252","wqwq kenapa jenkai jadi up lagi bgst"
"20792","252","@captshinta bro dia mah wibu akut"
"20793","252","@captshinta cewe jepang emang kenapa anjgggg"
"20794","252","@jo_jo_joo lebih ke arah sjw sih ini"
"20795","252","@captshinta emg gua like apaan anying"
"20796","252","secret jutsu orang kristen kalo dibacotin ama atheis: yohanes 20:29"
"20797","252","dayana mirip jihyo anj"
"20798","252","@jo_jo_joo bisa2nya ad org nama discordnya mmk"
"20799","252","@captshinta @115Abrahamhsb hm"
"20800","252","@bantenkkk ganti ude ganti"
"20801","252","siapa coba https://t.co/wCkw4pf7dI"
"20802","252","@selalulaperr wkaakkaka tru banget dah"
"20803","252","@115Abrahamhsb @jo_jo_joo heh,ini jokes nongkrong kmrn anjeng"
"20804","252","@bantenkkk coming from behind bosq"
"20805","252","bye kurama"
"20806","252","@115Abrahamhsb 🤣🤣🤣🤣🤣🤣🤣"
"20807","252","@selalulaperr hah dc apaan?discord?"
"20808","252","@selalulaperr apa ini"
"20809","252","@jo_jo_joo gigolo"
"20810","252","RT @memefess: twice gpp yeet! https://t.co/nvumyBAJUU"
"20811","252","@georgedielit baru dibilang"
"20812","252","@georgedielit bro itu mah gua blend in ama jokes lu aje"
"20813","252","@voxyllcri WKWKWKWKKWK"
"20814","252","apa cb jam 3 subuh ngechat ginian https://t.co/d5lI6w24LF"
"20815","252","HAHAHAHA https://t.co/dTcDn0005x"
"20816","252","@jo_jo_joo salken boi"
"20817","252","@georgedielit bro lu itu udah wibu bau memek pula bro"
"20818","252","@JasonPanaBraham hm bisa jadi jon"
"20819","252","awikwok sjw perkpopan aya aya wae https://t.co/jq6s5br9ju"
"20820","252","pulang retret kelas 11 vibes
https://t.co/iA7ukdvike"
"20821","252","@mariusricky1 anakkontol"
"20822","252","@bantenkkk seminggu sabi gold gak?"
"20823","252","@bantenkkk herd immunity bro"
"20824","252","@jinx_pro777 dih ngentot lu"
"20825","252","warpenk yukk"
"20826","252","RT @MangaContexts: https://t.co/541ClWs74W"
"20827","252","oke bye eren"
"20828","252","@jo_jo_joo @115Abrahamhsb bro"
"20829","252","@115Abrahamhsb @jo_jo_joo gacor kan abidin"
"20830","252","@eassiahn nerf asep jeprud oracle"
"20831","252","canva bengew @jinx_pro777 https://t.co/O4vuL3vBVe"
"20832","252","@eassiahn nerf greyvi3w invoker aja dah"
"20833","252","@eassiahn iya makanya nerf axenya ceb"
"20834","252","@eassiahn nerf ceb axe"
"20835","252","@voxyllcri gong xi fat cai juga yer
bagi angpao lah ngentot"
"20836","252","he gets the call of his lifetime https://t.co/1yef6YuZTh"
"20837","252","@115Abrahamhsb @voxyllcri ya kurang lebih begini dah https://t.co/IVdu9PXpRr"
"20838","252","@jinx_pro777 suka ga ngaca kontol"
"20839","252","@voxyllcri joke abraham bengew"
"20840","252","https://t.co/bG0C2BdWlH gas"
"20841","252","@captshinta ogah dah,mager bet masi pen gondrong"
"20842","252","@captshinta sering bet,mimpi potong rambut mulu bgst"
"20843","252","@lahapengg bukan lu bro xixixi"
"20844","252","temen2 gua jadi streamer semua jadi pengen balik stream"
"20845","252","@captshinta @jinx_pro777 mager jon"
"20846","252","@jinx_pro777 ada bro,duelistnya cupu bengew dah"
"20847","252","difollow bro https://t.co/3Lkvsv3rvS @jinx_pro777"
"20848","252","@georgedielit gadeng bro,pieck best girl"
"20849","252","@georgedielit bro gabi best girl"
"20850","252","@voxyllcri anjg,kenapa @115Abrahamhsb sama @JasonPanaBraham ga ditag"
"20851","252","RT @cursedkidd: sex"
"20852","252","the promised neverland seru juga anjg"
"20853","252","@JasonPanaBraham LU SINI DULU MMK BIAR ADA YANG TAHAN BADAN"
