"id_tweet","id_user","tweet"
"31041","361","RT @korantempo: Majelis Permusyawaratan Rakyat (MPR) membantah wacana penambahan masa jabatan presiden dan wakil presiden menjadi tiga peri…"
"31042","361","Pak Presiden yth. Mohon stop impor beras, masyarakat masih ada yg panen, panen juga berlimpah. Mohon berikan dukung… https://t.co/zl9NCmnCyb"
"31043","361","RT @BusinessInsider: How one family-fun company ships sustainable seafood https://t.co/wLRPv0kEvf"
"31044","361","@godconawe Lucu kayak boneka 😀😭"
"31045","361","@Ipin55695778 Bukan modelnya 😀😀"
"31046","361","@jetsilvers Ok ok"
"31047","361","@Ewook7 Masih anak2 😀😀😀"
"31048","361","@Abimany60967856 100% bayar di muka dong https://t.co/tWWrETH2T1"
"31049","361","@Dodonlie1 Tidak muda lagi 😀😀😀😀"
"31050","361","@gus_setyanto Tidak perlu 😀😀"
"31051","361","https://t.co/vDkJ5dMlIe https://t.co/ohHQoDvd5m"
"31052","361","https://t.co/BSK2sECD8F https://t.co/Df4Yffka0N"
"31053","361","https://t.co/CvzeYJZhrN https://t.co/RGfijzRo6z"
"31054","361","Ya ogah dong .. 😀😀😀😀yg dicari yg muda dan single 😀😀😀😀😀😀😀😀😀😀😀https://t.co/7VCuY04prC"
"31055","361","RT @beginu: https://t.co/799pUSwrif"
"31056","361","😭😭😭😭😭😭😭😭Pemerintah canangkan impor beras di tengah panen raya, petani: 'itu menyakitkan' - BBC News Indonesia https://t.co/Q0TiSxgBPA"
"31057","361","Cerita lama yg selalu dibicarakan lagi. Tidak ada itu Traditional historical fishing zone ... Natuna dg 200 Nm nya… https://t.co/alwrDwRk2m"
"31058","361","Untk bisnis Ekspor Bibit lobster uang sejumlah ini sangat kecil. Dulu ada kasus es 3 KKP rek sd 195 M ... KPK harus… https://t.co/Jwl7zhrpRk"
"31059","361","@Jackmarpaung99 Merokok tidak sehat 🙈🙈"
"31060","361","RT @kompascom: Menteri Kelautan dan Perikanan (KKP), Sakti Wahyu Trenggono, mengatakan untuk masalah impor garam sudah diputuskan di Menko.…"
"31061","361","@DenaiUyuung 😀😀👍"
"31062","361","Malampun sudah terlewat.. selamat istirahat 🙏❤️ https://t.co/e9PNuc0B2h"
"31063","361","Sebagian telah selesai &amp; di signed👏👏👍👍👍❤️❤️❤️❤️❤️❤️❤️ https://t.co/0eUc6gY2mS"
"31064","361","Melewati malam dg keindahan 😘😘 https://t.co/Ac3u8lFX3E"
"31065","361","RT @tempodotco: Menteri Kelautan dan Perikanan Sakti Wahyu Trenggono menemui nelayan pantura di Pelabuhan Perikanan Nusantara (PPN) Kejawan…"
"31066","361","Selamat Hari Raya Nyepi 2021, Tahun Baru Saka 1943 bagi yang menjalankan 🙏🙏🙏 https://t.co/0nywNtbjqJ"
"31067","361","Makan soto sambil menikmati matahari, laut, dan keindahan seni ... nikmat apa lagi yang dicari ❤️❤️❤️ https://t.co/LfqGAYP8q6"
"31068","361","RT @susipudjiastuti: Pak President Yth, bila penyelundupan bibit Lobster (Homarrus&amp; P Penicilatus) bisa dihentikan, gagalkan; pengambilan b…"
"31069","361","RT @beginu: cek di youtube yak &gt;&gt;&gt; https://t.co/v8l79nD6qn"
"31070","361","RT @maridechocho: @susipudjiastuti @CNNIndonesia Permisi numpang taroh Sexy Killer biar pada inget sebahaya apa limbah batu bara
https://t.…"
"31071","361","@arie_sgm @Kemenparekraf Daerah mana ?"
"31072","361","RT @susipudjiastuti: @RakyatMerdeka99 @aniesbaswedan @ganjarpranowo 👍👍👍 https://t.co/SYEoIuKVCU"
"31073","361","@RakyatMerdeka99 @aniesbaswedan @ganjarpranowo 👍👍👍 https://t.co/SYEoIuKVCU"
"31074","361","RT @RakyatMerdeka99: Top News Koran Rakyat Merdeka

Pilih Anies Apa Ganjar 
Susi Maunya Berondong

@susipudjiastuti @aniesbaswedan @ganjarp…"
"31075","361","@agussantosas23 Siapa bilang ???"
"31076","361","RT @business: Dubai unveils a plan that envisages the population growing by 76% and making the city’s quality of life the best in the world…"
"31077","361","RT @BusinessInsider: A liter of blood plasma is worth up to $200 on the open market. But what makes it so expensive? https://t.co/P5Wh1wGOVS"
"31078","361","RT @BusinessInsider: What it's like to use a flight-sharing platform https://t.co/k39IfAXTuA"
"31079","361","RT @BusinessInsider: Why this Navy SEAL believes you should wake up at 4:30 a.m. every day https://t.co/dgrUtCUMlq"
"31080","361","RT @business: China is doing a much better job sharing its Covid vaccine with the world than Western nations are https://t.co/UBPbcHfy7n (v…"
"31081","361","RT @TechInsider: This stand-up paddleboard uses pedals to move https://t.co/tGXhCSyznn"
"31082","361","RT @BusinessInsider: Six uses for silica gel bags https://t.co/uIxhVqhhyq"
"31083","361","RT @TechInsider: This man collects plastic along London's canals on a floating bike https://t.co/OlXlYrAZmP"
"31084","361","RT @NatGeo: Roughly 500 shark species can be found in our oceans—how many do you know? https://t.co/zsL6PfZqdj https://t.co/QIdsUdTqVy"
"31085","361","RT @BusinessInsider: Three billion people around the world rely on seafood as their main source of protein https://t.co/ILt49e9BNj"
"31086","361","RT @TechInsider: This is why jogging alone won't help you lose weight https://t.co/y4VoVqoc8R"
"31087","361","RT @TechInsider: This market in India uses food waste to power buildings, streetlights, and a kitchen that serves 800 meals a day https://t…"
"31088","361","RT @business: 🍓🍓 Premium strawberries that sell for $10 a piece are helping one Japanese town to recover from the 2011 tsunami https://t.co…"
"31089","361","@historia_id Yg gagal dilelang adalah sisa2 yg kurang bagus atau pecah .. yg bagus dan mulus mereka sudah ambil dul… https://t.co/VuHdXb3f7R"
"31090","361","RT @kumparan: Apa respons Susi Pudjiastuti ketika disuruh milih Anies dan Ganjar? #kumparanNews https://t.co/7JpVMnGGEB"
"31091","361","RT @kumparan: Sembilan dari sepuluh responden percaya bahwa kehidupan kerja akan terlihat berbeda setelah pandemi COVID-19. https://t.co/hF…"
"31092","361","@Akbar17405575 @ganjarpranowo 😀 https://t.co/cg4mWi3u2H"
"31093","361","@jetsilvers 😀👍"
"31094","361","@CNNIndonesia 😭"
"31095","361","@jetsilvers @ganjarpranowo 😀😀😀🙊🙊🙊😀😀😀"
"31096","361","@AlichgunturMs @ganjarpranowo Suruh pensiun saja 😀😀😀😀🙊🙊🙊"
"31097","361","RT @susipudjiastuti: @ganjarpranowo Nesuu.. ndak mau dibilang tua dan ubanan 😀😀😀😀 https://t.co/8cjG5dKcRz"
"31098","361","@ganjarpranowo Nesuu.. ndak mau dibilang tua dan ubanan 😀😀😀😀 https://t.co/8cjG5dKcRz"
"31099","361","RT @susipudjiastuti: @Warungpojok13 @jetsilvers @ganjarpranowo @aniesbaswedan https://t.co/pOTj0rGD8j"
"31100","361","@Warungpojok13 @jetsilvers @ganjarpranowo @aniesbaswedan https://t.co/pOTj0rGD8j"
"31101","361","@jetsilvers @ganjarpranowo @aniesbaswedan Baru tahu ya 😀😀👍👍"
"31102","361","@RinoHidayatGM @jetsilvers @ganjarpranowo @aniesbaswedan https://t.co/LFlxXqkWsP"
"31103","361","RT @susipudjiastuti: @jetsilvers @ganjarpranowo @aniesbaswedan Mereka berdua sudah punya isteri .. sudah beruban semua .. cariin yg single…"
"31104","361","@jetsilvers @ganjarpranowo @aniesbaswedan Mereka berdua sudah punya isteri .. sudah beruban semua .. cariin yg sing… https://t.co/lV6Irw9iYl"
"31105","361","@ARIFILIZER Petani sedang panen gelonbang terakhir 🥲🥲🥲"
"31106","361","@Fahrihamzah Semakin Lobster itu besar semakin produktif dia sebagai induk Australia hanya boleh tangkap yg ukrn 1… https://t.co/EqIwDdSYEu"
"31107","361","@reza_63 @CNNIndonesia Tidak ada moratorium atau penghentian karena Penangkapan bibit masih berjalan setiap malam .… https://t.co/MKJmRBGeSF"
"31108","361","@KamuKerenWow @CNNIndonesia Terbalik itu Pak .. salah ketikkah ????"
"31109","361","Selamat Memperingati Isra' Mi'raj Nabi Muhammad SAW. 1442 H."", bagi bpk/ibu yang melaksanakannya. Semoga dg mengena… https://t.co/nQBBDFqUmY"
"31110","361","https://t.co/Xt0ARYuTns"
"31111","361","@naina_TShah @zarazettirazr 🙏"
"31112","361","RT @naina_TShah: @zarazettirazr @susipudjiastuti Otewe.. https://t.co/IGL0fxnVr3"
"31113","361","https://t.co/bfZQMlKGtD https://t.co/SBDhWdEFBY"
