"id_tweet","id_user","tweet"
"17644","218","Badhe dipun sareaken mbenjing wanci tabuh 10. https://t.co/WLSUd7teAd"
"17645","218","NU Sleman Berduka..

Innalillahi wa inna ilaihi rajiun..

KH. Sami'an Muharrom
Pengasuh PP. An-Nasyth Mlangi, Rois… https://t.co/0y5Byn9Kvs"
"17646","218","@Ajr_37 Wah parah.."
"17647","218","QS. Yasin dalam ukiran kayu jati, 1M x 2M, sudah finishing. Mahar 7,5jt. Ready. *yg minat silakan DM https://t.co/5xcl0Ess2N"
"17648","218","Btw, sempat kaget juga dapat info Cak Zuhairi Misrawi jadi Calon Dubes RI di KSA. Tapi ala kulli hal, saya ucapkan mabruuk.."
"17649","218","Lagi. Ada penipu yg gemblung. Masa' wa istri sy jam 12 mlm dan bilang ada yayasan yg blm punya nmr rekening. https://t.co/fQuDNncRCe"
"17650","218","@tanpalaqob Cubi kontak mawon nmr tsb"
"17651","218","Buat pengasuh/pengurus pesantren di DIY, dimohon berhati-hati. Ada penipu yg mengiming-imingi bantuan. https://t.co/idvBrJPTLW"
"17652","218","Maaf, apakah di sini ada yg punya kebun sawit.. 

Minta infonya dong, apa betul harga sawit saat ini sedang melejit?

Nuwun"
"17653","218","Tolong beri caption yg cocok.. https://t.co/nDdlbq7Y4I"
"17654","218","Sedang di majlis 40 hari wafatnya Almaghfurlah Yai Najib.

*semoga yg membaca twit ini seraya membaca sholawat, 'keluberan' berkah.."
"17655","218","Membantu tugas Malaikat Raqib dan Atid.. https://t.co/v09eX5Upq2"
"17656","218","RT @mantriss: Status Facebook dari @Ardyy_yk inilah satu dari banyak hal yang membuat NU merupakan komunitas yang menarik untuk bergaul dan…"
"17657","218","Peribahasa Jawa, ""Tega larané, ora tega patiné"" ini benar adanya.
Semoga beliau husnul khatimah. https://t.co/9ufMo2rXY1"
"17658","218","RT @ana_khoz: Semangatnya untuk tidak pantang menyerah sungguh luar biasa 👍👍👍👍 https://t.co/bvxcKNYjM5"
"17659","218","Hampir tiap kali muthola'ah kitab, kucing kaliko ini selalu mendampingiku.. https://t.co/z02vmn6BTk"
"17660","218","Barusan membersamai santri ziarah di (luar gerbang) komplek maqbaroh Dongkelan..
Tabarukan kpd Mbah Munawwir, Mbah… https://t.co/MIZZtg3aIP"
"17661","218","NU Jogja kembali berduka.

KH. Atabik Ali, Ponpes Krapyak telah wafat.."
"17662","218","Nomor2 ini mengatasnamakan dari @BANKBRI_ID , sudah sy tolak, tp tiap sore selalu saja mengganggu sy. https://t.co/U6daHJ0ENO"
"17663","218","Jumu'ah mubarokah..

Dari 80 Ulama Nusantara di bawah ini, berapa yg panjenengan ketahui? https://t.co/XxCeyEKCWB"
"17664","218","Monggo ingkang saget bantu... https://t.co/ah7HnbqVw6"
"17665","218","DIJUAL TANAH PINGGIR JALAN KABUPATEN BOGOR (Jonggol Tanjung Sari)

🟡Luas tanah: 5000 m2
🟡Surat: AJB
🟡Kontur: datar… https://t.co/NGQ1BF6W7y"
"17666","218","RT @almuayyad_solo: “Seharusnya murid berpegangan kepada petunjuk gurunya, tunduk patuh atas segala perintah, larangan dan garis-garisnya,…"
"17667","218","RT @TifaFaizin: Alhamdulillah wa syukurilah atas segala kontribusi dan dedikasi untuk negeri as selamat hari jadi NU yang ke .#95tahun

Buk…"
"17668","218","@BuayaEmpang Leres"
"17669","218","@Santjog Di loket penerimaan jual, sepi.."
"17670","218","Tengah pandemi, tapi toko emas ramainya ngalahin Warmindo.. https://t.co/tPoSwjbjmy"
"17671","218","Alhamdulillah, 2jam lebih 'kulakan suwuk' dari Gus Muwafiq. https://t.co/nAo5jkc5T1"
"17672","218","Teman2, insyaAllah pagi ini saya bersama istri akan ndhèrèke umi sowan Gus Muwafiq. 

Monggo, mungkin ada pesan yg… https://t.co/KMaIkjK02U"
"17673","218","@cak_sugenk Ada hadits-nya malah.."
"17674","218","Hayo siapa yg tadi ngantuk pas waktunya khutbah jumah?

Kalo boleh tau, ngantuknya gara2 apa?"
"17675","218","RT @PPLPBINU: Laporan Perkembangan Respon NU Peduli Gempa Bumi Sulbar per 25 Januari 2021.

#NUPeduli 
#SantriSiagaBencana 
#Humanity 
#Sul…"
"17676","218","Alhamdulillah sudah 8x ziarah ke sana, namun tetap merindukan kota suci tsb.. https://t.co/SWse4UhjSh"
"17677","218","RT @Official_Ansor: DIKLATSAR BANSER PAC GP ANSOR Donorojo dan Punung Kabupaten Pacitan. 

Jumlah peserta dalam kegiatan Diklatsar ini masi…"
