"id_tweet","id_user","tweet"
"32764","379","@tohaessa @FirstMediaCares Idem"
"32765","379","@rendionbass @subtanyarl @therealDiSastr Filmnya Teddy Suryaatmadja lebih tepatnya"
"32766","379","Yg ini boleh Yg itu ngga"
"32767","379","built different"
"32768","379","Sssttt.... Diam... dan dengarkan tubuhmu berkata apa.. mungkin itu obat terbaik"
"32769","379","Hacker tu kak.. brarti account mu mau coba di hacked https://t.co/E1R4LCbTn1"
"32770","379","Foint op Pyu"
"32771","379","Ini yg namanya 4perfect 5sempurna https://t.co/GlMZBgu6YX"
"32772","379","@doni_z4in Waduuuu jangan doonggg"
"32773","379","Nanti pas tayang.. tungguin aja https://t.co/G2jJzyQjvh"
"32774","379","Biasanya tanpa sengaja kita promoin korea melalui film, makanan, fashion.... baru tadi pagi liat program tv korea y… https://t.co/ql4VcgyinL"
"32775","379","Yg daendles tu bener ngga yah? sedih dengernya 😔"
"32776","379","@zakki_uye Aku malah baru libur dari nganggur.. masa libur lagi?"
"32777","379","@rachmakemala Wahh jengkol goreng sih mantep.. ada nya di daerah.... ngga jadi deh nanti kalo pada tau jadi laku..… https://t.co/Xvx7O5uhue"
"32778","379","@hananmaulana__ Matahari di atas kepala 😂🤣😂🤣"
"32779","379","Ama pengen jengkol goreng 🤔🤔🤔"
"32780","379","Pengen motoran"
"32781","379","Pengen spedaan"
"32782","379","@prasUNYEP Ayam nya se ekor"
"32783","379","@suryainsomnia Knapa ada tai tainya sih sur"
"32784","379","Baru mau mulai diet uda laper.. abis mie ayam deh dietnya"
"32785","379","Naik 2 kilo 😂🤣😂"
"32786","379","@zamabi13 Si mieke uda pake sih"
"32787","379","@miqa0912 Bagus yak?"
"32788","379","Provider internet yg kuat dan bagus  di wilayah pondok cabe apa ya? Pengen ganti nih.... kuciwak"
"32789","379","Spedaannya pada smangat ujan pun sikaattt"
"32790","379","Fake"
"32791","379","Lagi bangun motor ni guys.. vak ngga tau knapa.. pandemi malah bgn motor??? Tapi itu yg gw suka 🙏🙏🙏 yah smoga lah"
"32792","379","Excuse"
"32793","379","Ada anak kecil bgadang sambil nangis nonton film ‘Juara’ di netflix 😂🤣😂🤣 @bismakarisma @CharlesGozali https://t.co/Xku0ZqS79K"
"32794","379","@VinoGBastian__ Woooyyy uda mulai suting? 😂🤣😂🤣😂"
"32795","379","Pengennya sih oldskull tapi takut mogok euy"
"32796","379","@DustinGeinbee Maunya sih"
"32797","379","@CharlesGozali @danieldokter @NetflixID @MagMAEnt Letsgawww 🤜✋ tabee"
"32798","379","Padahal udah hari sabtu.. masing enak ajah https://t.co/eqjHXJ2ipP"
"32799","379","Watch Party JUARA the movie Sabtu 23 Januari 2021 jam 14.00. Nobar dari rumah masing-masing lewat @netflixid. All c… https://t.co/pAtJbWtGrY"
"32800","379","Wihhh mantep nih 😍😍😍 https://t.co/4ylcbUXsNG"
"32801","379","Prok prok prok jadi apa? https://t.co/NtzZ5XBykB"
"32802","379","Bubur ayam, buburnya di ganti pake havermut yg plain enak juga 😃👍 https://t.co/eNwAIrA6Ev"
"32803","379","Pagi yg basah https://t.co/NtFSOcm7GG"
"32804","379","Cernyata masih macet"
"32805","379","@abdelachrian Kisah gw mah nge blur semua cing 😂🤣😂🤣😂"
"32806","379","Wahh seharian deh ni ❤️❤️ https://t.co/LKdWkwLMij"
"32807","379","@abdelachrian Langsung puter Genesis 🤘🤘🤘 wah de bes emang ni mereka 😍😍😍 https://t.co/IVjnYncq2J"
"32808","379","@abdelachrian Genesis donungss ❤️❤️"
"32809","379","Cakep mana?"
"32810","379","https://t.co/xA6LQ3Cd3i"
"32811","379","@diskopantera Uda dong kmarenn 😂🤣😂"
"32812","379","@vincentrompies Masih tekatro2 ama kacamata ni es 😂🤣😂🤣😂"
"32813","379","Nyariin kacamata dong kemana 😂🤣😂🤣😂 bhangkhaayy https://t.co/zliaSlGfws"
"32814","379","Tiba2 telegram jadi rame?"
"32815","379","@Arie_Kriting @IndahpermataS_ Beneran yah?? Slamat kaka Ari 🙏🙏🙏"
"32816","379","Nyari ban sepeda 20” kemana yah?"
"32817","379","@midiahn Skill"
"32818","379","@Benidictivity Komedi is in de blaaddd"
"32819","379","Pay Lonely Lonely"
"32820","379","RT @BoniEko: https://t.co/s63ytUgPiW https://t.co/kAcmY7aemF"
"32821","379","@fhaajws Ya kann"
"32822","379","@wahyudieeeen Abis ini dongs"
"32823","379","Malem2 nge bar.... bel"
"32824","379","Pengennya sih nongkrong2 aja di rumah tapi di gji.. gimana yak?"
"32825","379","@areuse Anda pasti divisi art"
"32826","379","Masih soal sepedaan, skg gw nemenin spupu gw @kSudiro yg spedaan dan hobby makan mienya ngga perna brenti dari gw k… https://t.co/5No1jZIhBV"
"32827","379","Yes betoouullll... setelah 47 th baru tau gw 😂🤣😂 https://t.co/40zpI1Po91"
